,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling,AUC
0,500.0,0.01,0.01,1.0,0.8305697278911565
1,500.0,0.01,0.01,2.0,0.8747874149659864
2,500.0,0.01,0.01,3.0,0.9523809523809524
3,500.0,0.01,0.05,1.0,0.6634778911564625
4,500.0,0.01,0.05,2.0,0.7948554421768709
5,500.0,0.01,0.05,3.0,0.8582057823129252
6,500.0,0.01,0.1,1.0,0.5386904761904763
7,500.0,0.01,0.1,2.0,0.6547619047619047
8,500.0,0.01,0.1,3.0,0.661139455782313
9,500.0,0.05,0.01,1.0,0.920280612244898
10,500.0,0.05,0.01,2.0,0.9559948979591837
11,500.0,0.05,0.01,3.0,0.9757653061224489
12,500.0,0.05,0.05,1.0,0.8524659863945581
13,500.0,0.05,0.05,2.0,0.8869047619047619
14,500.0,0.05,0.05,3.0,0.9126275510204083
15,500.0,0.05,0.1,1.0,0.6721938775510203
16,500.0,0.05,0.1,2.0,0.7876275510204083
17,500.0,0.05,0.1,3.0,0.8382227891156462
18,500.0,0.1,0.01,1.0,0.9517431972789117
19,500.0,0.1,0.01,2.0,0.9766156462585034
20,500.0,0.1,0.01,3.0,0.9821428571428572
21,500.0,0.1,0.05,1.0,0.8762755102040817
22,500.0,0.1,0.05,2.0,0.9672619047619048
23,500.0,0.1,0.05,3.0,0.9642857142857143
24,500.0,0.1,0.1,1.0,0.834608843537415
25,500.0,0.1,0.1,2.0,0.9158163265306122
26,500.0,0.1,0.1,3.0,0.865858843537415
27,500.0,0.15,0.01,1.0,0.9545068027210885
28,500.0,0.15,0.01,2.0,0.9804421768707483
29,500.0,0.15,0.01,3.0,0.9821428571428572
30,500.0,0.15,0.05,1.0,0.9026360544217686
31,500.0,0.15,0.05,2.0,0.9749149659863945
32,500.0,0.15,0.05,3.0,0.9821428571428572
33,500.0,0.15,0.1,1.0,0.8484268707482994
34,500.0,0.15,0.1,2.0,0.9338860544217686
35,500.0,0.15,0.1,3.0,0.9706632653061225
36,500.0,0.2,0.01,1.0,0.9664115646258503
37,500.0,0.2,0.01,2.0,0.9821428571428572
38,500.0,0.2,0.01,3.0,0.9821428571428572
39,500.0,0.2,0.05,1.0,0.9532312925170069
40,500.0,0.2,0.05,2.0,0.9821428571428572
41,500.0,0.2,0.05,3.0,0.9821428571428572
42,500.0,0.2,0.1,1.0,0.8605442176870749
43,500.0,0.2,0.1,2.0,0.9587585034013606
44,500.0,0.2,0.1,3.0,0.9795918367346939
45,2000.0,0.01,0.01,1.0,0.813713832738803
46,2000.0,0.01,0.01,2.0,0.9048751486325803
47,2000.0,0.01,0.01,3.0,0.8575108997225526
48,2000.0,0.01,0.05,1.0,0.6563614744351962
49,2000.0,0.01,0.05,2.0,0.6646848989298454
50,2000.0,0.01,0.05,3.0,0.7469282600079271
51,2000.0,0.01,0.1,1.0,0.5885850178359097
52,2000.0,0.01,0.1,2.0,0.6704931972789115
53,2000.0,0.01,0.1,3.0,0.5556972789115645
54,2000.0,0.05,0.01,1.0,0.9266745937376141
55,2000.0,0.05,0.01,2.0,0.9655172413793104
56,2000.0,0.05,0.01,3.0,0.9772096710265558
57,2000.0,0.05,0.05,1.0,0.7964724534284582
58,2000.0,0.05,0.05,2.0,0.9510503369005153
59,2000.0,0.05,0.05,3.0,0.9300435988902103
60,2000.0,0.05,0.1,1.0,0.7609988109393578
61,2000.0,0.05,0.1,2.0,0.8724489795918366
62,2000.0,0.05,0.1,3.0,0.8282312925170067
63,2000.0,0.1,0.01,1.0,0.9562029330162506
64,2000.0,0.1,0.01,2.0,0.9748315497423702
65,2000.0,0.1,0.01,3.0,0.9823622671422909
66,2000.0,0.1,0.05,1.0,0.9246928260007928
67,2000.0,0.1,0.05,2.0,0.9674990091161316
68,2000.0,0.1,0.05,3.0,0.9647153167602245
69,2000.0,0.1,0.1,1.0,0.8286564625850341
70,2000.0,0.1,0.1,2.0,0.9236819727891157
71,2000.0,0.1,0.1,3.0,0.9483418367346939
72,2000.0,0.15,0.01,1.0,0.9597701149425288
73,2000.0,0.15,0.01,2.0,0.9827586206896551
74,2000.0,0.15,0.01,3.0,0.9827586206896551
75,2000.0,0.15,0.05,1.0,0.9082441537851765
76,2000.0,0.15,0.05,2.0,0.9795877923107412
77,2000.0,0.15,0.05,3.0,0.9827586206896551
78,2000.0,0.15,0.1,1.0,0.855653568564555
79,2000.0,0.15,0.1,2.0,0.9111394557823129
80,2000.0,0.15,0.1,3.0,0.9545068027210885
81,2000.0,0.2,0.01,1.0,0.9678953626634959
82,2000.0,0.2,0.01,2.0,0.9827586206896551
83,2000.0,0.2,0.01,3.0,0.9827586206896551
84,2000.0,0.2,0.05,1.0,0.9589774078478003
85,2000.0,0.2,0.05,2.0,0.9827586206896551
86,2000.0,0.2,0.05,3.0,0.9827586206896551
87,2000.0,0.2,0.1,1.0,0.8401360544217688
88,2000.0,0.2,0.1,2.0,0.9808519793459552
89,2000.0,0.2,0.1,3.0,0.9783163265306123
