omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name
1.0,2.2085957132785246,1.0,1.0,1.0,0.2158114772520377,0.1344519699692513,Feynman44,T
1.0,4.574226743707373,1.0,1.0,1.0,0.4554499398249411,0.42012083137924267,Feynman44,T
1.0,4.443523888724178,1.0,1.0,1.0,0.44220834707226014,0.4631808901663088,Feynman44,T
1.0,3.2992040631115804,1.0,1.0,1.0,0.32628120075923367,0.3270669757746511,Feynman44,T
1.0,3.6339123756515184,1.0,1.0,1.0,0.36018827286117683,0.34015192727486604,Feynman44,T
1.0,4.017306420053426,1.0,1.0,1.0,0.3990285948492824,0.4345530698738338,Feynman44,T
1.0,1.7910713765523156,1.0,1.0,1.0,0.17352998410178336,0.17005882996452937,Feynman44,T
1.0,3.7818901877341387,1.0,1.0,1.0,0.3751792572601501,0.4264964657563627,Feynman44,T
1.0,3.6963545519994576,1.0,1.0,1.0,0.3665139939362815,0.45480933598756407,Feynman44,T
1.0,2.5361914604794835,1.0,1.0,1.0,0.24899136063223776,0.21498065077874384,Feynman44,T
1.0,2.852462334059183,1.0,1.0,1.0,0.2810269514335554,0.25323768320082557,Feynman44,T
1.0,2.297824194313607,1.0,1.0,1.0,0.2248484531410551,0.25015532094585335,Feynman44,T
1.0,4.522524384948347,1.0,1.0,1.0,0.4502119301343438,0.4608247508557595,Feynman44,T
1.0,2.9529541788050735,1.0,1.0,1.0,0.2912063528682645,0.30104851003636224,Feynman44,T
1.0,1.2924491975403547,1.0,1.0,1.0,0.12305503718295484,0.1000267022661458,Feynman44,T
1.0,2.860643572237744,1.0,1.0,1.0,0.28185566976825566,0.3258103344459859,Feynman44,T
1.0,3.9385671288261634,1.0,1.0,1.0,0.3910517009108607,0.4143714665934534,Feynman44,T
1.0,4.5660074802638135,1.0,1.0,1.0,0.4546172384852943,0.436825843412077,Feynman44,T
1.0,4.1505635397576,1.0,1.0,1.0,0.4125286548181631,0.45187950745127115,Feynman44,T
1.0,4.472811101052473,1.0,1.0,1.0,0.44517544695238226,0.4653616815584471,Feynman44,T
1.0,2.870810629237797,1.0,1.0,1.0,0.28288554327784515,0.3202473637514114,Feynman44,T
1.0,3.2090366497755483,1.0,1.0,1.0,0.31714715297872914,0.36158036236072444,Feynman44,T
1.0,2.977517661110749,1.0,1.0,1.0,0.29369455655557697,0.27023441040719093,Feynman44,T
1.0,4.15560209369507,1.0,1.0,1.0,0.41303910459396426,0.44800985720846237,Feynman44,T
1.0,3.286085222862061,1.0,1.0,1.0,0.3249522431083625,0.3287750690224956,Feynman44,T
1.0,4.585064818858323,1.0,1.0,1.0,0.4565479559124335,0.49181689748310653,Feynman44,T
1.0,4.899852069741062,1.0,1.0,1.0,0.48843957620420264,0.38736647931157503,Feynman44,T
1.0,3.0493530492076317,1.0,1.0,1.0,0.3009713112034825,0.28877167934702563,Feynman44,T
1.0,1.5028654322787132,1.0,1.0,1.0,0.14435150548345094,0.15819394671862685,Feynman44,T
1.0,3.9587799543903324,1.0,1.0,1.0,0.3930994110846409,0.5288410228401383,Feynman44,T
1.0,1.4531368282507051,1.0,1.0,1.0,0.1393178117501523,0.15451618482481624,Feynman44,T
1.0,2.2652073575128604,1.0,1.0,1.0,0.22154501652445832,0.2261069898476986,Feynman44,T
1.0,4.685809523060881,1.0,1.0,1.0,0.4667545257614769,0.49447120132294536,Feynman44,T
1.0,2.2885793485371626,1.0,1.0,1.0,0.2239121303237507,0.2137892883895629,Feynman44,T
1.0,4.254123604367246,1.0,1.0,1.0,0.42302022883719054,0.4277325097344254,Feynman44,T
1.0,3.126852657850622,1.0,1.0,1.0,0.30882192513819035,0.2581906016686492,Feynman44,T
