epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,2.5733494030859605,1.0,1.0,1.0,0.0029918002921334374,0.038065628963446944,Feynman56,r
1.0,1.0,2.3115389092405323,1.0,1.0,1.0,0.00511587998638583,0.018700650760290448,Feynman56,r
1.0,1.0,1.258948836151672,1.0,1.0,1.0,0.10675444944104659,0.13279845030302703,Feynman56,r
1.0,1.0,1.6065411027937486,1.0,1.0,1.0,0.03154766220676773,0.07127162934096762,Feynman56,r
1.0,1.0,2.2977383782029297,1.0,1.0,1.0,0.0052713699654310464,0.012614105388411963,Feynman56,r
1.0,1.0,2.275057741149438,1.0,1.0,1.0,0.005539419694190556,0.05684501689756431,Feynman56,r
1.0,1.0,1.669747364669346,1.0,1.0,1.0,0.026011928707320983,-0.02641682418093711,Feynman56,r
1.0,1.0,1.6888214449732124,1.0,1.0,1.0,0.024575802775680815,0.047840315560040154,Feynman56,r
1.0,1.0,1.6773266098541646,1.0,1.0,1.0,0.025429522431234575,0.025678980067866546,Feynman56,r
1.0,1.0,2.8093139529716815,1.0,1.0,1.0,0.0019294121432362101,0.023969751028467205,Feynman56,r
1.0,1.0,2.4137353039046934,1.0,1.0,1.0,0.004120768106931183,0.0016040052027898166,Feynman56,r
1.0,1.0,1.787620943721978,1.0,1.0,1.0,0.018494782039067105,0.08129130073470336,Feynman56,r
1.0,1.0,2.385555503499092,1.0,1.0,1.0,0.004369973072967632,0.0033628749002814207,Feynman56,r
1.0,1.0,1.315964026585029,1.0,1.0,1.0,0.08554729880855987,0.07222098705083993,Feynman56,r
1.0,1.0,2.3628598521227633,1.0,1.0,1.0,0.004583915177631896,0.0023225696241230115,Feynman56,r
1.0,1.0,1.4586575205769243,1.0,1.0,1.0,0.05112810672006883,0.0613135591970137,Feynman56,r
1.0,1.0,1.75819519324035,1.0,1.0,1.0,0.020095135851725083,0.00731064483531573,Feynman56,r
1.0,1.0,2.0167706498864666,1.0,1.0,1.0,0.010119145171762945,0.004821913325670379,Feynman56,r
1.0,1.0,1.4760173861150958,1.0,1.0,1.0,0.04819134228899351,0.017755926956140335,Feynman56,r
1.0,1.0,2.7512876116412412,1.0,1.0,1.0,0.002141639780973011,0.0069938113958349125,Feynman56,r
1.0,1.0,2.7696629644769653,1.0,1.0,1.0,0.0020715325887081296,-0.008460979942047496,Feynman56,r
1.0,1.0,1.2491343380222804,1.0,1.0,1.0,0.11101474183826156,0.07782135536925502,Feynman56,r
1.0,1.0,2.220114357727841,1.0,1.0,1.0,0.006259644383329286,-0.036503102947138,Feynman56,r
1.0,1.0,1.3414430094572196,1.0,1.0,1.0,0.07772580979092956,0.08173183065414877,Feynman56,r
1.0,1.0,1.11777571980406,1.0,1.0,1.0,0.1934875520559577,0.1650508519685443,Feynman56,r
1.0,1.0,2.4296097426043666,1.0,1.0,1.0,0.0039878956567133556,-0.0011447108809066213,Feynman56,r
1.0,1.0,2.5495270873937037,1.0,1.0,1.0,0.0031342110406083015,-0.014810587698931578,Feynman56,r
1.0,1.0,2.753803800367206,1.0,1.0,1.0,0.00213187341476081,0.020694429564244457,Feynman56,r
1.0,1.0,1.9664872558524584,1.0,1.0,1.0,0.011480761824840213,0.015856670123148692,Feynman56,r
1.0,1.0,2.589113249206912,1.0,1.0,1.0,0.002901824565409068,0.026921385584875578,Feynman56,r
1.0,1.0,1.0477024224708802,1.0,1.0,1.0,0.2674463333427697,0.2567874180026327,Feynman56,r
1.0,1.0,1.7798466022430335,1.0,1.0,1.0,0.018902250718012898,-0.006368572871317781,Feynman56,r
1.0,1.0,2.5636231677109755,1.0,1.0,1.0,0.0030489861393582286,0.006817760910690903,Feynman56,r
1.0,1.0,2.2547302473616195,1.0,1.0,1.0,0.005793665717673609,-0.03796011538002926,Feynman56,r
1.0,1.0,1.067741506640842,1.0,1.0,1.0,0.24327403637534117,0.19604318669141838,Feynman56,r
1.0,1.0,2.5430694312873694,1.0,1.0,1.0,0.00317420740861802,0.02081694394313711,Feynman56,r
1.0,1.0,1.2510790123262645,1.0,1.0,1.0,0.11015461467596575,0.09699343134178036,Feynman56,r
1.0,1.0,2.7081491734724192,1.0,1.0,1.0,0.002317733369537571,-0.030833147922246035,Feynman56,r
1.0,1.0,1.8532116246079853,1.0,1.0,1.0,0.015445476459004443,-0.006565305692152796,Feynman56,r
1.0,1.0,1.6106386478194659,1.0,1.0,1.0,0.031148404715382497,0.06146406422281968,Feynman56,r
1.0,1.0,2.6856925986146125,1.0,1.0,1.0,0.0024162667461207457,-0.028904281234350914,Feynman56,r
1.0,1.0,1.2401575706236192,1.0,1.0,1.0,0.1150911804661705,0.10116251849283663,Feynman56,r
1.0,1.0,2.997949765679408,1.0,1.0,1.0,0.0013941343610915312,-0.012823858081723096,Feynman56,r
1.0,1.0,2.7915411161244834,1.0,1.0,1.0,0.0019916189235945733,0.02812412590507735,Feynman56,r
1.0,1.0,2.2595680688419932,1.0,1.0,1.0,0.005731908436673561,0.0063996598292895175,Feynman56,r
1.0,1.0,2.8820163484210197,1.0,1.0,1.0,0.001698025423133135,-0.006146483132568185,Feynman56,r
1.0,1.0,1.7017318447523986,1.0,1.0,1.0,0.023657604045698204,0.013841806268818166,Feynman56,r
1.0,1.0,1.2152711003452914,1.0,1.0,1.0,0.12736806087812563,0.11045739154532239,Feynman56,r
1.0,1.0,1.507799842554362,1.0,1.0,1.0,0.043321942380422376,0.0005823319429702628,Feynman56,r
1.0,1.0,2.778959482544399,1.0,1.0,1.0,0.0020371139117976375,0.01391301753442124,Feynman56,r
1.0,1.0,1.2823804587610412,1.0,1.0,1.0,0.0973513393763522,0.09428446951854007,Feynman56,r
1.0,1.0,1.2587021385502684,1.0,1.0,1.0,0.10685910641760794,0.11488859820475944,Feynman56,r
1.0,1.0,1.7662982775418916,1.0,1.0,1.0,0.019638402705146156,0.025620970265620144,Feynman56,r
1.0,1.0,1.2079697740055892,1.0,1.0,1.0,0.13126412602739795,0.14159345676621615,Feynman56,r
1.0,1.0,1.9114003064039944,1.0,1.0,1.0,0.013233299206847751,0.036470998249760314,Feynman56,r
1.0,1.0,2.6918797862871893,1.0,1.0,1.0,0.0023886255971811384,-0.03347671268220525,Feynman56,r
1.0,1.0,2.8403022543964385,1.0,1.0,1.0,0.0018264323716837294,-0.013403885692724578,Feynman56,r
1.0,1.0,2.0199411956319233,1.0,1.0,1.0,0.010039977883078866,0.024117890105961118,Feynman56,r
1.0,1.0,2.461371474330038,1.0,1.0,1.0,0.0037371503725787025,-0.03362356255619982,Feynman56,r
1.0,1.0,2.991151740999143,1.0,1.0,1.0,0.0014100488603256787,-0.01574417136548181,Feynman56,r
1.0,1.0,1.7900631774597808,1.0,1.0,1.0,0.01836896106320862,0.03858309730664008,Feynman56,r
1.0,1.0,2.3485310304006513,1.0,1.0,1.0,0.004725468524598815,0.019256220507277003,Feynman56,r
1.0,1.0,2.6185273735291448,1.0,1.0,1.0,0.0027424631270478233,-0.021317990246143653,Feynman56,r
1.0,1.0,2.338193992432217,1.0,1.0,1.0,0.00483085149259631,0.0033293749102745853,Feynman56,r
1.0,1.0,2.8622296499986284,1.0,1.0,1.0,0.0017575350997948312,0.012361301511297931,Feynman56,r
1.0,1.0,1.8918067334369446,1.0,1.0,1.0,0.01393293317052799,0.034909496011109244,Feynman56,r
1.0,1.0,2.905524879666501,1.0,1.0,1.0,0.0016304346467211225,-0.018619891886797704,Feynman56,r
1.0,1.0,2.1539068019998533,1.0,1.0,1.0,0.007282690433794818,0.030949979221366473,Feynman56,r
1.0,1.0,1.3266033516862428,1.0,1.0,1.0,0.08217144750871067,0.10499470570021402,Feynman56,r
1.0,1.0,1.0468555892304916,1.0,1.0,1.0,0.26852981210045906,0.2884140686953964,Feynman56,r
1.0,1.0,2.6751977778156295,1.0,1.0,1.0,0.0024640352331240884,0.008503480103138006,Feynman56,r
1.0,1.0,2.6906555114216406,1.0,1.0,1.0,0.002394064786037893,0.016547445024411644,Feynman56,r
1.0,1.0,1.7921224233481547,1.0,1.0,1.0,0.018263668650841152,-0.027316211186016248,Feynman56,r
1.0,1.0,2.4711323536609076,1.0,1.0,1.0,0.003663923138605211,0.03415412469359798,Feynman56,r
1.0,1.0,2.035597190244756,1.0,1.0,1.0,0.009659778649617999,0.04741718300104042,Feynman56,r
1.0,1.0,2.550653917855523,1.0,1.0,1.0,0.003127293980378581,-0.03063055156302974,Feynman56,r
1.0,1.0,2.0487391989571555,1.0,1.0,1.0,0.009353906052893358,-0.027243082472468566,Feynman56,r
1.0,1.0,1.5042383525216605,1.0,1.0,1.0,0.04383722975525022,0.005288049631141253,Feynman56,r
1.0,1.0,2.559840947212531,1.0,1.0,1.0,0.0030715775149124025,-0.04107382339553603,Feynman56,r
1.0,1.0,1.6067253805463728,1.0,1.0,1.0,0.03152957511176762,0.005660239142751076,Feynman56,r
1.0,1.0,1.3493363709559165,1.0,1.0,1.0,0.07547884651405201,0.058650531258484184,Feynman56,r
1.0,1.0,2.084502311418441,1.0,1.0,1.0,0.008578561781975858,0.0031361878232692084,Feynman56,r
1.0,1.0,1.8353465351455467,1.0,1.0,1.0,0.016211978054731947,0.0074677193842624875,Feynman56,r
1.0,1.0,1.6668058883079395,1.0,1.0,1.0,0.02624226147572626,0.009128770897394362,Feynman56,r
1.0,1.0,1.7086914581787533,1.0,1.0,1.0,0.023179717920563787,0.028823712178986893,Feynman56,r
