epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,2.7596859461468117,1.0,1.0,0.7007463943199013,0.7317938418127019,Feynman56,x
1.0,1.0,1.0,2.236562815455292,1.0,1.0,0.5848804438801611,0.5712611911918246,Feynman56,x
1.0,1.0,1.0,1.3628530327790973,1.0,1.0,0.40354735823694304,0.44454301597122076,Feynman56,x
1.0,1.0,1.0,1.8916836331940468,1.0,1.0,0.5108241644802958,0.4753426418001023,Feynman56,x
1.0,1.0,1.0,1.3335584083994978,1.0,1.0,0.39793034520695403,0.42341174060717907,Feynman56,x
1.0,1.0,1.0,2.736572271113364,1.0,1.0,0.6955610468963437,0.6553214929593172,Feynman56,x
1.0,1.0,1.0,2.4365663017622543,1.0,1.0,0.6287712991854421,0.5924147058206004,Feynman56,x
1.0,1.0,1.0,1.1733934889625857,1.0,1.0,0.36805480036252736,0.39375256217287696,Feynman56,x
1.0,1.0,1.0,1.4553485484082396,1.0,1.0,0.42155300537492557,0.36951131507042156,Feynman56,x
1.0,1.0,1.0,1.6308620973719552,1.0,1.0,0.45670398081716596,0.4481562204187016,Feynman56,x
1.0,1.0,1.0,2.8601829742254044,1.0,1.0,0.7233492354586397,0.7193095934585554,Feynman56,x
1.0,1.0,1.0,1.8641992989297935,1.0,1.0,0.5050327116193302,0.4799359303705642,Feynman56,x
1.0,1.0,1.0,2.0009042215878585,1.0,1.0,0.5340149936061166,0.505881591234242,Feynman56,x
1.0,1.0,1.0,2.6810111298643093,1.0,1.0,0.6831177215225981,0.6995349087610839,Feynman56,x
1.0,1.0,1.0,1.2665338118238003,1.0,1.0,0.3852484303703581,0.4231193133113843,Feynman56,x
1.0,1.0,1.0,2.088728778762345,1.0,1.0,0.5528492204648698,0.5846293108912046,Feynman56,x
1.0,1.0,1.0,2.114870014722608,1.0,1.0,0.5584846317040919,0.5476119777338536,Feynman56,x
1.0,1.0,1.0,1.9771105215138587,1.0,1.0,0.5289399908804908,0.49845332168850043,Feynman56,x
1.0,1.0,1.0,1.9977624216534784,1.0,1.0,0.5333441737285916,0.5089189327687037,Feynman56,x
1.0,1.0,1.0,1.5879555395263085,1.0,1.0,0.44800367409453495,0.47257290250506023,Feynman56,x
1.0,1.0,1.0,2.6136638612463576,1.0,1.0,0.6680771588484447,0.6434080040887693,Feynman56,x
1.0,1.0,1.0,2.688724956291185,1.0,1.0,0.6848434474159424,0.6513530075369928,Feynman56,x
1.0,1.0,1.0,1.3601898668608348,1.0,1.0,0.40303493737334684,0.36114144007463767,Feynman56,x
1.0,1.0,1.0,2.0936916053439356,1.0,1.0,0.5539180864134461,0.5112492719907755,Feynman56,x
1.0,1.0,1.0,2.7258988281004335,1.0,1.0,0.6931682884402983,0.6346221671186307,Feynman56,x
1.0,1.0,1.0,1.6821781788533623,1.0,1.0,0.4671916760260412,0.46068328071094616,Feynman56,x
1.0,1.0,1.0,2.9396015933119575,1.0,1.0,0.7412730864993727,0.6966806292694926,Feynman56,x
1.0,1.0,1.0,1.5681581763944346,1.0,1.0,0.44401149022354086,0.5051896459625543,Feynman56,x
1.0,1.0,1.0,2.2229985223588313,1.0,1.0,0.5819257440660873,0.5787939236068174,Feynman56,x
1.0,1.0,1.0,2.642188800334168,1.0,1.0,0.6744417466041032,0.6609191075145235,Feynman56,x
1.0,1.0,1.0,1.6763575133810158,1.0,1.0,0.46599775506214886,0.3508012332758696,Feynman56,x
1.0,1.0,1.0,2.3557533071616454,1.0,1.0,0.610967214026753,0.5589244384678274,Feynman56,x
1.0,1.0,1.0,2.74088159205722,1.0,1.0,0.6965274170651599,0.6589768331586995,Feynman56,x
1.0,1.0,1.0,2.823810512777704,1.0,1.0,0.7151582355048959,0.6331947020532216,Feynman56,x
1.0,1.0,1.0,2.7865324407940752,1.0,1.0,0.706775490046942,0.7088317458326919,Feynman56,x
1.0,1.0,1.0,2.7631627874597937,1.0,1.0,0.7015268318704256,0.7261068520380605,Feynman56,x
1.0,1.0,1.0,1.758933963568954,1.0,1.0,0.4830335361459266,0.49091294651480377,Feynman56,x
1.0,1.0,1.0,2.1451802833555957,1.0,1.0,0.5650347137335642,0.47848102232978496,Feynman56,x
1.0,1.0,1.0,2.3482929780951904,1.0,1.0,0.609328182229437,0.5669540115717046,Feynman56,x
1.0,1.0,1.0,2.317182541436435,1.0,1.0,0.6025019184309099,0.6063468993910107,Feynman56,x
1.0,1.0,1.0,1.583759383691509,1.0,1.0,0.4471563142615969,0.40963678431317585,Feynman56,x
1.0,1.0,1.0,1.0724982173262294,1.0,1.0,0.35007098285046934,0.36115940596934654,Feynman56,x
1.0,1.0,1.0,2.181952583219704,1.0,1.0,0.5730034049048813,0.6134938174962272,Feynman56,x
1.0,1.0,1.0,1.5823825998744598,1.0,1.0,0.4468784296330984,0.49547738396352137,Feynman56,x
1.0,1.0,1.0,1.588306423837975,1.0,1.0,0.44807455954736475,0.4465121852001204,Feynman56,x
1.0,1.0,1.0,2.164368179661497,1.0,1.0,0.5691898270619409,0.5733657598477716,Feynman56,x
1.0,1.0,1.0,1.2230095767198503,1.0,1.0,0.37714828878901724,0.3797155961627663,Feynman56,x
1.0,1.0,1.0,1.4885872996686562,1.0,1.0,0.4281166598299476,0.5161610796660631,Feynman56,x
1.0,1.0,1.0,2.573405321639144,1.0,1.0,0.6591096714514497,0.6000952332382701,Feynman56,x
1.0,1.0,1.0,2.569662360934087,1.0,1.0,0.6582768592679082,0.7064701406873116,Feynman56,x
1.0,1.0,1.0,1.0459666146689954,1.0,1.0,0.3454653671938469,0.3038653619715388,Feynman56,x
1.0,1.0,1.0,2.680208208970484,1.0,1.0,0.6829381280032815,0.7180171419989139,Feynman56,x
1.0,1.0,1.0,1.5545886770156268,1.0,1.0,0.4412835468142266,0.44108663213405097,Feynman56,x
1.0,1.0,1.0,1.053690066466799,1.0,1.0,0.34680045435596984,0.2797325344555117,Feynman56,x
1.0,1.0,1.0,2.351284045521999,1.0,1.0,0.6099852231344645,0.705288927846931,Feynman56,x
1.0,1.0,1.0,1.2961193380046854,1.0,1.0,0.3908163624223147,0.38735314324677567,Feynman56,x
1.0,1.0,1.0,1.9482716476504014,1.0,1.0,0.5228055875160701,0.495868611083432,Feynman56,x
1.0,1.0,1.0,1.2554768379306298,1.0,1.0,0.3831801831293112,0.3125178546915667,Feynman56,x
1.0,1.0,1.0,2.056204547404302,1.0,1.0,0.5458561788384363,0.5874462989342022,Feynman56,x
1.0,1.0,1.0,1.0617250642612752,1.0,1.0,0.3481943254348294,0.3237052887587858,Feynman56,x
1.0,1.0,1.0,2.999555722195379,1.0,1.0,0.7548375616290843,0.809057953564598,Feynman56,x
1.0,1.0,1.0,1.1344576918736022,1.0,1.0,0.3610305288147695,0.36065974449458926,Feynman56,x
1.0,1.0,1.0,1.950202182710628,1.0,1.0,0.5232156543016331,0.45160323302788286,Feynman56,x
1.0,1.0,1.0,2.6989624026156647,1.0,1.0,0.6871346823213053,0.6627679331091841,Feynman56,x
1.0,1.0,1.0,1.8695307791992337,1.0,1.0,0.5061546832063364,0.5309702997548688,Feynman56,x
1.0,1.0,1.0,1.699468883710705,1.0,1.0,0.4707446367602963,0.5220079397751083,Feynman56,x
1.0,1.0,1.0,2.323813171763544,1.0,1.0,0.603955624893571,0.6090049545199784,Feynman56,x
1.0,1.0,1.0,1.3107013786648367,1.0,1.0,0.39357832383671887,0.40022101582485187,Feynman56,x
1.0,1.0,1.0,1.787075230114869,1.0,1.0,0.48888515920017495,0.5347182314721167,Feynman56,x
1.0,1.0,1.0,2.309728712514257,1.0,1.0,0.6008685128474699,0.6225019921398023,Feynman56,x
1.0,1.0,1.0,1.1500043723332958,1.0,1.0,0.3638230348851007,0.3364398917297802,Feynman56,x
1.0,1.0,1.0,1.6191575711526487,1.0,1.0,0.45432423384925463,0.41268774714433915,Feynman56,x
1.0,1.0,1.0,2.0963043411174,1.0,1.0,0.5544809922085925,0.5551852401175635,Feynman56,x
1.0,1.0,1.0,2.3491957088907807,1.0,1.0,0.6095264695130301,0.6937131214702076,Feynman56,x
1.0,1.0,1.0,1.2051824294266344,1.0,1.0,0.3738632458403029,0.37181165223206514,Feynman56,x
1.0,1.0,1.0,1.9806625052522073,1.0,1.0,0.5296968196689517,0.5974405451901669,Feynman56,x
1.0,1.0,1.0,1.6852142680725768,1.0,1.0,0.467814860174146,0.5015229956207877,Feynman56,x
1.0,1.0,1.0,2.2203753224199296,1.0,1.0,0.5813546829255388,0.5584422305021957,Feynman56,x
1.0,1.0,1.0,1.428885132354723,1.0,1.0,0.41636142646357605,0.47299756408022425,Feynman56,x
1.0,1.0,1.0,1.2880935908669326,1.0,1.0,0.38930113951476836,0.40578570911043516,Feynman56,x
1.0,1.0,1.0,1.643711646065362,1.0,1.0,0.459321908724865,0.4331073798298337,Feynman56,x
1.0,1.0,1.0,1.5107507572096144,1.0,1.0,0.43251882630827093,0.45420709256820374,Feynman56,x
1.0,1.0,1.0,1.0225762810715509,1.0,1.0,0.34145097425164833,0.3527378479094079,Feynman56,x
1.0,1.0,1.0,1.7123156878790822,1.0,1.0,0.4733904874440568,0.430049555866347,Feynman56,x
1.0,1.0,1.0,1.5634611843155626,1.0,1.0,0.443066451077283,0.48231446566512554,Feynman56,x
1.0,1.0,1.0,2.7600610679790045,1.0,1.0,0.7008305914595552,0.6944395830424017,Feynman56,x
1.0,1.0,1.0,1.0825849166126458,1.0,1.0,0.3518360299603697,0.3221952880362416,Feynman56,x
1.0,1.0,1.0,2.7466511622601395,1.0,1.0,0.6978215291601737,0.6848459449122131,Feynman56,x
1.0,1.0,1.0,1.0274409076119029,1.0,1.0,0.3422822461657129,0.29148179085414166,Feynman56,x
1.0,1.0,1.0,1.7525567720415833,1.0,1.0,0.48171062214966964,0.5147705489671998,Feynman56,x
1.0,1.0,1.0,2.9529672114175862,1.0,1.0,0.7442945965858441,0.7552778156846438,Feynman56,x
1.0,1.0,1.0,1.0996781071747352,1.0,1.0,0.3548443909662037,0.25955612311387877,Feynman56,x
1.0,1.0,1.0,1.4546158955750867,1.0,1.0,0.4214088599810558,0.4315406892336272,Feynman56,x
1.0,1.0,1.0,1.1311201939836562,1.0,1.0,0.3604332071432438,0.3781959295066847,Feynman56,x
1.0,1.0,1.0,1.1846753562345274,1.0,1.0,0.37010883423847807,0.4030794182318844,Feynman56,x
1.0,1.0,1.0,1.2450077947300473,1.0,1.0,0.38122841419938447,0.37698413489732585,Feynman56,x
1.0,1.0,1.0,1.0387261066915796,1.0,1.0,0.34421802935564455,0.35242804866259825,Feynman56,x
1.0,1.0,1.0,2.371581564077612,1.0,1.0,0.6144472939828672,0.5653286909878352,Feynman56,x
1.0,1.0,1.0,1.5669930705457127,1.0,1.0,0.4437769932976256,0.4617166792011332,Feynman56,x
1.0,1.0,1.0,1.3268150682329816,1.0,1.0,0.3966435596998201,0.3938007322062611,Feynman56,x
1.0,1.0,1.0,2.973992710050714,1.0,1.0,0.7490505859070753,0.7851346249053341,Feynman56,x
1.0,1.0,1.0,2.8460396477356285,1.0,1.0,0.720162818206654,0.7248231300654758,Feynman56,x
1.0,1.0,1.0,2.688931320847786,1.0,1.0,0.6848896232755152,0.6494632161917063,Feynman56,x
1.0,1.0,1.0,1.2480218251826953,1.0,1.0,0.381789672817869,0.4449831448038457,Feynman56,x
1.0,1.0,1.0,2.1141440273509957,1.0,1.0,0.5583279527456289,0.5836099416376389,Feynman56,x
1.0,1.0,1.0,2.5963877135465934,1.0,1.0,0.6642267360989642,0.7111232397870642,Feynman56,x
1.0,1.0,1.0,2.1042736455224844,1.0,1.0,0.556198755811511,0.5387648910503393,Feynman56,x
1.0,1.0,1.0,2.148927134497303,1.0,1.0,0.5658455730134595,0.5529170509405547,Feynman56,x
1.0,1.0,1.0,2.5061497161458552,1.0,1.0,0.6441700601751236,0.5596297258921066,Feynman56,x
1.0,1.0,1.0,2.4141183213499886,1.0,1.0,0.6238168566640565,0.5927736368087576,Feynman56,x
1.0,1.0,1.0,1.5479048969529903,1.0,1.0,0.4399424240488772,0.438590600403066,Feynman56,x
1.0,1.0,1.0,1.7069962503913234,1.0,1.0,0.47229431013983647,0.4394537044533885,Feynman56,x
1.0,1.0,1.0,1.3676552364267855,1.0,1.0,0.40447223732014315,0.41690727326162813,Feynman56,x
1.0,1.0,1.0,1.14843013927675,1.0,1.0,0.363539521868767,0.32293668003632925,Feynman56,x
1.0,1.0,1.0,1.8103450159109338,1.0,1.0,0.4937404835578957,0.4535883111870527,Feynman56,x
1.0,1.0,1.0,1.084832345715658,1.0,1.0,0.35223033988599795,0.3826984987297955,Feynman56,x
1.0,1.0,1.0,1.6209648591099128,1.0,1.0,0.4546913810431363,0.4726539944801163,Feynman56,x
1.0,1.0,1.0,2.4233773246809025,1.0,1.0,0.6258595822425286,0.5922393687487495,Feynman56,x
1.0,1.0,1.0,1.6497885468967333,1.0,1.0,0.46056193142132307,0.44063556884726834,Feynman56,x
1.0,1.0,1.0,2.2144994496966226,1.0,1.0,0.5800759399829378,0.5633996533968155,Feynman56,x
