epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,1.0,1.5233843888615537,1.0,0.4350370161872376,0.3414596383276093,Feynman56,y
1.0,1.0,1.0,1.0,1.6537649098412637,1.0,0.46137399381628347,0.48282403858706613,Feynman56,y
1.0,1.0,1.0,1.0,2.5363384487644423,1.0,0.6508693622505378,0.6296236159234203,Feynman56,y
1.0,1.0,1.0,1.0,1.9016714843885638,1.0,0.5129333813212389,0.5288784614736544,Feynman56,y
1.0,1.0,1.0,1.0,1.0091402581968725,1.0,0.33916508893844394,0.392487018027897,Feynman56,y
1.0,1.0,1.0,1.0,2.813509974981641,1.0,0.7128406939759337,0.6812913745420143,Feynman56,y
1.0,1.0,1.0,1.0,2.7984108761018534,1.0,0.70944523541787,0.7304024284191039,Feynman56,y
1.0,1.0,1.0,1.0,2.723631996310174,1.0,0.6926602557167241,0.6841917249268871,Feynman56,y
1.0,1.0,1.0,1.0,1.7991541803545203,1.0,0.4914036247109493,0.518598429286308,Feynman56,y
1.0,1.0,1.0,1.0,2.795295482807637,1.0,0.7087449084282681,0.7008074630759463,Feynman56,y
1.0,1.0,1.0,1.0,2.7150859500884295,1.0,0.6907454046227917,0.5875894300943055,Feynman56,y
1.0,1.0,1.0,1.0,2.987323348089089,1.0,0.7520677639035099,0.7755839821605355,Feynman56,y
1.0,1.0,1.0,1.0,1.4254389615257532,1.0,0.4156876529690119,0.45920106043568465,Feynman56,y
1.0,1.0,1.0,1.0,2.971461669463574,1.0,0.7484778797456101,0.7674926268591724,Feynman56,y
1.0,1.0,1.0,1.0,1.85377041584288,1.0,0.5028401051254869,0.5353183815781101,Feynman56,y
1.0,1.0,1.0,1.0,2.2982386790110523,1.0,0.5983522597012622,0.5444880117957118,Feynman56,y
1.0,1.0,1.0,1.0,1.4404901541228647,1.0,0.4186342820950737,0.45811187988172364,Feynman56,y
1.0,1.0,1.0,1.0,2.1298795729919444,1.0,0.5617261093789311,0.5262124998994909,Feynman56,y
1.0,1.0,1.0,1.0,1.1527251529685087,1.0,0.36431343036395325,0.339869938121906,Feynman56,y
1.0,1.0,1.0,1.0,2.9504835211449,1.0,0.7437330120091361,0.7726105612421079,Feynman56,y
1.0,1.0,1.0,1.0,1.6407965114248286,1.0,0.4587274992964235,0.49526070920413984,Feynman56,y
1.0,1.0,1.0,1.0,1.7707928884462987,1.0,0.4854967153423613,0.4816174851728199,Feynman56,y
1.0,1.0,1.0,1.0,2.393172528860827,1.0,0.6192000366326517,0.5981174930077673,Feynman56,y
1.0,1.0,1.0,1.0,2.94243158786914,1.0,0.7419127333810706,0.7677885116614335,Feynman56,y
1.0,1.0,1.0,1.0,1.1852371246003897,1.0,0.37021132690507735,0.3483343723939575,Feynman56,y
1.0,1.0,1.0,1.0,1.4130725132904307,1.0,0.41327428341192074,0.4467702296076356,Feynman56,y
1.0,1.0,1.0,1.0,1.9865597552712224,1.0,0.5309539677456937,0.6004821729256091,Feynman56,y
1.0,1.0,1.0,1.0,1.808403763969157,1.0,0.49333486967487744,0.4887349100627492,Feynman56,y
1.0,1.0,1.0,1.0,1.4917395593572103,1.0,0.42874154426481514,0.44547325823632916,Feynman56,y
1.0,1.0,1.0,1.0,2.1847342435596184,1.0,0.5736071630263111,0.5404308948086296,Feynman56,y
1.0,1.0,1.0,1.0,2.333061706996658,1.0,0.6059843652817176,0.5954887882878597,Feynman56,y
1.0,1.0,1.0,1.0,2.9181001910068396,1.0,0.7364153500415539,0.7783466962611045,Feynman56,y
1.0,1.0,1.0,1.0,2.9577257092605267,1.0,0.7453706711430684,0.7483116575281653,Feynman56,y
1.0,1.0,1.0,1.0,2.3936851423185246,1.0,0.6193129545171929,0.6971198661191614,Feynman56,y
1.0,1.0,1.0,1.0,2.309080790572305,1.0,0.6007265687369384,0.667121071073565,Feynman56,y
1.0,1.0,1.0,1.0,2.0251193247947863,1.0,0.5391922754827039,0.5928339303376806,Feynman56,y
1.0,1.0,1.0,1.0,2.393854740804513,1.0,0.619350314261743,0.6205188138769596,Feynman56,y
1.0,1.0,1.0,1.0,1.6663203328288894,1.0,0.46394151197825967,0.485576180290847,Feynman56,y
1.0,1.0,1.0,1.0,2.13145122673535,1.0,0.5620657651625233,0.5900437590448845,Feynman56,y
1.0,1.0,1.0,1.0,1.6866652343097361,1.0,0.4681127871703815,0.483838356352824,Feynman56,y
1.0,1.0,1.0,1.0,2.2937864856608856,1.0,0.5973777909577782,0.6451325104460056,Feynman56,y
1.0,1.0,1.0,1.0,2.124155229937611,1.0,0.5604893841729053,0.5970806320899469,Feynman56,y
1.0,1.0,1.0,1.0,2.000339159291486,1.0,0.5338943290547961,0.5235574661473097,Feynman56,y
1.0,1.0,1.0,1.0,1.800510783081161,1.0,0.4916867274778225,0.45153990118663356,Feynman56,y
1.0,1.0,1.0,1.0,1.439282963892033,1.0,0.41839757308967196,0.39128421268840674,Feynman56,y
1.0,1.0,1.0,1.0,1.9465225079404294,1.0,0.5224341242362166,0.5177547533936493,Feynman56,y
1.0,1.0,1.0,1.0,1.7259142343388265,1.0,0.47619666634922214,0.42843473762610623,Feynman56,y
1.0,1.0,1.0,1.0,1.0542150435586637,1.0,0.34689137188283975,0.3436103799593371,Feynman56,y
1.0,1.0,1.0,1.0,1.9214255525000272,1.0,0.517112053177096,0.5100271355483432,Feynman56,y
1.0,1.0,1.0,1.0,1.4432016847434859,1.0,0.41916620113538566,0.4119345718234855,Feynman56,y
1.0,1.0,1.0,1.0,1.848250041851278,1.0,0.5016806039257551,0.5113335977510415,Feynman56,y
1.0,1.0,1.0,1.0,1.328924963966561,1.0,0.3970459233226616,0.3921768651388315,Feynman56,y
1.0,1.0,1.0,1.0,1.3175543155458915,1.0,0.3948802556638134,0.43881395997216927,Feynman56,y
1.0,1.0,1.0,1.0,2.458949237601264,1.0,0.6337179423033463,0.6646080205910527,Feynman56,y
1.0,1.0,1.0,1.0,2.6137900647751886,1.0,0.668105298500819,0.6818932754223869,Feynman56,y
1.0,1.0,1.0,1.0,2.850785493497057,1.0,0.721231839565345,0.6683101250389683,Feynman56,y
1.0,1.0,1.0,1.0,2.2414932034714146,1.0,0.5859551691954403,0.5832260265213605,Feynman56,y
1.0,1.0,1.0,1.0,1.3198494056968002,1.0,0.39531683554526076,0.425272773105219,Feynman56,y
1.0,1.0,1.0,1.0,1.8922882167183492,1.0,0.5109517705452322,0.4980340118286074,Feynman56,y
1.0,1.0,1.0,1.0,1.9077660648440007,1.0,0.5142216055861878,0.5199675446022292,Feynman56,y
1.0,1.0,1.0,1.0,1.595452254956998,1.0,0.4495191205459354,0.5261575924913529,Feynman56,y
1.0,1.0,1.0,1.0,1.415238849292917,1.0,0.4136965489361208,0.44151392467317335,Feynman56,y
1.0,1.0,1.0,1.0,1.2017680849565353,1.0,0.3732363162108073,0.34238460075288757,Feynman56,y
1.0,1.0,1.0,1.0,1.3409875354020837,1.0,0.3993507076606407,0.36539733506549177,Feynman56,y
1.0,1.0,1.0,1.0,1.5064944764757138,1.0,0.43167188354162284,0.5417575305686619,Feynman56,y
1.0,1.0,1.0,1.0,1.4313325380261013,1.0,0.4168402524284717,0.4200124416949039,Feynman56,y
1.0,1.0,1.0,1.0,1.7500049488598928,1.0,0.48118159071005107,0.5138604333645402,Feynman56,y
1.0,1.0,1.0,1.0,2.6026980794207337,1.0,0.6656327788987588,0.6503081995853982,Feynman56,y
1.0,1.0,1.0,1.0,2.2981131386753177,1.0,0.598324778078561,0.5641607139011786,Feynman56,y
1.0,1.0,1.0,1.0,1.8698150172744215,1.0,0.5062145190940511,0.5468517240833509,Feynman56,y
1.0,1.0,1.0,1.0,1.814379316692451,1.0,0.4945837534470234,0.5267530164219185,Feynman56,y
1.0,1.0,1.0,1.0,2.091089691750167,1.0,0.5533576418801127,0.5738903186200083,Feynman56,y
1.0,1.0,1.0,1.0,2.9279553347566134,1.0,0.7386414258183022,0.7774766214475756,Feynman56,y
1.0,1.0,1.0,1.0,1.002237695477774,1.0,0.3379965734695741,0.36667416066244335,Feynman56,y
1.0,1.0,1.0,1.0,2.6970333028025517,1.0,0.6867028514381898,0.7346845413824621,Feynman56,y
1.0,1.0,1.0,1.0,1.4756558533187607,1.0,0.42555753449805905,0.5111972326604867,Feynman56,y
