m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,3.4467131328321363,1.0,3.0,1.0,3.0,1.0,0.0714980003054839,0.07242276327796424,Feynman5,x1
1.0,1.0,1.0,3.2198754648381263,1.0,3.0,1.0,3.0,1.0,0.0773524001219206,0.08085104375556725,Feynman5,x1
1.0,1.0,1.0,3.2073014424739217,1.0,3.0,1.0,3.0,1.0,0.07768692067489803,0.0732363834783152,Feynman5,x1
1.0,1.0,1.0,3.3937611577866535,1.0,3.0,1.0,3.0,1.0,0.07283272136864274,0.07472005778491729,Feynman5,x1
1.0,1.0,1.0,3.362597656495704,1.0,3.0,1.0,3.0,1.0,0.07362757634544762,0.0718253708449479,Feynman5,x1
1.0,1.0,1.0,3.064351704354902,1.0,3.0,1.0,3.0,1.0,0.0815557712061742,0.08528750866005592,Feynman5,x1
1.0,1.0,1.0,3.409526861894027,1.0,3.0,1.0,3.0,1.0,0.07243322177611702,0.0777408887381136,Feynman5,x1
1.0,1.0,1.0,3.3838931332175206,1.0,3.0,1.0,3.0,1.0,0.07308367405723172,0.07565898400217408,Feynman5,x1
1.0,1.0,1.0,3.3804241448273906,1.0,3.0,1.0,3.0,1.0,0.07317205714269125,0.0678703831668376,Feynman5,x1
1.0,1.0,1.0,3.5869759910887615,1.0,3.0,1.0,3.0,1.0,0.06806219217276901,0.06882722304013343,Feynman5,x1
1.0,1.0,1.0,3.8208370572479984,1.0,3.0,1.0,3.0,1.0,0.06266794341600673,0.06394781480444083,Feynman5,x1
1.0,1.0,1.0,3.135912224710829,1.0,3.0,1.0,3.0,1.0,0.07960439144623711,0.08377947343275746,Feynman5,x1
1.0,1.0,1.0,3.0184257527916714,1.0,3.0,1.0,3.0,1.0,0.08282230233844738,0.08034636454154499,Feynman5,x1
1.0,1.0,1.0,3.6118567532948256,1.0,3.0,1.0,3.0,1.0,0.06746820832364434,0.06661148847775374,Feynman5,x1
1.0,1.0,1.0,3.464398861079865,1.0,3.0,1.0,3.0,1.0,0.07105673283233617,0.06951292608601646,Feynman5,x1
1.0,1.0,1.0,3.1948310598042027,1.0,3.0,1.0,3.0,1.0,0.07801965285998398,0.08117645844386841,Feynman5,x1
1.0,1.0,1.0,3.4392890555605278,1.0,3.0,1.0,3.0,1.0,0.07168391415657357,0.07377567995888049,Feynman5,x1
1.0,1.0,1.0,3.6834757988143814,1.0,3.0,1.0,3.0,1.0,0.06578496238164046,0.06932802686850427,Feynman5,x1
1.0,1.0,1.0,3.65483972732723,1.0,3.0,1.0,3.0,1.0,0.06645324552172241,0.06439359963328437,Feynman5,x1
1.0,1.0,1.0,3.013665738032738,1.0,3.0,1.0,3.0,1.0,0.08295416571012679,0.08318085099724568,Feynman5,x1
1.0,1.0,1.0,3.511437787882288,1.0,3.0,1.0,3.0,1.0,0.06989429303368266,0.07038997708823412,Feynman5,x1
1.0,1.0,1.0,3.2301227554881686,1.0,3.0,1.0,3.0,1.0,0.07708051384565136,0.07531348851696071,Feynman5,x1
1.0,1.0,1.0,3.898036109152455,1.0,3.0,1.0,3.0,1.0,0.060980766014694994,0.06152710444454757,Feynman5,x1
1.0,1.0,1.0,3.389817649747946,1.0,3.0,1.0,3.0,1.0,0.07293292554805082,0.07179298915554702,Feynman5,x1
1.0,1.0,1.0,3.083014382992263,1.0,3.0,1.0,3.0,1.0,0.0810441802217986,0.08440123453686124,Feynman5,x1
1.0,1.0,1.0,3.5123269177166154,1.0,3.0,1.0,3.0,1.0,0.06987247868052301,0.07239911314767968,Feynman5,x1
1.0,1.0,1.0,3.0306989880339876,1.0,3.0,1.0,3.0,1.0,0.08248280923394632,0.08403773848623582,Feynman5,x1
1.0,1.0,1.0,3.4992334435710175,1.0,3.0,1.0,3.0,1.0,0.07019431566827881,0.07019788177765299,Feynman5,x1
1.0,1.0,1.0,3.1005463194440686,1.0,3.0,1.0,3.0,1.0,0.08056527925576772,0.08085710728634056,Feynman5,x1
1.0,1.0,1.0,3.48962532403009,1.0,3.0,1.0,3.0,1.0,0.07043129322328354,0.07231043707566764,Feynman5,x1
1.0,1.0,1.0,3.240227522089009,1.0,3.0,1.0,3.0,1.0,0.07681306082156138,0.07661972353669742,Feynman5,x1
1.0,1.0,1.0,3.0489741966796733,1.0,3.0,1.0,3.0,1.0,0.08197866823154142,0.08364967052598574,Feynman5,x1
1.0,1.0,1.0,3.435501920696795,1.0,3.0,1.0,3.0,1.0,0.07177890578093986,0.07258912560130663,Feynman5,x1
1.0,1.0,1.0,3.508234647344976,1.0,3.0,1.0,3.0,1.0,0.06997292934681633,0.07110424450771241,Feynman5,x1
1.0,1.0,1.0,3.456639558409352,1.0,3.0,1.0,3.0,1.0,0.07125004974708073,0.07528496648988289,Feynman5,x1
1.0,1.0,1.0,3.7955274533498575,1.0,3.0,1.0,3.0,1.0,0.06323121468845228,0.05829016220389056,Feynman5,x1
1.0,1.0,1.0,3.209494713749773,1.0,3.0,1.0,3.0,1.0,0.07762849969901792,0.0758760425803862,Feynman5,x1
