m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,3.0,1.0,3.3950011052051017,1.0,3.0,1.0,0.07280123722802484,0.0697691393851863,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.1409445212599527,1.0,3.0,1.0,0.07946824022157885,0.08069333549713999,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.2424521179789343,1.0,3.0,1.0,0.07675426771116271,0.07512384539137498,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.0330628815800282,1.0,3.0,1.0,0.08241750534051527,0.08344123801866879,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.462517146093657,1.0,3.0,1.0,0.07110357377933743,0.07116947938857515,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.2909092645337052,1.0,3.0,1.0,0.07548158045609125,0.07414019526534243,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.6503602284033776,1.0,3.0,1.0,0.06655835696099802,0.06706825182419703,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.633594319714668,1.0,3.0,1.0,0.06695314112109138,0.07311783916404044,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.3851543645312696,1.0,3.0,1.0,0.07305156139822633,0.07686410649094877,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.6103537516769943,1.0,3.0,1.0,0.06750395553938432,0.07133608230868203,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.6516515245880363,1.0,3.0,1.0,0.06652804082262714,0.06477564980034277,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.973951579389692,1.0,3.0,1.0,0.059366953563676654,0.05809986769611311,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.9600272274991477,1.0,3.0,1.0,0.059659601924383694,0.06340425652435505,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.0068048277385877,1.0,3.0,1.0,0.08314441801442388,0.08233164520580862,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.7593978487681072,1.0,3.0,1.0,0.06404395367164332,0.06248601821407985,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.9516403970052894,1.0,3.0,1.0,0.059836594518179166,0.06221458150710851,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.971234073473183,1.0,3.0,1.0,0.059423949277111775,0.05830432190171761,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.5295027468906386,1.0,3.0,1.0,0.06945223782219949,0.0694203350034754,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.9898900641658464,1.0,3.0,1.0,0.05903381969888907,0.06303446555687012,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.4910547588506575,1.0,3.0,1.0,0.07039599388111924,0.06768773813738505,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.2290071230684116,1.0,3.0,1.0,0.07711008219054749,0.07208541382868713,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.663870983454444,1.0,3.0,1.0,0.06624179788477728,0.07074170393965848,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.2518988672709166,1.0,3.0,1.0,0.07650495668776161,0.07516929691396755,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.2432680332565713,1.0,3.0,1.0,0.07673271210092518,0.07649222432813212,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.918699426234238,1.0,3.0,1.0,0.06053706178128244,0.06040581625878126,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.3766489993409077,1.0,3.0,1.0,0.07326833692973146,0.07538003832019549,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.264179535157651,1.0,3.0,1.0,0.07618171765863176,0.07652565089492373,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.735487484768496,1.0,3.0,1.0,0.06458741779331818,0.06389101807124531,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.6236284589057064,1.0,3.0,1.0,0.06718883007781354,0.06977809809219485,Feynman5,y1
1.0,1.0,1.0,3.0,1.0,3.4841829848321404,1.0,3.0,1.0,0.07056582805952409,0.06982791220808032,Feynman5,y1
