p_d,Ef,t,h,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
2.0,2.5149692259729184,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.4777131898262466,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.6368014063016096,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.136072828472475,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.8169115930436344,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.4182672028541243,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1195451705048134,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1489185645514919,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.4770121369186338,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.607972954529433,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.7254199537670551,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.6084597237130653,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1886613935006995,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.8992235604394445,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.68991312164019,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.9707180732195377,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.1230357495631687,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.655671017481055,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.3553808129842242,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.8593884277305763,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5895614842584262,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5662123183834862,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5446424993334464,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.9150617776870074,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.0177580846535625,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1826026534446743,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.2019279219154635,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.8569644309349593,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.7751093945880028,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.250796145969819,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.644739700612571,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.621256396208188,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.320092626516156,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.6156721367131555,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.7237948790074475,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.9176845197706855,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.87621964764376,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.7616440120507195,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.505133327290787,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.3430155833940927,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.280711618721551,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5952426922471001,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.3322994717285879,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1378331586247359,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5856887549075416,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5289528857056682,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.589847386257632,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.1885049656987805,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.708760389479278,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.7495906675099553,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.8434156089427283,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.6224014493521444,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.838988698324288,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.4732072217630074,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.380689451500518,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.979979449859116,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.7218506715777067,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.9554436142690308,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.606226542288915,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.7021438968924194,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.1375427651946026,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.690503093567836,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.658452287278482,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.023704655325314,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.6976144093352223,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.2131596812158096,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.2691179738106326,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.5881119643250654,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,2.8478074016667936,2.0,2.0,3.0,3.0,,,Feynman90,Ef
2.0,1.4722029941471035,2.0,2.0,3.0,3.0,,,Feynman90,Ef
