p_d,Ef,t,h,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
2.0,2.0,2.0,1.5454126254213647,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.2610718447883675,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.941271488030389,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.9998842589934718,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.776702123704705,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.0600032536698274,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.900904473878164,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.0168040493746737,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.7527069117242404,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.636251724697547,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.111232486820249,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.8300817925028416,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.8747092370607943,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.3813609355737253,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.0862232686362696,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.5161381568025534,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.8301373336347815,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.156906048331881,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.8015397188532773,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.1469828884231206,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.5580097979195562,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.0295904321233198,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.725937109444561,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.547379226800678,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.9951329047935724,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.0122108454353276,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.7314951386950805,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.8966383027936995,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4684422101565233,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.1594061730893088,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.3166597568255036,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.6258968383534924,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.5231051247435061,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.2257009320601258,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.7872382613957551,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4889269187628653,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4307947929624236,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4059965360038076,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.8403229900163915,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.8849548873304363,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.3152028239725995,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4862090990580825,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.7204945775205673,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.538769318758856,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.8264175218912193,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.261744923482942,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.1381248511323996,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.6123984590051605,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.8164059334723393,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.298618153482336,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.5247803244409086,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.9412814838376193,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.2749997517356553,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.7927790962889953,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.4385284769964137,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.38287981652897,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.65016579725641,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.6799971274892713,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.76185388662702,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.6125398949536114,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.566686823709752,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.0057986771137204,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.1500182390557434,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.414155818547381,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,2.6876260255705384,3.0,3.0,,,Feynman90,h
2.0,2.0,2.0,1.450354467609802,3.0,3.0,,,Feynman90,h
