p_d,Ef,t,h,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
2.6305723637564986,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.323626477179085,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.1500884006521614,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.3867222930681105,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.940392653619616,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.9804426418001315,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.0974895921251395,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.9397385113539491,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.8214063158721796,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.7129329547326684,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.350443952487796,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.383296235313682,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.4534681415765403,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.3249303491743856,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.175574834160172,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.464714214150513,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.985167000489083,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
2.532158518038622,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.0991833677979908,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.8983040080891427,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.8064257648790505,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.3637923850061662,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
1.2049182485974144,2.0,2.0,2.0,3.0,3.0,,,Feynman90,p_d
