p_d,Ef,t,h,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
2.0,2.0,2.8197402141915733,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.091143030020214,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.3015779653329154,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.592551390128698,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.15928159289559,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.0256654674653325,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0521412299706157,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.464387144636202,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.8027716717403115,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.672840898837398,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.557687433367505,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.9240966934379606,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.64004229661626,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.3744892010789593,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5928302342384164,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.6805664187932527,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.8547323214362825,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.492193292845519,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.6935278877323623,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.3570198938822893,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.062478518620647,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.846016315748944,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.1733996771089916,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0166998018011446,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.1945341418366215,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.7213861779638913,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.8793386280656117,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.3080958654584276,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.501752677675378,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.156620792872932,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2199314091677025,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.215718515064279,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2124475043488114,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.574943907965589,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.107928768984695,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.524127255724246,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.3763989955142106,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.507458641117938,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.6386007225379933,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.6170302620543657,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.8125728168257818,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5354446172789227,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.363531938728791,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.7983941770052425,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.0738915642415203,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.036183833229428,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.5389482139913304,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.1818481822172373,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.0925003250781578,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.3547365790104524,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.6568724983053253,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.0346636605434256,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5843941576693377,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2146708036710396,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.514271879863418,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.9740030417234395,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0157498238741605,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.6816939165901084,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.455311740975565,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.010618305001068,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.866819274454175,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.7885335372838256,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.607994678376867,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.655727656442238,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.8158137369814007,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.3803291290038717,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.916420027366284,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.7784605158353979,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.7738781491757627,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.647931669392302,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.8890986923187614,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2651276677228915,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.5582785672991446,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.9162872319765123,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2367113428105574,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.1340343011561786,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.7394730436943935,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.257155752015639,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.370875917506857,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0847496635999576,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.716213919097261,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.760955068041841,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.2355433683058155,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.999441950109991,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.7896609234399647,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.58934864246794,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.8657461421998518,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5217297454569727,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.909568133625507,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2238191078324367,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0847432394389873,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.011578107562799,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5196522546162683,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2764796962020788,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.3932526841167545,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.1770095505551519,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.0278117255223576,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.7830437843462288,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.519223873690135,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.535837258601451,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.27342216365853,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.583180011125456,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.0077282539766292,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.9540947708595071,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.2837193799704796,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.5230787571976725,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.064612197660522,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,2.247804023114252,2.0,3.0,3.0,,,Feynman90,t
2.0,2.0,1.5102983927689575,2.0,3.0,3.0,,,Feynman90,t
