mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,4.0344054166297205,1.0,4.275093807828225,3.8652796920701378,Feynman91,By
1.0,1.0,1.513948924943406,1.0,2.071724245003976,2.531320655277357,Feynman91,By
1.0,1.0,3.7160167064903513,1.0,3.976025674327996,3.699400289985197,Feynman91,By
1.0,1.0,1.616127270388405,1.0,2.1475258680847307,2.1295143747103333,Feynman91,By
1.0,1.0,3.0398588174200865,1.0,3.3527215258423486,3.0460637314714645,Feynman91,By
1.0,1.0,3.7860052187661473,1.0,4.041514012907106,4.600477807086353,Feynman91,By
1.0,1.0,1.6612347586449836,1.0,2.1816738810670713,1.9946682949614567,Feynman91,By
1.0,1.0,3.9834660885245867,1.0,4.227055958752541,4.1791569739309375,Feynman91,By
1.0,1.0,3.4968195788930614,1.0,3.771968606355287,3.650752090989965,Feynman91,By
1.0,1.0,1.1883283798591346,1.0,1.8471936385713967,1.7069702597451728,Feynman91,By
1.0,1.0,1.9229786820952066,1.0,2.387016340914452,2.937340756983241,Feynman91,By
1.0,1.0,2.1614353006492175,1.0,2.5829832672498236,2.4152064874916777,Feynman91,By
1.0,1.0,4.495646390439806,1.0,4.7128374115679454,5.100244368582822,Feynman91,By
1.0,1.0,3.2719160939630076,1.0,3.5644683931736787,3.8063505191945883,Feynman91,By
1.0,1.0,3.102724034951162,1.0,3.4098235199293847,3.287374067097667,Feynman91,By
1.0,1.0,3.1014642089820206,1.0,3.408677197916586,3.5035730083712058,Feynman91,By
1.0,1.0,3.3643706428176103,1.0,3.64951912205608,3.2542473684366966,Feynman91,By
1.0,1.0,1.7452334428116285,1.0,2.2462946756621514,2.4785082384479535,Feynman91,By
1.0,1.0,1.917316543454687,1.0,2.3824572877189274,2.3527673153455564,Feynman91,By
1.0,1.0,3.284241955771584,1.0,3.575785958925724,3.66012496997416,Feynman91,By
1.0,1.0,4.552750945026345,1.0,4.76734110038691,4.6121929312428325,Feynman91,By
1.0,1.0,3.058326312599984,1.0,3.36947471193084,3.5763497460729323,Feynman91,By
1.0,1.0,3.3468832462341886,1.0,3.6334043903649236,3.4838279204713123,Feynman91,By
1.0,1.0,3.831826994359554,1.0,4.084470359141142,3.553395518451685,Feynman91,By
1.0,1.0,4.510149757877615,1.0,4.726674395225834,4.9044968132684055,Feynman91,By
1.0,1.0,2.9908524315774194,1.0,3.3083528027513274,3.0268759416701796,Feynman91,By
1.0,1.0,3.681881038602006,1.0,3.9441409688824494,3.586683831962567,Feynman91,By
1.0,1.0,4.759598304453051,1.0,4.965256893631221,5.140880920106943,Feynman91,By
1.0,1.0,1.8194419908728063,1.0,2.304423823464599,2.939892381539547,Feynman91,By
1.0,1.0,3.824752592847281,1.0,4.07783427771311,4.072637084515696,Feynman91,By
1.0,1.0,1.7832022051314778,1.0,2.275919617294461,2.16727809727538,Feynman91,By
1.0,1.0,4.000761955719501,1.0,4.243359073462028,4.354180897233227,Feynman91,By
1.0,1.0,4.292247756833092,1.0,4.519224580172876,4.469395392463864,Feynman91,By
1.0,1.0,3.1822805067682296,1.0,3.482371207059503,3.5666522315488356,Feynman91,By
