sigma,theta,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,2.282965333527018,0.029454638111046018,0.017956916309636195,Feynman2,theta,0.044124912559963245
1.0,1.019100082294782,0.23734962306797366,0.2425146601378842,Feynman2,theta,0.19537846648203044
1.0,1.3412490321834205,0.16228308728834637,0.12106779974332484,Feynman2,theta,0.15682516686321676
1.0,1.307012670258081,0.16980923937375306,0.2218658482377598,Feynman2,theta,0.16092241660371656
1.0,1.8052642488006398,0.0782045039982781,0.10945496155953587,Feynman2,theta,0.10129396919407717
1.0,2.632628351867356,0.012471558430347127,-0.027037882032231855,Feynman2,theta,0.0022788611903758953
1.0,2.355170366452539,0.02491333041548745,0.032749912014057254,Feynman2,theta,0.03548374836102667
1.0,2.2158315547275866,0.034256009402139444,0.048565457575109564,Feynman2,theta,0.05215917258514803
1.0,1.5239725947206975,0.1249071312336896,0.10442343320380466,Feynman2,theta,0.13495765467796816
1.0,2.977946877477883,0.004733822157117573,-0.023086101053466812,Feynman2,theta,-0.03904726007359908
1.0,2.347546548235453,0.02536396200155006,-0.01535220232925456,Feynman2,theta,0.036396131641945224
1.0,1.5701968584298178,0.11628657965452069,0.10829579143820905,Feynman2,theta,0.12942574831051387
1.0,2.567827140121583,0.014760410567399932,0.0002718891368223616,Feynman2,theta,0.010033970131106282
1.0,1.1808205459233174,0.19867059763208017,0.17088564005008142,Feynman2,theta,0.1760245075823453
1.0,1.2377674990511571,0.18544949019645993,0.14866645628412523,Feynman2,theta,0.16920935905845863
1.0,2.6817113857657535,0.010946598486534521,-0.024458603173285097,Feynman2,theta,-0.003595168982293559
1.0,2.30111127194825,0.028254710945821635,-0.010260999457766967,Feynman2,theta,0.041953290617812895
1.0,1.1902770907241453,0.19645570173392035,0.19220547426932955,Feynman2,theta,0.1748927919427149
1.0,1.4911047454429662,0.1312521214587309,0.13249367077167865,Feynman2,theta,0.1388911270750789
1.0,1.904008045042809,0.0651175063613055,0.06803059587745323,Feynman2,theta,0.08947676810395233
1.0,2.6792240847955044,0.011019824714833594,0.04963923985562531,Feynman2,theta,-0.0032975003225577566
