sigma,theta,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,2.282965333527018,0.029454638111046018,0.017956916309636195,Feynman2,theta,0.04439217661945195
1.0,1.019100082294782,0.23734962306797366,0.2425146601378842,Feynman2,theta,0.1945500440443537
1.0,1.3412490321834205,0.16228308728834637,0.12106779974332484,Feynman2,theta,0.15627602704529459
1.0,1.307012670258081,0.16980923937375306,0.2218658482377598,Feynman2,theta,0.1603435960754521
1.0,1.8052642488006398,0.0782045039982781,0.10945496155953587,Feynman2,theta,0.101147099731305
1.0,2.632628351867356,0.012471558430347127,-0.027037882032231855,Feynman2,theta,0.0028492576946426425
1.0,2.355170366452539,0.02491333041548745,0.032749912014057254,Feynman2,theta,0.0358136090099762
1.0,2.2158315547275866,0.034256009402139444,0.048565457575109564,Feynman2,theta,0.05236823643665632
1.0,1.5239725947206975,0.1249071312336896,0.10442343320380466,Feynman2,theta,0.13456692422540203
1.0,2.977946877477883,0.004733822157117573,-0.023086101053466812,Feynman2,theta,-0.038177498312699606
1.0,2.347546548235453,0.02536396200155006,-0.01535220232925456,Feynman2,theta,0.03671938298851683
1.0,1.5701968584298178,0.11628657965452069,0.10829579143820905,Feynman2,theta,0.12907509123103705
1.0,2.567827140121583,0.014760410567399932,0.0002718891368223616,Feynman2,theta,0.010548188754423354
1.0,1.1808205459233174,0.19867059763208017,0.17088564005008142,Feynman2,theta,0.17533628657699138
1.0,1.2377674990511571,0.18544949019645993,0.14866645628412523,Feynman2,theta,0.16857050742243287
1.0,2.6817113857657535,0.010946598486534521,-0.024458603173285097,Feynman2,theta,-0.0029822211196455575
1.0,2.30111127194825,0.028254710945821635,-0.010260999457766967,Feynman2,theta,0.04223628590900829
1.0,1.1902770907241453,0.19645570173392035,0.19220547426932955,Feynman2,theta,0.17421276915899125
1.0,1.4911047454429662,0.1312521214587309,0.13249367077167865,Feynman2,theta,0.13847190236641538
1.0,1.904008045042809,0.0651175063613055,0.06803059587745323,Feynman2,theta,0.08941550275577635
1.0,2.6792240847955044,0.011019824714833594,0.04963923985562531,Feynman2,theta,-0.0026867087653976913
1.0,2.9364835863780456,0.005351349752332053,-0.020578001201507806,Feynman2,theta,-0.0332513093247959
1.0,2.48611786643486,0.018145556737225413,0.028076644206771213,Feynman2,theta,0.02025594034925385
1.0,2.5747427980526085,0.014500258947503368,-0.020884703009427755,Feynman2,theta,0.009726550203792423
1.0,1.2601479896853565,0.18033753111751802,0.20787084150605503,Feynman2,theta,0.16591151605462504
1.0,1.0558074073986154,0.22848078274351336,0.1975510981923583,Feynman2,theta,0.19018890366946364
1.0,1.7181717670442493,0.09117307609548016,0.12873745473268844,Feynman2,theta,0.11149442217367647
1.0,1.1003687197557364,0.21776382110436437,0.2280642818527912,Feynman2,theta,0.18489464325549174
1.0,1.5280443935300727,0.1241334146088305,0.0963812751420142,Feynman2,theta,0.1340831601311798
1.0,1.6306223792373737,0.10556765995508458,0.1278538568303139,Feynman2,theta,0.12189602894595487
1.0,2.0783542220403417,0.04601827543436913,0.05553388776867588,Feynman2,theta,0.06870170451438823
1.0,1.0658896296524076,0.2260500408555069,0.21294955464420834,Feynman2,theta,0.1889910504786102
1.0,1.9038762225113854,0.06513385176512593,0.03911476567240693,Feynman2,theta,0.08943116438584456
1.0,2.9743679492000705,0.004784513735965007,0.012138196291871241,Feynman2,theta,-0.037752291422669074
1.0,1.6210719811087586,0.10721965297339628,0.11636772036004907,Feynman2,theta,0.12303069691463736
1.0,2.667161016933301,0.011380971574319216,0.0340349064701469,Feynman2,theta,-0.0012535144608251264
1.0,1.947181189176054,0.05992294303276432,0.09557554226555988,Feynman2,theta,0.08428616860872022
1.0,1.5594413296926795,0.1182602986078165,0.14398748418124363,Feynman2,theta,0.13035293889834193
1.0,1.01616004605639,0.2380608054623911,0.2623152841277177,Feynman2,theta,0.1948993451910756
1.0,1.641017668287249,0.1037876777231537,0.08452692051132388,Feynman2,theta,0.12066098079957349
1.0,2.050108784248728,0.04878113850740294,0.03461825437005741,Feynman2,theta,0.07205750105796732
1.0,1.3591313865353436,0.15841175426485854,0.1703900834039431,Feynman2,theta,0.1541514522776832
1.0,2.8456880983863204,0.006957681973779975,-0.020113795988419794,Feynman2,theta,-0.022464038891955272
1.0,1.1681575036003498,0.2016474285451843,0.1970791490843801,Feynman2,theta,0.1768407629919957
1.0,1.1244687426656492,0.21200328485720535,0.20229573944695853,Feynman2,theta,0.18203135691215727
1.0,2.5282439936791588,0.016326799519484583,0.023728834061314062,Feynman2,theta,0.015251000753398629
1.0,1.0121607688435739,0.23902831907948371,0.2538721461043269,Feynman2,theta,0.19537449311558916
1.0,2.588539692083803,0.01399286948030278,-0.020493202253787,Feynman2,theta,0.008087362707251643
1.0,2.3761331989581214,0.023707993178175596,0.019109015630497654,Feynman2,theta,0.0333230475026206
1.0,2.478987266369105,0.01846963093903287,0.0170753419140642,Feynman2,theta,0.021103115842864242
1.0,1.9033363472949962,0.06520082487504575,0.04008765238220621,Feynman2,theta,0.08949530612118277
1.0,1.680442450578183,0.09720997512317506,0.1330984236739344,Feynman2,theta,0.1159769836530177
1.0,1.936364773904829,0.06119481581149139,0.03276073375985721,Feynman2,theta,0.08557125009355891
1.0,1.5434690449856154,0.1212274337825833,0.1544467100347896,Feynman2,theta,0.13225058124237443
1.0,1.7980717934912205,0.0792245050771172,0.08844379975619152,Feynman2,theta,0.10200162417053907
1.0,2.1750660226594185,0.03746325718737501,0.013443769754542683,Feynman2,theta,0.057211525890724854
1.0,2.9909743434882,0.004553303366126657,0.026687156784580182,Feynman2,theta,-0.039725271242366925
1.0,1.1963350516391165,0.1950406440532418,0.20900936149537594,Feynman2,theta,0.17349303222049797
1.0,1.027659906110201,0.23527953184467712,0.2746741487415508,Feynman2,theta,0.19353306464974193
1.0,2.623121219074085,0.012787067144330654,-0.003333155255648892,Feynman2,theta,0.003978785336315644
1.0,2.3708249948913886,0.02400857762594869,0.02138293373546673,Feynman2,theta,0.033953706966919926
1.0,1.1752856714411202,0.19997023711119868,0.25693023408502136,Feynman2,theta,0.17599387642823316
1.0,2.8402816438445497,0.00706545091300954,0.018851162065415955,Feynman2,theta,-0.021821706452172723
1.0,2.462591257899545,0.01923321811043066,0.014602634465567161,Feynman2,theta,0.023051100086276095
1.0,1.1185289592018288,0.21342025061978295,0.19415338608831745,Feynman2,theta,0.18273705337279744
1.0,2.357699696617069,0.024765283561446787,-0.005891990491314697,Feynman2,theta,0.035513103229207844
1.0,1.4631769784014288,0.13677993366794597,0.155648948526271,Feynman2,theta,0.14178995701062747
1.0,1.0318611687435826,0.23426384197873734,0.21094205268155902,Feynman2,theta,0.19303391915087748
1.0,2.2262170258257568,0.03347489057582643,0.08866505667819533,Feynman2,theta,0.05113435477123198
1.0,1.8952883148116006,0.06620512306561269,0.051091939459358346,Feynman2,theta,0.0904514803517277
1.0,2.346487987708023,0.025427056091363722,-0.006877365541383965,Feynman2,theta,0.03684514891751724
1.0,2.3420800513340545,0.02569116766856277,0.04218998194344502,Feynman2,theta,0.03736884897881268
1.0,2.6332937863371146,0.012449726604561543,0.014182192133817623,Feynman2,theta,0.0027701984615884426
1.0,2.186025129958747,0.03657861614658415,0.01534481756754898,Feynman2,theta,0.05590949139874684
1.0,1.2417239885739617,0.1845420800962312,0.18880524136132415,Feynman2,theta,0.16810044304076555
1.0,2.001152287671017,0.053866647766639984,0.055970294636216014,Feynman2,theta,0.07787394629899748
1.0,2.9127982810630972,0.005735183993875596,0.026778749625597245,Feynman2,theta,-0.03043729511474536
1.0,2.1889252625058013,0.036347297091955215,0.03588497901465969,Feynman2,theta,0.05556493116190292
1.0,1.7708082652373414,0.08317408239820707,0.10675917048064786,Feynman2,theta,0.10524076160060232
1.0,2.6854852503988127,0.010836295897272087,0.02809935658273796,Feynman2,theta,-0.0034305880987708474
1.0,1.9070003110909046,0.06474727744583449,0.0690654263098898,Feynman2,theta,0.08905999627746575
1.0,2.2865375152383054,0.02921522102618769,0.02931329794240361,Feynman2,theta,0.04396777126820608
1.0,2.7554161448305057,0.008958991637366189,0.07118518154694453,Feynman2,theta,-0.011738968735633829
1.0,1.8138245244273914,0.07700243487217899,0.10552679805148885,Feynman2,theta,0.10013006668585334
1.0,2.4775444191978107,0.018535792103211615,-0.008481150476014453,Feynman2,theta,0.021274538269231914
1.0,1.8546889422037207,0.07144166264552801,0.103116665828618,Feynman2,theta,0.09527502871304645
1.0,2.9147405117064205,0.0057028190370531084,0.04200914013759728,Feynman2,theta,-0.030668048510528435
1.0,2.240707857969611,0.032408829250104805,-0.0302129088061086,Feynman2,theta,0.049412721547064165
1.0,1.5598091769450988,0.11819247167566625,0.11137794975265655,Feynman2,theta,0.13030923553749355
1.0,1.0562454158853944,0.2283751237312879,0.24935803675630175,Feynman2,theta,0.19013686456038714
1.0,1.7157884170968032,0.09154693573867757,0.10836794023396412,Feynman2,theta,0.11177758427838039
1.0,2.2407846721046774,0.032403251490489504,0.01411848726032,Feynman2,theta,0.04940359537917613
1.0,2.756005961913055,0.008944441829438229,0.03663796109905905,Feynman2,theta,-0.011809043984373678
1.0,1.2810223298492973,0.17561737819901416,0.17743508884531334,Feynman2,theta,0.16343146808921238
1.0,1.8459948678604428,0.07260023942526074,0.0986515981253613,Feynman2,theta,0.09630795817461854
1.0,1.89241699776921,0.06656611731426271,0.06927607097818077,Feynman2,theta,0.09079261706680056
1.0,2.0945122302362,0.04449273887335231,0.0714771626936101,Feynman2,theta,0.06678199668714295
