lambd,d,n,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,2.0,4.057220386998107,0.12355117436846472,0.1127422437217747,Feynman31,n,0.13292135302744068
1.0,2.0,1.130726514328734,0.4580428796199521,0.4617431535956994,Feynman31,n,0.40208965240587213
1.0,2.0,3.176511862419403,0.15806270881179657,0.1393810974304555,Feynman31,n,0.16118188974169367
1.0,2.0,2.6578419639663844,0.18925021211550402,0.1705130604634162,Feynman31,n,0.1902705070042661
1.0,2.0,2.5916685791361114,0.19414320035752994,0.1734971458024152,Feynman31,n,0.1950231405564654
1.0,2.0,4.390826248578691,0.11412133606710947,0.07542102005690632,Feynman31,n,0.12559239001206934
1.0,2.0,3.612804206002572,0.13884230190633584,0.1391781117930757,Feynman31,n,0.14492514386975386
1.0,2.0,1.3171082735600632,0.3893849867756546,0.43209712554832325,Feynman31,n,0.3613403041424683
1.0,2.0,3.058773405851371,0.16420108787891485,0.1918221773168675,Feynman31,n,0.1666809336368614
1.0,2.0,3.7433280388982517,0.1339713824019786,0.12253279981781869,Feynman31,n,0.14103463950809925
1.0,2.0,4.993714884795754,0.10029391654164845,0.165968319444932,Feynman31,n,0.11393420415752868
1.0,2.0,4.301298335125061,0.11650737028958652,0.15177194263550378,Feynman31,n,0.12746673354518648
1.0,2.0,1.084251054897397,0.47928832946259975,0.4646290261903081,Feynman31,n,0.41310324458310793
1.0,2.0,4.824698318617525,0.10381982680451628,0.10732812343770688,Feynman31,n,0.11708624817772462
1.0,2.0,1.8092662532629866,0.2799994543117323,0.23014359974652096,Feynman31,n,0.27691637311166056
1.0,2.0,2.9074896324008894,0.17282876767179162,0.19931804099790798,Feynman31,n,0.17462488800829404
1.0,2.0,3.615403237076473,0.13874184570159467,0.12841340442188473,Feynman31,n,0.14484406186908466
1.0,2.0,2.3219425245323815,0.21703685214335403,0.20872368885524473,Feynman31,n,0.21746658643262703
1.0,2.0,2.609056422111002,0.1928330126234011,0.17850663040556222,Feynman31,n,0.19374768578597348
1.0,2.0,2.875158819298844,0.17479212803460897,0.2110288984242492,Feynman31,n,0.17646332415570995
1.0,2.0,1.4896958279894035,0.34228348601240605,0.3025312342247581,Feynman31,n,0.3281555738289807
1.0,2.0,2.1997745042515486,0.2293001267332991,0.2307536434698259,Feynman31,n,0.22945325267467898
1.0,2.0,4.241170743281143,0.11816678565951225,0.15067699474437438,Feynman31,n,0.12875915116966863
1.0,2.0,3.0202042035445418,0.1663174245010515,0.11830597334800563,Feynman31,n,0.16860769424911967
1.0,2.0,3.3578035004842657,0.1494627232517412,0.15193841679360312,Feynman31,n,0.15372203087466002
1.0,2.0,4.937996052941299,0.10142947726206285,0.05696654918600745,Feynman31,n,0.11496616084448605
1.0,2.0,3.443213719320684,0.14572842893910545,0.1520589652954684,Feynman31,n,0.15057677314926549
1.0,2.0,4.18325118136132,0.11981069303836803,0.08041336825413267,Feynman31,n,0.13003332806313478
1.0,2.0,4.761611114925977,0.10520041235088248,0.11098274278918263,Feynman31,n,0.11828068347940535
