epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.5302473867084654,1.0,1.0,3.0,0.15326109648225164,0.148636058684132,Feynman33,Ef,0.15104733144632004
1.0,1.0,1.4957314827997812,1.0,1.0,3.0,0.1464252267565107,0.12066660634759535,Feynman33,Ef,0.14432100954437319
1.0,1.0,1.8890671563767683,1.0,1.0,3.0,0.23356266933805728,0.20350110034264535,Feynman33,Ef,0.2344129904888646
1.0,1.0,1.4874167730995356,1.0,1.0,3.0,0.1448018079843479,0.13987385935556704,Feynman33,Ef,0.14273117496753499
1.0,1.0,1.6454062422186175,1.0,1.0,3.0,0.17719640902916467,0.17437136911621365,Feynman33,Ef,0.17503278627980048
1.0,1.0,1.1040539620221423,1.0,1.0,3.0,0.07977911907838284,0.11170784590794128,Feynman33,Ef,0.08057622133655888
1.0,1.0,1.4612774530922716,1.0,1.0,3.0,0.1397571391642562,0.11921596066852584,Feynman33,Ef,0.1378087002682813
1.0,1.0,1.7906712585633835,1.0,1.0,3.0,0.20986516700018226,0.2073678247522217,Feynman33,Ef,0.20894057379530226
1.0,1.0,1.3700696031133393,1.0,1.0,3.0,0.12285530016306966,0.10037172011471653,Feynman33,Ef,0.12149564367024523
1.0,1.0,1.7201497515742301,1.0,1.0,3.0,0.1936605448725903,0.2557362335347205,Feynman33,Ef,0.19194781848203482
1.0,1.0,1.3686634840864667,1.0,1.0,3.0,0.12260325380362372,0.11977934116587168,Feynman33,Ef,0.1212542402595004
1.0,1.0,1.1255412590522416,1.0,1.0,3.0,0.08291468869489205,0.07608456704562622,Feynman33,Ef,0.08356421367258307
1.0,1.0,1.6067863143822274,1.0,1.0,3.0,0.16897594478336722,0.1484275134512445,Feynman33,Ef,0.1667162471472634
1.0,1.0,1.9344110847061442,1.0,1.0,3.0,0.24490980900562695,0.2342816412927216,Feynman33,Ef,0.2468712814124795
1.0,1.0,1.128457465916557,1.0,1.0,3.0,0.08334489882182716,0.09190515191160299,Feynman33,Ef,0.08397351625603364
1.0,1.0,1.3208820208967798,1.0,1.0,3.0,0.11419226651305885,0.11047649078281871,Feynman33,Ef,0.1132242141831441
1.0,1.0,1.2081097525552948,1.0,1.0,3.0,0.0955259610713972,0.1111722501711945,Feynman33,Ef,0.09552334320408579
1.0,1.0,1.866797719570707,1.0,1.0,3.0,0.22808837898339518,0.2396927725816239,Feynman33,Ef,0.2284629955267062
1.0,1.0,1.854551851850895,1.0,1.0,3.0,0.22510575389010168,0.24113049575723813,Feynman33,Ef,0.22523777412899998
1.0,1.0,1.670348796553466,1.0,1.0,3.0,0.18260933391550405,0.18894181128757342,Feynman33,Ef,0.1805555253332177
1.0,1.0,1.330468820388917,1.0,1.0,3.0,0.11585586868725421,0.10581817923118486,Feynman33,Ef,0.11480877443933599
1.0,1.0,1.6965499711124274,1.0,1.0,3.0,0.1883831035816771,0.16909130722460666,Feynman33,Ef,0.18648779232899687
1.0,1.0,1.390189459966777,1.0,1.0,3.0,0.12649012399081527,0.11917341571190505,Feynman33,Ef,0.1249825597263807
1.0,1.0,1.2014425516731473,1.0,1.0,3.0,0.09447451129284079,0.11874913110642348,Feynman33,Ef,0.09452806089310714
1.0,1.0,1.657031450057672,1.0,1.0,3.0,0.17970912843501594,0.15001511696527747,Feynman33,Ef,0.17759184324257274
1.0,1.0,1.486444077477916,1.0,1.0,3.0,0.14461248373656438,0.12478634723611559,Feynman33,Ef,0.14254595203916404
1.0,1.0,1.0445607133218209,1.0,1.0,3.0,0.07141279164154617,0.07215973826896216,Feynman33,Ef,0.0725463453451481
1.0,1.0,1.917777069842086,1.0,1.0,3.0,0.2407159559264961,0.21956016196509348,Feynman33,Ef,0.24224713815359708
1.0,1.0,1.1864044666927056,1.0,1.0,3.0,0.09212429588293343,0.07027376624166229,Feynman33,Ef,0.09230286888136044
