epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0965776043232538,1.0,1.0,1.0,3.0,0.07177083637152143,0.07035447133764366,Feynman33,c,0.07334453390620709
1.0,1.313369883727535,1.0,1.0,1.0,3.0,0.08595985787842716,0.08023380189750005,Feynman33,c,0.08764086977988911
1.0,1.2861209968441008,1.0,1.0,1.0,3.0,0.08417642240235433,0.0798136245037275,Feynman33,c,0.08601981713242057
1.0,1.118910229666403,1.0,1.0,1.0,3.0,0.0732325032822175,0.08524288870061272,Feynman33,c,0.07499792572943803
1.0,1.5867098157999289,1.0,1.0,1.0,3.0,0.10384991459783062,0.09222935064284962,Feynman33,c,0.10292272994996829
1.0,1.5131046902033611,1.0,1.0,1.0,3.0,0.09903247039281539,0.10200893627372822,Feynman33,c,0.09883216171617094
1.0,1.2916010167094534,1.0,1.0,1.0,3.0,0.08453508886382347,0.08334370810400951,Feynman33,c,0.08634883838223725
1.0,1.9757822702049403,1.0,1.0,1.0,3.0,0.12931464719101673,0.12649922793362364,Feynman33,c,0.1296294108508249
1.0,1.5771577731742603,1.0,1.0,1.0,3.0,0.10322473486992277,0.09859851565336467,Feynman33,c,0.10238561315027479
1.0,1.2737172776909331,1.0,1.0,1.0,3.0,0.08336460088217137,0.08366124535196129,Feynman33,c,0.08526909872474567
1.0,1.7497505296855556,1.0,1.0,1.0,3.0,0.11452090436822897,0.12898744420984606,Feynman33,c,0.11267952698525589
1.0,1.0378165432283875,1.0,1.0,1.0,3.0,0.06792493391625533,0.06240395951905101,Feynman33,c,0.06873663564079659
1.0,1.1353236667421038,1.0,1.0,1.0,3.0,0.07430676022674208,0.08358907091491494,Feynman33,c,0.07618152128136195
1.0,1.9604141083848017,1.0,1.0,1.0,3.0,0.1283088033519891,0.12764927661255304,Feynman33,c,0.12829630138642648
1.0,1.1690384530585562,1.0,1.0,1.0,3.0,0.07651338783109868,0.07259324050725553,Feynman33,c,0.07853437256777543
1.0,1.8747832654673804,1.0,1.0,1.0,3.0,0.1227042777888626,0.12567438863969688,Feynman33,c,0.12139972477736466
1.0,1.5601916456432392,1.0,1.0,1.0,3.0,0.10211430441968687,0.09745503567415394,Feynman33,c,0.10143716300373387
1.0,1.1567447336951964,1.0,1.0,1.0,3.0,0.07570876578032314,0.07919339062663158,Feynman33,c,0.0776881930902835
1.0,1.754168959986353,1.0,1.0,1.0,3.0,0.11481008995517446,0.11165274009762041,Feynman33,c,0.11296533726521973
1.0,1.1170878368869803,1.0,1.0,1.0,3.0,0.07311322795372188,0.0836805290476462,Feynman33,c,0.07486489150432213
1.0,1.765499037122537,1.0,1.0,1.0,3.0,0.11555164176966698,0.10737020671117445,Feynman33,c,0.11370483500494222
1.0,1.8601004953166091,1.0,1.0,1.0,3.0,0.12174329272969571,0.12420010700278121,Feynman33,c,0.1203000120767693
1.0,1.4364624884367974,1.0,1.0,1.0,3.0,0.09401625001729907,0.0873222505533911,Feynman33,c,0.09461759535076814
1.0,1.9638106726709301,1.0,1.0,1.0,3.0,0.12853110796467132,0.12443149353408008,Feynman33,c,0.1285882737913617
1.0,1.6482996471336493,1.0,1.0,1.0,3.0,0.10788095963228585,0.0996884305678207,Feynman33,c,0.10645758966222235
1.0,1.6130229807222656,1.0,1.0,1.0,3.0,0.10557210721476208,0.09249629305352486,Feynman33,c,0.10441625844297127
1.0,1.384817140221172,1.0,1.0,1.0,3.0,0.09063606988091792,0.08977436871088137,Feynman33,c,0.09174297515063824
1.0,1.771098710795384,1.0,1.0,1.0,3.0,0.11591813955452357,0.11283883928319202,Feynman33,c,0.1140739161901652
1.0,1.8083919015160912,1.0,1.0,1.0,3.0,0.11835897317946309,0.12347360924325394,Feynman33,c,0.11659659186995243
1.0,1.6272016118161292,1.0,1.0,1.0,3.0,0.10650009644981295,0.11233408294804086,Feynman33,c,0.10523080213827112
1.0,1.2076289446982842,1.0,1.0,1.0,3.0,0.07903912960263591,0.0716100586656337,Feynman33,c,0.08110927653354966
1.0,1.4154069970161083,1.0,1.0,1.0,3.0,0.09263817132636241,0.08758228052495472,Feynman33,c,0.09345183879630599
1.0,1.3053431442014647,1.0,1.0,1.0,3.0,0.08543450900494007,0.08175499741392592,Feynman33,c,0.08716715356518864
1.0,1.7305134844053962,1.0,1.0,1.0,3.0,0.1132618426988764,0.11032684881915854,Feynman33,c,0.11145127702843902
1.0,1.4886173226944404,1.0,1.0,1.0,3.0,0.09742977593715334,0.10635432166988933,Feynman33,c,0.09748628762401325
1.0,1.3052872826817052,1.0,1.0,1.0,3.0,0.08543085287702143,0.08869915904291531,Feynman33,c,0.08716384604372447
1.0,1.2874283792831056,1.0,1.0,1.0,3.0,0.08426199038289205,0.08666599301613408,Feynman33,c,0.08609845668648015
1.0,1.769955882605392,1.0,1.0,1.0,3.0,0.1158433416243987,0.1086316285929983,Feynman33,c,0.11399839404462195
1.0,1.714217855054014,1.0,1.0,1.0,3.0,0.11219529625187796,0.10355061007429985,Feynman33,c,0.1104302930251654
1.0,1.6906458568516385,1.0,1.0,1.0,3.0,0.11065251257723184,0.10720642088955884,Feynman33,c,0.10898249498141617
1.0,1.3806165809624171,1.0,1.0,1.0,3.0,0.0903611439203289,0.09738230591214758,Feynman33,c,0.09150653902406027
