epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0965776043232538,1.0,1.0,1.0,3.0,0.07177083637152143,0.07035447133764366,Feynman33,c,0.07232291825776495
1.0,1.313369883727535,1.0,1.0,1.0,3.0,0.08595985787842716,0.08023380189750005,Feynman33,c,0.08607321520829556
1.0,1.2861209968441008,1.0,1.0,1.0,3.0,0.08417642240235433,0.0798136245037275,Feynman33,c,0.08424270247595406
1.0,1.118910229666403,1.0,1.0,1.0,3.0,0.0732325032822175,0.08524288870061272,Feynman33,c,0.07362258211326352
1.0,1.5867098157999289,1.0,1.0,1.0,3.0,0.10384991459783062,0.09222935064284962,Feynman33,c,0.1032909645757507
1.0,1.5131046902033611,1.0,1.0,1.0,3.0,0.09903247039281539,0.10200893627372822,Feynman33,c,0.09875378466615564
1.0,1.2916010167094534,1.0,1.0,1.0,3.0,0.08453508886382347,0.08334370810400951,Feynman33,c,0.08461113573820361
1.0,1.9757822702049403,1.0,1.0,1.0,3.0,0.12931464719101673,0.12649922793362364,Feynman33,c,0.12929203012546456
1.0,1.5771577731742603,1.0,1.0,1.0,3.0,0.10322473486992277,0.09859851565336467,Feynman33,c,0.10269069242885452
1.0,1.2737172776909331,1.0,1.0,1.0,3.0,0.08336460088217137,0.08366124535196129,Feynman33,c,0.08340939612697545
1.0,1.7497505296855556,1.0,1.0,1.0,3.0,0.11452090436822897,0.12898744420984606,Feynman33,c,0.11450766324603631
1.0,1.0378165432283875,1.0,1.0,1.0,3.0,0.06792493391625533,0.06240395951905101,Feynman33,c,0.06872733789275372
1.0,1.1353236667421038,1.0,1.0,1.0,3.0,0.07430676022674208,0.08358907091491494,Feynman33,c,0.07458621482742607
1.0,1.9604141083848017,1.0,1.0,1.0,3.0,0.1283088033519891,0.12764927661255304,Feynman33,c,0.12856922310543384
1.0,1.1690384530585562,1.0,1.0,1.0,3.0,0.07651338783109868,0.07259324050725553,Feynman33,c,0.07661709892154812
1.0,1.8747832654673804,1.0,1.0,1.0,3.0,0.1227042777888626,0.12567438863969688,Feynman33,c,0.12356266881893413
1.0,1.5601916456432392,1.0,1.0,1.0,3.0,0.10211430441968687,0.09745503567415394,Feynman33,c,0.10163532619932401
1.0,1.1567447336951964,1.0,1.0,1.0,3.0,0.07570876578032314,0.07919339062663158,Feynman33,c,0.07586714071757854
1.0,1.754168959986353,1.0,1.0,1.0,3.0,0.11481008995517446,0.11165274009762041,Feynman33,c,0.11483461346074915
1.0,1.1170878368869803,1.0,1.0,1.0,3.0,0.07311322795372188,0.0836805290476462,Feynman33,c,0.07351625491321656
1.0,1.765499037122537,1.0,1.0,1.0,3.0,0.11555164176966698,0.10737020671117445,Feynman33,c,0.11567517638378193
1.0,1.8601004953166091,1.0,1.0,1.0,3.0,0.12174329272969571,0.12420010700278121,Feynman33,c,0.12256467014245073
1.0,1.4364624884367974,1.0,1.0,1.0,3.0,0.09401625001729907,0.0873222505533911,Feynman33,c,0.09405860354218148
1.0,1.9638106726709301,1.0,1.0,1.0,3.0,0.12853110796467132,0.12443149353408008,Feynman33,c,0.12873377946839082
1.0,1.6482996471336493,1.0,1.0,1.0,3.0,0.10788095963228585,0.0996884305678207,Feynman33,c,0.10730116071427359
1.0,1.6130229807222656,1.0,1.0,1.0,3.0,0.10557210721476208,0.09249629305352486,Feynman33,c,0.10497212483111737
1.0,1.384817140221172,1.0,1.0,1.0,3.0,0.09063606988091792,0.08977436871088137,Feynman33,c,0.09078566790559758
1.0,1.771098710795384,1.0,1.0,1.0,3.0,0.11591813955452357,0.11283883928319202,Feynman33,c,0.11609137135777461
1.0,1.8083919015160912,1.0,1.0,1.0,3.0,0.11835897317946309,0.12347360924325394,Feynman33,c,0.11885716412594667
1.0,1.6272016118161292,1.0,1.0,1.0,3.0,0.10650009644981295,0.11233408294804086,Feynman33,c,0.1058971373240795
1.0,1.2076289446982842,1.0,1.0,1.0,3.0,0.07903912960263591,0.0716100586656337,Feynman33,c,0.07904601298007453
1.0,1.4154069970161083,1.0,1.0,1.0,3.0,0.09263817132636241,0.08758228052495472,Feynman33,c,0.09273845401798737
1.0,1.3053431442014647,1.0,1.0,1.0,3.0,0.08543450900494007,0.08175499741392592,Feynman33,c,0.08553465655324671
1.0,1.7305134844053962,1.0,1.0,1.0,3.0,0.1132618426988764,0.11032684881915854,Feynman33,c,0.1130925029569969
1.0,1.4886173226944404,1.0,1.0,1.0,3.0,0.09742977593715334,0.10635432166988933,Feynman33,c,0.0972644358755094
1.0,1.3052872826817052,1.0,1.0,1.0,3.0,0.08543085287702143,0.08869915904291531,Feynman33,c,0.08553090548819443
1.0,1.2874283792831056,1.0,1.0,1.0,3.0,0.08426199038289205,0.08666599301613408,Feynman33,c,0.08433059561467249
1.0,1.769955882605392,1.0,1.0,1.0,3.0,0.1158433416243987,0.1086316285929983,Feynman33,c,0.1160064060836454
1.0,1.714217855054014,1.0,1.0,1.0,3.0,0.11219529625187796,0.10355061007429985,Feynman33,c,0.11190779162912898
1.0,1.6906458568516385,1.0,1.0,1.0,3.0,0.11065251257723184,0.10720642088955884,Feynman33,c,0.11022352481793603
1.0,1.3806165809624171,1.0,1.0,1.0,3.0,0.0903611439203289,0.09738230591214758,Feynman33,c,0.090514172365667
1.0,1.1448535569661844,1.0,1.0,1.0,3.0,0.07493049008335642,0.08059756311384055,Feynman33,c,0.07515230727273212
1.0,1.0240753484646166,1.0,1.0,1.0,3.0,0.0670255748220593,0.061872306745710905,Feynman33,c,0.06777166024057142
1.0,1.731130120275216,1.0,1.0,1.0,3.0,0.11330220142217987,0.10872685726970008,Feynman33,c,0.11313761345499973
1.0,1.681080152287073,1.0,1.0,1.0,3.0,0.11002643867751415,0.1083645318536667,Feynman33,c,0.10955130204240007
1.0,1.8074610590377986,1.0,1.0,1.0,3.0,0.11829804968172448,0.10717948462906683,Feynman33,c,0.11878859495919254
1.0,1.6749926915212998,1.0,1.0,1.0,3.0,0.10962801530208145,0.10771703603063207,Feynman33,c,0.1091271135327141
1.0,1.8379352705282492,1.0,1.0,1.0,3.0,0.12029258215968992,0.1357488703372388,Feynman33,c,0.121005400283884
1.0,1.766383999894215,1.0,1.0,1.0,3.0,0.11560956244762957,0.11329365058494517,Feynman33,c,0.11574092777270324
1.0,1.8873753701660807,1.0,1.0,1.0,3.0,0.12352842911416823,0.11958348661051582,Feynman33,c,0.12439172223202016
1.0,1.7083567919583191,1.0,1.0,1.0,3.0,0.1118116905693017,0.10858829003976217,Feynman33,c,0.11148552756056859
1.0,1.1584349148080975,1.0,1.0,1.0,3.0,0.07581938787547993,0.07269144288265605,Feynman33,c,0.07596957105322584
1.0,1.9997694580745877,1.0,1.0,1.0,3.0,0.13088460496584095,0.1280265848574916,Feynman33,c,0.13031299778513672
1.0,1.555526768485152,1.0,1.0,1.0,3.0,0.10180898892365049,0.10653081484212479,Feynman33,c,0.10134723717570525
1.0,1.281320557782324,1.0,1.0,1.0,3.0,0.08386223440046926,0.07786268930408269,Feynman33,c,0.08392004489880904
