epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.0,1.0,1.0,4.211984472168018,0.014946362418641923,0.019580739229856686,Feynman33,omega_0,0.015252921611250875
1.0,1.0,1.0,1.0,1.0,3.341149093096548,0.04055282019133218,0.043807038416245433,Feynman33,omega_0,0.04089971946251151
1.0,1.0,1.0,1.0,1.0,3.6945445571366466,0.02617766703647737,0.029734397327440775,Feynman33,omega_0,0.026322063897701337
1.0,1.0,1.0,1.0,1.0,4.031626667118416,0.018001983187085516,0.01362106347587915,Feynman33,omega_0,0.018217262953041605
1.0,1.0,1.0,1.0,1.0,3.8874067141845483,0.02103370230896231,0.01949956807044253,Feynman33,omega_0,0.021186033458157956
1.0,1.0,1.0,1.0,1.0,4.836067668268461,0.008357482051993848,0.0066709116392259064,Feynman33,omega_0,0.008437839678540634
1.0,1.0,1.0,1.0,1.0,4.510699355511658,0.011191489563746443,0.009443640641274639,Feynman33,omega_0,0.011521087288581923
1.0,1.0,1.0,1.0,1.0,4.242129318376968,0.01450148512814809,0.013988865608497044,Feynman33,omega_0,0.014820174570871597
1.0,1.0,1.0,1.0,1.0,4.198639119228497,0.015148819105323001,0.019058676970498817,Feynman33,omega_0,0.015449543166887736
1.0,1.0,1.0,1.0,1.0,3.4334599286136394,0.0359877451191543,0.03916348881327418,Feynman33,omega_0,0.036285702583230696
1.0,1.0,1.0,1.0,1.0,3.4059291387780046,0.03727759873346894,0.03779614086332845,Feynman33,omega_0,0.037593744474890924
1.0,1.0,1.0,1.0,1.0,4.324146279021806,0.0133729862443122,0.013359948721320316,Feynman33,omega_0,0.013715498486860201
1.0,1.0,1.0,1.0,1.0,3.995538108466347,0.01870571696348008,0.02090961769790901,Feynman33,omega_0,0.018902679368998806
1.0,1.0,1.0,1.0,1.0,3.109157510273077,0.055765423451531064,0.06335877075876499,Feynman33,omega_0,0.0557721573905468
1.0,1.0,1.0,1.0,1.0,3.2141798176104297,0.04811014966222301,0.04469855588747154,Feynman33,omega_0,0.04840364026124021
1.0,1.0,1.0,1.0,1.0,3.279683539784411,0.04400643319389871,0.04794160459509383,Feynman33,omega_0,0.044353648307633525
1.0,1.0,1.0,1.0,1.0,4.543258574611802,0.010858070091806523,0.008338184715852605,Feynman33,omega_0,0.011174549173190834
1.0,1.0,1.0,1.0,1.0,3.7350463469812993,0.024975302699074216,0.02348258592969732,Feynman33,omega_0,0.025111745688016173
1.0,1.0,1.0,1.0,1.0,4.198814431958816,0.015146137114712804,0.012837363094612076,Feynman33,omega_0,0.015446939509042502
1.0,1.0,1.0,1.0,1.0,4.2583844273268685,0.014268532215290848,0.014521948823030133,Feynman33,omega_0,0.014593084306816542
1.0,1.0,1.0,1.0,1.0,3.260376594312041,0.04516801716726533,0.0324970055526123,Feynman33,omega_0,0.04550642233158592
1.0,1.0,1.0,1.0,1.0,4.113022624883958,0.016533645675592658,0.021258006011530026,Feynman33,omega_0,0.016792101422654915
1.0,1.0,1.0,1.0,1.0,3.5307552470017267,0.03186009843583256,0.03192438093509053,Feynman33,omega_0,0.032087625563123154
1.0,1.0,1.0,1.0,1.0,3.4637756597737788,0.03463231867309076,0.034327521634086554,Feynman33,omega_0,0.03490858387719445
1.0,1.0,1.0,1.0,1.0,4.952288054190623,0.0075687393505549025,0.016747538693420314,Feynman33,omega_0,0.0075378464995531635
1.0,1.0,1.0,1.0,1.0,4.216228346403069,0.014882697993747373,0.00978802393445376,Feynman33,omega_0,0.015191056246576637
1.0,1.0,1.0,1.0,1.0,3.8609702549298905,0.021657882693862686,0.03169485393222833,Feynman33,omega_0,0.021802811051361292
1.0,1.0,1.0,1.0,1.0,3.0531219714380367,0.060489467531291086,0.06388077122876151,Feynman33,omega_0,0.06018612567709748
1.0,1.0,1.0,1.0,1.0,4.834301316873197,0.008370249858132901,0.018216593253519025,Feynman33,omega_0,0.008452388980163372
1.0,1.0,1.0,1.0,1.0,3.572487526556496,0.030274501109547505,0.02569752730178002,Feynman33,omega_0,0.030474284591192443
1.0,1.0,1.0,1.0,1.0,4.537031909897536,0.010920853992798062,0.008862892011691922,Feynman33,omega_0,0.01124009426514058
1.0,1.0,1.0,1.0,1.0,4.44361219924751,0.011920261330148537,0.0017098226848785945,Feynman33,omega_0,0.01226650448068918
1.0,1.0,1.0,1.0,1.0,3.5996511789826835,0.029296022300977817,0.028730162667920365,Feynman33,omega_0,0.029479772736795078
1.0,1.0,1.0,1.0,1.0,4.6545809726743945,0.009808725408971562,0.012603353567814743,Feynman33,omega_0,0.010056814648379632
1.0,1.0,1.0,1.0,1.0,4.649679039078501,0.009852165770784162,0.013163612190050902,Feynman33,omega_0,0.010103972271096271
1.0,1.0,1.0,1.0,1.0,3.2792621327741713,0.044031378010785334,0.048138846247997406,Feynman33,omega_0,0.04437845408342259
1.0,1.0,1.0,1.0,1.0,4.627403933933635,0.010052650652177916,0.006195382193745585,Feynman33,omega_0,0.010320585686310097
1.0,1.0,1.0,1.0,1.0,4.90941657461555,0.007848298231138069,0.016278855273764326,Feynman33,omega_0,0.007856202438751176
1.0,1.0,1.0,1.0,1.0,3.7450122869553826,0.024690241685555288,0.0303990167209482,Feynman33,omega_0,0.024825560323457594
1.0,1.0,1.0,1.0,1.0,4.083332805363812,0.017051033760275176,0.01054782937588218,Feynman33,omega_0,0.017293721731469005
1.0,1.0,1.0,1.0,1.0,3.9459726660211176,0.01973003063523584,0.029489197870148955,Feynman33,omega_0,0.019904130857005854
1.0,1.0,1.0,1.0,1.0,3.474157236482011,0.0341831067838458,0.03878473730897097,Feynman33,omega_0,0.03445174924045931
1.0,1.0,1.0,1.0,1.0,3.350104960179963,0.040078791654457116,0.0377814359134775,Feynman33,omega_0,0.04042286697445435
1.0,1.0,1.0,1.0,1.0,3.0995668601745963,0.05653966662344429,0.06115701673509904,Feynman33,omega_0,0.056502746303745556
1.0,1.0,1.0,1.0,1.0,3.237091126513587,0.0466214364207137,0.04517933841413001,Feynman33,omega_0,0.0469418378069782
1.0,1.0,1.0,1.0,1.0,3.3238738697343146,0.04148751958059175,0.046367587075867536,Feynman33,omega_0,0.04183814075511076
1.0,1.0,1.0,1.0,1.0,3.0746892666358736,0.058612938984032664,0.06953789442585583,Feynman33,omega_0,0.05844534354232824
1.0,1.0,1.0,1.0,1.0,3.50161644213848,0.033030122707429416,0.037224426234793544,Feynman33,omega_0,0.03327856406212078
1.0,1.0,1.0,1.0,1.0,3.3258207350847235,0.04138082046423355,0.03823374306352766,Feynman33,omega_0,0.041731145070388324
1.0,1.0,1.0,1.0,1.0,3.377028510132947,0.038695554735222557,0.036340188189511416,Feynman33,omega_0,0.03902807922617679
1.0,1.0,1.0,1.0,1.0,4.062690249397969,0.017422871919572425,0.014639563466326616,Feynman33,omega_0,0.01765454306248609
1.0,1.0,1.0,1.0,1.0,4.048508794203008,0.017684283587482728,0.021356060134031733,Feynman33,omega_0,0.017908426334358345
1.0,1.0,1.0,1.0,1.0,4.492312263097522,0.011385497953950613,0.007716461980201878,Feynman33,omega_0,0.011721051800549446
1.0,1.0,1.0,1.0,1.0,4.73833837176698,0.009102466409589779,0.006518227736857264,Feynman33,omega_0,0.009278949124492154
1.0,1.0,1.0,1.0,1.0,3.6104794095081987,0.02891717689440509,0.026719474170901633,Feynman33,omega_0,0.02909506889406563
1.0,1.0,1.0,1.0,1.0,4.052328970095565,0.017613379409724742,0.01921904387032453,Feynman33,omega_0,0.01783954437166115
1.0,1.0,1.0,1.0,1.0,3.8418513952096767,0.02212396530149651,0.01662017753489543,Feynman33,omega_0,0.02226463220106505
1.0,1.0,1.0,1.0,1.0,3.7199860868840657,0.02541404574131474,0.0317246606581551,Feynman33,omega_0,0.025552810191840688
1.0,1.0,1.0,1.0,1.0,4.646810806432915,0.00987769629253559,0.01693259886969442,Feynman33,omega_0,0.010131650323057125
1.0,1.0,1.0,1.0,1.0,3.773678414015475,0.02389296673580966,0.02357670834037498,Feynman33,omega_0,0.024026853707840218
1.0,1.0,1.0,1.0,1.0,3.952652871391601,0.019587907560792216,0.02025806452453518,Feynman33,omega_0,0.01976488814598654
1.0,1.0,1.0,1.0,1.0,4.1500289485806245,0.01591622899452806,0.020499598350039054,Feynman33,omega_0,0.01619377264679085
1.0,1.0,1.0,1.0,1.0,3.845169481767051,0.022042171638046375,0.023834626357575814,Feynman33,omega_0,0.022183508958517204
1.0,1.0,1.0,1.0,1.0,3.0581230075768784,0.06004758423689248,0.058576159072960494,Feynman33,omega_0,0.05977771109450346
1.0,1.0,1.0,1.0,1.0,3.106353937361773,0.05599034613390822,0.05959650847681445,Feynman33,omega_0,0.055984684597706856
1.0,1.0,1.0,1.0,1.0,4.670614240441898,0.009668317650672139,0.007133005065943803,Feynman33,omega_0,0.009903845344879718
1.0,1.0,1.0,1.0,1.0,4.032932412238575,0.017977154387035257,0.012825902330716654,Feynman33,omega_0,0.018193114552794896
1.0,1.0,1.0,1.0,1.0,4.080562662463068,0.017100345703391775,0.017237843343392505,Feynman33,omega_0,0.017341554526625096
1.0,1.0,1.0,1.0,1.0,4.050942335247734,0.01763907431791298,0.013050010517805192,Feynman33,omega_0,0.0178645046882859
1.0,1.0,1.0,1.0,1.0,3.035799918969613,0.062052483714040534,0.06288147846742301,Feynman33,omega_0,0.061623295644673524
1.0,1.0,1.0,1.0,1.0,3.381797973423181,0.0384568816893286,0.03664151129061979,Feynman33,omega_0,0.03878694957833681
