epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.0,1.0,1.028108864085173,3.0,0.07417827937396197,0.16875761108226017,Feynman33,omega,0.059583266201158905
1.0,1.0,1.0,1.0,1.766926825335107,3.0,1.1817026128427375,1.2182591235152518,Feynman33,omega,1.1818785070577076
1.0,1.0,1.0,1.0,1.2903221640265639,3.0,0.21581064625872595,0.30804159978225476,Feynman33,omega,0.230567054120905
1.0,1.0,1.0,1.0,1.75211383599104,3.0,1.1225721817479029,1.3587250122058638,Feynman33,omega,1.122892250063652
1.0,1.0,1.0,1.0,1.6324222558825907,3.0,0.7411366839859584,0.6941220208764516,Feynman33,omega,0.7503096117341089
1.0,1.0,1.0,1.0,1.2315625325422523,3.0,0.1720812451702273,0.15582222515561858,Feynman33,omega,0.17650612034006727
1.0,1.0,1.0,1.0,1.034904005494547,3.0,0.07642842784259445,0.2543340851663917,Feynman33,omega,0.06085325079363953
1.0,1.0,1.0,1.0,1.2321114135638624,3.0,0.17245054183744601,0.416522255175107,Feynman33,omega,0.17697959302900507
1.0,1.0,1.0,1.0,1.805607029127824,3.0,1.3514207107036256,1.6388894161403331,Feynman33,omega,1.352424244447973
1.0,1.0,1.0,1.0,1.6279642247063992,3.0,0.7297215623315666,0.6568729777702463,Feynman33,omega,0.7393988623115282
1.0,1.0,1.0,1.0,1.1029615558001393,3.0,0.10232528204400419,0.10346781158842933,Feynman33,omega,0.08588532849886882
1.0,1.0,1.0,1.0,1.16794171082294,3.0,0.1336753828197914,0.17063273597866258,Feynman33,omega,0.12612851058748675
1.0,1.0,1.0,1.0,1.281625175775127,3.0,0.2087755496777075,0.011797384078351514,Feynman33,omega,0.22214482586550469
1.0,1.0,1.0,1.0,1.027809442873993,3.0,0.0740804209145919,-0.03054068309812867,Feynman33,omega,0.05953314770342717
1.0,1.0,1.0,1.0,1.0916802259400593,3.0,0.09758087611922027,0.31443750694446565,Feynman33,omega,0.08035605668117059
1.0,1.0,1.0,1.0,1.9442839369151272,3.0,2.1969809774707088,1.8997830248902885,Feynman33,omega,2.2087879550048393
1.0,1.0,1.0,1.0,1.8556970199006488,3.0,1.6089097071742815,2.1103889437149745,Feynman33,omega,1.6133127839375658
1.0,1.0,1.0,1.0,1.2309962797197702,3.0,0.1717009869687786,-0.08312224597497114,Feynman33,omega,0.17601830971752483
1.0,1.0,1.0,1.0,1.4540491008014387,3.0,0.3949148864231741,0.3913388349421147,Feynman33,omega,0.42050460815904267
1.0,1.0,1.0,1.0,1.5817863068303448,3.0,0.621050402199922,0.6867296219401432,Feynman33,omega,0.6361069919631166
1.0,1.0,1.0,1.0,1.85556189928346,3.0,1.608150867741764,1.6110752322133932,Feynman33,omega,1.6125420567612196
1.0,1.0,1.0,1.0,1.0819088499877396,3.0,0.09362378924333725,0.3562138939824819,Feynman33,omega,0.07597260116033061
1.0,1.0,1.0,1.0,1.3120388967102086,3.0,0.23430698826236881,-0.014316758328599383,Feynman33,omega,0.2522345243023129
1.0,1.0,1.0,1.0,1.6497349822995493,3.0,0.7871380572089115,0.7973756312731528,Feynman33,omega,0.7944170825111547
1.0,1.0,1.0,1.0,1.458978483212498,3.0,0.40197218149226754,0.774460113795499,Feynman33,omega,0.4274041284760302
1.0,1.0,1.0,1.0,1.4826409808176624,3.0,0.4375100102414697,0.32407176521516196,Feynman33,omega,0.46183666965263576
