omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.0,1.0,4.343933069886341,0.0049535400341025266,0.009830220223293646,Feynman44,c,0.0023418595819876533
1.0,1.0,1.0,1.0,1.355231404217192,0.05089264397187678,0.060205510324895406,Feynman44,c,0.052652427408700395
1.0,1.0,1.0,1.0,1.877285048715561,0.02652292913622776,0.019150058605300148,Feynman44,c,0.03387303433188138
1.0,1.0,1.0,1.0,3.1313761970117775,0.009532601442854423,0.01533867270686228,Feynman44,c,0.008866232622770998
1.0,1.0,1.0,1.0,4.330089615630547,0.00498526396035763,0.00773699280812467,Feynman44,c,0.0023609394432504787
1.0,1.0,1.0,1.0,1.0240188019200018,0.08913865279472849,0.09175029320799745,Feynman44,c,0.06774026917521354
1.0,1.0,1.0,1.0,1.2974082035087058,0.055530124640318465,0.05840500253339454,Feynman44,c,0.055099378243921755
1.0,1.0,1.0,1.0,2.8163879396304803,0.011784115099094645,0.013137435046446504,Feynman44,c,0.012928871559981094
1.0,1.0,1.0,1.0,1.8531267051704914,0.027218970708454464,0.026703157850153585,Feynman44,c,0.03461742110639097
1.0,1.0,1.0,1.0,4.53317589167899,0.004548589941879605,0.01187199519963523,Feynman44,c,0.002153048813574029
1.0,1.0,1.0,1.0,4.428599227792416,0.004765946551773199,0.007695397290776994,Feynman44,c,0.0022417075788200747
1.0,1.0,1.0,1.0,1.488014289072305,0.04221509046026739,0.04984959746878842,Feynman44,c,0.04732060609057816
1.0,1.0,1.0,1.0,3.7007954868220176,0.006824828711072832,0.0005293946987605224,Feynman44,c,0.004338739800690704
1.0,1.0,1.0,1.0,4.984187348687481,0.003762644700082487,0.004863305961595092,Feynman44,c,0.0020467354554791085
1.0,1.0,1.0,1.0,2.958015914642844,0.010682697114728936,0.0045038859091387105,Feynman44,c,0.010945800356225801
1.0,1.0,1.0,1.0,3.955249322633778,0.005974948934528401,0.005942493598855911,Feynman44,c,0.0032385721989626652
1.0,1.0,1.0,1.0,1.2016594699598642,0.06473201123467183,0.06648409445239518,Feynman44,c,0.059322548621741945
1.0,1.0,1.0,1.0,4.690958374956542,0.004247748244012973,-0.004901789341872528,Feynman44,c,0.0020775733135915014
1.0,1.0,1.0,1.0,1.9863747501496345,0.023689699701062213,0.02043936773204321,Feynman44,c,0.03065270977569509
1.0,1.0,1.0,1.0,4.770652326630912,0.004107015980980212,0.013690260313863532,Feynman44,c,0.002059335080296316
1.0,1.0,1.0,1.0,3.1154181753278922,0.009630508725763747,0.0043536770440488785,Feynman44,c,0.009042445158954165
1.0,1.0,1.0,1.0,4.412908220901276,0.004799899423100381,0.007930825350494837,Feynman44,c,0.002258215946233705
1.0,1.0,1.0,1.0,2.7876811306818676,0.012028064178300851,0.01443952664533361,Feynman44,c,0.013363725676781221
1.0,1.0,1.0,1.0,4.3249542070329365,0.004997109897024039,0.005631530011561055,Feynman44,c,0.002368221203691213
1.0,1.0,1.0,1.0,4.017249495572148,0.005791943514407813,0.00761057030014283,Feynman44,c,0.003038724994209385
1.0,1.0,1.0,1.0,3.6128247309276733,0.007161238556842427,0.017817337426239872,Feynman44,c,0.004836565847065728
1.0,1.0,1.0,1.0,3.525020958743866,0.007522436329352514,0.0068181721865080425,Feynman44,c,0.005400573521704947
1.0,1.0,1.0,1.0,4.179692062166184,0.00535048751185828,6.411938495052682e-05,Feynman44,c,0.0026236376390307297
1.0,1.0,1.0,1.0,2.326599443828511,0.017267866709538997,0.016359155943050728,Feynman44,c,0.022016857118217426
1.0,1.0,1.0,1.0,4.378090039041206,0.004876548520099413,0.015893131064445246,Feynman44,c,0.0022981203771332845
1.0,1.0,1.0,1.0,2.445037090151743,0.01563547301768626,0.01154164995988603,Feynman44,c,0.01947853541438714
1.0,1.0,1.0,1.0,4.415315608863062,0.004794666696404169,-0.003002795047206348,Feynman44,c,0.0022556248918953327
1.0,1.0,1.0,1.0,3.2086849302286873,0.009078785981076032,0.009814568762382276,Feynman44,c,0.00805435390396943
1.0,1.0,1.0,1.0,4.037326806441241,0.005734480983470332,0.0035727252746492136,Feynman44,c,0.002979159241131541
1.0,1.0,1.0,1.0,4.07411165024919,0.005631396082635704,0.02653174022434191,Feynman44,c,0.002876302409438728
1.0,1.0,1.0,1.0,1.2257923524815326,0.06220826837182664,0.0634852812576066,Feynman44,c,0.05823775718256284
1.0,1.0,1.0,1.0,3.1896581491735136,0.009187421624775764,0.013348676482887801,Feynman44,c,0.008247828678822587
1.0,1.0,1.0,1.0,4.883070962419361,0.003920088360134355,0.001397754018283077,Feynman44,c,0.002048399925621306
1.0,1.0,1.0,1.0,4.437982056277666,0.004745815426048689,0.008703342005296696,Feynman44,c,0.002232259048679086
1.0,1.0,1.0,1.0,2.0034481946921794,0.02328765152753625,0.017693376396376324,Feynman44,c,0.030169263624622324
1.0,1.0,1.0,1.0,1.0266936064577217,0.08867479894911241,0.09201781310039628,Feynman44,c,0.0676077740147328
1.0,1.0,1.0,1.0,4.469671488923944,0.0046787594612519535,0.007585646748103671,Feynman44,c,0.002202611004511902
1.0,1.0,1.0,1.0,3.3517482054172087,0.008320303273180316,0.003090580681412422,Feynman44,c,0.006726848724004247
1.0,1.0,1.0,1.0,1.0550260698569693,0.08397606977811523,0.08840783313360867,Feynman44,c,0.0662152603639754
1.0,1.0,1.0,1.0,3.0297037144577526,0.010183137520129715,0.003424640053725803,Feynman44,c,0.010041058697359679
1.0,1.0,1.0,1.0,2.788723108781076,0.012019077529178255,0.005485569842697323,Feynman44,c,0.013347742604959861
1.0,1.0,1.0,1.0,1.320004212049891,0.05364525246838358,0.051192072783448596,Feynman44,c,0.05413399052257126
1.0,1.0,1.0,1.0,1.2001607520682351,0.06489378222689889,0.06848212987762728,Feynman44,c,0.05939037373389032
1.0,1.0,1.0,1.0,2.8480085986897996,0.011523896131420987,0.004441957307245715,Feynman44,c,0.012462933193967733
1.0,1.0,1.0,1.0,2.9564201139800907,0.01069423272561671,0.015817283819420127,Feynman44,c,0.010966680491736365
1.0,1.0,1.0,1.0,3.1454351887453704,0.009447577114943567,0.01589375212907921,Feynman44,c,0.008713463103880811
1.0,1.0,1.0,1.0,2.0241299236636263,0.022814195403546744,0.027283987293190204,Feynman44,c,0.029590980145811577
1.0,1.0,1.0,1.0,1.1809917345240395,0.06701749820122763,0.06678424844679734,Feynman44,c,0.060262603351270747
1.0,1.0,1.0,1.0,4.8417818116144895,0.00398723192768948,0.010270073144831764,Feynman44,c,0.002050867630295079
1.0,1.0,1.0,1.0,3.2927314249855244,0.008621231570232491,0.003821681940052674,Feynman44,c,0.007247791657034604
1.0,1.0,1.0,1.0,1.7413494743736533,0.03082549428737326,0.025759764849969134,Feynman44,c,0.03821291087727713
1.0,1.0,1.0,1.0,4.0975342122070515,0.005567199068180659,0.012713561411411455,Feynman44,c,0.002814922600675284
1.0,1.0,1.0,1.0,1.5612971768341257,0.03834517982018737,0.042756227153802534,Feynman44,c,0.044545205120442556
1.0,1.0,1.0,1.0,1.0207312843134781,0.08971376361336685,0.09330679208383981,Feynman44,c,0.06790335916180058
1.0,1.0,1.0,1.0,4.872953605904808,0.003936383242976219,0.007148928871716101,Feynman44,c,0.0020488720325985343
1.0,1.0,1.0,1.0,4.6545832609883995,0.004314399141488903,0.004321338411986097,Feynman44,c,0.0020897978957784683
1.0,1.0,1.0,1.0,4.576321749301251,0.004463225458087173,0.0018791510370615556,Feynman44,c,0.0021262088406238384
1.0,1.0,1.0,1.0,2.868780856079044,0.011357615953683188,0.019259318938074834,Feynman44,c,0.01216420468772741
