epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.0,1.0,1.0,1.9508425920677828,0.6586407809598174,0.6839416854431681,Feynman56,z,0.6616852491735328
1.0,1.0,1.0,1.0,1.0,2.601996673285293,0.8784825223294725,0.9960634627009107,Feynman56,z,0.8847607918416077
1.0,1.0,1.0,1.0,1.0,1.4020171053705162,0.4733470783111622,0.47884472263788225,Feynman56,z,0.47237700336226507
1.0,1.0,1.0,1.0,1.0,1.8975445874616996,0.6406463822727649,0.6815802841349604,Feynman56,z,0.6429054206123079
1.0,1.0,1.0,1.0,1.0,1.0188092521042633,0.34396897227048256,0.26393036825307203,Feynman56,z,0.35309005714427366
1.0,1.0,1.0,1.0,1.0,2.1787594172718894,0.7355897446315615,0.9195399800856161,Feynman56,z,0.7417561021461093
1.0,1.0,1.0,1.0,1.0,1.8024140753976996,0.608528550206915,0.6444108717415579,Feynman56,z,0.6094612643280609
1.0,1.0,1.0,1.0,1.0,2.728958730060506,0.9213472765473185,0.9164409940953837,Feynman56,z,0.9249113813293922
1.0,1.0,1.0,1.0,1.0,2.220307298278658,0.7496170828211167,0.7367513249381306,Feynman56,z,0.7562243065789723
1.0,1.0,1.0,1.0,1.0,1.2073199072292269,0.40761367923740877,0.38296172678205775,Feynman56,z,0.40978959327968706
1.0,1.0,1.0,1.0,1.0,2.9253358290723543,0.987647841432306,1.0425054719838718,Feynman56,z,0.9833766107287613
1.0,1.0,1.0,1.0,1.0,2.044520315585641,0.6902681245636607,0.7721381078728908,Feynman56,z,0.6946866387891865
1.0,1.0,1.0,1.0,1.0,1.1449975628781175,0.38657249543223415,0.47183430599380644,Feynman56,z,0.39057143389562604
1.0,1.0,1.0,1.0,1.0,1.047989585704226,0.3538207961895902,0.41591534221531656,Feynman56,z,0.36157629066911906
1.0,1.0,1.0,1.0,1.0,2.2841672542147817,0.7711773929255041,0.753171578775709,Feynman56,z,0.7783311984174137
1.0,1.0,1.0,1.0,1.0,2.6696199477703013,0.9013133988435315,0.8500149681069166,Feynman56,z,0.9063512234151254
1.0,1.0,1.0,1.0,1.0,2.223148679128228,0.7505763858983485,0.8203183354440368,Feynman56,z,0.7572114893655538
1.0,1.0,1.0,1.0,1.0,1.9120496676667658,0.6455435674136857,0.6521265256928415,Feynman56,z,0.6480148322892607
1.0,1.0,1.0,1.0,1.0,1.7832158643900677,0.6020468767277158,0.5754844606371297,Feynman56,z,0.6027325187441416
1.0,1.0,1.0,1.0,1.0,1.3938624850782675,0.47059392667322064,0.471996398105708,Feynman56,z,0.4696872250738362
1.0,1.0,1.0,1.0,1.0,1.0863533993921015,0.36677313396954236,0.3905928961644793,Feynman56,z,0.3729027200846247
1.0,1.0,1.0,1.0,1.0,2.8866914989668455,0.9746007960869494,0.9914227059009356,Feynman56,z,0.9722623334654287
1.0,1.0,1.0,1.0,1.0,2.307343166728211,0.7790020124921305,0.9593918166109199,Feynman56,z,0.7863086795248104
1.0,1.0,1.0,1.0,1.0,2.955910113999898,0.9979702892729698,1.019831345689613,Feynman56,z,0.992022650417553
1.0,1.0,1.0,1.0,1.0,1.7585950233484098,0.5937344223874726,0.6849862171505533,Feynman56,z,0.594116930984059
1.0,1.0,1.0,1.0,1.0,2.6325526754595856,0.8887987975722405,0.8802966040026786,Feynman56,z,0.894571856459362
1.0,1.0,1.0,1.0,1.0,1.0499231898783354,0.3544736169596928,0.40397611389214594,Feynman56,z,0.3621426089758178
1.0,1.0,1.0,1.0,1.0,1.339017502585153,0.45207723944900746,0.37105783477188886,Feynman56,z,0.4517411701028773
1.0,1.0,1.0,1.0,1.0,2.779451198997771,0.9383944741575468,1.0484635085693872,Feynman56,z,0.9403973281419897
1.0,1.0,1.0,1.0,1.0,2.095319818215792,0.7074189824651321,0.7893580731124548,Feynman56,z,0.7125442848972215
1.0,1.0,1.0,1.0,1.0,1.360200968892362,0.4592291720799367,0.5015085290429101,Feynman56,z,0.4586421816804475
1.0,1.0,1.0,1.0,1.0,2.7680795432233465,0.934555191444258,0.9671534560792466,Feynman56,z,0.9369353615343553
1.0,1.0,1.0,1.0,1.0,1.3985655130122778,0.4721817564673452,0.43148822960460775,Feynman56,z,0.47123785025088505
1.0,1.0,1.0,1.0,1.0,1.9805510361899186,0.6686709048238676,0.7169875753905818,Feynman56,z,0.6721558119488615
1.0,1.0,1.0,1.0,1.0,2.101268893040583,0.7094275008891818,0.669223856101979,Feynman56,z,0.7146325906285285
1.0,1.0,1.0,1.0,1.0,2.718849863336488,0.9179343349287595,0.8759602635906805,Feynman56,z,0.9217763462725652
1.0,1.0,1.0,1.0,1.0,2.4802672781043036,0.8373844120904547,0.7839897945861601,Feynman56,z,0.8448547657120288
1.0,1.0,1.0,1.0,1.0,1.106369732018787,0.3735310205395797,0.3578187212724073,Feynman56,z,0.3788862458056534
1.0,1.0,1.0,1.0,1.0,1.2164224757320676,0.41068687584067576,0.5372293495328258,Feynman56,z,0.4126325466195561
1.0,1.0,1.0,1.0,1.0,2.688010569620956,0.9075224151871888,0.9731449974716953,Feynman56,z,0.9121435610386643
1.0,1.0,1.0,1.0,1.0,1.7782801504527772,0.6003804878066058,0.6696334893988456,Feynman56,z,0.6010040685334127
1.0,1.0,1.0,1.0,1.0,2.3292599243577765,0.786401517926315,0.8464849756152382,Feynman56,z,0.7938278591969143
1.0,1.0,1.0,1.0,1.0,1.539641118321519,0.5198115074442139,0.4478078538244511,Feynman56,z,0.5185136258354084
1.0,1.0,1.0,1.0,1.0,2.8521916630486914,0.9629530091437529,0.9619232004502448,Feynman56,z,0.9621707345317336
1.0,1.0,1.0,1.0,1.0,2.353477074917072,0.7945776788435774,0.8043388080645234,Feynman56,z,0.802106265106553
1.0,1.0,1.0,1.0,1.0,1.9394302972922335,0.6547877777631094,0.6342790659858468,Feynman56,z,0.657663083938882
1.0,1.0,1.0,1.0,1.0,2.7984998870084064,0.9448256658890574,0.8617144446009974,Feynman56,z,0.9461620333235319
1.0,1.0,1.0,1.0,1.0,2.2128459484575913,0.7470979922019436,0.7252866985826348,Feynman56,z,0.7536305582828743
1.0,1.0,1.0,1.0,1.0,1.7691785964377404,0.5973076337133097,0.6351685678894291,Feynman56,z,0.5978184392054338
1.0,1.0,1.0,1.0,1.0,1.8912511810255126,0.6385216110857497,0.6722200346390396,Feynman56,z,0.6406891125178786
1.0,1.0,1.0,1.0,1.0,1.2801370826816552,0.4321981134210197,0.4549491082716101,Feynman56,z,0.4327741417690772
1.0,1.0,1.0,1.0,1.0,1.3281684707723573,0.4484144043156697,0.4204822879786043,Feynman56,z,0.4482222656406713
1.0,1.0,1.0,1.0,1.0,1.4913597139266814,0.5035108063903445,0.5268177107995924,Feynman56,z,0.5021785592676054
1.0,1.0,1.0,1.0,1.0,1.4725456920690478,0.49715884232123303,0.43198876960653065,Feynman56,z,0.495854774582829
1.0,1.0,1.0,1.0,1.0,1.7221772892069254,0.5814391172955788,0.48770058410853934,Feynman56,z,0.5814058158316349
1.0,1.0,1.0,1.0,1.0,2.7767579409905814,0.9374851801097368,0.8970341045933343,Feynman56,z,0.9395787745560154
1.0,1.0,1.0,1.0,1.0,2.2651168717877996,0.7647456291274874,0.6830497619533162,Feynman56,z,0.771754771020372
1.0,1.0,1.0,1.0,1.0,2.539859405096246,0.8575038236824618,0.7045012331799728,Feynman56,z,0.8645462574064634
1.0,1.0,1.0,1.0,1.0,1.4102513810234372,0.47612712308193467,0.591769357537309,Feynman56,z,0.47509846475051837
1.0,1.0,1.0,1.0,1.0,1.073341563903501,0.3623800960469652,0.4670727023217188,Feynman56,z,0.3690400010916932
