n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,1.0,1.0,1.0,2.981872128771616,0.3233285296697491,0.2567320845176097,Feynman81,T,0.37171552989979556
1.0,1.0,1.0,1.0,1.6452317615289616,0.5425886753901008,0.4763150013298076,Feynman81,T,0.5404465135989406
1.0,1.0,1.0,1.0,4.952769207176969,0.19920757545307566,0.25855667577663993,Feynman81,T,0.12291915998676378
1.0,1.0,1.0,1.0,4.377611398550451,0.22454285578061162,0.22860683940053475,Feynman81,T,0.19552424556793577
1.0,1.0,1.0,1.0,2.794613812649443,0.3433022631523163,0.2929303581745372,Feynman81,T,0.3953541063727315
1.0,1.0,1.0,1.0,2.513225298172101,0.3781464786139868,0.40389289595268635,Feynman81,T,0.4308752219571024
1.0,1.0,1.0,1.0,1.2591486514469858,0.6607746546944058,0.6588351029249504,Feynman81,T,0.5891837790535212
1.0,1.0,1.0,1.0,3.2472407866636526,0.2985744104953616,0.28786145769841076,Feynman81,T,0.3382166866797488
1.0,1.0,1.0,1.0,3.2967511366789886,0.2943560781181982,0.21845535428936041,Feynman81,T,0.3319667421548647
1.0,1.0,1.0,1.0,1.2986682745475226,0.646940836022307,0.6592260658515957,Feynman81,T,0.5841950126676799
1.0,1.0,1.0,1.0,4.787856564979733,0.20587673038335538,0.23437467479435706,Feynman81,T,0.14373691771177632
1.0,1.0,1.0,1.0,3.7389792096680705,0.261252959069991,0.3023452251107798,Feynman81,T,0.27614203560049416
1.0,1.0,1.0,1.0,3.391284218865192,0.2866142286613718,0.2333992580638607,Feynman81,T,0.3200333482469399
1.0,1.0,1.0,1.0,2.6926782707535453,0.3551959693619876,0.3768610019451593,Feynman81,T,0.40822195243531995
1.0,1.0,1.0,1.0,1.3971042928159365,0.6142799246324682,0.5293662596252126,Feynman81,T,0.5717689252598137
1.0,1.0,1.0,1.0,1.511811631800276,0.5793329323377691,0.5674004351888632,Feynman81,T,0.5572888253004196
1.0,1.0,1.0,1.0,2.5187874541286415,0.3773932134087641,0.34209801244966603,Feynman81,T,0.43017308245606367
1.0,1.0,1.0,1.0,2.690188863689775,0.3554962349062964,0.2922065716081797,Feynman81,T,0.4085362030557438
1.0,1.0,1.0,1.0,2.29436144107084,0.41019954911795226,0.3483300860782844,Feynman81,T,0.4585035309706814
1.0,1.0,1.0,1.0,3.4251797658920946,0.28393364092807966,0.3576676532891896,Feynman81,T,0.31575454024840494
1.0,1.0,1.0,1.0,3.493624536005225,0.2786664669702387,0.28310934914183,Feynman81,T,0.3071144074899143
1.0,1.0,1.0,1.0,1.5876974097342447,0.5579440561645237,0.5412775287928737,Feynman81,T,0.5477093717570634
1.0,1.0,1.0,1.0,2.4414453106066927,0.38812742588593185,0.30679439004030296,Feynman81,T,0.4399363783709318
1.0,1.0,1.0,1.0,2.6024807652942323,0.36639157279067247,0.31251368384364525,Feynman81,T,0.4196080462410774
1.0,1.0,1.0,1.0,3.3977543988662466,0.28609875932225576,0.2587134844034722,Feynman81,T,0.31921658438089895
1.0,1.0,1.0,1.0,1.1192102851109031,0.7131118287291421,0.7864378428468012,Feynman81,T,0.606848923058295
1.0,1.0,1.0,1.0,4.2607065744348365,0.23048617314486064,0.254499855925274,Feynman81,T,0.21028173531072727
1.0,1.0,1.0,1.0,3.4021031848967835,0.28575330728564835,0.3299090197431965,Feynman81,T,0.3186676149108515
1.0,1.0,1.0,1.0,4.45314100335389,0.2208605388107966,0.2656203322700923,Feynman81,T,0.18598976013523325
