epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.186565241848362,1.0915028418788415,1.3200551699281649,1.8292709286425222,1.4816337114726843,3.219965046208086,2.2821936487008743,1.6154847969350548,Feynman33,None,4.2341789731166015
1.570321545245985,1.6884864566446098,1.5191405506485658,1.5730617036350494,1.3333047678331247,3.577224375416469,1.6508543773819921,3.0704095143160792,Feynman33,None,2.2270345393283697
1.7871405111805163,1.686293379200929,1.7069148664454135,1.5736589624951145,1.0374680720808391,3.0056625169305855,1.6662985814654385,1.5812309471908894,Feynman33,None,3.8262572797935417
1.7143912427771393,1.5718376768686737,1.471063048872315,1.4619447950861286,1.1897353271968707,4.884574002550812,0.20765740528414972,-0.027351762472894087,Feynman33,None,-1.4842842514900674
1.5099256462179163,1.991018596028996,1.890085513678883,1.6019532810283477,1.7879729570070289,4.881181879680789,2.7724630114586453,-0.8014636224462635,Feynman33,None,4.369965443688871
1.07723000722038,1.0442535663102435,1.7413799939921204,1.0806860574440673,1.0074321667821438,3.73519803986954,0.10270693331798751,-0.2692698167357246,Feynman33,None,-2.088151261983621
1.6188374729365123,1.5820255305045934,1.1701650261604233,1.0006894434477864,1.4351084948315496,3.6944161293657207,0.4645496884906176,-1.3991447175740408,Feynman33,None,0.12672950301836244
1.2243911495672624,1.2023725116134636,1.9382738098048797,1.8099138326004043,1.3013058609621642,3.7381208408335476,1.443125330275351,3.3047736493898032,Feynman33,None,3.2308197564366052
1.2086837896094802,1.0246679069021427,1.307109672434701,1.7101648965151734,1.4695032402432768,3.3091499593948255,1.5641801755984952,2.1634096316682405,Feynman33,None,2.8481807934362107
1.8920972213441072,1.69181035140925,1.7806883821959754,1.2492329046643038,1.9555165072476903,3.4473706683863434,14.934401532112565,13.688464874989982,Feynman33,None,13.66292054536736
1.283834578221133,1.3081507595067579,1.3819587243078768,1.2450301336857776,1.5540078203542724,4.380010440692815,0.43189210766199726,-0.6149337814302354,Feynman33,None,-1.2738073903526823
1.6614037455818806,1.2961074250012614,1.6538494095845753,1.7541762060416652,1.3558164627903588,3.374340221885748,2.814025164646372,3.756447722716541,Feynman33,None,4.523397130408925
1.1971914746681347,1.0864804556690952,1.870322927450539,1.284156845832507,1.2289130484326742,3.4968912108893355,0.6240205723067489,1.0144616997842357,Feynman33,None,0.7413677679891597
1.3550521771863027,1.045417744958148,1.3947545519489126,1.9580284891822015,1.6850747254782124,4.476170074918194,1.2065865116483199,-0.9194834489599453,Feynman33,None,1.439231646768476
1.628952718153783,1.0958557446052364,1.4339131918860941,1.4811832478507405,1.2384209465329863,4.560592163333409,0.21376408132455532,0.29029474572283803,Feynman33,None,-1.9084855664471996
1.2377862881535548,1.6188111185580194,1.4570248041358909,1.087604753695452,1.3044379648548796,4.614658499207533,0.15895550323888555,-0.5373992687617135,Feynman33,None,-2.418896404685544
1.9363560456235216,1.6686559562488417,1.5890980484938582,1.7611671512828666,1.8386212484102873,4.614578903831254,3.7751683573893997,3.379641103811372,Feynman33,None,4.960730895223827
1.409271859397792,1.2178789865926487,1.5828009351966252,1.8287428301862667,1.1163685171029556,3.6194790637048557,0.6657638715068797,1.4746119892128002,Feynman33,None,1.0715539202541777
1.3494049465431313,1.7746774352494712,1.488458425592456,1.2931369819371705,1.7926003453966897,3.8652723737794052,2.790481836315685,0.9101039858083975,Feynman33,None,4.028189817524663
1.7046924681296038,1.6197461067732286,1.4089296707249972,1.2988801578130853,1.4597066181635436,4.346176157347683,0.6261670582100503,-2.541643239716818,Feynman33,None,-0.45280562892244985
1.8097929381918778,1.923169063227855,1.48627693494843,1.5356847464354009,1.9562854886591463,4.578274825438439,3.7894216311146325,3.607548224700404,Feynman33,None,4.734958487446594
1.4089863373966807,1.0426905119219416,1.430298571143598,1.7460689637156923,1.897842319739098,3.622798711529862,5.490757411655557,7.3883888787104794,Feynman33,None,8.043172944013499
1.8839359778463394,1.8540255781465929,1.1279070259606763,1.6232746154789193,1.8541006413381549,3.7453570857367704,5.168226080647929,3.942526350001354,Feynman33,None,7.4804906856948294
1.622146743074385,1.9090127708576659,1.3731790778855624,1.7879158414718357,1.3836251068992818,4.148033665552781,1.2254471779934257,1.881946993005775,Feynman33,None,1.3081166565591538
1.2908320810143419,1.1317176696068563,1.0653512477319227,1.9875738854634184,1.8745687062149896,3.2890636085073055,6.35068709936633,6.76776522733616,Feynman33,None,10.537821016553133
1.0670587308924673,1.1945144268736687,1.96914974898759,1.3057980522913222,1.3919221397728703,3.8972672493869354,0.754612982881848,3.595480867032628,Feynman33,None,0.9259097519624859
1.9446727435956115,1.6985360111751544,1.1258123781824168,1.584059481218449,1.8519040776293276,3.0003718959148364,16.66595517063947,16.86536978965396,Feynman33,None,14.966162631780339
1.667278851535508,1.8171159102871048,1.8395578470255143,1.1906578445545544,1.711872710497865,3.062354873278955,12.57715086879384,14.699686804339496,Feynman33,None,11.829325267655122
1.272013745917644,1.9377720614987846,1.7753702326771936,1.701416176695627,1.4549461595031565,4.623618323674967,1.1379235959843745,2.598855242904172,Feynman33,None,1.8084531209679329
1.7676301671767645,1.7061753078235287,1.0507197547057743,1.7628874426941712,1.762737214100773,4.403283344915189,1.5786267875619973,3.2995317084427302,Feynman33,None,2.1238634096449425
1.4556223646316426,1.2052754301684925,1.5531661189528787,1.0189605399836785,1.4687002882972313,3.894998921334519,0.5056960528981151,-1.2255159125365673,Feynman33,None,-0.3273149981159153
1.6923535821004274,1.9574379206627626,1.3370349566136888,1.7644441305382408,1.5551220224838818,4.623132581176048,1.2571342018097067,1.3330520763196285,Feynman33,None,1.3509733469185425
1.132801869120858,1.6038454442377228,1.034838893706211,1.7418625718107066,1.7485891698210754,4.364542779214307,0.9039446997210369,-0.7903648477562747,Feynman33,None,0.6917467824596001
1.355428226633061,1.1642848243679706,1.5403819912810022,1.287106487252468,1.8913613451137776,3.366686108273474,5.525657522942715,4.4384615129169855,Feynman33,None,8.953033748333715
1.947866800396934,1.2769884234429913,1.0257233231641698,1.2667294885273899,1.2330568454569157,3.6861036939564267,0.27925551889371164,1.4381229592165268,Feynman33,None,-0.4520341660350124
1.2622010030632085,1.4621347803882352,1.2683783149173578,1.770362934831152,1.8786611036610246,4.361494583716674,2.0227141394541457,4.533884548176293,Feynman33,None,2.7758140320506266
1.4272709998499922,1.8510802425963244,1.2548718698929187,1.3845447109847118,1.135202127782994,4.410162923994784,0.16821058719782422,-0.7118761597729512,Feynman33,None,-1.9669005088616378
1.368744425863846,1.886156111317793,1.0280838129834122,1.3800688813760895,1.1425251544093573,3.488489554177377,0.31427881256030005,2.738424284194524,Feynman33,None,-0.8945267233127402
1.511475456869043,1.966864606082453,1.444067380134604,1.6898270318448374,1.5665666013575237,3.3709126134739753,5.626895379057985,3.6156223834341015,Feynman33,None,6.494414231714588
1.5540546456041686,1.3711774185025019,1.8005134403298766,1.5602442646257297,1.5661805056558782,4.274787208368261,1.69329341444582,4.00969862563727,Feynman33,None,2.2292087354252748
1.0886678562772467,1.2630220881977987,1.336864901523663,1.105593968765083,1.9017482101880365,4.937725111158101,0.38170789165997354,2.3463310229279295,Feynman33,None,-1.4729307837546004
1.7506155442890554,1.1776650374276292,1.9140770819216248,1.9197686340366948,1.704954392838185,4.837508093627609,2.3457911020882163,3.5253550757340353,Feynman33,None,4.479097459844128
1.521921862196638,1.4054751611903795,1.719449099485597,1.3020842392556184,1.072104897811605,4.981472109124805,0.10594317818539546,-0.4356000836641717,Feynman33,None,-1.9581655297873266
1.4365681586362342,1.0454098456853649,1.7563359251206228,1.5440919718393622,1.643605251510672,4.325035904315099,1.3181624436215582,1.0446285992823972,Feynman33,None,1.5248964315181202
1.2007177258661192,1.4430944391311618,1.5069926752740153,1.1695180992115777,1.8387335997497625,3.81211090164513,2.0724723257276785,0.6410508715183283,Feynman33,None,3.874155946206916
1.4294525806896776,1.4180380659358218,1.2398088382453878,1.7283249801102016,1.8052848478668875,4.6386830466018285,1.2421313037298294,0.4907413586938333,Feynman33,None,1.0637900384521692
1.192009691225127,1.549252868511255,1.197799544343372,1.2062464992570234,1.690599746407313,4.630335519623756,0.38204545865393574,-3.5169747538826934,Feynman33,None,-1.4807936796036874
1.5065152802272062,1.45833543765995,1.7535169997433997,1.010608066271947,1.162729734507514,3.910582545136385,0.27180037642960075,0.3891828354826768,Feynman33,None,-1.0944187609625153
1.9224220569211345,1.2673491242051287,1.8555813093114617,1.877643490653358,1.7026435609374384,3.195530098868865,19.471206843217423,20.54925192566431,Feynman33,None,14.558089912055074
1.7514771249992207,1.608837350592967,1.54396037773966,1.9071450487370165,1.3748749250112158,4.535248575064765,1.0481604280189158,0.8176597689665145,Feynman33,None,1.3836262726964497
1.431481344165393,1.5940574764920274,1.4145250574168053,1.8646049059200562,1.3447096188057603,3.8820014722027016,1.2362019359674328,2.7179920006551512,Feynman33,None,1.505610164767763
1.2711645637740876,1.804253897184334,1.6405226737281313,1.8889632772656646,1.5803221107165246,4.450946316576216,1.9196056025108557,3.315467287830918,Feynman33,None,2.8962799191610675
1.4454992032353031,1.102662981389359,1.949526315287755,1.5900196071913242,1.1889825669110237,4.985308205464038,0.23335295193643524,-2.1507679465742733,Feynman33,None,-0.63797419250495
