n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.040195104403816,3.4706336648133984,2.364900753559386,1.510582482511464,3.9924033655203592,3.1646948310053182,4.1128770616384305,Feynman81,None,3.1049937143647077
1.8356028372478423,3.7569455213640413,1.6613542072804313,2.6789204559174022,2.887971503452841,4.605316077283896,5.175611902798031,Feynman81,None,4.5744673938676685
2.416380540466308,3.031385914917557,4.2703850048094605,1.7258170469647447,3.1724511788523313,7.196649926898269,6.83825045645199,Feynman81,None,7.457744727792104
3.0905219616698183,3.0444672914461495,4.354149800566534,4.407090273343451,3.1509804027258754,6.980100450682979,9.650418781926641,Feynman81,None,7.088546403759406
1.8613795366668962,4.790331602798844,1.9760323006984084,3.5919848876327682,2.736695644652249,6.648100144204433,5.5008648566079135,Feynman81,None,6.256031245645763
1.2862308519421997,1.2631924273226836,1.2565054170974532,1.1795460135345803,4.74923896841948,0.4484097386182021,-2.6452420599460424,Feynman81,None,-0.8498854924681448
3.4951656787102965,3.965360346090586,3.9241978705918448,4.973897954822621,2.856925668250481,11.069896538145041,10.886324332831505,Feynman81,None,10.732319882870941
1.9541955503441217,3.3824615847761446,1.3443162129161021,4.779073981274765,3.5453269250540265,1.7325292382029207,2.1627977576732467,Feynman81,None,1.2995667959300894
1.9091851011079237,4.203480717405087,2.5318544959096307,2.552477160696959,3.315898803034959,6.824286041163424,9.988683856558108,Feynman81,None,6.592032826872535
3.214440469159069,1.9182488336718082,2.424144365006381,3.158935835786828,1.9167251753781267,3.9818591627665536,4.559379672406328,Feynman81,None,4.191935181691812
4.259084708348149,1.515710815593739,1.3257758708424423,4.83343721086918,4.987272703298905,0.5369026150574052,3.391612891539733,Feynman81,None,-1.6602463244446526
1.9969941807026688,2.8176121605312723,1.6627069160294625,1.774154845605156,3.2057224687972337,3.809816094423254,3.801998215070663,Feynman81,None,3.6443407026973746
2.441166452190101,1.6786953685948443,1.1588975879358063,1.629268507236472,3.1626396404665282,1.4776394476484451,-2.0506650341310717,Feynman81,None,1.2638602749133245
2.9055065302997605,1.4970382356602063,1.6262442919947047,2.6511541276548996,1.0301357244760898,3.0973947419723875,4.244861168854057,Feynman81,None,2.630052019941526
3.90480509442509,4.865383335222624,1.6137475707638957,1.7239952884990748,2.699983704043907,17.73943415810723,18.855483750279166,Feynman81,None,16.02908265493827
1.4866692887925494,2.0265833323930624,2.130782779047509,2.429002629963912,3.7443547116222766,1.33186113337485,2.8316486164279486,Feynman81,None,1.1020867350753158
1.8617756562108752,1.4916340378739346,2.331126073706752,4.523755142419807,4.268572159622551,0.4947399958420017,-1.4229337976458512,Feynman81,None,-0.9215069531465544
2.6625345617908835,4.386926872456396,2.8375698521275194,3.8584797394245895,3.3654220142313136,8.68626724836811,10.004166140887031,Feynman81,None,8.602272234339763
3.6890036789029175,4.100786284805151,4.480474417892202,1.7520110755013363,1.3677290864088048,15.127809070495706,13.497290122510304,Feynman81,None,16.595107527168892
2.318718316377652,1.6498698499462168,2.5494809020750404,4.543915226281282,4.32463159598763,0.8065974502782445,-1.7290782512232856,Feynman81,None,-0.1702887672050395
4.169063109533352,4.44465081052719,4.838895361217848,4.675793865550321,1.2232841503249903,18.509953781017497,16.990664293480474,Feynman81,None,17.88911269375838
2.694941162152252,4.4797373093998205,2.7667339001522806,3.003612105067523,4.250160116956651,9.04355635499738,10.633669038071355,Feynman81,None,8.85544742914388
2.2213046355370367,2.075433239967735,1.9543242019047984,3.5512474643281684,2.928736255862624,1.711960677389834,-2.5651928980641396,Feynman81,None,1.8440706579678319
1.5601293478902973,2.9305661416807096,2.2820891876845306,4.8201332351638735,1.4452438871425257,3.4029375231908414,2.718082247577889,Feynman81,None,3.335129212962457
3.999892781304033,1.8134390641558449,3.793930972463951,2.741003542868271,2.9494620290946756,5.016579237092161,3.553749586238153,Feynman81,None,5.45673497015811
4.167618573184594,4.2471893959113505,1.6401285325037138,3.8087517447274206,4.9582701986809825,6.248298627264144,3.5649176512549907,Feynman81,None,9.377809633172888
2.076180285406719,4.254307088972814,4.410124490465123,1.9062220090356168,3.515536545377578,8.76758853949322,6.62031232971651,Feynman81,None,9.379490853849811
4.300392397623435,4.747949197767944,1.3791942196770584,2.8232073985777446,3.9399680594245754,10.800367975231673,10.745486361671874,Feynman81,None,13.828906183386946
1.8967841901720415,4.900102777531544,3.542217355771722,2.829378633425352,4.624689234139732,8.07120533696051,6.754028140233963,Feynman81,None,7.520449566951775
3.041426568508001,2.852561210159599,3.8970227914224913,4.110053277479732,2.6566373936063554,6.672508168613143,4.9898423537266625,Feynman81,None,6.797589382914222
4.280236984790575,3.1036095897272475,1.9280242253643491,1.3326958061046743,4.771116161104603,9.77344102237528,10.212826798037076,Feynman81,None,9.45215420916211
2.135655708313272,2.404110004665994,4.51757180529475,1.1932253638079362,4.577569548434054,4.945397938861368,1.9604434113102154,Feynman81,None,5.0463152960365445
1.6768534598896268,4.541254104576483,2.618288548218699,3.688669275548346,4.102758917004641,4.995122268624269,5.513765159183149,Feynman81,None,4.578806293494263
3.774206072132318,3.613681749311113,1.2303807693142477,4.488791327705061,1.2310833842829298,9.091513331746011,9.80848021741365,Feynman81,None,9.402426353881422
4.107415598657301,1.5417133751114571,3.7587871550210363,1.6568483807352004,4.825493602020183,3.9253805739050693,1.4114635991298523,Feynman81,None,4.3102767386165874
3.0370866782265287,3.545802806711464,1.1628337670312452,1.0667936921273613,2.9811244502085907,9.270080175670582,8.567395733503497,Feynman81,None,7.989532722277443
2.305321836029818,1.5432309360671028,3.8954055834548442,2.284619360126729,2.64432523472092,2.702091455822539,-0.7014789455761368,Feynman81,None,2.723206043603152
3.9107815187176156,1.1508542648641464,3.657320463523146,2.750488197074643,2.6912292810307124,2.3149364285721545,1.8926660795277417,Feynman81,None,2.62829298122507
4.212127353542719,3.717041316053115,2.285677802928153,1.9750150205168366,3.248398845879764,13.58745214487143,14.273297865055318,Feynman81,None,12.945105628247402
4.692461787578958,4.319971135006272,1.3738243091503501,4.177575688543232,1.8261748415785988,13.2071968266399,10.417949738799468,Feynman81,None,14.824141127457843
4.702104563351691,1.6582230936006388,3.459030064354662,4.86354297462748,3.602708566614248,2.4649850211529247,3.2084055852229234,Feynman81,None,3.2496304442369066
3.3894818924132237,1.4225092252976759,4.354476925022453,3.9940569585399066,2.6779909756087275,2.51697832735968,3.705778003548512,Feynman81,None,2.8323229647797006
3.369599747798747,1.3948932773521618,3.924552803660742,2.647048034826813,3.6394277483166815,2.4162474360499298,4.286553260384152,Feynman81,None,2.7697702429602122
1.033459596082269,4.435534951892753,3.42656658975611,1.6613203834862431,3.3558338953232654,4.5448170916410735,6.918670245709601,Feynman81,None,5.710971467874393
1.6142872284860839,3.132892608650474,4.347755224015653,4.931213171191296,2.870269202819532,3.7693949429503024,3.923957760346142,Feynman81,None,3.741210801606915
4.254789852545922,3.022497581951839,3.0280049537019136,4.111204786498664,1.109540723226504,12.403232159433639,12.378386290007118,Feynman81,None,11.174070536924178
1.4549173742230646,3.224813556913358,2.848685391190003,3.2636693205277587,4.776228762117695,2.483919004659592,2.1194075495565743,Feynman81,None,2.2005553042327044
3.266674791225847,1.2737399564165028,2.3718541304181344,1.052554994465328,3.424902342687179,2.84930048856232,4.765598021139496,Feynman81,None,2.3630072647529854
3.596214886636527,1.406288199563539,2.4967437446857756,3.0063580200795816,2.950904959764077,1.9032254875077708,2.1192740933610517,Feynman81,None,2.2592518202188367
1.5342854769598566,3.514755203081613,1.6491556766671698,2.730704194474339,2.95462951345025,3.3214891156033013,2.251924653337901,Feynman81,None,3.2542781884934073
