n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,Predicted
2.278984903523446,4.84021687549243,1.1113599739782423,4.842341031276229,3.154276043302761,3.7317941029956896,1.964715436272112,Feynman81,None,8.084049856912966
4.238694484378707,4.719749560904452,1.6841239311157987,2.7368017952997494,1.5184738286437391,19.151537192599356,20.07356230424034,Feynman81,None,7.9902884058653
4.7140404119852475,2.8052770819885557,1.9362441037996798,4.424050616304177,4.011757332852026,3.92536462478917,3.430928973646276,Feynman81,None,6.500226746454945
4.818105954173889,3.473198944349994,3.3894516966826456,3.95968300248368,2.314660196005185,14.352314389423398,17.137906098878624,Feynman81,None,7.020080007429605
2.378622623679263,3.0342135112606443,3.693638295216462,1.5523108471958826,2.394355230390434,7.182632150146594,5.170768175472512,Feynman81,None,6.678411282859283
1.4967770601029011,1.2136925645035443,1.3239542464298455,1.431412201272341,2.6257880096938484,0.7325501195707282,-0.21225618930625445,Feynman81,None,5.261473459020795
2.8162998643722035,4.762646417234537,2.1700797941382777,2.8599981971437094,3.49167494404606,10.407055619341794,8.841426319184135,Feynman81,None,8.023675647656772
4.399827179013849,2.6255078714051385,1.5305364074777077,3.763905878205607,3.1204061479475995,3.8050277771436463,4.016354311995246,Feynman81,None,6.360309765840832
3.5078247377065255,1.2404199190132514,1.0782004959372964,1.5536381417005085,1.7809233682154635,1.953384849987588,0.6373336787563104,Feynman81,None,5.282275749795279
2.4917232798562314,1.45829885321161,2.9692768580508275,1.7864255274476672,3.271635368783093,2.2880395973947327,3.634772337085385,Feynman81,None,5.451854078668943
2.856749947573745,3.751506663615048,3.6245940119298847,1.9937471240760423,2.9450112132278026,10.510393727453256,11.903231378271087,Feynman81,None,7.236690933103224
2.110762826563384,3.1041980123405004,4.406579845289331,4.517628832190184,3.00974751929146,5.006650904257227,3.582132276540529,Feynman81,None,6.732881232588086
4.9300228839884515,4.674095607191068,4.946715410033102,1.9538185475542589,2.4355388259806596,23.04062377184977,24.961070770745707,Feynman81,None,7.954755274873856
3.995609550113941,3.496849502277303,3.3951148728973988,1.715590545816509,2.6408114673801615,13.824855079136277,15.14397429559791,Feynman81,None,7.038487578028811
4.950095212628126,4.853235945161953,3.859808644228521,2.854454419839627,1.1274967656031016,24.02355728418218,24.239517227541736,Feynman81,None,8.094182794426093
1.775722578499317,4.043297614486217,4.728154263594556,2.9048338145713783,4.7908097006313275,6.314873610107932,5.065762531055496,Feynman81,None,7.463796054035558
2.860048782619778,2.279729002720243,3.2902944640550946,1.8322598104765166,2.0244580002091435,6.295597703326255,8.869981059740084,Feynman81,None,6.091185062673634
1.662525488725875,1.5420772094065165,3.454006077044946,4.218203446858386,3.3391388572026046,0.9257729250315972,-0.11893849713284521,Feynman81,None,5.5170599847790465
3.353102620984243,3.314263628861196,2.1182332737024283,2.33278192159047,1.5660307858796823,10.646955654066206,9.797271804382001,Feynman81,None,6.896378346843781
1.6119580546822725,4.121636466031346,3.811463144603293,3.202773240012566,2.30373603739515,6.458546654593985,9.86102027171305,Feynman81,None,7.524768317012155
2.7880076071708735,4.747410599569259,1.8469090543418698,2.628494434839269,4.530022533244381,8.298139133459081,6.8190912257843035,Feynman81,None,8.01181738964004
2.6081929750540533,3.994629476302847,2.296583794290228,1.4745216589969279,2.0776718142572115,10.366677289170699,11.742216632451079,Feynman81,None,7.425916939093543
4.0646018908876265,1.1530818884018408,4.979511320777625,4.97710188799636,2.0358138721717505,2.4039232196764835,4.201386917911757,Feynman81,None,5.214299296693035
3.6644820503080013,4.2949014722145,1.8252272057059922,4.28314320871929,1.1093085581999578,14.618672634433045,16.35397591110317,Feynman81,None,7.65962298375992
1.0100567883181726,2.687520467376687,1.1644990063927567,4.695346636923837,4.14896755491751,0.432381316455433,3.926151802721587,Feynman81,None,6.408575060330676
2.937229160685857,2.0381688353825567,1.7910438821298085,1.6080910957564432,1.1563267171133211,5.755068613083492,5.3881157284628785,Feynman81,None,5.903175285573128
1.7403112913207193,1.249080430339656,4.563744478788974,3.383447291382877,2.7559554963252815,1.1848605198550763,1.8330285869834073,Feynman81,None,5.289016348624447
3.4020809735334576,2.0971028603748536,3.676772550017377,4.03281225495545,2.195454099772149,5.007120898706108,4.308365395592442,Feynman81,None,5.949044491409898
2.757495378265259,2.2713788418331355,4.031236157270122,4.21267168968785,3.244052789488648,3.6639618336217845,0.4676985289367659,Feynman81,None,6.08468601070831
4.5673857662816175,3.490813776457838,4.103969020413553,3.5816657570424986,3.6700761596025955,12.704523885930525,10.976573717889814,Feynman81,None,7.033789885774921
3.3377559866446678,2.1678689147048305,2.714598192927916,2.129056773186798,4.497497170879935,3.9604887414144168,6.320144411616797,Feynman81,None,6.0041227359257885
3.8395299351332666,3.9140882018821292,2.0944867995719902,4.645450933443163,3.2602521237085527,7.423404467608198,4.0093398916191685,Feynman81,None,7.363230499643272
1.247401544474204,2.2738013034995386,4.489825618788322,1.9121260895483698,3.5908547568783753,2.5604912024520243,3.5323029759470477,Feynman81,None,6.0865714455122815
1.2844784827140403,3.200857184497268,2.0391792532923776,3.982563157438419,1.630735150756232,3.13988118819466,5.848910625065892,Feynman81,None,6.808112464523856
1.057406981252376,2.8559137019658065,4.544377917042247,2.8780172876464225,4.988243571549468,2.169016912318669,3.304548524627558,Feynman81,None,6.539637955384263
1.1391291222156354,3.940154372362281,2.5787017588809165,2.6959869087183606,3.1070608271897444,3.7592824927858897,3.454315167218094,Feynman81,None,7.383518173552816
4.190581517814552,1.1917550496766949,4.2887621214385145,4.42904766028579,1.578937154636204,3.1143550996107647,3.0308876334805945,Feynman81,None,5.244399178670174
2.5416730135934316,4.986562112168392,4.3509219137385164,2.573829032575581,1.4292391422769621,12.674019325912912,8.929334165205553,Feynman81,None,8.197952476839776
1.805509426072244,3.5670189529692826,1.619250565455295,1.8793772041923513,2.2229204906403766,5.677251026649398,4.62917162509236,Feynman81,None,7.093101473616979
2.7560980986791237,2.7251504882166637,2.5019381068390825,2.3873473333256587,4.963714997808255,3.900270917236987,6.770208120899158,Feynman81,None,6.437863055015753
3.2211644666116936,2.118783340465723,2.300996039007378,2.9848661226508586,2.434229028795829,3.9969007416089988,4.079496217852564,Feynman81,None,5.965918722610126
1.2568056368814524,3.5799885163670684,4.0573367379777,1.8427646872313925,1.071765307137674,4.499346064841908,3.784257859564976,Feynman81,None,7.103195872611799
2.7669627498210128,1.7784049382200364,1.663627051492493,2.5793279388362635,4.766026709659038,1.1619406303896298,0.8815037228985967,Feynman81,None,5.700997280496445
3.3528579489796417,4.908766319914292,2.014908789991072,3.5005253307152158,3.2312825823150746,11.58033096401775,12.013363460372618,Feynman81,None,8.137402885013751
1.327827881118354,4.926669167521107,2.8443081680071045,4.512393221257398,4.425418715018266,3.9608014842364465,2.326744710306227,Feynman81,None,8.151336926406993
4.842477350404689,1.5919336196432599,1.4999986483285324,3.7107386062108563,3.944119390772164,1.2467174956881568,2.6012246364148313,Feynman81,None,5.55586395583278
1.3492035728929603,1.7685921259497297,1.8773157036556802,4.884896075018425,2.492161448884186,0.6351171714289091,4.188604475797687,Feynman81,None,5.693359824003915
4.021172744249525,1.8694864816881918,4.012178378167134,1.1173367694595702,4.089888440800633,6.973741044542355,7.548217921173416,Feynman81,None,5.771887368325035
4.510897891364479,1.006487577103821,1.0493199574911412,2.870682658582333,2.629602348597357,0.6310906270428216,0.8845862299522655,Feynman81,None,5.1002028209550465
1.446132314600348,4.40649113855357,3.120047075768503,3.4384707297325092,2.7778382637687593,5.694202927710242,5.3687585940036175,Feynman81,None,7.746474833704888
4.67352456266843,3.5308409622638783,3.3472383509334542,4.7706034744215815,4.279123738912103,8.612077848838679,9.550238222088792,Feynman81,None,7.064943623657034
3.284983154102052,4.913084605776389,2.0442357140555703,1.9572422353582413,2.821718106945936,15.31135838971652,15.58050613428772,Feynman81,None,8.14076386980397
4.526558148123909,1.7137476717578228,3.0291203184069526,3.102392795374919,4.867483337328258,2.5664109125407633,0.43997085563235805,Feynman81,None,5.650673596765769
3.0653508657895445,3.986840705176976,4.715242367154852,4.662501897789177,1.4489686167786573,12.127843073022648,15.414162448227128,Feynman81,None,7.4198548264838715
3.1018075554391893,1.625597613308798,4.735961078856908,2.2881337947055465,4.527606732332764,3.1818820844273867,2.367135794421343,Feynman81,None,5.582065127787019
4.652280425692851,4.815216464763588,4.382883655893184,4.677353993099429,4.972250172565044,16.127143381650054,14.793086690030496,Feynman81,None,8.064591679740216
1.7735384008269262,2.6139891052858744,2.8027976885481047,3.2361424819328866,2.155543863627639,3.6249925250567654,3.335893299222822,Feynman81,None,6.35134453960562
2.0050125901544726,4.949636254460548,4.788259246284239,1.510728623191207,4.991052031713582,9.887205498458867,8.734045281715689,Feynman81,None,8.169212545258214
4.319737226542438,4.491164357995132,4.021447302431518,2.910787107412263,4.26500358604533,17.395462905686284,21.286524042095888,Feynman81,None,7.812377231751007
3.7729863307144753,2.6529362073017,2.938058606855005,2.7534849315573355,3.5889812155057856,6.583184341624918,5.892577906553665,Feynman81,None,6.381657636406478
1.324944569689432,3.8491173096559956,1.2174236845967483,1.8917389472076849,1.7025190883636174,4.572889654255638,5.210414155871899,Feynman81,None,7.312662709497333
4.886329295548565,2.1354332547195516,2.7426041288349463,3.157113451656683,1.1644094011126151,9.606238812944946,11.513359434301774,Feynman81,None,5.978877595483174
2.025630868696203,4.340991925304171,1.6010984427501418,2.8631447408824227,4.460300151463247,4.363204308358878,6.392210559998452,Feynman81,None,7.6954958475759065
1.8661496536663411,1.2181583625068044,3.7360792156991436,3.749805303083728,2.005457954558504,1.2292413876731527,-0.6310536820477681,Feynman81,None,5.264949255473719
1.9959835943246693,3.3389960050957463,3.171617509441556,3.1861755979500668,2.996151973325061,5.357174360510482,5.942726857364539,Feynman81,None,6.915627910989575
1.5078180099380316,3.486366567826601,4.049155095054948,3.1065189677050213,4.384449936160799,4.081817103313939,4.3135036692215385,Feynman81,None,7.03032855337026
4.18092683706924,1.3409809593980562,1.0691262464894957,2.478145443660796,1.8401393644097563,1.7067948520766574,1.5923754420337703,Feynman81,None,5.360543865035659
3.2744759280658524,1.178585888569994,3.816528567521187,2.024046286199933,4.932132784856853,1.6300623946343171,0.14774712174805749,Feynman81,None,5.234149427781556
1.606489102095042,3.448776614769656,3.2822872834977432,2.987182482490079,2.3679172924506022,5.106719659342127,4.408965584536288,Feynman81,None,7.0010717490699514
1.662312875047704,1.111102831806246,2.099982336395606,3.7021925372569293,4.00119471667997,0.2885473805798064,1.1193076938518873,Feynman81,None,5.18162638382223
