x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
5.0,1.0003917884521198,3.0,1.0,4.242432945532126,4.2592815333058,Feynman17,u,4.2592815333058,0.0,4.242432945532126
5.0,1.0005398885740213,3.0,1.0,4.242354435598963,4.233100459433983,Feynman17,u,4.233100459433983,0.0,4.242354435598963
5.0,1.0007404299310658,3.0,1.0,4.242248142063636,4.220246534115316,Feynman17,u,4.220246534115316,0.0,4.242248142063636
5.0,1.0012773427322843,3.0,1.0,4.241963652462795,4.241106084269257,Feynman17,u,4.241106084269257,0.0,4.241963652462795
5.0,1.001335959168016,3.0,1.0,4.241932601953423,4.220433302122067,Feynman17,u,4.220433302122067,0.0,4.241932601953423
5.0,1.0016591217633972,3.0,1.0,4.24176144374105,4.202678705771354,Feynman17,u,4.202678705771354,0.0,4.24176144374105
5.0,1.0020633018793874,3.0,1.0,4.241547444068121,4.250678024264242,Feynman17,u,4.250678024264242,0.0,4.241547444068121
5.0,1.0026171708945402,3.0,1.0,4.241254312411675,4.214192531039059,Feynman17,u,4.214192531039059,0.0,4.241254312411675
5.0,1.0028573572878765,3.0,1.0,4.241127239582341,4.248849726341043,Feynman17,u,4.248849726341043,0.0,4.241127239582341
5.0,1.0032390533311126,3.0,1.0,4.24092535490081,4.20069689599012,Feynman17,u,4.20069689599012,0.0,4.24092535490081
5.0,1.0041201028426345,3.0,1.0,4.240459613249016,4.251384310927178,Feynman17,u,4.251384310927178,0.0,4.240459613249016
5.0,1.0054397045311583,3.0,1.0,4.2397627183869036,4.280221137577341,Feynman17,u,4.280221137577341,0.0,4.2397627183869036
5.0,1.0058216820968071,3.0,1.0,4.239561143308159,4.288368574596608,Feynman17,u,4.288368574596608,0.0,4.239561143308159
5.0,1.0059824036790692,3.0,1.0,4.239476348489395,4.220664316680753,Feynman17,u,4.220664316680753,0.0,4.239476348489395
5.0,1.0060733302088867,3.0,1.0,4.239428382041363,4.209595357007194,Feynman17,u,4.209595357007194,0.0,4.239428382041363
5.0,1.0064444476273555,3.0,1.0,4.239232646446705,4.268623683001246,Feynman17,u,4.268623683001246,0.0,4.239232646446705
5.0,1.0075553287663337,3.0,1.0,4.238647125935752,4.2648296811178525,Feynman17,u,4.2648296811178525,0.0,4.238647125935752
5.0,1.0082674483432859,3.0,1.0,4.23827208575047,4.269480931885052,Feynman17,u,4.269480931885052,0.0,4.23827208575047
5.0,1.0084455085599027,3.0,1.0,4.23817834662461,4.237092018158564,Feynman17,u,4.237092018158564,0.0,4.23817834662461
5.0,1.0087837612715218,3.0,1.0,4.238000315419496,4.241944509525552,Feynman17,u,4.241944509525552,0.0,4.238000315419496
5.0,1.0090151026165448,3.0,1.0,4.237878585124476,4.251923851708418,Feynman17,u,4.251923851708418,0.0,4.237878585124476
5.0,1.0091193609934865,3.0,1.0,4.237823733197855,4.246166932940462,Feynman17,u,4.246166932940462,0.0,4.237823733197855
5.0,1.0096221730462012,3.0,1.0,4.237559267159654,4.251691994325268,Feynman17,u,4.251691994325268,0.0,4.237559267159654
5.0,1.0102749919352272,3.0,1.0,4.237216077121606,4.2329277873188556,Feynman17,u,4.2329277873188556,0.0,4.237216077121606
5.0,1.010514645965872,3.0,1.0,4.23709013966011,4.261310387181173,Feynman17,u,4.261310387181173,0.0,4.23709013966011
5.0,1.0106351338520287,3.0,1.0,4.237026833752137,4.246831755229814,Feynman17,u,4.246831755229814,0.0,4.237026833752137
5.0,1.0110090208907243,3.0,1.0,4.236830431684952,4.198420289165545,Feynman17,u,4.198420289165545,0.0,4.236830431684952
5.0,1.0111434062198064,3.0,1.0,4.236759855271444,4.231176997893993,Feynman17,u,4.231176997893993,0.0,4.236759855271444
5.0,1.011306924237215,3.0,1.0,4.236673990319285,4.215685676792847,Feynman17,u,4.215685676792847,0.0,4.236673990319285
5.0,1.0113540094250406,3.0,1.0,4.2366492677252925,4.213849963402244,Feynman17,u,4.213849963402244,0.0,4.2366492677252925
5.0,1.0113998774619202,3.0,1.0,4.236625185203294,4.2358253719931405,Feynman17,u,4.2358253719931405,0.0,4.236625185203294
5.0,1.0123291510825936,3.0,1.0,4.2361374912261365,4.199343138731859,Feynman17,u,4.199343138731859,0.0,4.2361374912261365
5.0,1.0124153894747003,3.0,1.0,4.236092252693841,4.255080176237392,Feynman17,u,4.255080176237392,0.0,4.236092252693841
