omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0004892201028999,0.09338069465148666,0.09466514364616276,Feynman44,c,0.09466514364616276,0.09338069465148666
1.0,1.0,1.0,1.0,1.0015534053264492,0.09318235962404751,0.09169361897150423,Feynman44,c,0.09169361897150423,0.09318235962404751
1.0,1.0,1.0,1.0,1.0059792350991108,0.09236424719203151,0.08839679668225651,Feynman44,c,0.08839679668225651,0.09236424719203151
1.0,1.0,1.0,1.0,1.0063042177197445,0.09230459936850519,0.09358747990892967,Feynman44,c,0.09358747990892967,0.09230459936850519
1.0,1.0,1.0,1.0,1.0086207717701305,0.09188108431974135,0.10983092162630874,Feynman44,c,0.10983092162630874,0.09188108431974135
1.0,1.0,1.0,1.0,1.0094688798505556,0.09172676087874333,0.08661352177903593,Feynman44,c,0.08661352177903593,0.09172676087874333
1.0,1.0,1.0,1.0,1.0148960772510618,0.090748358862666,0.0778627209382263,Feynman44,c,0.0778627209382263,0.090748358862666
1.0,1.0,1.0,1.0,1.0157814481721847,0.09059023244122501,0.10356761385004946,Feynman44,c,0.10356761385004946,0.09059023244122501
1.0,1.0,1.0,1.0,1.0168983374700926,0.0903913458990683,0.09663010808526641,Feynman44,c,0.09663010808526641,0.0903913458990683
1.0,1.0,1.0,1.0,1.0175743005285702,0.09027129389661159,0.08281786383897392,Feynman44,c,0.08281786383897392,0.09027129389661159
1.0,1.0,1.0,1.0,1.019317504068769,0.08996279986714051,0.09138261449858798,Feynman44,c,0.09138261449858798,0.08996279986714051
1.0,1.0,1.0,1.0,1.0203538228202986,0.08978015186812446,0.10807665344356272,Feynman44,c,0.10807665344356272,0.08978015186812446
1.0,1.0,1.0,1.0,1.0209996777343235,0.0896666031301046,0.08075326626551645,Feynman44,c,0.08075326626551645,0.0896666031301046
1.0,1.0,1.0,1.0,1.0219123166271458,0.08950651759891877,0.07344131896848823,Feynman44,c,0.07344131896848823,0.08950651759891877
1.0,1.0,1.0,1.0,1.0236329360808951,0.08920586838084857,0.07198995062225397,Feynman44,c,0.07198995062225397,0.08920586838084857
1.0,1.0,1.0,1.0,1.0247191411323828,0.08901685169123807,0.0842860202385129,Feynman44,c,0.0842860202385129,0.08901685169123807
1.0,1.0,1.0,1.0,1.0319797001687316,0.08776869046908911,0.08405593102028414,Feynman44,c,0.08405593102028414,0.08776869046908911
1.0,1.0,1.0,1.0,1.0321774399555816,0.0877350650495757,0.08513309273756312,Feynman44,c,0.08513309273756312,0.0877350650495757
1.0,1.0,1.0,1.0,1.0362514297911858,0.08704656583572348,0.09125101353857797,Feynman44,c,0.09125101353857797,0.08704656583572348
