epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0004068472040228,1.0,1.0,0.3376873051385127,0.3596193525869504,Feynman56,x,0.3596193525869504,0.0,0.3376873051385127
1.0,1.0,1.0,1.0016643704912918,1.0,1.0,0.33789969660060454,0.37669643351177334,Feynman56,x,0.37669643351177334,0.0,0.33789969660060454
1.0,1.0,1.0,1.0028797531920404,1.0,1.0,0.3381050971857609,0.3078020398034472,Feynman56,x,0.3078020398034472,0.0,0.3381050971857609
1.0,1.0,1.0,1.006742492383396,1.0,1.0,0.3387587261579383,0.3678104141826668,Feynman56,x,0.3678104141826668,0.0,0.3387587261579383
1.0,1.0,1.0,1.008715326627558,1.0,1.0,0.33909303846262373,0.31367380206648826,Feynman56,x,0.31367380206648826,0.0,0.33909303846262373
1.0,1.0,1.0,1.0106865707722115,1.0,1.0,0.33942740516366016,0.35865703073583416,Feynman56,x,0.35865703073583416,0.0,0.33942740516366016
1.0,1.0,1.0,1.0108998114982028,1.0,1.0,0.33946359488057354,0.3679629810615592,Feynman56,x,0.3679629810615592,0.0,0.33946359488057354
1.0,1.0,1.0,1.012957369513994,1.0,1.0,0.33981298296780377,0.32934944572915853,Feynman56,x,0.32934944572915853,0.0,0.33981298296780377
1.0,1.0,1.0,1.013474508447772,1.0,1.0,0.3399008520147895,0.33029613640303374,Feynman56,x,0.33029613640303374,0.0,0.3399008520147895
1.0,1.0,1.0,1.013676047994823,1.0,1.0,0.33993510235858576,0.36121830998441923,Feynman56,x,0.36121830998441923,0.0,0.33993510235858576
1.0,1.0,1.0,1.0138739944185693,1.0,1.0,0.33996874534376403,0.3676641669772031,Feynman56,x,0.3676641669772031,0.0,0.33996874534376403
1.0,1.0,1.0,1.0150115865246998,1.0,1.0,0.34016215332922994,0.24075555249123298,Feynman56,x,0.24075555249123298,0.0,0.34016215332922994
1.0,1.0,1.0,1.0150140443170537,1.0,1.0,0.3401625713070504,0.3071806241357368,Feynman56,x,0.3071806241357368,0.0,0.3401625713070504
1.0,1.0,1.0,1.0154069217414594,1.0,1.0,0.3402293913530024,0.3444043693741679,Feynman56,x,0.3444043693741679,0.0,0.3402293913530024
1.0,1.0,1.0,1.015549104209692,1.0,1.0,0.3402535766870993,0.3423225522729926,Feynman56,x,0.3423225522729926,0.0,0.3402535766870993
1.0,1.0,1.0,1.0156673997435874,1.0,1.0,0.34027370010792907,0.3716363671922859,Feynman56,x,0.3716363671922859,0.0,0.34027370010792907
1.0,1.0,1.0,1.0175264893104508,1.0,1.0,0.340590103873804,0.3084280759510187,Feynman56,x,0.3084280759510187,0.0,0.340590103873804
1.0,1.0,1.0,1.0178045671077693,1.0,1.0,0.34063745517813043,0.3377061451103364,Feynman56,x,0.3377061451103364,0.0,0.34063745517813043
1.0,1.0,1.0,1.0187121831269423,1.0,1.0,0.34079204894764903,0.39000564109051483,Feynman56,x,0.39000564109051483,0.0,0.34079204894764903
1.0,1.0,1.0,1.0187601396994221,1.0,1.0,0.34080021924720927,0.34291848535358727,Feynman56,x,0.34291848535358727,0.0,0.34080021924720927
1.0,1.0,1.0,1.0196734278603672,1.0,1.0,0.34095585098188913,0.4058430782716374,Feynman56,x,0.4058430782716374,0.0,0.34095585098188913
1.0,1.0,1.0,1.0226449372883124,1.0,1.0,0.3414626928895519,0.37134316571007725,Feynman56,x,0.37134316571007725,0.0,0.3414626928895519
1.0,1.0,1.0,1.0229622727316285,1.0,1.0,0.34151686252401064,0.35277949546230647,Feynman56,x,0.35277949546230647,0.0,0.34151686252401064
1.0,1.0,1.0,1.0243955263853004,1.0,1.0,0.34176162331031185,0.3071527190536332,Feynman56,x,0.3071527190536332,0.0,0.34176162331031185
1.0,1.0,1.0,1.0247886613419082,1.0,1.0,0.3418287893089459,0.3121906996831171,Feynman56,x,0.3121906996831171,0.0,0.3418287893089459
1.0,1.0,1.0,1.026461270529009,1.0,1.0,0.3421146902766834,0.28986462549251235,Feynman56,x,0.28986462549251235,0.0,0.3421146902766834
1.0,1.0,1.0,1.030026550155695,1.0,1.0,0.3427248642576863,0.3606139281768512,Feynman56,x,0.3606139281768512,0.0,0.3427248642576863
