m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0000034206382722,3.0,1.0,3.0,1.0,0.0833334283510902,0.08714296040430178,Feynman5,x2,0.08714296040430178,0.0833334283510902
1.0,1.0,1.0,3.0,1.0006236081903033,3.0,1.0,3.0,1.0,0.08335065668289142,0.08290375173687331,Feynman5,x2,0.08290375173687331,0.08335065668289142
1.0,1.0,1.0,3.0,1.0007185001358683,3.0,1.0,3.0,1.0,0.08335329286487385,0.08557099279106964,Feynman5,x2,0.08557099279106964,0.08335329286487385
1.0,1.0,1.0,3.0,1.002147012533305,3.0,1.0,3.0,1.0,0.08339298322559717,0.08381433285603543,Feynman5,x2,0.08381433285603543,0.08339298322559717
1.0,1.0,1.0,3.0,1.0022335998145813,3.0,1.0,3.0,1.0,0.08339538930395045,0.08191889068953113,Feynman5,x2,0.08191889068953113,0.08339538930395045
1.0,1.0,1.0,3.0,1.0026854344189984,3.0,1.0,3.0,1.0,0.08340794539735955,0.08761446229464624,Feynman5,x2,0.08761446229464624,0.08340794539735955
1.0,1.0,1.0,3.0,1.002899649168234,3.0,1.0,3.0,1.0,0.08341389856877099,0.08314039632080049,Feynman5,x2,0.08314039632080049,0.08341389856877099
1.0,1.0,1.0,3.0,1.003481620144626,3.0,1.0,3.0,1.0,0.08343007299822694,0.0832451458838521,Feynman5,x2,0.0832451458838521,0.08343007299822694
1.0,1.0,1.0,3.0,1.0037386312866978,3.0,1.0,3.0,1.0,0.08343721647663674,0.08099564914086553,Feynman5,x2,0.08099564914086553,0.08343721647663674
1.0,1.0,1.0,3.0,1.0044416770048976,3.0,1.0,3.0,1.0,0.0834567587824444,0.07776180200913234,Feynman5,x2,0.07776180200913234,0.0834567587824444
1.0,1.0,1.0,3.0,1.0045820802676757,3.0,1.0,3.0,1.0,0.08346066179259641,0.08423720871067834,Feynman5,x2,0.08423720871067834,0.08346066179259641
1.0,1.0,1.0,3.0,1.0053271961741514,3.0,1.0,3.0,1.0,0.08348137646313783,0.08670834104624803,Feynman5,x2,0.08670834104624803,0.08348137646313783
1.0,1.0,1.0,3.0,1.0057637791221388,3.0,1.0,3.0,1.0,0.08349351491348381,0.08538546562532277,Feynman5,x2,0.08538546562532277,0.08349351491348381
1.0,1.0,1.0,3.0,1.0060829260532906,3.0,1.0,3.0,1.0,0.08350238880591793,0.08455683242351057,Feynman5,x2,0.08455683242351057,0.08350238880591793
1.0,1.0,1.0,3.0,1.006790161094601,3.0,1.0,3.0,1.0,0.0835220551621758,0.0822881205751836,Feynman5,x2,0.0822881205751836,0.0835220551621758
1.0,1.0,1.0,3.0,1.0084126817045638,3.0,1.0,3.0,1.0,0.083567181840758,0.08453912188404418,Feynman5,x2,0.08453912188404418,0.083567181840758
1.0,1.0,1.0,3.0,1.0084140647195574,3.0,1.0,3.0,1.0,0.08356722031125514,0.07928088669904969,Feynman5,x2,0.07928088669904969,0.08356722031125514
1.0,1.0,1.0,3.0,1.0089032859164548,3.0,1.0,3.0,1.0,0.08358082922934015,0.08616814073670305,Feynman5,x2,0.08616814073670305,0.08358082922934015
