n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0013980118956924,0.7610072228335526,0.7811464879727359,Feynman81,T,0.7811464879727359,0.0,0.7610072228335526
1.0,1.0,1.0,1.0,1.0026185020965412,0.760495140845002,0.7425774566286272,Feynman81,T,0.7425774566286272,0.0,0.760495140845002
1.0,1.0,1.0,1.0,1.0036496800118129,0.7600627232779117,0.6985806317224134,Feynman81,T,0.6985806317224134,0.0,0.7600627232779117
1.0,1.0,1.0,1.0,1.00482553211162,0.7595699006950924,0.7766814524081073,Feynman81,T,0.7766814524081073,0.0,0.7595699006950924
1.0,1.0,1.0,1.0,1.0080728552444214,0.7582103493371508,0.7022337217368191,Feynman81,T,0.7022337217368191,0.0,0.7582103493371508
1.0,1.0,1.0,1.0,1.0136415102256642,0.7558839917979349,0.7505559340503493,Feynman81,T,0.7505559340503493,0.0,0.7558839917979349
1.0,1.0,1.0,1.0,1.015947934068259,0.75492235630539,0.7918563833708742,Feynman81,T,0.7918563833708742,0.0,0.75492235630539
1.0,1.0,1.0,1.0,1.0197451915358782,0.7533415817444011,0.6846502446347196,Feynman81,T,0.6846502446347196,0.0,0.7533415817444011
1.0,1.0,1.0,1.0,1.0227952935286044,0.752074066940786,0.7149822634421471,Feynman81,T,0.7149822634421471,0.0,0.752074066940786
1.0,1.0,1.0,1.0,1.0229656593851209,0.7520033277013434,0.7567043099447696,Feynman81,T,0.7567043099447696,0.0,0.7520033277013434
1.0,1.0,1.0,1.0,1.0234952012735916,0.7517834913999293,0.8237204363153913,Feynman81,T,0.8237204363153913,0.0,0.7517834913999293
1.0,1.0,1.0,1.0,1.0293469977289949,0.7493581911744919,0.8432374898102325,Feynman81,T,0.8432374898102325,0.0,0.7493581911744919
1.0,1.0,1.0,1.0,1.0372002780556198,0.7461151568330953,0.7144024940574547,Feynman81,T,0.7144024940574547,0.0,0.7461151568330953
1.0,1.0,1.0,1.0,1.0415158684126,0.7443388602918963,0.736555474632526,Feynman81,T,0.736555474632526,0.0,0.7443388602918963
1.0,1.0,1.0,1.0,1.0433999594454906,0.7435646817439062,0.7795631084962862,Feynman81,T,0.7795631084962862,0.0,0.7435646817439062
1.0,1.0,1.0,1.0,1.0434241417562706,0.7435547503735594,0.806248786101279,Feynman81,T,0.806248786101279,0.0,0.7435547503735594
1.0,1.0,1.0,1.0,1.044286992125564,0.7432004752279103,0.6410233736664339,Feynman81,T,0.6410233736664339,0.0,0.7432004752279103
1.0,1.0,1.0,1.0,1.0447842635312043,0.7429963786840981,0.8109865151132003,Feynman81,T,0.8109865151132003,0.0,0.7429963786840981
1.0,1.0,1.0,1.0,1.0459256240979258,0.742528139055012,0.6760633443312262,Feynman81,T,0.6760633443312262,0.0,0.742528139055012
1.0,1.0,1.0,1.0,1.0471586761091927,0.7420226163259387,0.7547960674671966,Feynman81,T,0.7547960674671966,0.0,0.7420226163259387
1.0,1.0,1.0,1.0,1.0473017006020795,0.7419640020287465,0.6807339387682767,Feynman81,T,0.6807339387682767,0.0,0.7419640020287465
1.0,1.0,1.0,1.0,1.0530489693249194,0.7396125337096596,0.7092745837219981,Feynman81,T,0.7092745837219981,0.0,0.7396125337096596
1.0,1.0,1.0,1.0,1.0579671892191969,0.7376063196604191,0.7824796843438954,Feynman81,T,0.7824796843438954,0.0,0.7376063196604191
1.0,1.0,1.0,1.0,1.0647617245692538,0.7348440181814024,0.7662212487640823,Feynman81,T,0.7662212487640823,0.0,0.7348440181814024
1.0,1.0,1.0,1.0,1.0663049787474388,0.7342181264731652,0.6647772639845883,Feynman81,T,0.6647772639845883,0.0,0.7342181264731652
1.0,1.0,1.0,1.0,1.067464873955967,0.7337480833450812,0.622644670502976,Feynman81,T,0.622644670502976,0.0,0.7337480833450812
1.0,1.0,1.0,1.0,1.0677209505098557,0.7336443522910623,0.8016514809068699,Feynman81,T,0.8016514809068699,0.0,0.7336443522910623
1.0,1.0,1.0,1.0,1.0687460535608069,0.7332292612525261,0.7365371000836032,Feynman81,T,0.7365371000836032,0.0,0.7332292612525261
1.0,1.0,1.0,1.0,1.0699615419614834,0.732737402076112,0.6517097182723772,Feynman81,T,0.6517097182723772,0.0,0.732737402076112
1.0,1.0,1.0,1.0,1.0728392203731465,0.7315743264182666,0.6527753050434065,Feynman81,T,0.6527753050434065,0.0,0.7315743264182666
1.0,1.0,1.0,1.0,1.0740666686260112,0.7310788295582262,0.7101659418049722,Feynman81,T,0.7101659418049722,0.0,0.7310788295582262
1.0,1.0,1.0,1.0,1.074816899237533,0.7307761540933803,0.7159032642214507,Feynman81,T,0.7159032642214507,0.0,0.7307761540933803
1.0,1.0,1.0,1.0,1.0801061004580794,0.7286461081346627,0.7873412521255558,Feynman81,T,0.7873412521255558,0.0,0.7286461081346627
1.0,1.0,1.0,1.0,1.0865153267397312,0.7260740970844459,0.7856641743897028,Feynman81,T,0.7856641743897028,0.0,0.7260740970844459
1.0,1.0,1.0,1.0,1.0891594229716794,0.7250159479333137,0.703012747564352,Feynman81,T,0.703012747564352,0.0,0.7250159479333137
1.0,1.0,1.0,1.0,1.091074894597638,0.724250461004984,0.7342901769342036,Feynman81,T,0.7342901769342036,0.0,0.724250461004984
1.0,1.0,1.0,1.0,1.093122210719435,0.7234332831179338,0.7423469794043909,Feynman81,T,0.7423469794043909,0.0,0.7234332831179338
1.0,1.0,1.0,1.0,1.0987522693972953,0.721191410862129,0.7773833645259441,Feynman81,T,0.7773833645259441,0.0,0.721191410862129
1.0,1.0,1.0,1.0,1.0991454786432677,0.7210351299089517,0.7501510469298449,Feynman81,T,0.7501510469298449,0.0,0.7210351299089517
1.0,1.0,1.0,1.0,1.1009293900543482,0.7203265979277858,0.7883379462460857,Feynman81,T,0.7883379462460857,0.0,0.7203265979277858
1.0,1.0,1.0,1.0,1.1012081053797989,0.7202159696958434,0.630279544809029,Feynman81,T,0.630279544809029,0.0,0.7202159696958434
1.0,1.0,1.0,1.0,1.1017827081929377,0.7199879583707626,0.7066775204265336,Feynman81,T,0.7066775204265336,0.0,0.7199879583707626
1.0,1.0,1.0,1.0,1.104280547318846,0.718997735358828,0.6201480610896162,Feynman81,T,0.6201480610896162,0.0,0.718997735358828
1.0,1.0,1.0,1.0,1.1049091418750954,0.7187487862285948,0.8003273125227081,Feynman81,T,0.8003273125227081,0.0,0.7187487862285948
1.0,1.0,1.0,1.0,1.1050794558744412,0.7186813519641445,0.7524468313320651,Feynman81,T,0.7524468313320651,0.0,0.7186813519641445
1.0,1.0,1.0,1.0,1.110414647179942,0.7165726188715533,0.5987568960797855,Feynman81,T,0.5987568960797855,0.0,0.7165726188715533
1.0,1.0,1.0,1.0,1.1201879137219448,0.7127283765934893,0.7489812135761196,Feynman81,T,0.7489812135761196,0.0,0.7127283765934893
1.0,1.0,1.0,1.0,1.1223151749955034,0.711894848986485,0.6432510145866309,Feynman81,T,0.6432510145866309,0.0,0.711894848986485
1.0,1.0,1.0,1.0,1.1229274707848202,0.7116551462234961,0.6290614201362662,Feynman81,T,0.6290614201362662,0.0,0.7116551462234961
1.0,1.0,1.0,1.0,1.1229591841708562,0.7116427336113839,0.7223565810155763,Feynman81,T,0.7223565810155763,0.0,0.7116427336113839
1.0,1.0,1.0,1.0,1.1237437785136852,0.7113357253469467,0.6516409646470597,Feynman81,T,0.6516409646470597,0.0,0.7113357253469467
1.0,1.0,1.0,1.0,1.1247717000785955,0.7109337422725072,0.6246416441893603,Feynman81,T,0.6246416441893603,0.0,0.7109337422725072
1.0,1.0,1.0,1.0,1.1271218177752513,0.7100157115732054,0.7349442849694257,Feynman81,T,0.7349442849694257,0.0,0.7100157115732054
1.0,1.0,1.0,1.0,1.1307787038262513,0.7085900318700995,0.8024067210939136,Feynman81,T,0.8024067210939136,0.0,0.7085900318700995
1.0,1.0,1.0,1.0,1.1321312789947977,0.708063585217406,0.6506478325560673,Feynman81,T,0.6506478325560673,0.0,0.708063585217406
1.0,1.0,1.0,1.0,1.132429348759255,0.7079476344000558,0.7131858750355348,Feynman81,T,0.7131858750355348,0.0,0.7079476344000558
