n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0013202117970161,1.0,0.7610398756547494,0.6968195618400773,Feynman81,kb,0.6968195618400773,0.0,0.7610398756547494
1.0,1.0,1.0,1.0018946371423518,1.0,0.7607988171677897,0.6683514625402468,Feynman81,kb,0.6683514625402468,0.0,0.7607988171677897
1.0,1.0,1.0,1.005006614873793,1.0,0.7594940303534025,0.8644950516822084,Feynman81,kb,0.8644950516822084,0.0,0.7594940303534025
1.0,1.0,1.0,1.005048059438888,1.0,0.7594766667831286,0.7469656986037546,Feynman81,kb,0.7469656986037546,0.0,0.7594766667831286
1.0,1.0,1.0,1.006218295757015,1.0,0.7589865304389101,0.7560858970156904,Feynman81,kb,0.7560858970156904,0.0,0.7589865304389101
1.0,1.0,1.0,1.0071599441231358,1.0,0.7585923380883014,0.7425400219248445,Feynman81,kb,0.7425400219248445,0.0,0.7585923380883014
1.0,1.0,1.0,1.007656704285346,1.0,0.7583844578534295,0.6536829170425771,Feynman81,kb,0.6536829170425771,0.0,0.7583844578534295
1.0,1.0,1.0,1.0082341044530647,1.0,0.758142895747095,0.7620102497780528,Feynman81,kb,0.7620102497780528,0.0,0.758142895747095
1.0,1.0,1.0,1.008255617315454,1.0,0.758133896914931,0.7564231088737293,Feynman81,kb,0.7564231088737293,0.0,0.758133896914931
1.0,1.0,1.0,1.0095997537251677,1.0,0.7575718337262278,0.7661413447359634,Feynman81,kb,0.7661413447359634,0.0,0.7575718337262278
1.0,1.0,1.0,1.0138977958514204,1.0,0.7557770814795575,0.7642742239349878,Feynman81,kb,0.7642742239349878,0.0,0.7557770814795575
1.0,1.0,1.0,1.0150562972564026,1.0,0.7552939809630566,0.8156980375573551,Feynman81,kb,0.8156980375573551,0.0,0.7552939809630566
1.0,1.0,1.0,1.0188396963856037,1.0,0.7537182559826907,0.7146632153442093,Feynman81,kb,0.7146632153442093,0.0,0.7537182559826907
1.0,1.0,1.0,1.0193771369729592,1.0,0.7534946666188601,0.7941541560761755,Feynman81,kb,0.7941541560761755,0.0,0.7534946666188601
1.0,1.0,1.0,1.0194857041001204,1.0,0.7534495073115286,0.8035414132020761,Feynman81,kb,0.8035414132020761,0.0,0.7534495073115286
1.0,1.0,1.0,1.0268478369850702,1.0,0.7503930686699499,0.8004535303390341,Feynman81,kb,0.8004535303390341,0.0,0.7503930686699499
1.0,1.0,1.0,1.026854874304869,1.0,0.7503901526766171,0.7491607559303233,Feynman81,kb,0.7491607559303233,0.0,0.7503901526766171
1.0,1.0,1.0,1.0282190437832797,1.0,0.7498250970344973,0.7957656042236574,Feynman81,kb,0.7957656042236574,0.0,0.7498250970344973
1.0,1.0,1.0,1.0320281530849718,1.0,0.7482494705612661,0.8047386567977144,Feynman81,kb,0.8047386567977144,0.0,0.7482494705612661
1.0,1.0,1.0,1.0323295103009018,1.0,0.7481249510456918,0.8189915520198628,Feynman81,kb,0.8189915520198628,0.0,0.7481249510456918
1.0,1.0,1.0,1.0337226639680175,1.0,0.7475495662428724,0.8260054173850884,Feynman81,kb,0.8260054173850884,0.0,0.7475495662428724
1.0,1.0,1.0,1.0337915138021345,1.0,0.7475211417688153,0.7474344340448366,Feynman81,kb,0.7474344340448366,0.0,0.7475211417688153
1.0,1.0,1.0,1.0341914125002645,1.0,0.7473560653713428,0.774742849764616,Feynman81,kb,0.774742849764616,0.0,0.7473560653713428
1.0,1.0,1.0,1.0384623162269992,1.0,0.7455952704756449,0.69838512731367,Feynman81,kb,0.69838512731367,0.0,0.7455952704756449
1.0,1.0,1.0,1.0391868127315291,1.0,0.7452969809231715,0.8128706932641186,Feynman81,kb,0.8128706932641186,0.0,0.7452969809231715
1.0,1.0,1.0,1.040161336370029,1.0,0.7448959357692942,0.7855045190691925,Feynman81,kb,0.7855045190691925,0.0,0.7448959357692942
1.0,1.0,1.0,1.0441404954820555,1.0,0.7432606129608786,0.7978403181499825,Feynman81,kb,0.7978403181499825,0.0,0.7432606129608786
