x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
5.0,1.0,3.000567107725794,1.0,4.24254046766034,4.2354961944984995,Feynman17,c,4.2354961944984995,0.0,4.24254046766034,4.136231258511142
5.0,1.0,3.018982785878018,1.0,4.239320458374769,4.269815182444142,Feynman17,c,4.269815182444142,0.0,4.239320458374769,4.13580689984035
5.0,1.0,3.020131819497734,1.0,4.239121738565765,4.237838826296891,Feynman17,c,4.237838826296891,0.0,4.239121738565765,4.13578045275532
5.0,1.0,3.0357134411586078,1.0,4.236451922537958,4.233509178293184,Feynman17,c,4.233509178293184,0.0,4.236451922537958,4.135422166828754
5.0,1.0,3.0358098589754463,1.0,4.236435545376585,4.233907777519703,Feynman17,c,4.233907777519703,0.0,4.236435545376585,4.135419951832056
5.0,1.0,3.038713091824862,1.0,4.23594323199416,4.231799321332239,Feynman17,c,4.231799321332239,0.0,4.23594323199416,4.135353267951715
5.0,1.0,3.03955290829828,1.0,4.235801115710634,4.238270733446802,Feynman17,c,4.238270733446802,0.0,4.235801115710634,4.135333982600847
5.0,1.0,3.0438074503826122,1.0,4.235083174508515,4.230928009762899,Feynman17,c,4.230928009762899,0.0,4.235083174508515,4.135236311624951
5.0,1.0,3.0539646418861017,1.0,4.233382752562192,4.229472699168931,Feynman17,c,4.229472699168931,0.0,4.233382752562192,4.135003332398783
5.0,1.0,3.0691225924448364,1.0,4.230880207814455,4.210810107643067,Feynman17,c,4.210810107643067,0.0,4.230880207814455,4.134656167959534
5.0,1.0,3.0780568075657637,1.0,4.229424518862057,4.214734527634232,Feynman17,c,4.214734527634232,0.0,4.229424518862057,4.134451837457965
5.0,1.0,3.0800181662917208,1.0,4.229106840882995,4.243554910163479,Feynman17,c,4.243554910163479,0.0,4.229106840882995,4.134407008957011
5.0,1.0,3.1024914543868176,1.0,4.225514760234928,4.219033030519829,Feynman17,c,4.219033030519829,0.0,4.225514760234928,4.133894104468832
5.0,1.0,3.103639393869522,1.0,4.225333610716079,4.217134494926473,Feynman17,c,4.217134494926473,0.0,4.225333610716079,4.133867941808931
5.0,1.0,3.107380625237174,1.0,4.224744782894028,4.233648452999726,Feynman17,c,4.233648452999726,0.0,4.224744782894028,4.13378270016878
5.0,1.0,3.112477227644737,1.0,4.2239464421695105,4.228435549721248,Feynman17,c,4.228435549721248,0.0,4.2239464421695105,4.133666637976537
5.0,1.0,3.132810362051516,1.0,4.220804511134651,4.228636060509746,Feynman17,c,4.228636060509746,0.0,4.220804511134651,4.133204299248628
5.0,1.0,3.1439679199838135,1.0,4.21910917613201,4.210679311755116,Feynman17,c,4.210679311755116,0.0,4.21910917613201,4.132951069719599
5.0,1.0,3.1460498953025726,1.0,4.218795050166469,4.227194737151156,Feynman17,c,4.227194737151156,0.0,4.218795050166469,4.132903854752826
5.0,1.0,3.151158032929464,1.0,4.21802727196084,4.207689473154077,Feynman17,c,4.207689473154077,0.0,4.21802727196084,4.132788061988966
5.0,1.0,3.1555760518223575,1.0,4.217366562479807,4.229980390112585,Feynman17,c,4.229980390112585,0.0,4.217366562479807,4.132687969646021
5.0,1.0,3.168375243704822,1.0,4.2154697624621305,4.190951100057902,Feynman17,c,4.190951100057902,0.0,4.2154697624621305,4.132398294060399
5.0,1.0,3.1743106262169967,1.0,4.214598792470804,4.195810165809898,Feynman17,c,4.195810165809898,0.0,4.214598792470804,4.132264111926492
5.0,1.0,3.184329548896095,1.0,4.2131408386999825,4.230323227416622,Feynman17,c,4.230323227416622,0.0,4.2131408386999825,4.132037827228477
5.0,1.0,3.199883324343143,1.0,4.210907464971817,4.203115997501721,Feynman17,c,4.203115997501721,0.0,4.210907464971817,4.131687067690116
5.0,1.0,3.2012391833411007,1.0,4.210714484487526,4.210580117018099,Feynman17,c,4.210580117018099,0.0,4.210714484487526,4.131656521916512
5.0,1.0,3.2113560483319175,1.0,4.209283079510788,4.224460666240724,Feynman17,c,4.224460666240724,0.0,4.209283079510788,4.131428757472543
5.0,1.0,3.214593716900872,1.0,4.208828149459967,4.202373690071937,Feynman17,c,4.202373690071937,0.0,4.208828149459967,4.131355924685955
5.0,1.0,3.2419201068387897,1.0,4.205048323512864,4.230202677836872,Feynman17,c,4.230202677836872,0.0,4.205048323512864,4.13074232403041
5.0,1.0,3.243883474653397,1.0,4.204780806194353,4.189319632930511,Feynman17,c,4.189319632930511,0.0,4.204780806194353,4.130698314538697
5.0,1.0,3.264807965190721,1.0,4.201962772753909,4.1745659548220875,Feynman17,c,4.1745659548220875,0.0,4.201962772753909,4.1302299260149615
5.0,1.0,3.2668516519739277,1.0,4.201690735603042,4.199440758791283,Feynman17,c,4.199440758791283,0.0,4.201690735603042,4.130184241422549
5.0,1.0,3.270785373204057,1.0,4.201168696794294,4.202608564266278,Feynman17,c,4.202608564266278,0.0,4.201168696794294,4.130096338390299
5.0,1.0,3.27652195849537,1.0,4.2004111162328845,4.20032785987363,Feynman17,c,4.20032785987363,0.0,4.2004111162328845,4.129968222592966
5.0,1.0,3.2968521034943246,1.0,4.197761286111085,4.179493230968437,Feynman17,c,4.179493230968437,0.0,4.197761286111085,4.129514894456057
5.0,1.0,3.311235924700357,1.0,4.195918868160394,4.211755283846133,Feynman17,c,4.211755283846133,0.0,4.195918868160394,4.1291948252155874
5.0,1.0,3.3365087538287663,1.0,4.192744906486748,4.15619413144693,Feynman17,c,4.15619413144693,0.0,4.192744906486748,4.1286337883234205
5.0,1.0,3.339116952638418,1.0,4.192421848845846,4.19793425960884,Feynman17,c,4.19793425960884,0.0,4.192421848845846,4.128575985139234
5.0,1.0,3.3407144530792223,1.0,4.192224389006014,4.182852111734593,Feynman17,c,4.182852111734593,0.0,4.192224389006014,4.128540590097437
5.0,1.0,3.3425155435408245,1.0,4.192002137150537,4.1872769969951555,Feynman17,c,4.1872769969951555,0.0,4.192002137150537,4.128500692350597
5.0,1.0,3.365789807062214,1.0,4.1891652543370546,4.190377090911093,Feynman17,c,4.190377090911093,0.0,4.1891652543370546,4.127985896680743
5.0,1.0,3.3812546772003635,1.0,4.187315666732807,4.1944047842036065,Feynman17,c,4.1944047842036065,0.0,4.187315666732807,4.127644630012011
5.0,1.0,3.3950199074155316,1.0,4.18569259161872,4.154944922881144,Feynman17,c,4.154944922881144,0.0,4.18569259161872,4.127341403463254
5.0,1.0,3.405450338466996,1.0,4.184477048848035,4.186760913108699,Feynman17,c,4.186760913108699,0.0,4.184477048848035,4.127111971882863
5.0,1.0,3.4180646833975192,1.0,4.1830232296069845,4.190487215715772,Feynman17,c,4.190487215715772,0.0,4.1830232296069845,4.126834887195293
5.0,1.0,3.422502566163372,1.0,4.182515933341978,4.195277645374737,Feynman17,c,4.195277645374737,0.0,4.182515933341978,4.126737505557569
5.0,1.0,3.448181636236138,1.0,4.179622433753759,4.180346489795045,Feynman17,c,4.180346489795045,0.0,4.179622433753759,4.126175045906056
5.0,1.0,3.470801258422455,1.0,4.177131508795555,4.158996507695832,Feynman17,c,4.158996507695832,0.0,4.177131508795555,4.125681042228126
5.0,1.0,3.4803206559163913,1.0,4.176099009467936,4.17179119227597,Feynman17,c,4.17179119227597,0.0,4.176099009467936,4.1254735461102445
5.0,1.0,3.4847969539693233,1.0,4.175616682980575,4.179786170558916,Feynman17,c,4.179786170558916,0.0,4.175616682980575,4.125376058014187
5.0,1.0,3.484930202409288,1.0,4.175602356337428,4.1756307151388325,Feynman17,c,4.1756307151388325,0.0,4.175602356337428,4.125373156841934
5.0,1.0,3.510323869089931,1.0,4.172904413649404,4.164241386300426,Feynman17,c,4.164241386300426,0.0,4.172904413649404,4.12482112345091
5.0,1.0,3.5272800701433704,1.0,4.171138096701598,4.179459350668422,Feynman17,c,4.179459350668422,0.0,4.171138096701598,4.124453457678172
5.0,1.0,3.532593022256332,1.0,4.170590332223825,4.178782664585862,Feynman17,c,4.178782664585862,0.0,4.170590332223825,4.124338411154434
5.0,1.0,3.534551974091473,1.0,4.170389041863161,4.173959235816806,Feynman17,c,4.173959235816806,0.0,4.170389041863161,4.124296010790744
5.0,1.0,3.5367441311461834,1.0,4.170164219620523,4.154607723994646,Feynman17,c,4.154607723994646,0.0,4.170164219620523,4.124248574797473
5.0,1.0,3.5700924414503103,1.0,4.166799355265372,4.150215229105688,Feynman17,c,4.150215229105688,0.0,4.166799355265372,4.123528508760711
5.0,1.0,3.582615626751935,1.0,4.165562011833416,4.164309957288525,Feynman17,c,4.164309957288525,0.0,4.165562011833416,4.12325885838681
5.0,1.0,3.591429675050331,1.0,4.164699549147181,4.177266834384293,Feynman17,c,4.177266834384293,0.0,4.164699549147181,4.123069319979789
5.0,1.0,3.5957151629765307,1.0,4.164282692033529,4.169917979719872,Feynman17,c,4.169917979719872,0.0,4.164282692033529,4.122977237844939
5.0,1.0,3.5983143159737576,1.0,4.164030653754411,4.1575598137044985,Feynman17,c,4.1575598137044985,0.0,4.164030653754411,4.122921413365207
5.0,1.0,3.6087312402778426,1.0,4.1630264446519405,4.169200450936761,Feynman17,c,4.169200450936761,0.0,4.1630264446519405,4.122697856674436
5.0,1.0,3.623506668713564,1.0,4.161618120305626,4.1372361390684445,Feynman17,c,4.1372361390684445,0.0,4.161618120305626,4.122381249513398
5.0,1.0,3.6767639117141977,1.0,4.156693267322625,4.167735956258558,Feynman17,c,4.167735956258558,0.0,4.156693267322625,4.121244788767376
5.0,1.0,3.6885372141876527,1.0,4.155635531669864,4.184191817176404,Feynman17,c,4.184191817176404,0.0,4.155635531669864,4.1209945557591965
5.0,1.0,3.689173364464033,1.0,4.15557868980334,4.15859591470706,Feynman17,c,4.15859591470706,0.0,4.15557868980334,4.12098104512767
5.0,1.0,3.6900010034472057,1.0,4.1555047853546805,4.176779370335553,Feynman17,c,4.176779370335553,0.0,4.1555047853546805,4.120963469214726
5.0,1.0,3.6960010474033163,1.0,4.154970609379834,4.156628177704601,Feynman17,c,4.156628177704601,0.0,4.154970609379834,4.120836104369393
5.0,1.0,3.701703207822931,1.0,4.154465548498386,4.13043826636731,Feynman17,c,4.13043826636731,0.0,4.154465548498386,4.120715149639082
5.0,1.0,3.703467005537079,1.0,4.15430983195297,4.168454139469298,Feynman17,c,4.168454139469298,0.0,4.15430983195297,4.120677752940227
5.0,1.0,3.7052889484789047,1.0,4.154149233843971,4.169113495615886,Feynman17,c,4.169113495615886,0.0,4.154149233843971,4.120639131923266
5.0,1.0,3.7068184936254998,1.0,4.154014606774069,4.139957624959129,Feynman17,c,4.139957624959129,0.0,4.154014606774069,4.120606715737799
5.0,1.0,3.7069053432929557,1.0,4.154006967856721,4.151817856131066,Feynman17,c,4.151817856131066,0.0,4.154006967856721,4.120604875285003
5.0,1.0,3.7155552333586592,1.0,4.153249052225064,4.126521432077343,Feynman17,c,4.126521432077343,0.0,4.153249052225064,4.120421671596866
5.0,1.0,3.719872188285911,1.0,4.1528729248701115,4.140304700244161,Feynman17,c,4.140304700244161,0.0,4.1528729248701115,4.120330311755358
5.0,1.0,3.722680745659105,1.0,4.152628977977742,4.1751938305348,Feynman17,c,4.1751938305348,0.0,4.152628977977742,4.1202709001833995
