sigma,theta,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0016536528128384,0.2415705893144994,0.25396806607830047,Feynman2,theta,0.25396806607830047,0.0,0.2415705893144994,0.1858997208043557
1.0,1.0027428674188115,0.24130703256580396,0.22265679226549107,Feynman2,theta,0.22265679226549107,0.0,0.24130703256580396,0.18578489103757254
1.0,1.003157325056074,0.24120674682440538,0.2454611399709521,Feynman2,theta,0.2454611399709521,0.0,0.24120674682440538,0.18574119710108
1.0,1.0042637084683728,0.24093903813701747,0.2572923866368957,Feynman2,theta,0.2572923866368957,0.0,0.24093903813701747,0.18562455732369681
1.0,1.0045859946265239,0.24086105584710898,0.2499275854740338,Feynman2,theta,0.2499275854740338,0.0,0.24086105584710898,0.18559058050759814
1.0,1.0047182403055541,0.24082905695584955,0.2631361388348319,Feynman2,theta,0.2631361388348319,0.0,0.24082905695584955,0.18557663858982604
1.0,1.004921999162235,0.24077975442149363,0.2534306147123952,Feynman2,theta,0.2534306147123952,0.0,0.24077975442149363,0.18555515744015147
1.0,1.005864847956917,0.24055161925678323,0.24817507583920415,Feynman2,theta,0.24817507583920415,0.0,0.24055161925678323,0.1854557581973094
1.0,1.0073967659365353,0.24018095628703576,0.22462405264636684,Feynman2,theta,0.22462405264636684,0.0,0.24018095628703576,0.1852942567051442
1.0,1.0102069715091249,0.23950102177711988,0.2108765576324466,Feynman2,theta,0.2108765576324466,0.0,0.23950102177711988,0.18499799254539293
1.0,1.011898517844523,0.23909176699750467,0.2602021345661096,Feynman2,theta,0.2602021345661096,0.0,0.23909176699750467,0.18481966233412012
1.0,1.0120148682324979,0.23906361761855427,0.2323333877360993,Feynman2,theta,0.2323333877360993,0.0,0.23906361761855427,0.18480739616745903
1.0,1.0134643668692473,0.2387129381235588,0.22856601635513887,Feynman2,theta,0.22856601635513887,0.0,0.2387129381235588,0.18465458368303425
1.0,1.0157067340145185,0.23817046600652464,0.21539788798780407,Feynman2,theta,0.21539788798780407,0.0,0.23817046600652464,0.1844181835336104
1.0,1.0166130129532627,0.2379512300041799,0.2086895177041852,Feynman2,theta,0.2086895177041852,0.0,0.2379512300041799,0.18432263964512907
1.0,1.0166509050311785,0.23794206375268423,0.2803751267341718,Feynman2,theta,0.2803751267341718,0.0,0.23794206375268423,0.18431864489659028
1.0,1.0180342188280875,0.23760744244627555,0.2601513522560365,Feynman2,theta,0.2601513522560365,0.0,0.23760744244627555,0.18417280990753707
1.0,1.0188191974274798,0.23741756470739334,0.20828851543691546,Feynman2,theta,0.20828851543691546,0.0,0.23741756470739334,0.18409005403126597
1.0,1.019138296228716,0.23734037977290007,0.2789233407546134,Feynman2,theta,0.2789233407546134,0.0,0.23734037977290007,0.18405641324038263
1.0,1.0204271156437859,0.23702864447769914,0.26687033719926395,Feynman2,theta,0.26687033719926395,0.0,0.23702864447769914,0.18392054026231822
1.0,1.021357820804835,0.23680353869649803,0.251593668082611,Feynman2,theta,0.251593668082611,0.0,0.23680353869649803,0.1838224212547822
1.0,1.0213841227697265,0.2367971772766586,0.23268877819299094,Feynman2,theta,0.23268877819299094,0.0,0.2367971772766586,0.18381964838663978
1.0,1.0216060835664533,0.23674349389666222,0.21523456942403008,Feynman2,theta,0.21523456942403008,0.0,0.23674349389666222,0.1837962483089404
1.0,1.021753536341092,0.23670783128863268,0.2350837826892796,Feynman2,theta,0.2350837826892796,0.0,0.23670783128863268,0.18378070319271145
1.0,1.0243013150907927,0.23609166809246415,0.24291820904151068,Feynman2,theta,0.24291820904151068,0.0,0.23609166809246415,0.1835121052170234
1.0,1.0248003284484797,0.23597099364394727,0.24685276356476568,Feynman2,theta,0.24685276356476568,0.0,0.23597099364394727,0.18345949704699088
1.0,1.0281807899710622,0.23515359052186216,0.2351466041080171,Feynman2,theta,0.2351466041080171,0.0,0.23515359052186216,0.18310311401284912
1.0,1.0311578279323879,0.23443386270279634,0.22499272373968637,Feynman2,theta,0.22499272373968637,0.0,0.23443386270279634,0.18278926165465598
1.0,1.033186069850808,0.23394359009137924,0.22100243311090947,Feynman2,theta,0.22100243311090947,0.0,0.23394359009137924,0.18257543552378744
1.0,1.0344334113449416,0.23364211102917568,0.17709479919500296,Feynman2,theta,0.17709479919500296,0.0,0.23364211102917568,0.18244393532992956
1.0,1.0354388278437263,0.23339912307625874,0.21783433250986778,Feynman2,theta,0.21783433250986778,0.0,0.23339912307625874,0.18233793992683753
1.0,1.0360896630142435,0.23324183899293363,0.26203117224180594,Feynman2,theta,0.26203117224180594,0.0,0.23324183899293363,0.1822693260376525
1.0,1.036143147672404,0.23322891394393774,0.21910075591537664,Feynman2,theta,0.21910075591537664,0.0,0.23322891394393774,0.18226368745115
1.0,1.0377825166875172,0.2328327698255243,0.24410150912903517,Feynman2,theta,0.24410150912903517,0.0,0.2328327698255243,0.18209085800215719
1.0,1.0382478711400072,0.23272032828137953,0.252153695410462,Feynman2,theta,0.252153695410462,0.0,0.23272032828137953,0.1820417983012299
1.0,1.0385551486105955,0.2326460843319816,0.27036874754376394,Feynman2,theta,0.27036874754376394,0.0,0.2326460843319816,0.1820094037668556
1.0,1.0409523457190144,0.2320669372656725,0.24051466886459208,Feynman2,theta,0.24051466886459208,0.0,0.2320669372656725,0.18175668076715745
1.0,1.040977129864289,0.23206095015022357,0.24621645555278002,Feynman2,theta,0.24621645555278002,0.0,0.23206095015022357,0.1817540679142072
1.0,1.0415513146235786,0.23192224747038312,0.22012583351293605,Feynman2,theta,0.22012583351293605,0.0,0.23192224747038312,0.1816935348465721
1.0,1.0419104105003696,0.23183550592961755,0.23181732876663927,Feynman2,theta,0.23181732876663927,0.0,0.23183550592961755,0.18165567738929325
1.0,1.0437268381114861,0.23139677771282605,0.22168632694160262,Feynman2,theta,0.22168632694160262,0.0,0.23139677771282605,0.18146418164925462
1.0,1.0442427218231007,0.23127218680647088,0.22353463495913317,Feynman2,theta,0.22353463495913317,0.0,0.23127218680647088,0.18140979493298875
1.0,1.0450445397855441,0.23107855108594308,0.2276544087847005,Feynman2,theta,0.2276544087847005,0.0,0.23107855108594308,0.18132526377793978
1.0,1.0454491237381298,0.2309808509152825,0.2195072151427209,Feynman2,theta,0.2195072151427209,0.0,0.2309808509152825,0.18128261076887348
1.0,1.0454586832961368,0.2309785424863541,0.25462670946230404,Feynman2,theta,0.25462670946230404,0.0,0.2309785424863541,0.18128160295847537
1.0,1.0471875405166748,0.23056109309206352,0.21685555111003263,Feynman2,theta,0.21685555111003263,0.0,0.23056109309206352,0.1810993392720078
1.0,1.0477712475676753,0.23042016626025513,0.19806461634672182,Feynman2,theta,0.19806461634672182,0.0,0.23042016626025513,0.1810378023228367
1.0,1.0502821403092222,0.22981403965461852,0.23521858318738945,Feynman2,theta,0.23521858318738945,0.0,0.22981403965461852,0.18077309303297726
1.0,1.0506396170200396,0.2297277571678423,0.2222266626803035,Feynman2,theta,0.2222266626803035,0.0,0.2297277571678423,0.18073540627532927
1.0,1.050812131698972,0.22968611919351556,0.26956099815171036,Feynman2,theta,0.26956099815171036,0.0,0.22968611919351556,0.18071721902368879
1.0,1.050920909743264,0.22965986499707652,0.20225597545455884,Feynman2,theta,0.20225597545455884,0.0,0.22965986499707652,0.18070575116671175
1.0,1.0510333795503404,0.22963272007122026,0.24698262834864115,Feynman2,theta,0.24698262834864115,0.0,0.22963272007122026,0.1806938941079629
1.0,1.0533810745274341,0.22906616723069365,0.24046370130592062,Feynman2,theta,0.24046370130592062,0.0,0.22906616723069365,0.1804463898400747
1.0,1.0568438534647946,0.22823077325790603,0.2176609697428054,Feynman2,theta,0.2176609697428054,0.0,0.22823077325790603,0.1800813285465317
1.0,1.0571326554310267,0.22816111409937706,0.23342789413570933,Feynman2,theta,0.23342789413570933,0.0,0.22816111409937706,0.18005088178073098
1.0,1.0573808460445877,0.22810125220312616,0.23058154252291208,Feynman2,theta,0.23058154252291208,0.0,0.22810125220312616,0.1800247164412662
1.0,1.0586664823369458,0.22779119213579085,0.23521885464146927,Feynman2,theta,0.23521885464146927,0.0,0.22779119213579085,0.1798891790430977
1.0,1.0587708684221095,0.22776601906982724,0.19463680678098794,Feynman2,theta,0.19463680678098794,0.0,0.22776601906982724,0.17987817420567212
1.0,1.0621851726654163,0.22694281632006555,0.24140232606181034,Feynman2,theta,0.24140232606181034,0.0,0.22694281632006555,0.1795182233267297
1.0,1.0642567141163288,0.2264435233971652,0.21366872528981806,Feynman2,theta,0.21366872528981806,0.0,0.2264435233971652,0.1792998323713785
1.0,1.0648978581509028,0.22628901769910734,0.22107227389704337,Feynman2,theta,0.22107227389704337,0.0,0.22628901769910734,0.17923224016455913
1.0,1.0649215965571632,0.22628329735255628,0.21186858813010817,Feynman2,theta,0.21186858813010817,0.0,0.22628329735255628,0.1792297375580014
1.0,1.065172789702243,0.22622276730130586,0.22491525909507565,Feynman2,theta,0.22491525909507565,0.0,0.22622276730130586,0.17920325567858517
1.0,1.0652958485062307,0.22619311450286306,0.20802315828328533,Feynman2,theta,0.20802315828328533,0.0,0.22619311450286306,0.1791902822815319
1.0,1.0657887066720044,0.2260743578385208,0.2272814642990951,Feynman2,theta,0.2272814642990951,0.0,0.2260743578385208,0.1791383230192292
1.0,1.0658043680155944,0.22607058428074442,0.2757277269030206,Feynman2,theta,0.2757277269030206,0.0,0.22607058428074442,0.17913667193192642
