sigma,theta,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0016536528128384,0.2415705893144994,0.25396806607830047,Feynman2,theta,0.25396806607830047,0.0,0.2415705893144994,0.18890888038637882
1.0,1.0027428674188115,0.24130703256580396,0.22265679226549107,Feynman2,theta,0.22265679226549107,0.0,0.24130703256580396,0.1887896865366251
1.0,1.003157325056074,0.24120674682440538,0.2454611399709521,Feynman2,theta,0.2454611399709521,0.0,0.24120674682440538,0.18874433202056776
1.0,1.0042637084683728,0.24093903813701747,0.2572923866368957,Feynman2,theta,0.2572923866368957,0.0,0.24093903813701747,0.18862325937111407
1.0,1.0045859946265239,0.24086105584710898,0.2499275854740338,Feynman2,theta,0.2499275854740338,0.0,0.24086105584710898,0.18858799127272308
1.0,1.0047182403055541,0.24082905695584955,0.2631361388348319,Feynman2,theta,0.2631361388348319,0.0,0.24082905695584955,0.1885735194950758
1.0,1.004921999162235,0.24077975442149363,0.2534306147123952,Feynman2,theta,0.2534306147123952,0.0,0.24077975442149363,0.1885512219584828
1.0,1.005864847956917,0.24055161925678323,0.24817507583920415,Feynman2,theta,0.24817507583920415,0.0,0.24055161925678323,0.18844804506673582
1.0,1.0073967659365353,0.24018095628703576,0.22462405264636684,Feynman2,theta,0.22462405264636684,0.0,0.24018095628703576,0.1882804057417519
1.0,1.0102069715091249,0.23950102177711988,0.2108765576324466,Feynman2,theta,0.2108765576324466,0.0,0.23950102177711988,0.18797288212019828
1.0,1.011898517844523,0.23909176699750467,0.2602021345661096,Feynman2,theta,0.2602021345661096,0.0,0.23909176699750467,0.18778777450391326
1.0,1.0120148682324979,0.23906361761855427,0.2323333877360993,Feynman2,theta,0.2323333877360993,0.0,0.23906361761855427,0.1877750421639728
1.0,1.0134643668692473,0.2387129381235588,0.22856601635513887,Feynman2,theta,0.22856601635513887,0.0,0.2387129381235588,0.18761642207078577
