epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0000006988709154,1.0,1.0,1.0,3.0,0.0654498926907818,0.06640653621153747,Feynman33,c,0.06640653621153747,0.0,0.0654498926907818,0.06614926969224266
1.0,1.0017810567623595,1.0,1.0,1.0,3.0,0.06556641684229267,0.0700172187168548,Feynman33,c,0.0700172187168548,0.0,0.06556641684229267,0.06625090315765772
1.0,1.0021144249633422,1.0,1.0,1.0,3.0,0.06558823574002491,0.07305557058125707,Feynman33,c,0.07305557058125707,0.0,0.06558823574002491,0.06626996151031117
1.0,1.0021981314350152,1.0,1.0,1.0,3.0,0.06559371431578462,0.07049252103197935,Feynman33,c,0.07049252103197935,0.0,0.06559371431578462,0.06627474830122834
1.0,1.0027155411600237,1.0,1.0,1.0,3.0,0.06562757870309675,0.06073054029197937,Feynman33,c,0.06073054029197937,0.0,0.06562757870309675,0.06630434878498456
1.0,1.0027427104101383,1.0,1.0,1.0,3.0,0.06562935692635849,0.07097490546226987,Feynman33,c,0.07097490546226987,0.0,0.06562935692635849,0.06630590368932099
1.0,1.0036228699214793,1.0,1.0,1.0,3.0,0.06568696323166716,0.06052453000456745,Feynman33,c,0.06052453000456745,0.0,0.06568696323166716,0.06635630669207554
1.0,1.0038313511017989,1.0,1.0,1.0,3.0,0.06570060829301098,0.05612329391661783,Feynman33,c,0.05612329391661783,0.0,0.06570060829301098,0.06636825438355089
1.0,1.0038697662088059,1.0,1.0,1.0,3.0,0.06570312255588516,0.061440253668426155,Feynman33,c,0.061440253668426155,0.0,0.06570312255588516,0.06637045625578453
1.0,1.0055286510931487,1.0,1.0,1.0,3.0,0.06581169631767271,0.06227104003574183,Feynman33,c,0.06227104003574183,0.0,0.06581169631767271,0.06646564951708658
1.0,1.0056442307674276,1.0,1.0,1.0,3.0,0.06581926098966477,0.06101912893158631,Feynman33,c,0.06101912893158631,0.0,0.06581926098966477,0.06647228988771983
1.0,1.0056530223137332,1.0,1.0,1.0,3.0,0.06581983639502492,0.061337650180968734,Feynman33,c,0.061337650180968734,0.0,0.06581983639502492,0.06647279502861786
1.0,1.00601010368348,1.0,1.0,1.0,3.0,0.06584320731602347,0.08029154044698172,Feynman33,c,0.08029154044698172,0.0,0.06584320731602347,0.06649331711391754
1.0,1.0061811978322996,1.0,1.0,1.0,3.0,0.06585440540187772,0.07007914993791109,Feynman33,c,0.07007914993791109,0.0,0.06585440540187772,0.06650315368698997
1.0,1.0064881606826683,1.0,1.0,1.0,3.0,0.06587449607345362,0.07484019261291429,Feynman33,c,0.07484019261291429,0.0,0.06587449607345362,0.06652080731701147
1.0,1.006732916078581,1.0,1.0,1.0,3.0,0.06589051527665624,0.0741000360625022,Feynman33,c,0.0741000360625022,0.0,0.06589051527665624,0.06653488857066053
1.0,1.0080805826323194,1.0,1.0,1.0,3.0,0.06597871984633777,0.06676688737848618,Feynman33,c,0.06676688737848618,0.0,0.06597871984633777,0.06661250512783118
1.0,1.008880255427015,1.0,1.0,1.0,3.0,0.06603105830836051,0.05897546066989386,Feynman33,c,0.05897546066989386,0.0,0.06603105830836051,0.06665862688994599
1.0,1.008978813722655,1.0,1.0,1.0,3.0,0.06603750893372577,0.06748848031114554,Feynman33,c,0.06748848031114554,0.0,0.06603750893372577,0.06666431470985276
