epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0,1.0006589396225627,3.0,0.06564416063730426,0.005294085809338982,Feynman33,omega,0.005294085809338982,0.0,0.06564416063730426,0.08803569705197103
1.0,1.0,1.0,1.0,1.0011051625528014,3.0,0.0657760194740751,-0.1724582265898366,Feynman33,omega,-0.1724582265898366,0.0,0.0657760194740751,0.08803570003369397
1.0,1.0,1.0,1.0,1.0014144500675501,3.0,0.06586754338606807,0.46995743218485997,Feynman33,omega,0.46995743218485997,0.0,0.06586754338606807,0.08803570423991901
1.0,1.0,1.0,1.0,1.001491069536267,3.0,0.06589023290634524,0.26317246250605586,Feynman33,omega,0.26317246250605586,0.0,0.06589023290634524,0.0880357056235295
1.0,1.0,1.0,1.0,1.0021232029424276,3.0,0.06607767694277047,0.35071252278643195,Feynman33,omega,0.35071252278643195,0.0,0.06607767694277047,0.08803572352879477
1.0,1.0,1.0,1.0,1.0029434768707959,3.0,0.06632157208190341,0.08277098814502917,Feynman33,omega,0.08277098814502917,0.0,0.06632157208190341,0.08803576926880761
1.0,1.0,1.0,1.0,1.0029451954612036,3.0,0.0663220838636838,-0.268653507207392,Feynman33,omega,-0.268653507207392,0.0,0.0663220838636838,0.08803576939724313
1.0,1.0,1.0,1.0,1.0042005642385172,3.0,0.06669680304590697,-0.18294401260632648,Feynman33,omega,-0.18294401260632648,0.0,0.06669680304590697,0.08803590908013098
1.0,1.0,1.0,1.0,1.004560052367954,3.0,0.0668044324578442,-0.18700052244815304,Feynman33,omega,-0.18700052244815304,0.0,0.0668044324578442,0.08803596865523136
1.0,1.0,1.0,1.0,1.005008110892371,3.0,0.06693878228587331,0.027589481515030677,Feynman33,omega,0.027589481515030677,0.0,0.06693878228587331,0.08803605725957844
1.0,1.0,1.0,1.0,1.0050481478913103,3.0,0.06695079829465961,0.13376421769375646,Feynman33,omega,0.13376421769375646,0.0,0.06695079829465961,0.08803606599976681
1.0,1.0,1.0,1.0,1.005255936882394,3.0,0.06701318937545626,-0.39090909871260293,Feynman33,omega,-0.39090909871260293,0.0,0.06701318937545626,0.08803611363210774
1.0,1.0,1.0,1.0,1.0056767651271437,3.0,0.06713969658800227,-0.3842823254430746,Feynman33,omega,-0.3842823254430746,0.0,0.06713969658800227,0.08803622227852127
1.0,1.0,1.0,1.0,1.0072220665063782,3.0,0.06760594772465042,0.031912040954636144,Feynman33,omega,0.031912040954636144,0.0,0.06760594772465042,0.08803678012752207
1.0,1.0,1.0,1.0,1.0078190631918158,3.0,0.06778679669622767,0.11542665497444415,Feynman33,omega,0.11542665497444415,0.0,0.06778679669622767,0.08803707197047642
1.0,1.0,1.0,1.0,1.00787551785817,3.0,0.06780391945656809,0.19774173045732235,Feynman33,omega,0.19774173045732235,0.0,0.06780391945656809,0.08803710200376873
1.0,1.0,1.0,1.0,1.0086854044988054,3.0,0.06804995660466172,-0.13653200794152986,Feynman33,omega,-0.13653200794152986,0.0,0.06804995660466172,0.08803758213140647
1.0,1.0,1.0,1.0,1.0090726058751258,3.0,0.06816784837433898,-0.17887433336607955,Feynman33,omega,-0.17887433336607955,0.0,0.06816784837433898,0.08803784590381443
1.0,1.0,1.0,1.0,1.00910059393675,3.0,0.06817637654391219,-0.11763375529469768,Feynman33,omega,-0.11763375529469768,0.0,0.06817637654391219,0.08803786586913791
1.0,1.0,1.0,1.0,1.0092000165142239,3.0,0.06820667854179703,0.20784436865447298,Feynman33,omega,0.20784436865447298,0.0,0.06820667854179703,0.08803793779124496
1.0,1.0,1.0,1.0,1.009326402235073,3.0,0.06824521459347374,0.04675713951139103,Feynman33,omega,0.04675713951139103,0.0,0.06824521459347374,0.08803803148968661
1.0,1.0,1.0,1.0,1.009844583005485,3.0,0.0684034023056522,0.15903092367583155,Feynman33,omega,0.15903092367583155,0.0,0.0684034023056522,0.08803844294986994
1.0,1.0,1.0,1.0,1.0103564441360504,3.0,0.06855996125527722,-0.23653579811487738,Feynman33,omega,-0.23653579811487738,0.0,0.06855996125527722,0.08803889423811626
1.0,1.0,1.0,1.0,1.0107703477580048,3.0,0.06868677741388135,0.017374852340238778,Feynman33,omega,0.017374852340238778,0.0,0.06868677741388135,0.08803929334736729
1.0,1.0,1.0,1.0,1.0109675631211659,3.0,0.06874727120952358,0.18309188005704385,Feynman33,omega,0.18309188005704385,0.0,0.06874727120952358,0.0880394946561924
1.0,1.0,1.0,1.0,1.011079755777566,3.0,0.06878170501152157,0.08597571306742716,Feynman33,omega,0.08597571306742716,0.0,0.06878170501152157,0.08803961245923418
1.0,1.0,1.0,1.0,1.011826123229115,3.0,0.06901114453906249,0.021204970750799308,Feynman33,omega,0.021204970750799308,0.0,0.06901114453906249,0.0880404586781914
