omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.002647518134336,1.0,1.0,0.09345187081031844,0.09232547043776648,Feynman44,h,0.09232547043776648,0.0,0.09345187081031844,0.09362878641550962
1.0,1.0,1.0057342357518322,1.0,1.0,0.09342830771213302,0.09070108428660695,Feynman44,h,0.09070108428660695,0.0,0.09342830771213302,0.09360373864964333
1.0,1.0,1.0066729141988304,1.0,1.0,0.09342114292188164,0.09571494987788097,Feynman44,h,0.09571494987788097,0.0,0.09342114292188164,0.09359612157166024
1.0,1.0,1.0126726480632553,1.0,1.0,0.09337535674346348,0.08920225850245887,Feynman44,h,0.08920225850245887,0.0,0.09337535674346348,0.09354743580717315
1.0,1.0,1.0155732932041057,1.0,1.0,0.09335322635955666,0.09275361401777346,Feynman44,h,0.09275361401777346,0.0,0.09335322635955666,0.09352389822537367
1.0,1.0,1.0183246194648952,1.0,1.0,0.09333223851667027,0.09130048318100763,Feynman44,h,0.09130048318100763,0.0,0.09333223851667027,0.09350157242738727
1.0,1.0,1.0196755334171703,1.0,1.0,0.0933219345706291,0.08735411379575671,Feynman44,h,0.08735411379575671,0.0,0.0933219345706291,0.09349061040644717
1.0,1.0,1.0220802912921418,1.0,1.0,0.09330359447370533,0.09435565664399202,Feynman44,h,0.09435565664399202,0.0,0.09330359447370533,0.09347109703613835
1.0,1.0,1.0236625895442213,1.0,1.0,0.09329152828296775,0.09117673337319525,Feynman44,h,0.09117673337319525,0.0,0.09329152828296775,0.09345825757030278
1.0,1.0,1.0244870403567146,1.0,1.0,0.09328524166094349,0.08861863221781778,Feynman44,h,0.08861863221781778,0.0,0.09328524166094349,0.093451567636005
1.0,1.0,1.0249095700516335,1.0,1.0,0.093282019889812,0.096799169427603,Feynman44,h,0.096799169427603,0.0,0.093282019889812,0.09344813906200947
1.0,1.0,1.0268866927975817,1.0,1.0,0.09326694542413809,0.0911567013358656,Feynman44,h,0.0911567013358656,0.0,0.09326694542413809,0.0934320959619276
1.0,1.0,1.029897519614671,1.0,1.0,0.09324399274092757,0.09241830805951526,Feynman44,h,0.09241830805951526,0.0,0.09324399274092757,0.09340766521155791
1.0,1.0,1.0310646496686102,1.0,1.0,0.0932350963026919,0.08685308691423517,Feynman44,h,0.08685308691423517,0.0,0.0932350963026919,0.09339819484010485
1.0,1.0,1.0318575806466401,1.0,1.0,0.09322905252502273,0.08996871175656604,Feynman44,h,0.08996871175656604,0.0,0.09322905252502273,0.09339176083315763
1.0,1.0,1.0333728327858838,1.0,1.0,0.09321750390885818,0.09670717021315225,Feynman44,h,0.09670717021315225,0.0,0.09321750390885818,0.09337946581806472
1.0,1.0,1.0347311577149436,1.0,1.0,0.09320715215861158,0.09498928739735418,Feynman44,h,0.09498928739735418,0.0,0.09320715215861158,0.09336844420214492
1.0,1.0,1.0396407605393132,1.0,1.0,0.09316974279836987,0.09682645349107186,Feynman44,h,0.09682645349107186,0.0,0.09316974279836987,0.09332860763148476
1.0,1.0,1.0422515276808517,1.0,1.0,0.0931498539047341,0.0873667589346285,Feynman44,h,0.0873667589346285,0.0,0.0931498539047341,0.09330742421967163
1.0,1.0,1.0438744044048187,1.0,1.0,0.09313749225204743,0.08968976587513527,Feynman44,h,0.08968976587513527,0.0,0.09313749225204743,0.09329425656105626
1.0,1.0,1.0478208292428284,1.0,1.0,0.09310743653379436,0.08977312541064544,Feynman44,h,0.08977312541064544,0.0,0.09310743653379436,0.09326223664300051
1.0,1.0,1.0529967129938314,1.0,1.0,0.09306802740562306,0.0900440697160604,Feynman44,h,0.0900440697160604,0.0,0.09306802740562306,0.0932202424603329
1.0,1.0,1.0540345620231863,1.0,1.0,0.09306012660868382,0.09210836221503328,Feynman44,h,0.09210836221503328,0.0,0.09306012660868382,0.09321182210868152
1.0,1.0,1.0559927061504233,1.0,1.0,0.09304522116468733,0.0932671820009566,Feynman44,h,0.0932671820009566,0.0,0.09304522116468733,0.09319593531162983
1.0,1.0,1.056204535825914,1.0,1.0,0.09304360880972501,0.09428503547037874,Feynman44,h,0.09428503547037874,0.0,0.09304360880972501,0.09319421670976108
1.0,1.0,1.0583445141161913,1.0,1.0,0.09302732130307603,0.09279212788789605,Feynman44,h,0.09279212788789605,0.0,0.09302732130307603,0.0931768549288238
1.0,1.0,1.0588433238541906,1.0,1.0,0.09302352511213632,0.09297807319500812,Feynman44,h,0.09297807319500812,0.0,0.09302352511213632,0.09317280809146347
1.0,1.0,1.0590547170770699,1.0,1.0,0.0930219163362742,0.08811985142890541,Feynman44,h,0.08811985142890541,0.0,0.0930219163362742,0.09317109306521248
1.0,1.0,1.0591720690633633,1.0,1.0,0.09302102325511913,0.09250522038917498,Feynman44,h,0.09250522038917498,0.0,0.09302102325511913,0.09317014099355206
1.0,1.0,1.0604945384419318,1.0,1.0,0.09301095930254077,0.094219121451059,Feynman44,h,0.094219121451059,0.0,0.09301095930254077,0.09315941191253131
1.0,1.0,1.0622050892669512,1.0,1.0,0.09299794316816869,0.09489908296310787,Feynman44,h,0.09489908296310787,0.0,0.09299794316816869,0.09314553451698923
1.0,1.0,1.0638500242576305,1.0,1.0,0.09298542750302365,0.09135274188366652,Feynman44,h,0.09135274188366652,0.0,0.09298542750302365,0.09313218962249012
1.0,1.0,1.0647585968629927,1.0,1.0,0.09297851502522203,0.0940549285781629,Feynman44,h,0.0940549285781629,0.0,0.09297851502522203,0.09312481870242098
1.0,1.0,1.066680324632162,1.0,1.0,0.09296389555884604,0.09022775295133606,Feynman44,h,0.09022775295133606,0.0,0.09296389555884604,0.09310922859873959
1.0,1.0,1.068846147116945,1.0,1.0,0.09294742103974533,0.09629378308793453,Feynman44,h,0.09629378308793453,0.0,0.09294742103974533,0.09309165856078767
1.0,1.0,1.0740049673423266,1.0,1.0,0.09290818807844074,0.09475357091731387,Feynman44,h,0.09475357091731387,0.0,0.09290818807844074,0.09304980941892455
1.0,1.0,1.0750450840948105,1.0,1.0,0.09290027933859386,0.09393063013408597,Feynman44,h,0.09393063013408597,0.0,0.09290027933859386,0.09304137206599501
1.0,1.0,1.0840129390869975,1.0,1.0,0.09283210956315946,0.08937306296061703,Feynman44,h,0.08937306296061703,0.0,0.09283210956315946,0.092968628948112
1.0,1.0,1.0845758836196713,1.0,1.0,0.09282783144512824,0.09867544220399925,Feynman44,h,0.09867544220399925,0.0,0.09282783144512824,0.09296406281842483
1.0,1.0,1.0902229647572503,1.0,1.0,0.09278492371870026,0.08930378880742271,Feynman44,h,0.08930378880742271,0.0,0.09278492371870026,0.09291825998581044
1.0,1.0,1.0914277148771419,1.0,1.0,0.09277577153062826,0.09117663760858474,Feynman44,h,0.09117663760858474,0.0,0.09277577153062826,0.09290848876052926
1.0,1.0,1.0918471662245568,1.0,1.0,0.09277258520796851,0.08953945021250644,Feynman44,h,0.08953945021250644,0.0,0.09277258520796851,0.09290508679677742
1.0,1.0,1.0942561884066437,1.0,1.0,0.09275428675073914,0.09052290739429572,Feynman44,h,0.09052290739429572,0.0,0.09275428675073914,0.09288554871653498
1.0,1.0,1.0950072679450695,1.0,1.0,0.09274858220483605,0.09590730796844701,Feynman44,h,0.09590730796844701,0.0,0.09274858220483605,0.09287945728873426
1.0,1.0,1.0961409212391011,1.0,1.0,0.09273997241753407,0.09308155174550094,Feynman44,h,0.09308155174550094,0.0,0.09273997241753407,0.0928702632013097
1.0,1.0,1.106963496645096,1.0,1.0,0.09265780550189082,0.09211866339863131,Feynman44,h,0.09211866339863131,0.0,0.09265780550189082,0.09278249701705911
1.0,1.0,1.10741522981359,1.0,1.0,0.09265437694930843,0.09367616488440045,Feynman44,h,0.09367616488440045,0.0,0.09265437694930843,0.09277883392897966
1.0,1.0,1.1094121576432405,1.0,1.0,0.09263922176127566,0.09410075265713685,Feynman44,h,0.09410075265713685,0.0,0.09263922176127566,0.0927626411763485
1.0,1.0,1.1105958591438214,1.0,1.0,0.09263023915530229,0.08910252320362345,Feynman44,h,0.08910252320362345,0.0,0.09263023915530229,0.09275304294477268
1.0,1.0,1.1116143488358743,1.0,1.0,0.0926225107495053,0.09087812449091039,Feynman44,h,0.09087812449091039,0.0,0.0926225107495053,0.09274478448321466
1.0,1.0,1.1140620721997494,1.0,1.0,0.0926039389787478,0.09319062093932104,Feynman44,h,0.09319062093932104,0.0,0.0926039389787478,0.09272493750226067
1.0,1.0,1.1152590549332277,1.0,1.0,0.09259485796389827,0.09574503346611073,Feynman44,h,0.09574503346611073,0.0,0.09259485796389827,0.09271523220315529
1.0,1.0,1.1238214089527925,1.0,1.0,0.09252991672712219,0.0912991398665953,Feynman44,h,0.0912991398665953,0.0,0.09252991672712219,0.09264581238312149
1.0,1.0,1.1259362443709366,1.0,1.0,0.09251388155643708,0.08867044319156374,Feynman44,h,0.08867044319156374,0.0,0.09251388155643708,0.09262866759513616
1.0,1.0,1.1266379919674918,1.0,1.0,0.0925085611654264,0.09121699747232304,Feynman44,h,0.09121699747232304,0.0,0.0925085611654264,0.09262297871187392
1.0,1.0,1.1266988727002474,1.0,1.0,0.09250809960010174,0.08812159700451343,Feynman44,h,0.08812159700451343,0.0,0.09250809960010174,0.09262248517071202
1.0,1.0,1.1272174269246897,1.0,1.0,0.09250416826192084,0.092735942468172,Feynman44,h,0.092735942468172,0.0,0.09250416826192084,0.09261828143196174
1.0,1.0,1.1333615237553585,1.0,1.0,0.09245759647458655,0.09642746863514268,Feynman44,h,0.09642746863514268,0.0,0.09245759647458655,0.09256847601530413
1.0,1.0,1.1348697563718297,1.0,1.0,0.09244616664634185,0.08954580880332456,Feynman44,h,0.08954580880332456,0.0,0.09244616664634185,0.09255625070584836
