epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0004068472040228,1.0,1.0,0.3376873051385127,0.3596193525869504,Feynman56,x,0.3596193525869504,0.0,0.3376873051385127,0.33929725305405034
1.0,1.0,1.0,1.0016643704912918,1.0,1.0,0.33789969660060454,0.37669643351177334,Feynman56,x,0.37669643351177334,0.0,0.33789969660060454,0.3395145624501184
1.0,1.0,1.0,1.0028797531920404,1.0,1.0,0.3381050971857609,0.3078020398034472,Feynman56,x,0.3078020398034472,0.0,0.3381050971857609,0.3397246377023797
1.0,1.0,1.0,1.006742492383396,1.0,1.0,0.3387587261579383,0.3678104141826668,Feynman56,x,0.3678104141826668,0.0,0.3387587261579383,0.34039261474236765
1.0,1.0,1.0,1.008715326627558,1.0,1.0,0.33909303846262373,0.31367380206648826,Feynman56,x,0.31367380206648826,0.0,0.33909303846262373,0.34073395837454984
1.0,1.0,1.0,1.0106865707722115,1.0,1.0,0.33942740516366016,0.35865703073583416,Feynman56,x,0.35865703073583416,0.0,0.33942740516366016,0.34107515185019693
1.0,1.0,1.0,1.0108998114982028,1.0,1.0,0.33946359488057354,0.3679629810615592,Feynman56,x,0.3679629810615592,0.0,0.33946359488057354,0.3411120681898489
1.0,1.0,1.0,1.012957369513994,1.0,1.0,0.33981298296780377,0.32934944572915853,Feynman56,x,0.32934944572915853,0.0,0.33981298296780377,0.3414683488984806
1.0,1.0,1.0,1.013474508447772,1.0,1.0,0.3399008520147895,0.33029613640303374,Feynman56,x,0.33029613640303374,0.0,0.3399008520147895,0.34155791661733503
1.0,1.0,1.0,1.013676047994823,1.0,1.0,0.33993510235858576,0.36121830998441923,Feynman56,x,0.36121830998441923,0.0,0.33993510235858576,0.34159282531261637
1.0,1.0,1.0,1.0138739944185693,1.0,1.0,0.33996874534376403,0.3676641669772031,Feynman56,x,0.3676641669772031,0.0,0.33996874534376403,0.3416271129180197
1.0,1.0,1.0,1.0150115865246998,1.0,1.0,0.34016215332922994,0.24075555249123298,Feynman56,x,0.24075555249123298,0.0,0.34016215332922994,0.3418241872645751
1.0,1.0,1.0,1.0150140443170537,1.0,1.0,0.3401625713070504,0.3071806241357368,Feynman56,x,0.3071806241357368,0.0,0.3401625713070504,0.3418246130931927
1.0,1.0,1.0,1.0154069217414594,1.0,1.0,0.3402293913530024,0.3444043693741679,Feynman56,x,0.3444043693741679,0.0,0.3402293913530024,0.3418926841873364
1.0,1.0,1.0,1.015549104209692,1.0,1.0,0.3402535766870993,0.3423225522729926,Feynman56,x,0.3423225522729926,0.0,0.3402535766870993,0.3419173203671396
1.0,1.0,1.0,1.0156673997435874,1.0,1.0,0.34027370010792907,0.3716363671922859,Feynman56,x,0.3716363671922859,0.0,0.34027370010792907,0.34193781811797597
1.0,1.0,1.0,1.0175264893104508,1.0,1.0,0.340590103873804,0.3084280759510187,Feynman56,x,0.3084280759510187,0.0,0.340590103873804,0.3422600127188489
1.0,1.0,1.0,1.0178045671077693,1.0,1.0,0.34063745517813043,0.3377061451103364,Feynman56,x,0.3377061451103364,0.0,0.34063745517813043,0.34230821536104705
1.0,1.0,1.0,1.0187121831269423,1.0,1.0,0.34079204894764903,0.39000564109051483,Feynman56,x,0.39000564109051483,0.0,0.34079204894764903,0.34246556101313813
1.0,1.0,1.0,1.0187601396994221,1.0,1.0,0.34080021924720927,0.34291848535358727,Feynman56,x,0.34291848535358727,0.0,0.34080021924720927,0.34247387557700415
1.0,1.0,1.0,1.0196734278603672,1.0,1.0,0.34095585098188913,0.4058430782716374,Feynman56,x,0.4058430782716374,0.0,0.34095585098188913,0.34263223290047495
1.0,1.0,1.0,1.0226449372883124,1.0,1.0,0.3414626928895519,0.37134316571007725,Feynman56,x,0.37134316571007725,0.0,0.3414626928895519,0.34314765746540155
1.0,1.0,1.0,1.0229622727316285,1.0,1.0,0.34151686252401064,0.35277949546230647,Feynman56,x,0.35277949546230647,0.0,0.34151686252401064,0.34320271796622004
1.0,1.0,1.0,1.0243955263853004,1.0,1.0,0.34176162331031185,0.3071527190536332,Feynman56,x,0.3071527190536332,0.0,0.34176162331031185,0.34345144087958773
1.0,1.0,1.0,1.0247886613419082,1.0,1.0,0.3418287893089459,0.3121906996831171,Feynman56,x,0.3121906996831171,0.0,0.3418287893089459,0.34351967611112877
1.0,1.0,1.0,1.026461270529009,1.0,1.0,0.3421146902766834,0.28986462549251235,Feynman56,x,0.28986462549251235,0.0,0.3421146902766834,0.34381004196419224
1.0,1.0,1.0,1.030026550155695,1.0,1.0,0.3427248642576863,0.3606139281768512,Feynman56,x,0.3606139281768512,0.0,0.3427248642576863,0.34442928054411004
1.0,1.0,1.0,1.0302549136108503,1.0,1.0,0.3427639821592172,0.39133655493636904,Feynman56,x,0.39133655493636904,0.0,0.3427639821592172,0.34446895816893797
1.0,1.0,1.0,1.0304871126142863,1.0,1.0,0.34280376139041824,0.3365814353695593,Feynman56,x,0.3365814353695593,0.0,0.34280376139041824,0.34450930395695384
1.0,1.0,1.0,1.0306933618357037,1.0,1.0,0.3428390986739462,0.31733622675198364,Feynman56,x,0.31733622675198364,0.0,0.3428390986739462,0.3445451423112037
1.0,1.0,1.0,1.0311603995978276,1.0,1.0,0.3429191302942596,0.3813647902072908,Feynman56,x,0.3813647902072908,0.0,0.3429191302942596,0.34462630103560815
1.0,1.0,1.0,1.0315398601519703,1.0,1.0,0.34298416761625533,0.3063249947980424,Feynman56,x,0.3063249947980424,0.0,0.34298416761625533,0.344692246419766
1.0,1.0,1.0,1.0316922076650965,1.0,1.0,0.34301028235153724,0.3395845808394466,Feynman56,x,0.3395845808394466,0.0,0.34301028235153724,0.34471872378979673
1.0,1.0,1.0,1.0318882811980457,1.0,1.0,0.3430438951564927,0.44245603836523795,Feynman56,x,0.44245603836523795,0.0,0.3430438951564927,0.344752801678093
1.0,1.0,1.0,1.0339942762043237,1.0,1.0,0.343405119874815,0.3785362429705819,Feynman56,x,0.3785362429705819,0.0,0.343405119874815,0.3451189061792073
1.0,1.0,1.0,1.0344815653742585,1.0,1.0,0.3434887514645216,0.27101954035510356,Feynman56,x,0.27101954035510356,0.0,0.3434887514645216,0.3452036368142359
1.0,1.0,1.0,1.0345781947660215,1.0,1.0,0.34350533786171455,0.31551465713990423,Feynman56,x,0.31551465713990423,0.0,0.34350533786171455,0.345220439813967
1.0,1.0,1.0,1.0361140756966005,1.0,1.0,0.34376907161697007,0.40911426322903044,Feynman56,x,0.40911426322903044,0.0,0.34376907161697007,0.34548755703721146
1.0,1.0,1.0,1.0373838617236422,1.0,1.0,0.3439872553351245,0.2993899364997401,Feynman56,x,0.2993899364997401,0.0,0.3439872553351245,0.34570845397281524
1.0,1.0,1.0,1.037922794382476,1.0,1.0,0.34407989750887535,0.3699512832072955,Feynman56,x,0.3699512832072955,0.0,0.34407989750887535,0.34580222479029027
1.0,1.0,1.0,1.0381337910592086,1.0,1.0,0.34411617401010236,0.32910375088131477,Feynman56,x,0.32910375088131477,0.0,0.34411617401010236,0.3458389394518622
1.0,1.0,1.0,1.039597488779215,1.0,1.0,0.3443679241044288,0.3210935605038364,Feynman56,x,0.3210935605038364,0.0,0.3443679241044288,0.3460936716995797
1.0,1.0,1.0,1.0402911292452814,1.0,1.0,0.3444872869965126,0.3642436186039892,Feynman56,x,0.3642436186039892,0.0,0.3444872869965126,0.3462144128691533
1.0,1.0,1.0,1.0403435310280464,1.0,1.0,0.34449630594263875,0.35065513173689444,Feynman56,x,0.35065513173689444,0.0,0.34449630594263875,0.34622353502757086
1.0,1.0,1.0,1.0434604482831156,1.0,1.0,0.3450331548716771,0.3446909163262829,Feynman56,x,0.3446909163262829,0.0,0.3450331548716771,0.34676629382138424
1.0,1.0,1.0,1.044844034879624,1.0,1.0,0.34527170629746917,0.36684649645449197,Feynman56,x,0.36684649645449197,0.0,0.34527170629746917,0.3470073247322857
1.0,1.0,1.0,1.0449319287060954,1.0,1.0,0.34528686563987254,0.35151770921102415,Feynman56,x,0.35151770921102415,0.0,0.34528686563987254,0.34702263861221944
1.0,1.0,1.0,1.0476876961679698,1.0,1.0,0.3457624708340128,0.3405340628558622,Feynman56,x,0.3405340628558622,0.0,0.3457624708340128,0.3475029096350503
1.0,1.0,1.0,1.0501444153324113,1.0,1.0,0.34618696787041586,0.31666973289675054,Feynman56,x,0.31666973289675054,0.0,0.34618696787041586,0.3479312745426769
1.0,1.0,1.0,1.0509775349179864,1.0,1.0,0.3463310301626187,0.35465893630300566,Feynman56,x,0.35465893630300566,0.0,0.3463310301626187,0.3480765864716262
1.0,1.0,1.0,1.0513763398735025,1.0,1.0,0.34640001037050744,0.3337595501654081,Feynman56,x,0.3337595501654081,0.0,0.34640001037050744,0.34814615378980046
1.0,1.0,1.0,1.0517552107533479,1.0,1.0,0.34646555414824354,0.34200025419208496,Feynman56,x,0.34200025419208496,0.0,0.34646555414824354,0.34821224869959416
1.0,1.0,1.0,1.0523389528036988,1.0,1.0,0.3465665621015686,0.3867093590832412,Feynman56,x,0.3867093590832412,0.0,0.3465665621015686,0.3483140931749829
1.0,1.0,1.0,1.0525124641924264,1.0,1.0,0.3465965908161984,0.4113809402729811,Feynman56,x,0.4113809402729811,0.0,0.3465965908161984,0.34834436758754606
1.0,1.0,1.0,1.0528637391657756,1.0,1.0,0.3466573913409938,0.36618077475418986,Feynman56,x,0.36618077475418986,0.0,0.3466573913409938,0.3484056613957105
1.0,1.0,1.0,1.0530293672409554,1.0,1.0,0.3466860624597523,0.302667717228288,Feynman56,x,0.302667717228288,0.0,0.3466860624597523,0.3484345631818525
1.0,1.0,1.0,1.0532614179050221,1.0,1.0,0.34672623528587987,0.3870157191145469,Feynman56,x,0.3870157191145469,0.0,0.34672623528587987,0.3484750571147332
1.0,1.0,1.0,1.0550936746456672,1.0,1.0,0.34704358452647305,0.3212062078955233,Feynman56,x,0.3212062078955233,0.0,0.34704358452647305,0.34879485730099175
1.0,1.0,1.0,1.0557761832538974,1.0,1.0,0.34716186263099963,0.34515974625613705,Feynman56,x,0.34515974625613705,0.0,0.34716186263099963,0.3489140101423163
1.0,1.0,1.0,1.0560475631405937,1.0,1.0,0.34720890256238257,0.40494365033978774,Feynman56,x,0.40494365033978774,0.0,0.34720890256238257,0.3489613921382054
1.0,1.0,1.0,1.0564587179312641,1.0,1.0,0.3472801814184703,0.33295833928976987,Feynman56,x,0.33295833928976987,0.0,0.3472801814184703,0.34903318301619585
1.0,1.0,1.0,1.056467390803854,1.0,1.0,0.3472816851112755,0.2481714232579954,Feynman56,x,0.2481714232579954,0.0,0.3472816851112755,0.34903469742886317
1.0,1.0,1.0,1.0577962123583713,1.0,1.0,0.34751214355603094,0.43696545861623537,Feynman56,x,0.43696545861623537,0.0,0.34751214355603094,0.34926675900998544
1.0,1.0,1.0,1.0578528600755503,1.0,1.0,0.34752197104816046,0.38222769624535247,Feynman56,x,0.38222769624535247,0.0,0.34752197104816046,0.34927665311024025
1.0,1.0,1.0,1.057920453345678,1.0,1.0,0.34753369774734116,0.3730736495605509,Feynman56,x,0.3730736495605509,0.0,0.34753369774734116,0.34928845910244444
1.0,1.0,1.0,1.0583115681512618,1.0,1.0,0.34760155886424765,0.30917210697941505,Feynman56,x,0.30917210697941505,0.0,0.34760155886424765,0.34935677507762525
1.0,1.0,1.0,1.059230938145787,1.0,1.0,0.34776112247836977,0.4104353229424116,Feynman56,x,0.4104353229424116,0.0,0.34776112247836977,0.3495173813795137
1.0,1.0,1.0,1.0595040472997022,1.0,1.0,0.3478085352176253,0.33123041589704166,Feynman56,x,0.33123041589704166,0.0,0.3478085352176253,0.3495650967040746
1.0,1.0,1.0,1.0602672419619412,1.0,1.0,0.3479410590997571,0.36858118748829366,Feynman56,x,0.36858118748829366,0.0,0.3479410590997571,0.34969844880666373
1.0,1.0,1.0,1.060429052349041,1.0,1.0,0.3479691622134541,0.3566877055476273,Feynman56,x,0.3566877055476273,0.0,0.3479691622134541,0.3497267242391175
1.0,1.0,1.0,1.0609788446252195,1.0,1.0,0.34806466482555776,0.37864548949687377,Feynman56,x,0.37864548949687377,0.0,0.34806466482555776,0.34982280379283587
1.0,1.0,1.0,1.0630579418923656,1.0,1.0,0.34842602834347847,0.3497851601393069,Feynman56,x,0.3497851601393069,0.0,0.34842602834347847,0.35018622990299914
1.0,1.0,1.0,1.0637971056808249,1.0,1.0,0.3485545808830618,0.35417222987861385,Feynman56,x,0.35417222987861385,0.0,0.3485545808830618,0.35031547047951206
1.0,1.0,1.0,1.0645468531525852,1.0,1.0,0.3486850169102706,0.39666458353339706,Feynman56,x,0.39666458353339706,0.0,0.3486850169102706,0.3504465802338568
1.0,1.0,1.0,1.064648372649617,1.0,1.0,0.34870268190206005,0.41168455664741294,Feynman56,x,0.41168455664741294,0.0,0.34870268190206005,0.3504643345842909
1.0,1.0,1.0,1.0656057567565826,1.0,1.0,0.3488693112041051,0.33380927873154825,Feynman56,x,0.33380927873154825,0.0,0.3488693112041051,0.350631784723888
1.0,1.0,1.0,1.0657734513815664,1.0,1.0,0.34889850507712145,0.3478407057182639,Feynman56,x,0.3478407057182639,0.0,0.34889850507712145,0.35066111831061114
1.0,1.0,1.0,1.069575739331009,1.0,1.0,0.3495610196646264,0.3736276482001142,Feynman56,x,0.3736276482001142,0.0,0.3495610196646264,0.35132647734020883
1.0,1.0,1.0,1.0696853730637037,1.0,1.0,0.3495801386970196,0.38581893345887275,Feynman56,x,0.38581893345887275,0.0,0.3495801386970196,0.35134566923949073
1.0,1.0,1.0,1.07039051868127,1.0,1.0,0.34970313091384114,0.23274998990948254,Feynman56,x,0.23274998990948254,0.0,0.34970313091384114,0.35146911792855784
1.0,1.0,1.0,1.0739211757649119,1.0,1.0,0.35031951886665424,0.2694929027978537,Feynman56,x,0.2694929027978537,0.0,0.35031951886665424,0.35208747547237995
1.0,1.0,1.0,1.0745382136595694,1.0,1.0,0.3504273391844929,0.33556527005200015,Feynman56,x,0.33556527005200015,0.0,0.3504273391844929,0.3521955862191224
1.0,1.0,1.0,1.074574657342381,1.0,1.0,0.3504337082005134,0.37458964164448294,Feynman56,x,0.37458964164448294,0.0,0.3504337082005134,0.35220197189028496
1.0,1.0,1.0,1.0746150436368724,1.0,1.0,0.35044076635721944,0.3303909005284693,Feynman56,x,0.3303909005284693,0.0,0.35044076635721944,0.35220904843907797
1.0,1.0,1.0,1.0746275969840726,1.0,1.0,0.3504429602823048,0.34796442014175233,Feynman56,x,0.34796442014175233,0.0,0.3504429602823048,0.35221124806711795
1.0,1.0,1.0,1.0748824919946514,1.0,1.0,0.35048751038031567,0.3186730556282105,Feynman56,x,0.3186730556282105,0.0,0.35048751038031567,0.3522559125387175
1.0,1.0,1.0,1.075651303137065,1.0,1.0,0.35062191150986877,0.31182619031310077,Feynman56,x,0.31182619031310077,0.0,0.35062191150986877,0.35239064221213473
1.0,1.0,1.0,1.0759008489670623,1.0,1.0,0.3506655458994074,0.37055053358098705,Feynman56,x,0.37055053358098705,0.0,0.3506655458994074,0.3524343779454016
1.0,1.0,1.0,1.0761767347917868,1.0,1.0,0.3507137914341573,0.32964186056158634,Feynman56,x,0.32964186056158634,0.0,0.3507137914341573,0.3524827325034878
1.0,1.0,1.0,1.0766146045449756,1.0,1.0,0.35079037567473714,0.40217662984590274,Feynman56,x,0.40217662984590274,0.0,0.35079037567473714,0.3525594832807928
1.0,1.0,1.0,1.0782437096133444,1.0,1.0,0.3510754358238315,0.35360070834565904,Feynman56,x,0.35360070834565904,0.0,0.3510754358238315,0.3528450931930848
1.0,1.0,1.0,1.0797905098820386,1.0,1.0,0.35134627870080615,0.27352561327058755,Feynman56,x,0.27352561327058755,0.0,0.35134627870080615,0.3531163565704256
1.0,1.0,1.0,1.0798622279187284,1.0,1.0,0.35135884079310775,0.3485460950438445,Feynman56,x,0.3485460950438445,0.0,0.35135884079310775,0.3531289357698486
1.0,1.0,1.0,1.079957869852475,1.0,1.0,0.35137559398152496,0.35097512732484115,Feynman56,x,0.35097512732484115,0.0,0.35137559398152496,0.35314571144313384
1.0,1.0,1.0,1.0812154196429469,1.0,1.0,0.3515959372688827,0.3359413370645153,Feynman56,x,0.3359413370645153,0.0,0.3515959372688827,0.3533663154622669
1.0,1.0,1.0,1.0821809788991401,1.0,1.0,0.35176519926067246,0.3955361942286353,Feynman56,x,0.3955361942286353,0.0,0.35176519926067246,0.3535357337215351
1.0,1.0,1.0,1.082774784386899,1.0,1.0,0.3518693275834763,0.3617397194932245,Feynman56,x,0.3617397194932245,0.0,0.3518693275834763,0.353639939257239
1.0,1.0,1.0,1.0827900972140483,1.0,1.0,0.35187201315236766,0.3158101836787444,Feynman56,x,0.3158101836787444,0.0,0.35187201315236766,0.35364262662732066
1.0,1.0,1.0,1.0829722934613963,1.0,1.0,0.3519039681342621,0.3337725476594856,Feynman56,x,0.3337725476594856,0.0,0.3519039681342621,0.35367460230808867
1.0,1.0,1.0,1.0845116662122973,1.0,1.0,0.3521740538900811,0.3603456097574064,Feynman56,x,0.3603456097574064,0.0,0.3521740538900811,0.35394480912982884
1.0,1.0,1.0,1.0847025375603008,1.0,1.0,0.3522075549041626,0.36248040958939387,Feynman56,x,0.36248040958939387,0.0,0.3522075549041626,0.35397831846263933
1.0,1.0,1.0,1.0869968977687807,1.0,1.0,0.35261046402922713,0.33972901261529415,Feynman56,x,0.33972901261529415,0.0,0.35261046402922713,0.3543812125447172
1.0,1.0,1.0,1.0875668242962322,1.0,1.0,0.3527106084900129,0.2719688255097521,Feynman56,x,0.2719688255097521,0.0,0.3527106084900129,0.3544813204459236
1.0,1.0,1.0,1.0889200466075981,1.0,1.0,0.3529484858115801,0.3684518193981312,Feynman56,x,0.3684518193981312,0.0,0.3529484858115801,0.3547190588792953
1.0,1.0,1.0,1.0891846716381155,1.0,1.0,0.35299501896790675,0.28318502125298756,Feynman56,x,0.28318502125298756,0.0,0.35299501896790675,0.35476555632877943
1.0,1.0,1.0,1.0892140624154445,1.0,1.0,0.3530001875268984,0.3508943730353863,Feynman56,x,0.3508943730353863,0.0,0.3530001875268984,0.3547707207497656
