epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0,1.0,1.002180164290254,0.33835468261482177,0.2735143753149982,Feynman56,z,0.2735143753149982,0.0,0.33835468261482177,0.33692555879203323
1.0,1.0,1.0,1.0,1.0,1.0071484506935702,0.3400320686069145,0.3537211816414663,Feynman56,z,0.3537211816414663,0.0,0.3400320686069145,0.3384292657944562
1.0,1.0,1.0,1.0,1.0,1.0076024832466386,0.3401853584502622,0.3423174088685277,Feynman56,z,0.3423174088685277,0.0,0.3401853584502622,0.33856692250050485
1.0,1.0,1.0,1.0,1.0,1.0078326932515695,0.3402630816341054,0.4314093850535577,Feynman56,z,0.4314093850535577,0.0,0.3402630816341054,0.33863673437227926
1.0,1.0,1.0,1.0,1.0,1.0083304056966076,0.34043111862223874,0.39573045823349956,Feynman56,z,0.39573045823349956,0.0,0.34043111862223874,0.33878770214476145
1.0,1.0,1.0,1.0,1.0,1.0102184935719902,0.3410685722424433,0.37041127352556324,Feynman56,z,0.37041127352556324,0.0,0.3410685722424433,0.33936083747997
1.0,1.0,1.0,1.0,1.0,1.0132172975140779,0.34208102428669995,0.24926334902837025,Feynman56,z,0.24926334902837025,0.0,0.34208102428669995,0.3402725427857072
1.0,1.0,1.0,1.0,1.0,1.0134356198465788,0.34215473397099944,0.28500101389183874,Feynman56,z,0.28500101389183874,0.0,0.34215473397099944,0.3403389850866465
1.0,1.0,1.0,1.0,1.0,1.0136288116658632,0.3422199591261431,0.34468592612394605,Feynman56,z,0.34468592612394605,0.0,0.3422199591261431,0.34039778698939765
1.0,1.0,1.0,1.0,1.0,1.015236649660387,0.3427627951687208,0.40314100984952117,Feynman56,z,0.40314100984952117,0.0,0.3427627951687208,0.34088744208346144
1.0,1.0,1.0,1.0,1.0,1.0154989946795134,0.3428513677316641,0.3999674558063754,Feynman56,z,0.3999674558063754,0.0,0.3428513677316641,0.3409673841022432
1.0,1.0,1.0,1.0,1.0,1.0180501935994934,0.34371269998669673,0.21115617072449006,Feynman56,z,0.21115617072449006,0.0,0.34371269998669673,0.3417454705993019
1.0,1.0,1.0,1.0,1.0,1.019521156427589,0.3442093244246699,0.30829666645404413,Feynman56,z,0.30829666645404413,0.0,0.3442093244246699,0.34219465876626914
1.0,1.0,1.0,1.0,1.0,1.023028111972203,0.34539333791099,0.329377467588677,Feynman56,z,0.329377467588677,0.0,0.34539333791099,0.34326722704703394
1.0,1.0,1.0,1.0,1.0,1.0239330246687728,0.3456988532855223,0.2639091617537499,Feynman56,z,0.2639091617537499,0.0,0.3456988532855223,0.3435443614849032
1.0,1.0,1.0,1.0,1.0,1.0246094914753527,0.34592724107426076,0.38502051867273424,Feynman56,z,0.38502051867273424,0.0,0.34592724107426076,0.3437516334749415
1.0,1.0,1.0,1.0,1.0,1.025200785481475,0.34612687293977,0.40010293457302243,Feynman56,z,0.40010293457302243,0.0,0.34612687293977,0.3439328784212997
