m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0,1.000512466243697,3.0,1.0,3.0,1.0,3.0,1.0,0.08337603885364142,0.07828478177027846,Feynman5,G,0.07828478177027846,0.08337603885364142,0.08338957061401761
1.0,1.0,1.0008164329362905,3.0,1.0,3.0,1.0,3.0,1.0,0.08340136941135755,0.1025259477377428,Feynman5,G,0.1025259477377428,0.08340136941135755,0.0834153980130647
1.0,1.0,1.0012680767449815,3.0,1.0,3.0,1.0,3.0,1.0,0.08343900639541513,0.09317213587993964,Feynman5,G,0.09317213587993964,0.08343900639541513,0.08345377170110245
1.0,1.0,1.0020914090442825,3.0,1.0,3.0,1.0,3.0,1.0,0.08350761742035688,0.08136464854476004,Feynman5,G,0.08136464854476004,0.08350761742035688,0.08352372104534293
1.0,1.0,1.002353559030545,3.0,1.0,3.0,1.0,3.0,1.0,0.08352946325254541,0.07433458879597205,Feynman5,G,0.07433458879597205,0.08352946325254541,0.08354599173572828
1.0,1.0,1.0039451703723472,3.0,1.0,3.0,1.0,3.0,1.0,0.08366209753102893,0.06417852615926467,Feynman5,G,0.06417852615926467,0.08366209753102893,0.08368119240330142
1.0,1.0,1.0048365915128783,3.0,1.0,3.0,1.0,3.0,1.0,0.08373638262607319,0.07632791624811336,Feynman5,G,0.07632791624811336,0.08373638262607319,0.08375690506946122
1.0,1.0,1.0050809325381136,3.0,1.0,3.0,1.0,3.0,1.0,0.08375674437817614,0.08618422964097953,Feynman5,G,0.08618422964097953,0.08375674437817614,0.08377765689656143
1.0,1.0,1.0052157153170709,3.0,1.0,3.0,1.0,3.0,1.0,0.08376797627642257,0.07402406270661603,Feynman5,G,0.07402406270661603,0.08376797627642257,0.08378910374139527
1.0,1.0,1.0052927604164985,3.0,1.0,3.0,1.0,3.0,1.0,0.08377439670137488,0.08393428023282644,Feynman5,G,0.08393428023282644,0.08377439670137488,0.08379564696299067
1.0,1.0,1.0053366794125786,3.0,1.0,3.0,1.0,3.0,1.0,0.08377805661771488,0.08172090144729163,Feynman5,G,0.08172090144729163,0.08377805661771488,0.08379937685521682
1.0,1.0,1.0054564106087072,3.0,1.0,3.0,1.0,3.0,1.0,0.08378803421739227,0.08331722366058725,Feynman5,G,0.08331722366058725,0.08378803421739227,0.08380954513547668
1.0,1.0,1.0058347174162061,3.0,1.0,3.0,1.0,3.0,1.0,0.08381955978468385,0.08677999630909672,Feynman5,G,0.08677999630909672,0.08381955978468385,0.08384167235272481
1.0,1.0,1.0062172935980944,3.0,1.0,3.0,1.0,3.0,1.0,0.08385144113317454,0.07370795826320703,Feynman5,G,0.07370795826320703,0.08385144113317454,0.08387416085798773
1.0,1.0,1.0070498326165682,3.0,1.0,3.0,1.0,3.0,1.0,0.08392081938471402,0.09823729171478973,Feynman5,G,0.09823729171478973,0.08392081938471402,0.08394485591288826
1.0,1.0,1.007332043873657,3.0,1.0,3.0,1.0,3.0,1.0,0.08394433698947142,0.08973323414468108,Feynman5,G,0.08973323414468108,0.08394433698947142,0.08396881849940724
1.0,1.0,1.0077897799213524,3.0,1.0,3.0,1.0,3.0,1.0,0.0839824816601127,0.08416269405389987,Feynman5,G,0.08416269405389987,0.0839824816601127,0.08400768342550478
1.0,1.0,1.0078282831634024,3.0,1.0,3.0,1.0,3.0,1.0,0.08398569026361687,0.09012641262020485,Feynman5,G,0.09012641262020485,0.08398569026361687,0.0840109525306053
1.0,1.0,1.0086002650218937,3.0,1.0,3.0,1.0,3.0,1.0,0.08405002208515781,0.08938449096520569,Feynman5,G,0.08938449096520569,0.08405002208515781,0.08407649465096433
