m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0,3.0007176909097035,1.0,3.0,1.0,3.0,1.0,0.08331339866761613,0.08474791080051847,Feynman5,x1,0.08474791080051847,0.0,0.08331339866761613,0.08368078260940298
1.0,1.0,1.0,3.001236830814134,1.0,3.0,1.0,3.0,1.0,0.08329898046583681,0.08275027283584613,Feynman5,x1,0.08275027283584613,0.0,0.08329898046583681,0.08366532280189824
1.0,1.0,1.0,3.001499357303656,1.0,3.0,1.0,3.0,1.0,0.08329168972841208,0.08051833872111115,Feynman5,x1,0.08051833872111115,0.0,0.08329168972841208,0.0836575048587943
1.0,1.0,1.0,3.0016864641767187,1.0,3.0,1.0,3.0,1.0,0.08328649369730566,0.08083942868160159,Feynman5,x1,0.08083942868160159,0.0,0.08328649369730566,0.08365193288715103
1.0,1.0,1.0,3.001694469997347,1.0,3.0,1.0,3.0,1.0,0.08328627137616057,0.08241734741071959,Feynman5,x1,0.08241734741071959,0.0,0.08328627137616057,0.0836516944769094
1.0,1.0,1.0,3.0020597097210815,1.0,3.0,1.0,3.0,1.0,0.08327612900826636,0.08153752990043843,Feynman5,x1,0.08153752990043843,0.0,0.08327612900826636,0.08364081778478029
1.0,1.0,1.0,3.0024486887722395,1.0,3.0,1.0,3.0,1.0,0.0832653281032111,0.08268504981350112,Feynman5,x1,0.08268504981350112,0.0,0.0832653281032111,0.08362923415869147
1.0,1.0,1.0,3.002617838750271,1.0,3.0,1.0,3.0,1.0,0.0832606314815331,0.08232289497151933,Feynman5,x1,0.08232289497151933,0.0,0.0832606314815331,0.08362419695134946
1.0,1.0,1.0,3.002912641608229,1.0,3.0,1.0,3.0,1.0,0.08325244629776227,0.07984179665489864,Feynman5,x1,0.07984179665489864,0.0,0.08325244629776227,0.08361541786813242
1.0,1.0,1.0,3.003881331204122,1.0,3.0,1.0,3.0,1.0,0.08322555353980082,0.08396906035758586,Feynman5,x1,0.08396906035758586,0.0,0.08322555353980082,0.08358657085795093
1.0,1.0,1.0,3.003932482872337,1.0,3.0,1.0,3.0,1.0,0.08322413358894178,0.08383513814180209,Feynman5,x1,0.08383513814180209,0.0,0.08322413358894178,0.08358504759536571
1.0,1.0,1.0,3.004262517396077,1.0,3.0,1.0,3.0,1.0,0.0832149722496098,0.08695590236460683,Feynman5,x1,0.08695590236460683,0.0,0.0832149722496098,0.08357521939865295
1.0,1.0,1.0,3.0046036519233446,1.0,3.0,1.0,3.0,1.0,0.08320550332277565,0.0822396433524,Feynman5,x1,0.0822396433524,0.0,0.08320550332277565,0.0835650606736577
1.0,1.0,1.0,3.005390983530275,1.0,3.0,1.0,3.0,1.0,0.08318365130679002,0.08668016141956535,Feynman5,x1,0.08668016141956535,0.0,0.08318365130679002,0.08354161463659404
1.0,1.0,1.0,3.005560397086664,1.0,3.0,1.0,3.0,1.0,0.08317894969281231,0.08406262387255023,Feynman5,x1,0.08406262387255023,0.0,0.08317894969281231,0.0835365696700849
1.0,1.0,1.0,3.005572456743395,1.0,3.0,1.0,3.0,1.0,0.08317861501485495,0.0803054614269089,Feynman5,x1,0.0803054614269089,0.0,0.08317861501485495,0.08353621054582397
1.0,1.0,1.0,3.0061789262391874,1.0,3.0,1.0,3.0,1.0,0.08316178523399288,0.0815447849300749,Feynman5,x1,0.0815447849300749,0.0,0.08316178523399288,0.08351815055248622
1.0,1.0,1.0,3.0068516912249446,1.0,3.0,1.0,3.0,1.0,0.08314311774245084,0.08557993274426182,Feynman5,x1,0.08557993274426182,0.0,0.08314311774245084,0.08349811647297335
