m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0,1.0,3.0007176909097035,1.0,3.0,1.0,3.0,1.0,0.08331339866761613,0.08474791080051847,Feynman5,x1,0.08474791080051847,0.08331339866761613,0.08306952523147121
1.0,1.0,1.0,3.001236830814134,1.0,3.0,1.0,3.0,1.0,0.08329898046583681,0.08275027283584613,Feynman5,x1,0.08275027283584613,0.08329898046583681,0.0830559252732223
1.0,1.0,1.0,3.001499357303656,1.0,3.0,1.0,3.0,1.0,0.08329168972841208,0.08051833872111115,Feynman5,x1,0.08051833872111115,0.08329168972841208,0.08304904784253946
1.0,1.0,1.0,3.0016864641767187,1.0,3.0,1.0,3.0,1.0,0.08328649369730566,0.08083942868160159,Feynman5,x1,0.08083942868160159,0.08328649369730566,0.08304414618711226
1.0,1.0,1.0,3.001694469997347,1.0,3.0,1.0,3.0,1.0,0.08328627137616057,0.08241734741071959,Feynman5,x1,0.08241734741071959,0.08328627137616057,0.08304393645792818
1.0,1.0,1.0,3.0020597097210815,1.0,3.0,1.0,3.0,1.0,0.08327612900826636,0.08153752990043843,Feynman5,x1,0.08153752990043843,0.08327612900826636,0.08303436824210302
1.0,1.0,1.0,3.0024486887722395,1.0,3.0,1.0,3.0,1.0,0.0832653281032111,0.08268504981350112,Feynman5,x1,0.08268504981350112,0.0832653281032111,0.08302417812807462
1.0,1.0,1.0,3.002617838750271,1.0,3.0,1.0,3.0,1.0,0.0832606314815331,0.08232289497151933,Feynman5,x1,0.08232289497151933,0.0832606314815331,0.08301974689422663
1.0,1.0,1.0,3.002912641608229,1.0,3.0,1.0,3.0,1.0,0.08325244629776227,0.07984179665489864,Feynman5,x1,0.07984179665489864,0.08325244629776227,0.08301202392484411
1.0,1.0,1.0,3.003881331204122,1.0,3.0,1.0,3.0,1.0,0.08322555353980082,0.08396906035758586,Feynman5,x1,0.08396906035758586,0.08322555353980082,0.08298664712019763
1.0,1.0,1.0,3.003932482872337,1.0,3.0,1.0,3.0,1.0,0.08322413358894178,0.08383513814180209,Feynman5,x1,0.08383513814180209,0.08322413358894178,0.08298530709857542
1.0,1.0,1.0,3.004262517396077,1.0,3.0,1.0,3.0,1.0,0.0832149722496098,0.08695590236460683,Feynman5,x1,0.08695590236460683,0.0832149722496098,0.08297666117780905
1.0,1.0,1.0,3.0046036519233446,1.0,3.0,1.0,3.0,1.0,0.08320550332277565,0.0822396433524,Feynman5,x1,0.0822396433524,0.08320550332277565,0.08296772447484513
1.0,1.0,1.0,3.005390983530275,1.0,3.0,1.0,3.0,1.0,0.08318365130679002,0.08668016141956535,Feynman5,x1,0.08668016141956535,0.08318365130679002,0.08294709876549566
1.0,1.0,1.0,3.005560397086664,1.0,3.0,1.0,3.0,1.0,0.08317894969281231,0.08406262387255023,Feynman5,x1,0.08406262387255023,0.08317894969281231,0.0829426606463081
1.0,1.0,1.0,3.005572456743395,1.0,3.0,1.0,3.0,1.0,0.08317861501485495,0.0803054614269089,Feynman5,x1,0.0803054614269089,0.08317861501485495,0.08294234472009175
1.0,1.0,1.0,3.0061789262391874,1.0,3.0,1.0,3.0,1.0,0.08316178523399288,0.0815447849300749,Feynman5,x1,0.0815447849300749,0.08316178523399288,0.08292645708012106
1.0,1.0,1.0,3.0068516912249446,1.0,3.0,1.0,3.0,1.0,0.08314311774245084,0.08557993274426182,Feynman5,x1,0.08557993274426182,0.08314311774245084,0.08290883272806886
1.0,1.0,1.0,3.006935920213313,1.0,3.0,1.0,3.0,1.0,0.0831407807550167,0.0788006939770477,Feynman5,x1,0.0788006939770477,0.0831407807550167,0.08290662619240537
1.0,1.0,1.0,3.007524995813818,1.0,3.0,1.0,3.0,1.0,0.08312443740483556,0.08816731192793664,Feynman5,x1,0.08816731192793664,0.08312443740483556,0.08289119427076194
1.0,1.0,1.0,3.007587778059013,1.0,3.0,1.0,3.0,1.0,0.08312269566642844,0.08601184582240164,Feynman5,x1,0.08601184582240164,0.08312269566642844,0.08288954957556123
1.0,1.0,1.0,3.0085594965204194,1.0,3.0,1.0,3.0,1.0,0.08309574009993487,0.08491659016280331,Feynman5,x1,0.08491659016280331,0.08309574009993487,0.08286409368076644
