n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0017819836987023,1.0,1.0,0.7623415283001497,0.7533837296463466,Feynman81,B,0.7533837296463466,0.0,0.7623415283001497,0.8332112448873038
1.0,1.0,1.0033364926392343,1.0,1.0,0.7629918404779434,0.7673593004301166,Feynman81,B,0.7673593004301166,0.0,0.7629918404779434,0.8334243404135543
1.0,1.0,1.007555308802321,1.0,1.0,0.7647489786681351,0.7647157955882483,Feynman81,B,0.7647157955882483,0.0,0.7647489786681351,0.8340018301701557
1.0,1.0,1.0091980872945503,1.0,1.0,0.7654301365831623,0.7626818772705708,Feynman81,B,0.7626818772705708,0.0,0.7654301365831623,0.8342263709061005
1.0,1.0,1.0127943070254992,1.0,1.0,0.766915296716406,0.7527850253127838,Feynman81,B,0.7527850253127838,0.0,0.766915296716406,0.8347172699409005
1.0,1.0,1.021248390449116,1.0,1.0,0.7703745237380889,0.7749759378556393,Feynman81,B,0.7749759378556393,0.0,0.7703745237380889,0.8358678045243145
1.0,1.0,1.0223100630633524,1.0,1.0,0.7708057653049039,0.7919224166205586,Feynman81,B,0.7919224166205586,0.0,0.7708057653049039,0.836011944819442
1.0,1.0,1.0237318273148004,1.0,1.0,0.7713821683010073,0.780504384341975,Feynman81,B,0.780504384341975,0.0,0.7713821683010073,0.8362048532598778
1.0,1.0,1.024836671044691,1.0,1.0,0.7718292151889643,0.7829990009197212,Feynman81,B,0.7829990009197212,0.0,0.7718292151889643,0.8363546659279038
1.0,1.0,1.0298909068496513,1.0,1.0,0.7738645826211651,0.7822470503798331,Feynman81,B,0.7822470503798331,0.0,0.7738645826211651,0.8370389401503405
1.0,1.0,1.0324635224524554,1.0,1.0,0.7748944925247948,0.777223643359969,Feynman81,B,0.777223643359969,0.0,0.7748944925247948,0.837386568635776
1.0,1.0,1.0350210929972592,1.0,1.0,0.775914317128731,0.7894687196802209,Feynman81,B,0.7894687196802209,0.0,0.775914317128731,0.8377317175553766
1.0,1.0,1.0357744578413626,1.0,1.0,0.776213948715957,0.7686377710259801,Feynman81,B,0.7686377710259801,0.0,0.776213948715957,0.8378333006920029
1.0,1.0,1.0382367785414672,1.0,1.0,0.777190832184159,0.7972619899585037,Feynman81,B,0.7972619899585037,0.0,0.777190832184159,0.8381650488880665
1.0,1.0,1.038305932072344,1.0,1.0,0.7772182137410939,0.7672024081351361,Feynman81,B,0.7672024081351361,0.0,0.7772182137410939,0.8381743599847691
1.0,1.0,1.0389967320283606,1.0,1.0,0.7774915766317859,0.7618934033479905,Feynman81,B,0.7618934033479905,0.0,0.7774915766317859,0.8382673541002621
1.0,1.0,1.0412440546344626,1.0,1.0,0.778378856297998,0.7886465770416428,Feynman81,B,0.7886465770416428,0.0,0.778378856297998,0.8385696598607141
1.0,1.0,1.0424041523813399,1.0,1.0,0.7788356686911659,0.7781054714821362,Feynman81,B,0.7781054714821362,0.0,0.7788356686911659,0.838725579848572
1.0,1.0,1.045278905758193,1.0,1.0,0.7799641101499232,0.7651826575237333,Feynman81,B,0.7651826575237333,0.0,0.7799641101499232,0.8391115600224268
1.0,1.0,1.052242172360618,1.0,1.0,0.782676539892011,0.7802999923337709,Feynman81,B,0.7802999923337709,0.0,0.782676539892011,0.8400441631387756
1.0,1.0,1.0523450680678077,1.0,1.0,0.7827164002725913,0.8083741013773973,Feynman81,B,0.8083741013773973,0.0,0.7827164002725913,0.8400579195125908
1.0,1.0,1.0530003639595447,1.0,1.0,0.7829701022739921,0.7696066803234284,Feynman81,B,0.7696066803234284,0.0,0.7829701022739921,0.8401455107667084
1.0,1.0,1.0551963417106793,1.0,1.0,0.7838183931329329,0.7986751122868188,Feynman81,B,0.7986751122868188,0.0,0.7838183931329329,0.8404388279355356
1.0,1.0,1.0561916069450925,1.0,1.0,0.784201896697378,0.7784521369519095,Feynman81,B,0.7784521369519095,0.0,0.784201896697378,0.8405716582092491
1.0,1.0,1.0616467893456685,1.0,1.0,0.7862933235172731,0.7748354611292799,Feynman81,B,0.7748354611292799,0.0,0.7862933235172731,0.8412985287181123
1.0,1.0,1.0688916220755367,1.0,1.0,0.7890432729427538,0.797997189958718,Feynman81,B,0.797997189958718,0.0,0.7890432729427538,0.8422607513298881
1.0,1.0,1.0767030919643394,1.0,1.0,0.7919732863761042,0.7895944401288005,Feynman81,B,0.7895944401288005,0.0,0.7919732863761042,0.8432942657791306
1.0,1.0,1.0781886017629225,1.0,1.0,0.7925264010762578,0.7985882124459347,Feynman81,B,0.7985882124459347,0.0,0.7925264010762578,0.843490344491104
1.0,1.0,1.0792867681988514,1.0,1.0,0.7929344559594815,0.7676111598341869,Feynman81,B,0.7676111598341869,0.0,0.7929344559594815,0.8436352006561374
1.0,1.0,1.080673171832807,1.0,1.0,0.7934485996277391,0.7919844796236204,Feynman81,B,0.7919844796236204,0.0,0.7934485996277391,0.8438179615561402
1.0,1.0,1.0807554608129535,1.0,1.0,0.7934790807113252,0.8281405881395376,Feynman81,B,0.8281405881395376,0.0,0.7934790807113252,0.8438288051325814
1.0,1.0,1.083473225585684,1.0,1.0,0.7944835475878806,0.8121597219868351,Feynman81,B,0.8121597219868351,0.0,0.7944835475878806,0.8441866810048377
1.0,1.0,1.0864383175270573,1.0,1.0,0.7955744881729534,0.7748222697952809,Feynman81,B,0.7748222697952809,0.0,0.7955744881729534,0.8445765588467167
1.0,1.0,1.0870392077765367,1.0,1.0,0.7957949462721079,0.7836854099251125,Feynman81,B,0.7836854099251125,0.0,0.7957949462721079,0.8446554975271844
1.0,1.0,1.0878013817852485,1.0,1.0,0.7960742739344955,0.7969904373103117,Feynman81,B,0.7969904373103117,0.0,0.7960742739344955,0.8447555891093734
1.0,1.0,1.0891453777976445,1.0,1.0,0.7965660072307984,0.7868289244784815,Feynman81,B,0.7868289244784815,0.0,0.7965660072307984,0.8449319927676955
1.0,1.0,1.0914153461908556,1.0,1.0,0.7973941423328302,0.7880537577000507,Feynman81,B,0.7880537577000507,0.0,0.7973941423328302,0.8452296579758345
1.0,1.0,1.0956020738320853,1.0,1.0,0.7989137099670308,0.8335023921586477,Feynman81,B,0.8335023921586477,0.0,0.7989137099670308,0.845777765159466
1.0,1.0,1.096608822817334,1.0,1.0,0.7992775954099265,0.7922162478281133,Feynman81,B,0.7922162478281133,0.0,0.7992775954099265,0.8459093889463997
1.0,1.0,1.1010963651075794,1.0,1.0,0.8008924920676479,0.7865395571024518,Feynman81,B,0.7865395571024518,0.0,0.8008924920676479,0.8464952712023037
