n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0023537206995417,1.0,1.0,1.0,0.7643757900596337,0.4237564351982192,Feynman81,mom,0.4237564351982192,0.7643757900596337,0.7125579294374231
1.0,1.0046355047309112,1.0,1.0,1.0,0.7670734522992669,-0.10129938630777113,Feynman81,mom,-0.10129938630777113,0.7670734522992669,0.7154780400629538
1.0,1.0084344052207093,1.0,1.0,1.0,0.7715669771374981,0.9124373773252342,Feynman81,mom,0.9124373773252342,0.7715669771374981,0.7203378564474032
1.0,1.0095755683263516,1.0,1.0,1.0,0.77291733762734,1.2256059244155644,Feynman81,mom,1.2256059244155644,0.77291733762734,0.7217972667740459
1.0,1.0098068490943741,1.0,1.0,1.0,0.7731910465503576,1.3255679289142983,Feynman81,mom,1.3255679289142983,0.7731910465503576,0.7220930220357799
1.0,1.0099740620899018,1.0,1.0,1.0,0.7733889408052781,0.89990203881173,Feynman81,mom,0.89990203881173,0.7733889408052781,0.7223068440030949
1.0,1.0107543064456541,1.0,1.0,1.0,0.7743124183457533,0.4185734396551154,Feynman81,mom,0.4185734396551154,0.7743124183457533,0.7233045155208833
1.0,1.0118295870169258,1.0,1.0,1.0,0.7755852792162996,0.523741741499046,Feynman81,mom,0.523741741499046,0.7755852792162996,0.7246792824719513
1.0,1.013199098792517,1.0,1.0,1.0,0.7772067452898305,1.0423274859833527,Feynman81,mom,1.0423274859833527,0.7772067452898305,0.7264299659820483
1.0,1.0156964036251104,1.0,1.0,1.0,0.7801643720276937,1.1040655921302274,Feynman81,mom,1.1040655921302274,0.7801643720276937,0.7296215772223948
1.0,1.0160347035939452,1.0,1.0,1.0,0.7805651168737067,1.0735020455844266,Feynman81,mom,1.0735020455844266,0.7805651168737067,0.7300538566225997
1.0,1.0180077798815486,1.0,1.0,1.0,0.7829028007014919,0.5232598296194333,Feynman81,mom,0.5232598296194333,0.7829028007014919,0.7325746929553675
1.0,1.020133499111601,1.0,1.0,1.0,0.785422107107102,0.888836919630442,Feynman81,mom,0.888836919630442,0.785422107107102,0.7352898633060391
1.0,1.0227101498268834,1.0,1.0,1.0,0.78847689476128,1.150164848116221,Feynman81,mom,1.150164848116221,0.78847689476128,0.7385800537431282
1.0,1.0230183202448648,1.0,1.0,1.0,0.7888423275990045,0.6371103354458768,Feynman81,mom,0.6371103354458768,0.7888423275990045,0.7389734944876439
1.0,1.0255985663676848,1.0,1.0,1.0,0.7919026544819143,0.48026059113027825,Feynman81,mom,0.48026059113027825,0.7919026544819143,0.742267105792314
1.0,1.028076726807932,1.0,1.0,1.0,0.7948429552530127,1.264877346018889,Feynman81,mom,1.264877346018889,0.7948429552530127,0.7454294235039159
1.0,1.0292839353068879,1.0,1.0,1.0,0.7962756586167856,1.1007912462932514,Feynman81,mom,1.1007912462932514,0.7962756586167856,0.7469695625706823
1.0,1.0304899898699231,1.0,1.0,1.0,0.7977072305755466,1.5536448926153454,Feynman81,mom,1.5536448926153454,0.7977072305755466,0.7485080011765171
1.0,1.0310020724555704,1.0,1.0,1.0,0.7983151377687449,0.957824632097421,Feynman81,mom,0.957824632097421,0.7983151377687449,0.7491611427790386
1.0,1.0323261380155464,1.0,1.0,1.0,0.7998871680357171,0.38735283004986976,Feynman81,mom,0.38735283004986976,0.7998871680357171,0.7508497467743247
1.0,1.0328676577531426,1.0,1.0,1.0,0.8005301819643043,0.310627869273288,Feynman81,mom,0.310627869273288,0.8005301819643043,0.7515402771929942
1.0,1.036681147416485,1.0,1.0,1.0,0.8050597258463866,-0.210558171694594,Feynman81,mom,-0.210558171694594,0.8050597258463866,0.7564018285415808
1.0,1.0370614114900332,1.0,1.0,1.0,0.8055115161130904,0.24114271203370152,Feynman81,mom,0.24114271203370152,0.8055115161130904,0.7568864757285009
1.0,1.0386425350522743,1.0,1.0,1.0,0.8073902814017304,0.9605087206705013,Feynman81,mom,0.9605087206705013,0.8073902814017304,0.7589013775460504
1.0,1.0407394074278717,1.0,1.0,1.0,0.8098824707140566,0.15048481655098322,Feynman81,mom,0.15048481655098322,0.8098824707140566,0.761572919365612
1.0,1.044623440024656,1.0,1.0,1.0,0.8145004820304685,1.3492077761391275,Feynman81,mom,1.3492077761391275,0.8145004820304685,0.7665195942995351
1.0,1.0448079183968635,1.0,1.0,1.0,0.814719877024705,1.1009980374916022,Feynman81,mom,1.1009980374916022,0.814719877024705,0.7667544859086343
1.0,1.0477331140957284,1.0,1.0,1.0,0.8181993866342676,1.3061946582936248,Feynman81,mom,1.3061946582936248,0.8181993866342676,0.7704783523829419
1.0,1.0482150776928547,1.0,1.0,1.0,0.8187727978225764,1.1227916414164378,Feynman81,mom,1.1227916414164378,0.8187727978225764,0.7710917790054869
1.0,1.0564366115837815,1.0,1.0,1.0,0.8285592327569997,1.2335146518497908,Feynman81,mom,1.2335146518497908,0.8285592327569997,0.781550280034607
1.0,1.0568844199307077,1.0,1.0,1.0,0.8290925395693095,0.139839185582867,Feynman81,mom,0.139839185582867,0.8290925395693095,0.7821196282223033
1.0,1.0608109403546524,1.0,1.0,1.0,0.8337698545321331,0.23275852334436986,Feynman81,mom,0.23275852334436986,0.8337698545321331,0.7871105092596854
1.0,1.0627675530109877,1.0,1.0,1.0,0.8361013290017607,0.34134622822568594,Feynman81,mom,0.34134622822568594,0.8361013290017607,0.7895966041252163
1.0,1.0643651568629289,1.0,1.0,1.0,0.8380053682211679,0.7275263648840704,Feynman81,mom,0.7275263648840704,0.8380053682211679,0.7916260964262151
1.0,1.0666859135873215,1.0,1.0,1.0,0.8407718265476,0.8930011833947845,Feynman81,mom,0.8930011833947845,0.8407718265476,0.7945735280471936
1.0,1.0668827978434754,1.0,1.0,1.0,0.841006552532075,1.2643807789746764,Feynman81,mom,1.2643807789746764,0.841006552532075,0.7948235385052791
1.0,1.068564087907054,1.0,1.0,1.0,0.8430111806825413,0.626329364078059,Feynman81,mom,0.626329364078059,0.8430111806825413,0.7969582535452744
1.0,1.069868406578978,1.0,1.0,1.0,0.8445665711255149,0.7543133268009352,Feynman81,mom,0.7543133268009352,0.8445665711255149,0.7986140297014799
1.0,1.0756464624390976,1.0,1.0,1.0,0.8514592242990641,0.9982005339628468,Feynman81,mom,0.9982005339628468,0.8514592242990641,0.8059458445862544
1.0,1.07685982855567,1.0,1.0,1.0,0.8529071283463531,1.1404971978670517,Feynman81,mom,1.1404971978670517,0.8529071283463531,0.8074848350257815
1.0,1.0778863953617526,1.0,1.0,1.0,0.8541322517905391,0.33046403250280953,Feynman81,mom,0.33046403250280953,0.8541322517905391,0.8087867175706792
1.0,1.079344515884765,1.0,1.0,1.0,0.8558725956266637,0.7621949918589339,Feynman81,mom,0.7621949918589339,0.8558725956266637,0.8106356117256622
1.0,1.085903400419479,1.0,1.0,1.0,0.8637037370018229,0.2548329500620764,Feynman81,mom,0.2548329500620764,0.8637037370018229,0.8189481924514412
1.0,1.0928890927818773,1.0,1.0,1.0,0.8720492073122144,1.2026049471121762,Feynman81,mom,1.2026049471121762,0.8720492073122144,0.8277943798365953
1.0,1.0975758875844495,1.0,1.0,1.0,0.8776508600169288,1.4118001919191463,Feynman81,mom,1.4118001919191463,0.8776508600169288,0.8337251798090509
1.0,1.0976781963415303,1.0,1.0,1.0,0.8777731613399923,0.6319904654921981,Feynman81,mom,0.6319904654921981,0.8777731613399923,0.8338546063321279
1.0,1.1088537384582104,1.0,1.0,1.0,0.8911378837714652,1.2546239110074877,Feynman81,mom,1.2546239110074877,0.8911378837714652,0.8479826026466963
1.0,1.1092826857702245,1.0,1.0,1.0,0.8916510583322158,1.1898649041603517,Feynman81,mom,1.1898649041603517,0.8916510583322158,0.848524489800975
1.0,1.1097177696006795,1.0,1.0,1.0,0.8921715887801317,0.9264082745034176,Feynman81,mom,0.9264082745034176,0.8921715887801317,0.8490741002733457
1.0,1.109746304419367,1.0,1.0,1.0,0.8922057280902548,0.41993049055706,Feynman81,mom,0.41993049055706,0.8922057280902548,0.8491101452636597
1.0,1.110181027153423,1.0,1.0,1.0,0.8927258418879213,1.2115354884152199,Feynman81,mom,1.2115354884152199,0.8927258418879213,0.8496592685972255
1.0,1.112582582232231,1.0,1.0,1.0,0.8955993820743835,1.0964992832483818,Feynman81,mom,1.0964992832483818,0.8955993820743835,0.8526922874341171
1.0,1.1142188784947864,1.0,1.0,1.0,0.8975575083740132,0.8474189738232678,Feynman81,mom,0.8474189738232678,0.8975575083740132,0.8547583228051367
1.0,1.117936889585411,1.0,1.0,1.0,0.9020074947789632,1.0951803373205387,Feynman81,mom,1.0951803373205387,0.9020074947789632,0.8594512628027916
1.0,1.120340256820354,1.0,1.0,1.0,0.9048845258855241,0.8021172642876796,Feynman81,mom,0.8021172642876796,0.9048845258855241,0.8624837064504514
1.0,1.1204134829420536,1.0,1.0,1.0,0.904972189725702,1.1937110182546826,Feynman81,mom,1.1937110182546826,0.904972189725702,0.8625760854435413
1.0,1.1213593423583115,1.0,1.0,1.0,0.906104572386873,0.11218508300645691,Feynman81,mom,0.11218508300645691,0.906104572386873,0.8637692679336872
1.0,1.1232046938659686,1.0,1.0,1.0,0.908313993892048,1.2073705828255263,Feynman81,mom,1.2073705828255263,0.908313993892048,0.8660967464666754
1.0,1.1237888735844388,1.0,1.0,1.0,0.9090134719239595,0.5419660679753293,Feynman81,mom,0.5419660679753293,0.9090134719239595,0.8668334434863008
1.0,1.1246679032270825,1.0,1.0,1.0,0.9100660341836024,1.1789408534412522,Feynman81,mom,1.1789408534412522,0.9100660341836024,0.8679418710934087
1.0,1.1257048245803607,1.0,1.0,1.0,0.9113077197947771,0.9141390379064898,Feynman81,mom,0.9141390379064898,0.9113077197947771,0.8692492427374153
1.0,1.1263397358686862,1.0,1.0,1.0,0.9120680416073794,1.0951787991657003,Feynman81,mom,1.0951787991657003,0.9120680416073794,0.8700496705475598
1.0,1.1273473465636208,1.0,1.0,1.0,0.9132747300931321,0.7034701484304897,Feynman81,mom,0.7034701484304897,0.9132747300931321,0.871319830880451
1.0,1.1273541146906223,1.0,1.0,1.0,0.9132828356325421,1.063372446852415,Feynman81,mom,1.063372446852415,0.9132828356325421,0.8713283620291152
1.0,1.1279804565473812,1.0,1.0,1.0,0.9140329572458096,1.4479157737639512,Feynman81,mom,1.4479157737639512,0.9140329572458096,0.8721178285937135
1.0,1.1301019007345188,1.0,1.0,1.0,0.9165738190143969,0.5691356354053874,Feynman81,mom,0.5691356354053874,0.9165738190143969,0.8747913362105266
1.0,1.1302627144174209,1.0,1.0,1.0,0.9167664367609396,0.9219938491329078,Feynman81,mom,0.9219938491329078,0.9167664367609396,0.8749939703466072
1.0,1.1309495336290842,1.0,1.0,1.0,0.9175891044889781,1.0377083528305069,Feynman81,mom,1.0377083528305069,0.9175891044889781,0.8758593559962111
1.0,1.1319938734941895,1.0,1.0,1.0,0.9188400590209148,1.211545267742635,Feynman81,mom,1.211545267742635,0.9188400590209148,0.8771750759301484
1.0,1.132508629783569,1.0,1.0,1.0,0.9194566781957544,0.6763670131858748,Feynman81,mom,0.6763670131858748,0.9194566781957544,0.8778235343665224
1.0,1.135103998829401,1.0,1.0,1.0,0.9225658526195945,0.49631785919532484,Feynman81,mom,0.49631785919532484,0.9225658526195945,0.8810924040170964
1.0,1.1362007007296935,1.0,1.0,1.0,0.9238797759996145,0.7279995155316843,Feynman81,mom,0.7279995155316843,0.9238797759996145,0.8824733915177736
1.0,1.1362054744131078,1.0,1.0,1.0,0.9238854953331098,-0.034701606985248934,Feynman81,mom,-0.034701606985248934,0.9238854953331098,0.8824794022271922
1.0,1.1388571155712004,1.0,1.0,1.0,0.9270625962566851,0.9389859034995882,Feynman81,mom,0.9389859034995882,0.9270625962566851,0.8858176369254562
1.0,1.141671908602008,1.0,1.0,1.0,0.9304355581272684,1.2871383626438897,Feynman81,mom,1.2871383626438897,0.9304355581272684,0.8893600936770576
1.0,1.142332626057831,1.0,1.0,1.0,0.9312273491423826,0.57402547625333,Feynman81,mom,0.57402547625333,0.9312273491423826,0.8901914406535962
1.0,1.1425277064363173,1.0,1.0,1.0,0.9314611335563406,0.2682262508050829,Feynman81,mom,0.2682262508050829,0.9314611335563406,0.8904368875763469
1.0,1.1445545745765644,1.0,1.0,1.0,0.9338902355591332,0.8917861533212397,Feynman81,mom,0.8917861533212397,0.9338902355591332,0.8929867161767611
1.0,1.1448858200985148,1.0,1.0,1.0,0.9342872345151034,1.3145496157620278,Feynman81,mom,1.3145496157620278,0.9342872345151034,0.8934033681246218
1.0,1.148711758037658,1.0,1.0,1.0,0.9388729760604732,0.4419564612912703,Feynman81,mom,0.4419564612912703,0.9388729760604732,0.8982145513173876
1.0,1.1526175033317378,1.0,1.0,1.0,0.943554986628247,0.9063199411229225,Feynman81,mom,0.9063199411229225,0.943554986628247,0.9031237932453016
1.0,1.1533034272370672,1.0,1.0,1.0,0.9443772977139355,1.1914514950645425,Feynman81,mom,1.1914514950645425,0.9443772977139355,0.9039857106817824
1.0,1.155883131998662,1.0,1.0,1.0,0.9474700958555099,0.5749825132278349,Feynman81,mom,0.5749825132278349,0.9474700958555099,0.9072266720743811
1.0,1.1571195114930823,1.0,1.0,1.0,0.9489524686991084,0.8919886048714363,Feynman81,mom,0.8919886048714363,0.9489524686991084,0.9087796143442537
1.0,1.1605800281184666,1.0,1.0,1.0,0.953101765540393,0.8171078876007243,Feynman81,mom,0.8171078876007243,0.953101765540393,0.9131249267646759
1.0,1.16079626333137,1.0,1.0,1.0,0.9533610526446972,0.46777020322772844,Feynman81,mom,0.46777020322772844,0.9533610526446972,0.9133963892757648
1.0,1.163128917945659,1.0,1.0,1.0,0.9561582214868063,0.6973669816364978,Feynman81,mom,0.6973669816364978,0.9561582214868063,0.9163243612857215
1.0,1.1631593213958134,1.0,1.0,1.0,0.9561946803857163,0.21608305512118575,Feynman81,mom,0.21608305512118575,0.9561946803857163,0.9163625185539055
1.0,1.1650420115752804,1.0,1.0,1.0,0.9584523958081274,0.6856630389117588,Feynman81,mom,0.6856630389117588,0.9584523958081274,0.9187250794800483
1.0,1.168399133675711,1.0,1.0,1.0,0.9624784774773935,0.6297981230079261,Feynman81,mom,0.6297981230079261,0.9624784774773935,0.9229365494698576
1.0,1.1712922454491492,1.0,1.0,1.0,0.9659483066718778,0.7666614704754271,Feynman81,mom,0.7666614704754271,0.9659483066718778,0.9265645531735112
1.0,1.1743529804496018,1.0,1.0,1.0,0.9696193714805719,1.1535637913614871,Feynman81,mom,1.1535637913614871,0.9696193714805719,0.9304013784106377
1.0,1.1744444830601393,1.0,1.0,1.0,0.9697291231900129,1.0827051569121264,Feynman81,mom,1.0827051569121264,0.9697291231900129,0.9305160608919931
1.0,1.174742742874368,1.0,1.0,1.0,0.9700868684658679,1.4424511011394539,Feynman81,mom,1.4424511011394539,0.9700868684658679,0.9308898684834064
1.0,1.1764167833943318,1.0,1.0,1.0,0.972094813383772,0.4824475116734045,Feynman81,mom,0.4824475116734045,0.972094813383772,0.9329876855563035
1.0,1.177199559212231,1.0,1.0,1.0,0.9730337390440309,0.830049702736589,Feynman81,mom,0.830049702736589,0.9730337390440309,0.9339684723868555
1.0,1.1784452645080465,1.0,1.0,1.0,0.9745279618057728,0.6522114895355571,Feynman81,mom,0.6522114895355571,0.9745279618057728,0.9355291002361406
1.0,1.1805973593123742,1.0,1.0,1.0,0.9771094562635413,1.0068700030569082,Feynman81,mom,1.0068700030569082,0.9771094562635413,0.9382247059784441
1.0,1.1811635242275242,1.0,1.0,1.0,0.9777885974212444,1.2601317520995954,Feynman81,mom,1.2601317520995954,0.9777885974212444,0.9389337393597377
1.0,1.181453803300227,1.0,1.0,1.0,0.9781368024215259,0.7629017287168585,Feynman81,mom,0.7629017287168585,0.9781368024215259,0.9392972499037184
1.0,1.1821130797235924,1.0,1.0,1.0,0.9789276434082022,0.7940311573185722,Feynman81,mom,0.7940311573185722,0.9789276434082022,0.9401228009808427
1.0,1.1832802988530382,1.0,1.0,1.0,0.9803278056310334,1.3302860708601654,Feynman81,mom,1.3302860708601654,0.9803278056310334,0.9415842408224675
1.0,1.189363911175294,1.0,1.0,1.0,0.9876257749255515,0.8196105558383187,Feynman81,mom,0.8196105558383187,0.9876257749255515,0.949198018083385
1.0,1.1913221213102823,1.0,1.0,1.0,0.9899749344259069,0.7942198542866789,Feynman81,mom,0.7942198542866789,0.9899749344259069,0.9516475740612695
1.0,1.192075407991339,1.0,1.0,1.0,0.9908786186352829,0.7441660764219609,Feynman81,mom,0.7441660764219609,0.9908786186352829,0.9525897182988861
1.0,1.1924820101958287,1.0,1.0,1.0,0.9913664023939741,1.0118139269166553,Feynman81,mom,1.0118139269166553,0.9913664023939741,0.9530982247693967
