n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0043069217398686,1.0,1.0,1.0,1.0,0.7648742823830076,1.290541474992879,Feynman81,n_rho,1.290541474992879,0.0,0.7648742823830076,0.770252278255414
1.0077976898684082,1.0,1.0,1.0,1.0,0.7675328309895,1.149326603102295,Feynman81,n_rho,1.149326603102295,0.0,0.7675328309895,0.7730790947714359
1.0109215112644048,1.0,1.0,1.0,1.0,0.7699119151089405,1.0534474401069789,Feynman81,n_rho,1.0534474401069789,0.0,0.7699119151089405,0.7756069017586879
1.0132846573186285,1.0,1.0,1.0,1.0,0.7717116733335073,0.8026531838489196,Feynman81,n_rho,0.8026531838489196,0.0,0.7717116733335073,0.777518005779843
1.0177063427747952,1.0,1.0,1.0,1.0,0.7750792031363984,0.6345507457805647,Feynman81,n_rho,0.6345507457805647,0.0,0.7750792031363984,0.7810911952161204
1.017879541041737,1.0,1.0,1.0,1.0,0.775211109924323,0.6156291246838833,Feynman81,n_rho,0.6156291246838833,0.0,0.775211109924323,0.7812310868082917
1.0179580420526322,1.0,1.0,1.0,1.0,0.7752708958354574,0.7663544299277547,Feynman81,n_rho,0.7663544299277547,0.0,0.7752708958354574,0.7812944900228713
1.0207061927299321,1.0,1.0,1.0,1.0,0.777363871330975,0.7011988757850731,Feynman81,n_rho,0.7011988757850731,0.0,0.777363871330975,0.7835134089315785
1.0220515400238193,1.0,1.0,1.0,1.0,0.7783884799677302,0.0850701226522127,Feynman81,n_rho,0.0850701226522127,0.0,0.7783884799677302,0.7845991838038512
1.025618779372543,1.0,1.0,1.0,1.0,0.7811052686086137,0.8854285922016542,Feynman81,n_rho,0.8854285922016542,0.0,0.7811052686086137,0.7874766051518199
1.0348552906681863,1.0,1.0,1.0,1.0,0.788139741632795,1.0756260435461609,Feynman81,n_rho,1.0756260435461609,0.0,0.788139741632795,0.7949165735757451
1.0352604816001962,1.0,1.0,1.0,1.0,0.7884483326786601,1.0580353497082955,Feynman81,n_rho,1.0580353497082955,0.0,0.7884483326786601,0.7952426101751551
1.036740360744599,1.0,1.0,1.0,1.0,0.7895753999865581,0.12577417916630318,Feynman81,n_rho,0.12577417916630318,0.0,0.7895753999865581,0.796433149947333
1.0375178108553387,1.0,1.0,1.0,1.0,0.7901675014474445,0.8030238309776844,Feynman81,n_rho,0.8030238309776844,0.0,0.7901675014474445,0.7970584431505086
1.0375588978739012,1.0,1.0,1.0,1.0,0.7901987930806674,0.5167152607412873,Feynman81,n_rho,0.5167152607412873,0.0,0.7901987930806674,0.7970914859791559
1.0391171897925155,1.0,1.0,1.0,1.0,0.7913855790991572,0.7872898351890211,Feynman81,n_rho,0.7872898351890211,0.0,0.7913855790991572,0.7983444715166397
1.0397783876017672,1.0,1.0,1.0,1.0,0.791889143486614,0.3671862343515734,Feynman81,n_rho,0.3671862343515734,0.0,0.791889143486614,0.7988759970567074
1.0415412172911092,1.0,1.0,1.0,1.0,0.7932317042759621,0.7065881878734377,Feynman81,n_rho,0.7065881878734377,0.0,0.7932317042759621,0.8002927335150167
1.0422658659861774,1.0,1.0,1.0,1.0,0.7937835924872472,1.289446943289073,Feynman81,n_rho,1.289446943289073,0.0,0.7937835924872472,0.8008749564610702
1.0445079711946392,1.0,1.0,1.0,1.0,0.7954911667110496,0.9403929686509219,Feynman81,n_rho,0.9403929686509219,0.0,0.7954911667110496,0.8026758105717422
1.0452734491204483,1.0,1.0,1.0,1.0,0.7960741502258589,1.1200382690921868,Feynman81,n_rho,1.1200382690921868,0.0,0.7960741502258589,0.8032904411593333
1.0454073689161505,1.0,1.0,1.0,1.0,0.7961761427596326,0.7447095626910637,Feynman81,n_rho,0.7447095626910637,0.0,0.7961761427596326,0.8033979598909833
1.0459544698136134,1.0,1.0,1.0,1.0,0.7965928116058584,1.2813334306452435,Feynman81,n_rho,1.2813334306452435,0.0,0.7965928116058584,0.803837172584793
1.0493877713383997,1.0,1.0,1.0,1.0,0.7992075939827696,1.393750235508766,Feynman81,n_rho,1.393750235508766,0.0,0.7992075939827696,0.8065922459818015
1.0533958707195352,1.0,1.0,1.0,1.0,0.8022601390479324,0.9932035559548102,Feynman81,n_rho,0.9932035559548102,0.0,0.8022601390479324,0.8098059972847176
1.0535171825834246,1.0,1.0,1.0,1.0,0.8023525294545187,0.7502952753484499,Feynman81,n_rho,0.7502952753484499,0.0,0.8023525294545187,0.8099032237784449
1.0715497356437305,1.0,1.0,1.0,1.0,0.8160860164822099,0.6968148442077942,Feynman81,n_rho,0.6968148442077942,0.0,0.8160860164822099,0.8243276273844936
1.0727826800495568,1.0,1.0,1.0,1.0,0.8170250197363056,0.5290723731765536,Feynman81,n_rho,0.5290723731765536,0.0,0.8170250197363056,0.8253118561215477
1.0743614066391238,1.0,1.0,1.0,1.0,0.8182273686807717,0.8144407370434927,Feynman81,n_rho,0.8144407370434927,0.0,0.8182273686807717,0.8265717403127479
1.0769945852783613,1.0,1.0,1.0,1.0,0.8202327821440026,1.1723045140823154,Feynman81,n_rho,1.1723045140823154,0.0,0.8202327821440026,0.8286721852738115
1.0787390287969325,1.0,1.0,1.0,1.0,0.8215613401331413,0.8276679889020766,Feynman81,n_rho,0.8276679889020766,0.0,0.8215613401331413,0.8300630596666497
1.079217078256928,1.0,1.0,1.0,1.0,0.8219254198081316,0.6903137886537917,Feynman81,n_rho,0.6903137886537917,0.0,0.8219254198081316,0.8304441276265001
1.082337846707988,1.0,1.0,1.0,1.0,0.8243021788225502,0.7056658607148315,Feynman81,n_rho,0.7056658607148315,0.0,0.8243021788225502,0.8329308494993473
1.088080566611303,1.0,1.0,1.0,1.0,0.8286758007402056,0.942053688595497,Feynman81,n_rho,0.942053688595497,0.0,0.8286758007402056,0.8375025796358267
1.088589230513048,1.0,1.0,1.0,1.0,0.8290631961951204,0.545060425797299,Feynman81,n_rho,0.545060425797299,0.0,0.8290631961951204,0.8379072585119628
1.0886314450394567,1.0,1.0,1.0,1.0,0.8290953465317297,0.5120214766468438,Feynman81,n_rho,0.5120214766468438,0.0,0.8290953465317297,0.8379408412897945
1.0886573751102921,1.0,1.0,1.0,1.0,0.8291150947221414,0.5337773108607837,Feynman81,n_rho,0.5337773108607837,0.0,0.8291150947221414,0.8379614692039666
1.0895942937226653,1.0,1.0,1.0,1.0,0.829828646461931,0.08935827777515903,Feynman81,n_rho,0.08935827777515903,0.0,0.829828646461931,0.8387067328546326
1.0909891798426674,1.0,1.0,1.0,1.0,0.8308909835791485,1.107602244073807,Feynman81,n_rho,1.107602244073807,0.0,0.8308909835791485,0.83981601354044
1.0918413190780858,1.0,1.0,1.0,1.0,0.8315399678409037,0.9347922574071119,Feynman81,n_rho,0.9347922574071119,0.0,0.8315399678409037,0.8404935174505974
1.0919588588527076,1.0,1.0,1.0,1.0,0.831629485446348,0.6653470146607521,Feynman81,n_rho,0.6653470146607521,0.0,0.831629485446348,0.8405869594977868
1.092920843744606,1.0,1.0,1.0,1.0,0.8323621275181357,0.678869748770152,Feynman81,n_rho,0.678869748770152,0.0,0.8323621275181357,0.8413516347957977
1.0932077400820055,1.0,1.0,1.0,1.0,0.8325806260920642,0.4845647875945617,Feynman81,n_rho,0.4845647875945617,0.0,0.8325806260920642,0.8415796571971339
1.0963985954177313,1.0,1.0,1.0,1.0,0.8350107628682532,1.1733874034758935,Feynman81,n_rho,1.1733874034758935,0.0,0.8350107628682532,0.8441148036718117
1.0964631224979606,1.0,1.0,1.0,1.0,0.8350599063154567,0.9647055859297895,Feynman81,n_rho,0.9647055859297895,0.0,0.8350599063154567,0.844166053395589
1.0990440418001768,1.0,1.0,1.0,1.0,0.837025519373018,0.6942550863962191,Feynman81,n_rho,0.6942550863962191,0.0,0.837025519373018,0.8462153515809175
1.099350428769537,1.0,1.0,1.0,1.0,0.8372588618983438,0.9195333766859547,Feynman81,n_rho,0.9195333766859547,0.0,0.8372588618983438,0.8464585560063973
1.107934283363266,1.0,1.0,1.0,1.0,0.8437962753925017,0.5978778771389628,Feynman81,n_rho,0.5978778771389628,0.0,0.8437962753925017,0.8532660304157673
1.1139622569446437,1.0,1.0,1.0,1.0,0.8483871448443348,0.8158874014443024,Feynman81,n_rho,0.8158874014443024,0.0,0.8483871448443348,0.8580393917661189
1.1155336928783726,1.0,1.0,1.0,1.0,0.8495839412679216,0.7953390893671588,Feynman81,n_rho,0.7953390893671588,0.0,0.8495839412679216,0.8592827973054249
1.119433709499695,1.0,1.0,1.0,1.0,0.852554171134851,1.2109535914822487,Feynman81,n_rho,1.2109535914822487,0.0,0.852554171134851,0.862366985579543
1.1200939232952334,1.0,1.0,1.0,1.0,0.8530569861032145,1.0496090507469487,Feynman81,n_rho,1.0496090507469487,0.0,0.8530569861032145,0.8628888502744605
1.120298188947173,1.0,1.0,1.0,1.0,0.8532125536299943,1.3615030356531215,Feynman81,n_rho,1.3615030356531215,0.0,0.8532125536299943,0.8630502975047003
1.1240982073265378,1.0,1.0,1.0,1.0,0.8561066254202429,0.6386308680192933,Feynman81,n_rho,0.6386308680192933,0.0,0.8561066254202429,0.8660525338148557
1.130101629024157,1.0,1.0,1.0,1.0,0.8606787963008877,1.2706800653583303,Feynman81,n_rho,1.2706800653583303,0.0,0.8606787963008877,0.8707908954303715
