mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0026365675402125,1.0,1.7335743671872916,2.6152702588560026,Feynman91,By,2.6152702588560026,0.0,1.7335743671872916,1.7244569902754627
1.0,1.0,1.004733613468403,1.0,1.7347880660280304,1.5817740952464534,Feynman91,By,1.5817740952464534,0.0,1.7347880660280304,1.7257830563104106
1.0,1.0,1.0054584716221093,1.0,1.735207981239329,1.2766701470229935,Feynman91,By,1.2766701470229935,0.0,1.735207981239329,1.7262416278962331
1.0,1.0,1.0057241062666056,1.0,1.7353619155455045,1.4780777922489146,Feynman91,By,1.4780777922489146,0.0,1.7353619155455045,1.7264097047473606
1.0,1.0,1.014497677324674,1.0,1.7404613001434874,1.3016664216002327,Feynman91,By,1.3016664216002327,0.0,1.7404613001434874,1.7319691177309577
1.0,1.0,1.015916214762088,1.0,1.741288533074438,1.8086898374434097,Feynman91,By,1.8086898374434097,0.0,1.741288533074438,1.7328694467596633
1.0,1.0,1.0161818575682715,1.0,1.7414435298484137,2.547274563180203,Feynman91,By,2.547274563180203,0.0,1.7414435298484137,1.7330380924607427
1.0,1.0,1.0162559225670518,1.0,1.7414867499216322,1.9452122360871147,Feynman91,By,1.9452122360871147,0.0,1.7414867499216322,1.7330851158340232
1.0,1.0,1.0185719517072775,1.0,1.74283929861728,1.569149244235812,Feynman91,By,1.569149244235812,0.0,1.74283929861728,1.7345561080068792
1.0,1.0,1.0190027492968645,1.0,1.7430911057872358,2.0495072472919644,Feynman91,By,2.0495072472919644,0.0,1.7430911057872358,1.734829842660136
1.0,1.0,1.020513537490141,1.0,1.7439747361130669,1.8425653307647458,Feynman91,By,1.8425653307647458,0.0,1.7439747361130669,1.7357901150072665
1.0,1.0,1.024909821326752,1.0,1.7465509273571256,1.6061130162426118,Feynman91,By,1.6061130162426118,0.0,1.7465509273571256,1.7385870653923394
1.0,1.0,1.0268991331179698,1.0,1.747719036229347,1.65280613240745,Feynman91,By,1.65280613240745,0.0,1.747719036229347,1.739853965690548
1.0,1.0,1.0272508816935746,1.0,1.7479257346753112,1.601481399052085,Feynman91,By,1.601481399052085,0.0,1.7479257346753112,1.7400780612423077
1.0,1.0,1.0288043433256577,1.0,1.7488391512216719,1.7805648784383608,Feynman91,By,1.7805648784383608,0.0,1.7488391512216719,1.741068055346646
1.0,1.0,1.032851335994775,1.0,1.7512229676046942,1.5858052894706909,Feynman91,By,1.5858052894706909,0.0,1.7512229676046942,1.7436494220699
1.0,1.0,1.0363029603273222,1.0,1.7532609120102949,2.312759641993164,Feynman91,By,2.312759641993164,0.0,1.7532609120102949,1.7458536457231997
1.0,1.0,1.0390767768491496,1.0,1.7549018628365567,1.6996032419005926,Feynman91,By,1.6996032419005926,0.0,1.7549018628365567,1.7476267589427545
1.0,1.0,1.0418381609235987,1.0,1.756538286960084,1.4978656140184874,Feynman91,By,1.4978656140184874,0.0,1.756538286960084,1.7493934646689733
1.0,1.0,1.04224968640766,1.0,1.7567824022390666,2.083844490746462,Feynman91,By,2.083844490746462,0.0,1.7567824022390666,1.7496568859983246
1.0,1.0,1.0439097446686167,1.0,1.757767776190614,1.1391504068577252,Feynman91,By,1.1391504068577252,0.0,1.757767776190614,1.7507198510016342
1.0,1.0,1.0446296923651386,1.0,1.758195436853049,1.9072186212856463,Feynman91,By,1.9072186212856463,0.0,1.758195436853049,1.7511810188034846
