mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0012170113399512,1.7327537343190187,2.173960862096607,Feynman91,Bz,2.173960862096607,1.7327537343190187,1.702030414543477
1.0,1.0,1.0,1.004271932172648,1.7345207158606621,2.260652775051205,Feynman91,Bz,2.260652775051205,1.7345207158606621,1.704308417552183
1.0,1.0,1.0,1.0074669374817922,1.736372549345025,1.457634391880482,Feynman91,Bz,1.457634391880482,1.736372549345025,1.7066911698828662
1.0,1.0,1.0,1.0081462464147477,1.7367667817413324,2.04302647037153,Feynman91,Bz,2.04302647037153,1.7367667817413324,1.7071978193272046
1.0,1.0,1.0,1.00833802926127,1.736878113528552,1.724991707503879,Feynman91,Bz,1.724991707503879,1.736878113528552,1.7073408593000916
1.0,1.0,1.0,1.0143780905090911,1.7403915968841235,1.8161307918452345,Feynman91,Bz,1.8161307918452345,1.7403915968841235,1.7118463507562192
1.0,1.0,1.0,1.0156746436924697,1.7411476048399301,1.9888834175209964,Feynman91,Bz,1.9888834175209964,1.7411476048399301,1.712813634574733
1.0,1.0,1.0,1.016055726752053,1.7413699319402647,1.5984678961418417,Feynman91,Bz,1.5984678961418417,1.7413699319402647,1.713097948165338
1.0,1.0,1.0,1.0163862570773623,1.7415628106892183,1.7411421862711225,Feynman91,Bz,1.7411421862711225,1.7415628106892183,1.7133445494847894
1.0,1.0,1.0,1.0164873026334034,1.7416217834004408,1.9455532346420215,Feynman91,Bz,1.9455532346420215,1.7416217834004408,1.7134199379685204
1.0,1.0,1.0,1.0165565248363224,1.741662185438755,1.447463934062077,Feynman91,Bz,1.447463934062077,1.741662185438755,1.713471583728045
1.0,1.0,1.0,1.023571486600853,1.745765903030037,1.6692736772606815,Feynman91,Bz,1.6692736772606815,1.745765903030037,1.7187060879064247
1.0,1.0,1.0,1.0246801925636828,1.7464161866612282,1.6063465982069713,Feynman91,Bz,1.6063465982069713,1.7464161866612282,1.719533528383467
1.0,1.0,1.0,1.0250560513025868,1.7466367419449447,2.158120029593928,Feynman91,Bz,2.158120029593928,1.7466367419449447,1.7198140445441708
1.0,1.0,1.0,1.0256098096319204,1.7469617859624818,1.9336070121318498,Feynman91,Bz,1.9336070121318498,1.7469617859624818,1.7202273408859468
1.0,1.0,1.0,1.0279837972230847,1.7483565675665798,2.038280193201952,Feynman91,Bz,2.038280193201952,1.7483565675665798,1.721999265060566
1.0,1.0,1.0,1.0310938564372227,1.7501870016608465,2.052791002426152,Feynman91,Bz,2.052791002426152,1.7501870016608465,1.724320841683222
1.0,1.0,1.0,1.033436033444231,1.7515678791359888,1.7585430608753778,Feynman91,Bz,1.7585430608753778,1.7515678791359888,1.7260694059696184
1.0,1.0,1.0,1.0347991157723824,1.7523724518501493,1.3558924224973652,Feynman91,Bz,1.3558924224973652,1.7523724518501493,1.7270870979498723
1.0,1.0,1.0,1.0394217698462636,1.7551061550887284,2.160304624317555,Feynman91,Bz,2.160304624317555,1.7551061550887284,1.730538838222642
1.0,1.0,1.0,1.0448046010687029,1.758299364276269,1.5332343121608483,Feynman91,Bz,1.5332343121608483,1.758299364276269,1.734559018143436
1.0,1.0,1.0,1.0450304097901268,1.7584335521668486,1.7856417778807359,Feynman91,Bz,1.7856417778807359,1.7584335521668486,1.734727683133921
1.0,1.0,1.0,1.0487267978117827,1.760632811363163,1.6198593038497826,Feynman91,Bz,1.6198593038497826,1.760632811363163,1.7374888745845976
1.0,1.0,1.0,1.048899088483386,1.7607354423141706,1.353593300862957,Feynman91,Bz,1.353593300862957,1.7607354423141706,1.7376175853976832
1.0,1.0,1.0,1.0533904517442347,1.763414711242345,1.2445269449767526,Feynman91,Bz,1.2445269449767526,1.763414711242345,1.7409732065485044
1.0,1.0,1.0,1.053827280354648,1.763675689240988,1.6301256632714267,Feynman91,Bz,1.6301256632714267,1.763675689240988,1.741299606220369
