mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0012170113399512,1.7327537343190187,2.173960862096607,Feynman91,Bz,2.173960862096607,0.0,1.7327537343190187,1.7474554718547044
1.0,1.0,1.0,1.004271932172648,1.7345207158606621,2.260652775051205,Feynman91,Bz,2.260652775051205,0.0,1.7345207158606621,1.749497666692916
1.0,1.0,1.0,1.0074669374817922,1.736372549345025,1.457634391880482,Feynman91,Bz,1.457634391880482,0.0,1.736372549345025,1.751633513263857
1.0,1.0,1.0,1.0081462464147477,1.7367667817413324,2.04302647037153,Feynman91,Bz,2.04302647037153,0.0,1.7367667817413324,1.7520876294544239
1.0,1.0,1.0,1.00833802926127,1.736878113528552,1.724991707503879,Feynman91,Bz,1.724991707503879,0.0,1.736878113528552,1.7522158358657174
1.0,1.0,1.0,1.0143780905090911,1.7403915968841235,1.8161307918452345,Feynman91,Bz,1.8161307918452345,0.0,1.7403915968841235,1.7562536312155432
1.0,1.0,1.0,1.0156746436924697,1.7411476048399301,1.9888834175209964,Feynman91,Bz,1.9888834175209964,0.0,1.7411476048399301,1.7571203888135833
1.0,1.0,1.0,1.016055726752053,1.7413699319402647,1.5984678961418417,Feynman91,Bz,1.5984678961418417,0.0,1.7413699319402647,1.757375147008174
1.0,1.0,1.0,1.0163862570773623,1.7415628106892183,1.7411421862711225,Feynman91,Bz,1.7411421862711225,0.0,1.7415628106892183,1.7575961104165303
1.0,1.0,1.0,1.0164873026334034,1.7416217834004408,1.9455532346420215,Feynman91,Bz,1.9455532346420215,0.0,1.7416217834004408,1.7576636606095375
1.0,1.0,1.0,1.0165565248363224,1.741662185438755,1.447463934062077,Feynman91,Bz,1.447463934062077,0.0,1.741662185438755,1.7577099365147204
1.0,1.0,1.0,1.023571486600853,1.745765903030037,1.6692736772606815,Feynman91,Bz,1.6692736772606815,0.0,1.745765903030037,1.7623995929111713
1.0,1.0,1.0,1.0246801925636828,1.7464161866612282,1.6063465982069713,Feynman91,Bz,1.6063465982069713,0.0,1.7464161866612282,1.7631408011693324
1.0,1.0,1.0,1.0250560513025868,1.7466367419449447,2.158120029593928,Feynman91,Bz,2.158120029593928,0.0,1.7466367419449447,1.7633920767024966
1.0,1.0,1.0,1.0256098096319204,1.7469617859624818,1.9336070121318498,Feynman91,Bz,1.9336070121318498,0.0,1.7469617859624818,1.7637622856465993
1.0,1.0,1.0,1.0279837972230847,1.7483565675665798,2.038280193201952,Feynman91,Bz,2.038280193201952,0.0,1.7483565675665798,1.7653494015538873
1.0,1.0,1.0,1.0310938564372227,1.7501870016608465,2.052791002426152,Feynman91,Bz,2.052791002426152,0.0,1.7501870016608465,1.7674286483811714
1.0,1.0,1.0,1.033436033444231,1.7515678791359888,1.7585430608753778,Feynman91,Bz,1.7585430608753778,0.0,1.7515678791359888,1.7689945515796521
1.0,1.0,1.0,1.0347991157723824,1.7523724518501493,1.3558924224973652,Feynman91,Bz,1.3558924224973652,0.0,1.7523724518501493,1.7699058759467154
1.0,1.0,1.0,1.0394217698462636,1.7551061550887284,2.160304624317555,Feynman91,Bz,2.160304624317555,0.0,1.7551061550887284,1.772996543307175
1.0,1.0,1.0,1.0448046010687029,1.758299364276269,1.5332343121608483,Feynman91,Bz,1.5332343121608483,0.0,1.758299364276269,1.7765956114363133
1.0,1.0,1.0,1.0450304097901268,1.7584335521668486,1.7856417778807359,Feynman91,Bz,1.7856417778807359,0.0,1.7584335521668486,1.776746595544491
1.0,1.0,1.0,1.0487267978117827,1.760632811363163,1.6198593038497826,Feynman91,Bz,1.6198593038497826,0.0,1.760632811363163,1.7792181859041418
1.0,1.0,1.0,1.048899088483386,1.7607354423141706,1.353593300862957,Feynman91,Bz,1.353593300862957,0.0,1.7607354423141706,1.7793333903513948
1.0,1.0,1.0,1.0533904517442347,1.763414711242345,1.2445269449767526,Feynman91,Bz,1.2445269449767526,0.0,1.763414711242345,1.7823366754660557
1.0,1.0,1.0,1.053827280354648,1.763675689240988,1.6301256632714267,Feynman91,Bz,1.6301256632714267,0.0,1.763675689240988,1.7826287820624331
1.0,1.0,1.0,1.0540632672667325,1.7638167057268221,1.5996070585059,Feynman91,Bz,1.5996070585059,0.0,1.7638167057268221,1.782786586745112
1.0,1.0,1.0,1.0608256149535782,1.7678662238251053,2.0390472156748665,Feynman91,Bz,2.0390472156748665,0.0,1.7678662238251053,1.7873087656417705
1.0,1.0,1.0,1.0615214415471526,1.7682838490650603,1.6748244799876524,Feynman91,Bz,1.6748244799876524,0.0,1.7682838490650603,1.787774106972453
1.0,1.0,1.0,1.0637659563994157,1.7696321679926492,1.4652568689164376,Feynman91,Bz,1.4652568689164376,0.0,1.7696321679926492,1.7892751790859662
1.0,1.0,1.0,1.0645767551330834,1.7701196760585667,1.9627353067542899,Feynman91,Bz,1.9627353067542899,0.0,1.7701196760585667,1.7898174310230692
1.0,1.0,1.0,1.0672072832490178,1.7717029619605396,2.711860184115891,Feynman91,Bz,2.711860184115891,0.0,1.7717029619605396,1.791576737138399
1.0,1.0,1.0,1.0695971987356372,1.7731435834537264,1.5695536407688075,Feynman91,Bz,1.5695536407688075,0.0,1.7731435834537264,1.7931751782932908
1.0,1.0,1.0,1.0701097610295989,1.773452818839798,1.5336482250618855,Feynman91,Bz,1.5336482250618855,0.0,1.773452818839798,1.7935180013769754
1.0,1.0,1.0,1.0703338678562564,1.7735880549553027,1.420317791570643,Feynman91,Bz,1.420317791570643,0.0,1.7735880549553027,1.7936678942150837
1.0,1.0,1.0,1.0730957542449264,1.775256178070784,1.8972882507556033,Feynman91,Bz,1.8972882507556033,0.0,1.775256178070784,1.7955152114103148
1.0,1.0,1.0,1.0737903769621164,1.7756761454883727,2.100299594669049,Feynman91,Bz,2.100299594669049,0.0,1.7756761454883727,1.7959798296586948
1.0,1.0,1.0,1.0755240123028238,1.7767250493646913,2.201533401914145,Feynman91,Bz,2.201533401914145,0.0,1.7767250493646913,1.7971394434951187
1.0,1.0,1.0,1.077443694368108,1.7778877676989617,2.1609811376515657,Feynman91,Bz,2.1609811376515657,0.0,1.7778877676989617,1.7984235402907227
1.0,1.0,1.0,1.0817328183295922,1.7804903510694132,1.733501218972946,Feynman91,Bz,1.733501218972946,0.0,1.7804903510694132,1.8012927322067116
1.0,1.0,1.0,1.0820006810943292,1.7806531031867472,1.492974193682576,Feynman91,Bz,1.492974193682576,0.0,1.7806531031867472,1.8014719249222255
1.0,1.0,1.0,1.0827747634428944,1.7811235746990763,0.9021061753342069,Feynman91,Bz,0.9021061753342069,0.0,1.7811235746990763,1.8019897691524849
1.0,1.0,1.0,1.0837145141402837,1.7816950210847848,1.9616085842271023,Feynman91,Bz,1.9616085842271023,0.0,1.7816950210847848,1.802618451436876
1.0,1.0,1.0,1.0856622413308483,1.7828803948250487,1.7080377489493062,Feynman91,Bz,1.7080377489493062,0.0,1.7828803948250487,1.8039214920637956
1.0,1.0,1.0,1.087599249772703,1.7840605729924492,1.9676309994038619,Feynman91,Bz,1.9676309994038619,0.0,1.7840605729924492,1.8052174078675838
1.0,1.0,1.0,1.0911903449977016,1.7862520452098027,1.7913815258394508,Feynman91,Bz,1.7913815258394508,0.0,1.7862520452098027,1.807620081645567
1.0,1.0,1.0,1.0950607297976198,1.7886190209054849,2.3751935746441597,Feynman91,Bz,2.3751935746441597,0.0,1.7886190209054849,1.8102098065846282
1.0,1.0,1.0,1.0954938934299543,1.7888842529751108,1.8080364597397907,Feynman91,Bz,1.8080364597397907,0.0,1.7888842529751108,1.8104996545356078
1.0,1.0,1.0,1.1028621487503631,1.7934059549210457,1.814371189016018,Feynman91,Bz,1.814371189016018,0.0,1.7934059549210457,1.8154304650947835
1.0,1.0,1.0,1.103252308744096,1.7936459117532586,2.040328859440529,Feynman91,Bz,2.040328859440529,0.0,1.7936459117532586,1.815691580547919
1.0,1.0,1.0,1.1053946753034367,1.7949644531826223,2.228921691038623,Feynman91,Bz,2.228921691038623,0.0,1.7949644531826223,1.817125404462004
1.0,1.0,1.0,1.105935313991702,1.79529744575486,1.6691357569054803,Feynman91,Bz,1.6691357569054803,0.0,1.79529744575486,1.8174872491581777
1.0,1.0,1.0,1.1065297924063904,1.7956637161459073,1.2191732746622774,Feynman91,Bz,1.2191732746622774,0.0,1.7956637161459073,1.8178851334189463
1.0,1.0,1.0,1.1065557575565688,1.795679716592464,1.8914950358652713,Feynman91,Bz,1.8914950358652713,0.0,1.795679716592464,1.8179025120102257
1.0,1.0,1.0,1.1074553165959586,1.7962341935996695,1.2369438886079633,Feynman91,Bz,1.2369438886079633,0.0,1.7962341935996695,1.8185045972629987
