,filename,equation_name,errorfunction,RMSE,ConstraintsViolated,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling
0,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_None,n0.01,0.019759062893998054,False,200,0.05,0.01,0.5
1,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Normal,n0.01,0.02387935093435115,True,200,0.05,0.01,0.5
2,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Spike,n0.01,0.024444306218639356,True,200,0.05,0.01,0.5
3,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Square,n0.01,0.03187927945022494,True,200,0.05,0.01,0.5
4,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_None,n0.01,0.01688648765129657,False,200,0.075,0.01,0.5
5,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Normal,n0.01,0.03166939828583419,True,200,0.075,0.01,0.5
6,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Spike,n0.01,0.0367481845490983,True,200,0.075,0.01,0.5
7,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Square,n0.01,0.04675945254266165,True,200,0.075,0.01,0.5
8,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_None,n0.01,0.018224481144902126,False,200,0.125,0.01,0.5
9,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Normal,n0.01,0.025579795702539345,True,200,0.125,0.01,0.5
10,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Spike,n0.01,0.028373003926368878,True,200,0.125,0.01,0.5
11,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Square,n0.01,0.04392730984267759,True,200,0.125,0.01,0.5
12,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_None,n0.01,0.01976616071587801,False,200,0.15,0.01,0.5
13,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Normal,n0.01,0.03148723921365554,True,200,0.15,0.01,0.5
14,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Spike,n0.01,0.03693141146260858,True,200,0.15,0.01,0.5
15,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Square,n0.01,0.050916481007317244,True,200,0.15,0.01,0.5
16,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_None,n0.01,0.02076071366007867,False,200,0.1,0.01,0.5
17,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Normal,n0.01,0.0311134667394281,True,200,0.1,0.01,0.5
18,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Spike,n0.01,0.034215985256488904,True,200,0.1,0.01,0.5
19,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Square,n0.01,0.04334986320873046,True,200,0.1,0.01,0.5
20,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_None,n0.01,0.018423301120446108,False,200,0.05,0.01,1.5
21,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_Normal,n0.01,0.025715898581866,True,200,0.05,0.01,1.5
22,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_Spike,n0.01,0.030116750541000294,True,200,0.05,0.01,1.5
23,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_Square,n0.01,0.037799438762386506,True,200,0.05,0.01,1.5
24,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.075_None,n0.01,0.0204361723253566,False,200,0.075,0.01,1.5
25,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.075_Normal,n0.01,0.03242425915111552,True,200,0.075,0.01,1.5
26,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.075_Spike,n0.01,0.03686163339349785,True,200,0.075,0.01,1.5
27,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.075_Square,n0.01,0.048075556732333664,True,200,0.075,0.01,1.5
28,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.125_None,n0.01,0.018979998312820438,False,200,0.125,0.01,1.5
29,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.125_Normal,n0.01,0.037792371287568904,True,200,0.125,0.01,1.5
30,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.125_Spike,n0.01,0.04465468855034704,True,200,0.125,0.01,1.5
31,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.125_Square,n0.01,0.056327498537502824,True,200,0.125,0.01,1.5
32,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.15_None,n0.01,0.01838183969947643,False,200,0.15,0.01,1.5
33,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.15_Normal,n0.01,0.029557876462897436,True,200,0.15,0.01,1.5
34,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.15_Spike,n0.01,0.03836673795281955,True,200,0.15,0.01,1.5
35,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.15_Square,n0.01,0.05949200340303183,True,200,0.15,0.01,1.5
36,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.1_None,n0.01,0.018738492304149878,False,200,0.1,0.01,1.5
37,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.1_Normal,n0.01,0.02445790915672086,True,200,0.1,0.01,1.5
38,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.1_Spike,n0.01,0.03333713913085482,True,200,0.1,0.01,1.5
39,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.1_Square,n0.01,0.057409080081149845,True,200,0.1,0.01,1.5
