,filename,equation_name,varied_variable_name,errorfunction,RMSE,ConstraintsViolated,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling
0,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.05_None,c,s100,0.01915786342585006,False,100,0.05,0.01,0.5
1,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.05_Normal,c,s100,0.02062073652903632,True,100,0.05,0.01,0.5
2,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.05_Spike,c,s100,0.023081421142777087,True,100,0.05,0.01,0.5
3,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.05_Square,c,s100,0.02612992796951665,True,100,0.05,0.01,0.5
4,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.075_None,c,s100,0.022135455591165604,False,100,0.075,0.01,0.5
5,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.075_Normal,c,s100,0.025137622439355477,True,100,0.075,0.01,0.5
6,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.075_Spike,c,s100,0.028852583483826973,True,100,0.075,0.01,0.5
7,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.075_Square,c,s100,0.03326934194126863,True,100,0.075,0.01,0.5
8,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.125_None,c,s100,0.02070297387844753,False,100,0.125,0.01,0.5
9,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.125_Normal,c,s100,0.026192804206305487,True,100,0.125,0.01,0.5
10,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.125_Spike,c,s100,0.028693527409382528,True,100,0.125,0.01,0.5
11,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.125_Square,c,s100,0.03466638621296825,True,100,0.125,0.01,0.5
12,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.15_None,c,s100,0.02348397416893361,False,100,0.15,0.01,0.5
13,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.15_Normal,c,s100,0.02577399317276523,True,100,0.15,0.01,0.5
14,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.15_Spike,c,s100,0.03161761554524981,True,100,0.15,0.01,0.5
15,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.15_Square,c,s100,0.03741094222107638,True,100,0.15,0.01,0.5
16,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.1_None,c,s100,0.01835330387173662,False,100,0.1,0.01,0.5
17,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.1_Normal,c,s100,0.02152908226016668,True,100,0.1,0.01,0.5
18,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.1_Spike,c,s100,0.02310527454554459,True,100,0.1,0.01,0.5
19,Feynman17,Feynman17_c_s100_n0.01_es0.5_ew0.1_Square,c,s100,0.02921678447877026,True,100,0.1,0.01,0.5
20,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.05_None,c,s100,0.019212146672908645,False,100,0.05,0.01,1.5
21,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.05_Normal,c,s100,0.031900726165612445,True,100,0.05,0.01,1.5
22,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.05_Spike,c,s100,0.050115022828872376,True,100,0.05,0.01,1.5
23,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.05_Square,c,s100,0.059787932458394005,True,100,0.05,0.01,1.5
24,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.075_None,c,s100,0.02066485180705925,False,100,0.075,0.01,1.5
25,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.075_Normal,c,s100,0.03719062957497951,True,100,0.075,0.01,1.5
26,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.075_Spike,c,s100,0.06061077268710511,True,100,0.075,0.01,1.5
27,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.075_Square,c,s100,0.08017228312202258,True,100,0.075,0.01,1.5
28,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.125_None,c,s100,0.022598163041405838,False,100,0.125,0.01,1.5
29,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.125_Normal,c,s100,0.04516945284340115,True,100,0.125,0.01,1.5
30,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.125_Spike,c,s100,0.05818848842478608,True,100,0.125,0.01,1.5
31,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.125_Square,c,s100,0.09214963134262998,True,100,0.125,0.01,1.5
32,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.15_None,c,s100,0.02220525938789439,False,100,0.15,0.01,1.5
33,Feynman17,Feynman17_c_s100_n0.01_es1.5_ew0.15_Normal,c,s100,0.04614320899105106,True,100,0.15,0.01,1.5
