,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling,AUC
0,50.0,0.05,0.01,0.5,0.8826618457300276
1,50.0,0.05,0.01,1.0,0.9659951790633609
2,50.0,0.05,0.01,1.5,0.9696108815426997
3,50.0,0.05,0.02,0.5,0.7698863636363636
4,50.0,0.05,0.02,1.0,0.9373278236914601
5,50.0,0.05,0.02,1.5,0.9602272727272727
6,50.0,0.05,0.03,0.5,0.7321797520661156
7,50.0,0.05,0.03,1.0,0.8960055096418733
8,50.0,0.05,0.03,1.5,0.9511880165289257
9,50.0,0.05,0.05,0.5,0.6287878787878787
10,50.0,0.05,0.05,1.0,0.8478822314049587
11,50.0,0.05,0.05,1.5,0.9193353994490359
12,50.0,0.05,0.1,0.5,0.5700757575757576
13,50.0,0.05,0.1,1.0,0.7485365013774105
14,50.0,0.05,0.1,1.5,0.78125
15,50.0,0.075,0.01,0.5,0.872073002754821
16,50.0,0.075,0.01,1.0,0.9473140495867769
17,50.0,0.075,0.01,1.5,0.9618629476584022
18,50.0,0.075,0.02,0.5,0.7775482093663912
19,50.0,0.075,0.02,1.0,0.9222623966942148
20,50.0,0.075,0.02,1.5,0.9666838842975206
21,50.0,0.075,0.03,0.5,0.7011880165289257
22,50.0,0.075,0.03,1.0,0.9141701101928377
23,50.0,0.075,0.03,1.5,0.9523071625344354
24,50.0,0.075,0.05,0.5,0.6349862258953168
25,50.0,0.075,0.05,1.0,0.7919249311294766
26,50.0,0.075,0.05,1.5,0.8966942148760331
27,50.0,0.075,0.1,0.5,0.5793732782369146
28,50.0,0.075,0.1,1.0,0.7256370523415978
29,50.0,0.075,0.1,1.5,0.8056990358126722
30,50.0,0.1,0.01,0.5,0.9036673553719008
31,50.0,0.1,0.01,1.0,0.9549758953168046
32,50.0,0.1,0.01,1.5,0.978391873278237
33,50.0,0.1,0.02,0.5,0.8295454545454547
34,50.0,0.1,0.02,1.0,0.9393939393939394
35,50.0,0.1,0.02,1.5,0.9766701101928374
36,50.0,0.1,0.03,0.5,0.7528409090909092
37,50.0,0.1,0.03,1.0,0.9304407713498623
38,50.0,0.1,0.03,1.5,0.9785640495867768
39,50.0,0.1,0.05,0.5,0.7158230027548211
40,50.0,0.1,0.05,1.0,0.8886880165289257
41,50.0,0.1,0.05,1.5,0.93741391184573
42,50.0,0.1,0.1,0.5,0.6327479338842974
43,50.0,0.1,0.1,1.0,0.7719524793388429
44,50.0,0.1,0.1,1.5,0.9125344352617081
45,50.0,0.125,0.01,0.5,0.9297520661157026
46,50.0,0.125,0.01,1.0,0.9587637741046833
47,50.0,0.125,0.01,1.5,0.9904442148760331
48,50.0,0.125,0.02,0.5,0.8159435261707989
49,50.0,0.125,0.02,1.0,0.9558367768595042
50,50.0,0.125,0.02,1.5,0.978133608815427
51,50.0,0.125,0.03,0.5,0.7697141873278237
52,50.0,0.125,0.03,1.0,0.9537706611570249
53,50.0,0.125,0.03,1.5,0.9908746556473829
54,50.0,0.125,0.05,0.5,0.6962809917355373
55,50.0,0.125,0.05,1.0,0.9094352617079889
56,50.0,0.125,0.05,1.5,0.972193526170799
57,50.0,0.125,0.1,0.5,0.6069214876033059
58,50.0,0.125,0.1,1.0,0.8001893939393939
59,50.0,0.125,0.1,1.5,0.9478305785123967
60,50.0,0.15,0.01,0.5,0.8988464187327824
61,50.0,0.15,0.01,1.0,0.9602272727272727
62,50.0,0.15,0.01,1.5,0.977961432506887
63,50.0,0.15,0.02,0.5,0.8082816804407713
64,50.0,0.15,0.02,1.0,0.953254132231405
65,50.0,0.15,0.02,1.5,0.978477961432507
66,50.0,0.15,0.03,0.5,0.7735881542699724
67,50.0,0.15,0.03,1.0,0.9160640495867769
68,50.0,0.15,0.03,1.5,0.975206611570248
69,50.0,0.15,0.05,0.5,0.7269283746556474
70,50.0,0.15,0.05,1.0,0.8857610192837465
71,50.0,0.15,0.05,1.5,0.96892217630854
72,50.0,0.15,0.1,0.5,0.6226756198347108
73,50.0,0.15,0.1,1.0,0.793904958677686
74,50.0,0.15,0.1,1.5,0.8960055096418733
75,100.0,0.05,0.01,0.5,0.8243801652892563
76,100.0,0.05,0.01,1.0,0.9336260330578512
77,100.0,0.05,0.01,1.5,0.9610881542699725
78,100.0,0.05,0.02,0.5,0.7585227272727273
79,100.0,0.05,0.02,1.0,0.9231232782369146
80,100.0,0.05,0.02,1.5,0.9422348484848484
81,100.0,0.05,0.03,0.5,0.7330406336088153
82,100.0,0.05,0.03,1.0,0.8859331955922866
83,100.0,0.05,0.03,1.5,0.9474862258953168
84,100.0,0.05,0.05,0.5,0.6433367768595041
85,100.0,0.05,0.05,1.0,0.8130165289256199
86,100.0,0.05,0.05,1.5,0.8769800275482094
87,100.0,0.05,0.1,0.5,0.600206611570248
88,100.0,0.05,0.1,1.0,0.6956783746556474
89,100.0,0.05,0.1,1.5,0.8146522038567493
90,100.0,0.075,0.01,0.5,0.8756887052341598
91,100.0,0.075,0.01,1.0,0.940943526170799
92,100.0,0.075,0.01,1.5,0.9673725895316805
93,100.0,0.075,0.02,0.5,0.7732438016528926
94,100.0,0.075,0.02,1.0,0.8919593663911846
95,100.0,0.075,0.02,1.5,0.9555785123966942
96,100.0,0.075,0.03,0.5,0.7136707988980717
97,100.0,0.075,0.03,1.0,0.8894628099173555
98,100.0,0.075,0.03,1.5,0.9511880165289257
99,100.0,0.075,0.05,0.5,0.6555612947658402
100,100.0,0.075,0.05,1.0,0.8387568870523416
101,100.0,0.075,0.05,1.5,0.903150826446281
102,100.0,0.075,0.1,0.5,0.5928891184573003
103,100.0,0.075,0.1,1.0,0.7199552341597796
104,100.0,0.075,0.1,1.5,0.869059917355372
105,100.0,0.1,0.01,0.5,0.8921315426997245
106,100.0,0.1,0.01,1.0,0.9533402203856749
107,100.0,0.1,0.01,1.5,0.9694387052341598
108,100.0,0.1,0.02,0.5,0.8368629476584022
109,100.0,0.1,0.02,1.0,0.9366391184573003
110,100.0,0.1,0.02,1.5,0.9641012396694215
111,100.0,0.1,0.03,0.5,0.7607610192837465
112,100.0,0.1,0.03,1.0,0.9121900826446281
113,100.0,0.1,0.03,1.5,0.9616907713498623
114,100.0,0.1,0.05,0.5,0.6922348484848485
115,100.0,0.1,0.05,1.0,0.8560606060606061
116,100.0,0.1,0.05,1.5,0.9392217630853994
117,100.0,0.1,0.1,0.5,0.5993457300275482
118,100.0,0.1,0.1,1.0,0.7632575757575758
119,100.0,0.1,0.1,1.5,0.8658746556473829
120,100.0,0.125,0.01,0.5,0.8908402203856749
121,100.0,0.125,0.01,1.0,0.9513601928374656
122,100.0,0.125,0.01,1.5,0.9696108815426997
123,100.0,0.125,0.02,0.5,0.8165461432506886
124,100.0,0.125,0.02,1.0,0.9393939393939393
125,100.0,0.125,0.02,1.5,0.9647899449035814
126,100.0,0.125,0.03,0.5,0.7695420110192838
127,100.0,0.125,0.03,1.0,0.9251893939393939
128,100.0,0.125,0.03,1.5,0.9665117079889807
129,100.0,0.125,0.05,0.5,0.6565943526170799
130,100.0,0.125,0.05,1.0,0.8856749311294766
131,100.0,0.125,0.05,1.5,0.9542871900826447
132,100.0,0.125,0.1,0.5,0.6138946280991735
