x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
5.0,1.0,3.006806497631599,1.0,4.241442047655074,4.2297650605132,Feynman17,c,4.2297650605132,4.241442047655074
5.0,1.0,3.0106349117238764,1.0,4.240771867873975,4.253455596225506,Feynman17,c,4.253455596225506,4.240771867873975
5.0,1.0,3.0162442880955576,1.0,4.2397950973570495,4.238536433753426,Feynman17,c,4.238536433753426,4.2397950973570495
5.0,1.0,3.0253836237249727,1.0,4.238216698612688,4.230064213569808,Feynman17,c,4.230064213569808,4.238216698612688
5.0,1.0,3.0277611813628065,1.0,4.237808713079533,4.250964096665205,Feynman17,c,4.250964096665205,4.237808713079533
5.0,1.0,3.055380036421651,1.0,4.233147307244527,4.217786310274012,Feynman17,c,4.217786310274012,4.233147307244527
5.0,1.0,3.0620274968208774,1.0,4.232046413890802,4.207194517320515,Feynman17,c,4.207194517320515,4.232046413890802
5.0,1.0,3.0728270770627732,1.0,4.230274897138178,4.243015286513942,Feynman17,c,4.243015286513942,4.230274897138178
5.0,1.0,3.088312114497154,1.0,4.227770952448017,4.211066455488342,Feynman17,c,4.211066455488342,4.227770952448017
5.0,1.0,3.094529366068935,1.0,4.226777410456625,4.2201971804513665,Feynman17,c,4.2201971804513665,4.226777410456625
5.0,1.0,3.1068186029689895,1.0,4.224833087441191,4.212163944088079,Feynman17,c,4.212163944088079,4.224833087441191
5.0,1.0,3.1096120376988834,1.0,4.2243947117140666,4.226736909138907,Feynman17,c,4.226736909138907,4.2243947117140666
5.0,1.0,3.1152542080382886,1.0,4.223513288732989,4.172907857155916,Feynman17,c,4.172907857155916,4.223513288732989
5.0,1.0,3.143578684224063,1.0,4.219167980618158,4.2161317467381965,Feynman17,c,4.2161317467381965,4.219167980618158
5.0,1.0,3.1554128917379662,1.0,4.217390908023622,4.203595259580883,Feynman17,c,4.203595259580883,4.217390908023622
5.0,1.0,3.1696396825833553,1.0,4.215283760597669,4.216197413478155,Feynman17,c,4.216197413478155,4.215283760597669
5.0,1.0,3.1738545008539525,1.0,4.214665532841857,4.232360128732846,Feynman17,c,4.232360128732846,4.214665532841857
5.0,1.0,3.17577739585386,1.0,4.214384390733353,4.2073868751893,Feynman17,c,4.2073868751893,4.214384390733353
5.0,1.0,3.1786965108137855,1.0,4.213958675481928,4.230040649715351,Feynman17,c,4.230040649715351,4.213958675481928
5.0,1.0,3.1823659570417435,1.0,4.21342537717198,4.209220424191536,Feynman17,c,4.209220424191536,4.21342537717198
5.0,1.0,3.1831867472107236,1.0,4.21330636775449,4.200913116127848,Feynman17,c,4.200913116127848,4.21330636775449
5.0,1.0,3.1930264277349467,1.0,4.211887590239638,4.2163391651573585,Feynman17,c,4.2163391651573585,4.211887590239638
5.0,1.0,3.194238904965676,1.0,4.21171376926312,4.209896952277895,Feynman17,c,4.209896952277895,4.21171376926312
5.0,1.0,3.198439223393647,1.0,4.211113304202434,4.217325089807921,Feynman17,c,4.217325089807921,4.211113304202434
5.0,1.0,3.2064954285902836,1.0,4.209968920908093,4.217000309086142,Feynman17,c,4.217000309086142,4.209968920908093
5.0,1.0,3.207548580474137,1.0,4.209820026338199,4.210704897196187,Feynman17,c,4.210704897196187,4.209820026338199
5.0,1.0,3.211252594869091,1.0,4.209297641050962,4.191673511531876,Feynman17,c,4.191673511531876,4.209297641050962
5.0,1.0,3.2219283317911223,1.0,4.207803159587817,4.181129157259811,Feynman17,c,4.181129157259811,4.207803159587817
5.0,1.0,3.2221350443936005,1.0,4.207774384322129,4.2142871785559315,Feynman17,c,4.2142871785559315,4.207774384322129
5.0,1.0,3.2298191064499213,1.0,4.206709062893787,4.1825306535244575,Feynman17,c,4.1825306535244575,4.206709062893787
5.0,1.0,3.2311216487420444,1.0,4.206529310703307,4.194360223296865,Feynman17,c,4.194360223296865,4.206529310703307
5.0,1.0,3.2343318537884205,1.0,4.206087323882969,4.207253019501154,Feynman17,c,4.207253019501154,4.206087323882969
5.0,1.0,3.2361710697410304,1.0,4.205834752337622,4.183466409481543,Feynman17,c,4.183466409481543,4.205834752337622
5.0,1.0,3.24405590685773,1.0,4.204757337199924,4.1992337550999475,Feynman17,c,4.1992337550999475,4.204757337199924
5.0,1.0,3.2459861479581886,1.0,4.204494902500279,4.202415005008644,Feynman17,c,4.202415005008644,4.204494902500279
5.0,1.0,3.252315326008052,1.0,4.203638008142577,4.196048954478035,Feynman17,c,4.196048954478035,4.203638008142577
5.0,1.0,3.253637248265147,1.0,4.203459732677578,4.22290360019695,Feynman17,c,4.22290360019695,4.203459732677578
5.0,1.0,3.2590035994854034,1.0,4.202738480419169,4.193028908272649,Feynman17,c,4.193028908272649,4.202738480419169
5.0,1.0,3.2638695477992554,1.0,4.202087875376838,4.1883464422767,Feynman17,c,4.1883464422767,4.202087875376838
5.0,1.0,3.2739300766607577,1.0,4.200752859464067,4.21664939602649,Feynman17,c,4.21664939602649,4.200752859464067
5.0,1.0,3.286860836217012,1.0,4.199056776345842,4.193674160296862,Feynman17,c,4.193674160296862,4.199056776345842
5.0,1.0,3.29514821878511,1.0,4.197981297905984,4.187957995809822,Feynman17,c,4.187957995809822,4.197981297905984
5.0,1.0,3.303955700410934,1.0,4.1968480784741224,4.204514574525842,Feynman17,c,4.204514574525842,4.1968480784741224
5.0,1.0,3.3190695932902488,1.0,4.1949265225646775,4.1768526481051795,Feynman17,c,4.1768526481051795,4.1949265225646775
5.0,1.0,3.326251950907648,1.0,4.194023449557836,4.199670011718451,Feynman17,c,4.199670011718451,4.194023449557836
5.0,1.0,3.3293927744447283,1.0,4.193630556031386,4.190096552923196,Feynman17,c,4.190096552923196,4.193630556031386
5.0,1.0,3.3318746164591544,1.0,4.1933209595152166,4.204008555031645,Feynman17,c,4.204008555031645,4.1933209595152166
5.0,1.0,3.3363874442595933,1.0,4.192759952436787,4.220529396938013,Feynman17,c,4.220529396938013,4.192759952436787
5.0,1.0,3.3393149375344224,1.0,4.192397359922995,4.180950677400726,Feynman17,c,4.180950677400726,4.192397359922995
5.0,1.0,3.3789682910980057,1.0,4.187587364449349,4.2125991550037405,Feynman17,c,4.2125991550037405,4.187587364449349
5.0,1.0,3.3834337565954593,1.0,4.187057282113151,4.180896194224422,Feynman17,c,4.180896194224422,4.187057282113151
5.0,1.0,3.3847742180441363,1.0,4.186898608284769,4.192318652371613,Feynman17,c,4.192318652371613,4.186898608284769
5.0,1.0,3.385687431712765,1.0,4.186790627095379,4.195881201445178,Feynman17,c,4.195881201445178,4.186790627095379
5.0,1.0,3.396167277454841,1.0,4.185558278783967,4.174660288165301,Feynman17,c,4.174660288165301,4.185558278783967
5.0,1.0,3.4068253617529747,1.0,4.184317717140744,4.200640603482308,Feynman17,c,4.200640603482308,4.184317717140744
5.0,1.0,3.4199389260538076,1.0,4.182808720699027,4.189966844458467,Feynman17,c,4.189966844458467,4.182808720699027
5.0,1.0,3.4217696662291273,1.0,4.182599562689535,4.183255585116668,Feynman17,c,4.183255585116668,4.182599562689535
5.0,1.0,3.4291575579987583,1.0,4.181759229644238,4.20594839170518,Feynman17,c,4.20594839170518,4.181759229644238
5.0,1.0,3.4678572154384995,1.0,4.17745270640714,4.1640488248813945,Feynman17,c,4.1640488248813945,4.17745270640714
5.0,1.0,3.472059061096428,1.0,4.176994553020957,4.145226110281844,Feynman17,c,4.145226110281844,4.176994553020957
5.0,1.0,3.4730163268215533,1.0,4.176890429912538,4.168476424605477,Feynman17,c,4.168476424605477,4.176890429912538
5.0,1.0,3.488295220363449,1.0,4.175241148201071,4.1534425213420905,Feynman17,c,4.1534425213420905,4.175241148201071
5.0,1.0,3.5055360058039216,1.0,4.173408219707356,4.168461173898363,Feynman17,c,4.168461173898363,4.173408219707356
5.0,1.0,3.5090384119757707,1.0,4.173039456328141,4.167854444647207,Feynman17,c,4.167854444647207,4.173039456328141
5.0,1.0,3.509178284194818,1.0,4.173024754331231,4.161313610066817,Feynman17,c,4.161313610066817,4.173024754331231
5.0,1.0,3.52814629144742,1.0,4.171048605813751,4.183589234541455,Feynman17,c,4.183589234541455,4.171048605813751
5.0,1.0,3.5313528805913785,1.0,4.170717950174329,4.18088525369532,Feynman17,c,4.18088525369532,4.170717950174329
5.0,1.0,3.5432893327557395,1.0,4.169495655805122,4.1802584718091005,Feynman17,c,4.1802584718091005,4.169495655805122
5.0,1.0,3.5531613179105284,1.0,4.168494856930655,4.186180329419602,Feynman17,c,4.186180329419602,4.168494856930655
5.0,1.0,3.5661899297605846,1.0,4.1671878336822985,4.179790893597499,Feynman17,c,4.179790893597499,4.1671878336822985
5.0,1.0,3.5852020052318903,1.0,4.165308217176671,4.173641796090655,Feynman17,c,4.173641796090655,4.165308217176671
5.0,1.0,3.6242265473073534,1.0,4.161549980845698,4.151963186394296,Feynman17,c,4.151963186394296,4.161549980845698
5.0,1.0,3.6279653485299965,1.0,4.1611967937686964,4.183074202815103,Feynman17,c,4.183074202815103,4.1611967937686964
5.0,1.0,3.628288900548953,1.0,4.1611662848626585,4.167889124195218,Feynman17,c,4.167889124195218,4.1611662848626585
5.0,1.0,3.6324788614745436,1.0,4.160771994546233,4.185447665293118,Feynman17,c,4.185447665293118,4.160771994546233
5.0,1.0,3.637604448696907,1.0,4.160291661523992,4.13348842108362,Feynman17,c,4.13348842108362,4.160291661523992
5.0,1.0,3.6442602308532708,1.0,4.159671198096246,4.179568241463156,Feynman17,c,4.179568241463156,4.159671198096246
5.0,1.0,3.6463501349514678,1.0,4.159477131234475,4.201126896776347,Feynman17,c,4.201126896776347,4.159477131234475
5.0,1.0,3.6478871606142134,1.0,4.159334634338691,4.192275951291313,Feynman17,c,4.192275951291313,4.159334634338691
5.0,1.0,3.6510801792300445,1.0,4.159039232850328,4.135707446600324,Feynman17,c,4.135707446600324,4.159039232850328
5.0,1.0,3.69062071146615,1.0,4.15544948333694,4.166966401714197,Feynman17,c,4.166966401714197,4.15544948333694
5.0,1.0,3.70307318760515,1.0,4.154344579283162,4.13660171347584,Feynman17,c,4.13660171347584,4.154344579283162
5.0,1.0,3.71875749859249,1.0,4.1529699102636615,4.150736302816664,Feynman17,c,4.150736302816664,4.1529699102636615
5.0,1.0,3.7406677208084385,1.0,4.151080666002549,4.176092727782344,Feynman17,c,4.176092727782344,4.151080666002549
5.0,1.0,3.7490149918753035,1.0,4.1503702751443665,4.158555007585695,Feynman17,c,4.158555007585695,4.1503702751443665
5.0,1.0,3.752778255951758,1.0,4.1500516719193605,4.149003376334358,Feynman17,c,4.149003376334358,4.1500516719193605
5.0,1.0,3.7728257113152965,1.0,4.148371676562859,4.126140209902863,Feynman17,c,4.126140209902863,4.148371676562859
5.0,1.0,3.7897668546172234,1.0,4.146974283874279,4.181398907882278,Feynman17,c,4.181398907882278,4.146974283874279
5.0,1.0,3.78992020124066,1.0,4.146961726973839,4.131938548961497,Feynman17,c,4.131938548961497,4.146961726973839
5.0,1.0,3.799265457111295,1.0,4.146199564910932,4.165838912478729,Feynman17,c,4.165838912478729,4.146199564910932
5.0,1.0,3.8063245199900777,1.0,4.145627849566456,4.133589306032356,Feynman17,c,4.133589306032356,4.145627849566456
5.0,1.0,3.8093947233756236,1.0,4.145380257600802,4.147208484736128,Feynman17,c,4.147208484736128,4.145380257600802
5.0,1.0,3.8137083398924223,1.0,4.145033476782541,4.1467572173791325,Feynman17,c,4.1467572173791325,4.145033476782541
5.0,1.0,3.8242004579836855,1.0,4.144195245658888,4.169016094695568,Feynman17,c,4.169016094695568,4.144195245658888
5.0,1.0,3.8323850763877223,1.0,4.143546487770517,4.150747027009882,Feynman17,c,4.150747027009882,4.143546487770517
5.0,1.0,3.8357566303710913,1.0,4.143280534869002,4.137197876934694,Feynman17,c,4.137197876934694,4.143280534869002
5.0,1.0,3.8591712172250294,1.0,4.141454131614328,4.098857689116294,Feynman17,c,4.098857689116294,4.141454131614328
5.0,1.0,3.8651754200547193,1.0,4.140991509475416,4.131642592699013,Feynman17,c,4.131642592699013,4.140991509475416
5.0,1.0,3.883257487887715,1.0,4.139612150892613,4.157318913468377,Feynman17,c,4.157318913468377,4.139612150892613
5.0,1.0,3.888654918451123,1.0,4.139204405948105,4.1385114458091365,Feynman17,c,4.1385114458091365,4.139204405948105
5.0,1.0,3.897899391223695,1.0,4.138510247223675,4.129501675071489,Feynman17,c,4.129501675071489,4.138510247223675
5.0,1.0,3.8991558451515367,1.0,4.138416309056976,4.1723240222866655,Feynman17,c,4.1723240222866655,4.138416309056976
5.0,1.0,3.901701997752733,1.0,4.1382262449776785,4.133558449752832,Feynman17,c,4.133558449752832,4.1382262449776785
