x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
5.0,1.0,3.0,1.0000357262489454,4.242602793709942,4.276485808659366,Feynman17,t,4.276485808659366,4.242602793709942
5.0,1.0,3.0,1.0001409834464186,4.242491151592788,4.37663346216054,Feynman17,t,4.37663346216054,4.242491151592788
5.0,1.0,3.0,1.001126641860381,4.241445702970119,4.230136388239526,Feynman17,t,4.230136388239526,4.241445702970119
5.0,1.0,3.0,1.0028392343861028,4.239629224287598,4.323991896540576,Feynman17,t,4.323991896540576,4.239629224287598
5.0,1.0,3.0,1.0029864754165678,4.239473051590932,4.027741951701509,Feynman17,t,4.027741951701509,4.239473051590932
5.0,1.0,3.0,1.0031346837776132,4.239315852885246,4.1508823060696125,Feynman17,t,4.1508823060696125,4.239315852885246
5.0,1.0,3.0,1.0040901844082861,4.238302391422181,4.1917091992656905,Feynman17,t,4.1917091992656905,4.238302391422181
5.0,1.0,3.0,1.0043364366636305,4.2380412014627264,4.152987579432933,Feynman17,t,4.152987579432933,4.2380412014627264
5.0,1.0,3.0,1.0059847492341887,4.236292901968492,4.2071974341831435,Feynman17,t,4.2071974341831435,4.236292901968492
5.0,1.0,3.0,1.0065484274967496,4.2356950308856955,4.182632951080867,Feynman17,t,4.182632951080867,4.2356950308856955
5.0,1.0,3.0,1.0068239350502104,4.235402810996715,4.266256091517364,Feynman17,t,4.266256091517364,4.235402810996715
5.0,1.0,3.0,1.0068736687969861,4.235350060392316,4.375649521115079,Feynman17,t,4.375649521115079,4.235350060392316
5.0,1.0,3.0,1.0074704925735172,4.234717033182979,4.089312936451016,Feynman17,t,4.089312936451016,4.234717033182979
5.0,1.0,3.0,1.008503742363637,4.233621106283099,4.15165065654459,Feynman17,t,4.15165065654459,4.233621106283099
5.0,1.0,3.0,1.0088577000025278,4.23324567751303,4.21010262811165,Feynman17,t,4.21010262811165,4.23324567751303
5.0,1.0,3.0,1.0092769489419067,4.23280099686097,4.227176875157978,Feynman17,t,4.227176875157978,4.23280099686097
5.0,1.0,3.0,1.0096318645946272,4.2324245519637875,4.17470446016696,Feynman17,t,4.17470446016696,4.2324245519637875
5.0,1.0,3.0,1.0110750589780615,4.230893813161143,4.14138340124296,Feynman17,t,4.14138340124296,4.230893813161143
5.0,1.0,3.0,1.0113686312325223,4.230582432763296,4.1624849954947845,Feynman17,t,4.1624849954947845,4.230582432763296
5.0,1.0,3.0,1.0121076516823222,4.229798583206063,4.28474495943144,Feynman17,t,4.28474495943144,4.229798583206063
5.0,1.0,3.0,1.0121735999704566,4.2297286344834415,4.137219457375011,Feynman17,t,4.137219457375011,4.2297286344834415
5.0,1.0,3.0,1.0136563270195198,4.22815596495688,4.098085803474692,Feynman17,t,4.098085803474692,4.22815596495688
5.0,1.0,3.0,1.0140789485612256,4.2277077071198566,4.603139076453232,Feynman17,t,4.603139076453232,4.2277077071198566
5.0,1.0,3.0,1.0141082663857364,4.227676610871074,4.337983783559173,Feynman17,t,4.337983783559173,4.227676610871074
5.0,1.0,3.0,1.0142396906626918,4.227537214374903,4.378426822960782,Feynman17,t,4.378426822960782,4.227537214374903
5.0,1.0,3.0,1.0143457026266072,4.227424771707046,4.342043516985605,Feynman17,t,4.342043516985605,4.227424771707046
5.0,1.0,3.0,1.0145613203705834,4.227196074553681,4.242950444100744,Feynman17,t,4.242950444100744,4.227196074553681
5.0,1.0,3.0,1.014759887673358,4.226985462124211,4.221705068218326,Feynman17,t,4.221705068218326,4.226985462124211
5.0,1.0,3.0,1.0148941050355047,4.22684310311382,4.206282793476771,Feynman17,t,4.206282793476771,4.22684310311382
5.0,1.0,3.0,1.0156673980969015,4.226022901962483,4.185660168874846,Feynman17,t,4.185660168874846,4.226022901962483
5.0,1.0,3.0,1.0160823714795644,4.225582756223144,4.36625141403478,Feynman17,t,4.36625141403478,4.225582756223144
5.0,1.0,3.0,1.016373530244064,4.225273935717974,4.241965273105256,Feynman17,t,4.241965273105256,4.225273935717974
5.0,1.0,3.0,1.016375238262123,4.225272124091246,4.330276270518971,Feynman17,t,4.330276270518971,4.225272124091246
5.0,1.0,3.0,1.0173822438724764,4.224204033347585,4.083078572683845,Feynman17,t,4.083078572683845,4.224204033347585
5.0,1.0,3.0,1.0174758750083956,4.224104722530877,4.192094317202549,Feynman17,t,4.192094317202549,4.224104722530877
5.0,1.0,3.0,1.0178283886571482,4.223730825343638,4.245062512707279,Feynman17,t,4.245062512707279,4.223730825343638
5.0,1.0,3.0,1.0184135531562086,4.2231101646655445,4.26124307932494,Feynman17,t,4.26124307932494,4.2231101646655445
5.0,1.0,3.0,1.018513728869327,4.22300391227646,4.307624188073633,Feynman17,t,4.307624188073633,4.22300391227646
5.0,1.0,3.0,1.019056992919603,4.222427693735573,4.195803856105303,Feynman17,t,4.195803856105303,4.222427693735573
5.0,1.0,3.0,1.0195675199222562,4.2218861980772395,4.269376511479165,Feynman17,t,4.269376511479165,4.2218861980772395
5.0,1.0,3.0,1.0197947138619503,4.2216452225141365,4.124710572179807,Feynman17,t,4.124710572179807,4.2216452225141365
5.0,1.0,3.0,1.0198555042620931,4.221580744557879,4.240117523037382,Feynman17,t,4.240117523037382,4.221580744557879
5.0,1.0,3.0,1.020140225601029,4.221278751973613,4.311178687079675,Feynman17,t,4.311178687079675,4.221278751973613
5.0,1.0,3.0,1.0205420943631247,4.220852505783376,4.183931579725273,Feynman17,t,4.183931579725273,4.220852505783376
5.0,1.0,3.0,1.0206390568531454,4.2207496615320546,4.250372016591199,Feynman17,t,4.250372016591199,4.2207496615320546
5.0,1.0,3.0,1.020853127056176,4.220522605793735,4.276593808141954,Feynman17,t,4.276593808141954,4.220522605793735
5.0,1.0,3.0,1.0226394123195814,4.2186279641594036,4.114867968717769,Feynman17,t,4.114867968717769,4.2186279641594036
5.0,1.0,3.0,1.0228158815340889,4.21844079029203,4.228291939620674,Feynman17,t,4.228291939620674,4.21844079029203
5.0,1.0,3.0,1.0229906373949964,4.21825543371058,4.36586208982021,Feynman17,t,4.36586208982021,4.21825543371058
5.0,1.0,3.0,1.0234456227032762,4.217772848915343,4.189060168987413,Feynman17,t,4.189060168987413,4.217772848915343
5.0,1.0,3.0,1.0236954027594374,4.217507917158068,4.221583020987834,Feynman17,t,4.221583020987834,4.217507917158068
5.0,1.0,3.0,1.0240710153648571,4.217109519827481,4.295346066471518,Feynman17,t,4.295346066471518,4.217109519827481
5.0,1.0,3.0,1.0240991677275209,4.217079659737662,4.289472146652631,Feynman17,t,4.289472146652631,4.217079659737662
5.0,1.0,3.0,1.0241831055964694,4.216990630183164,4.1432715108564455,Feynman17,t,4.1432715108564455,4.216990630183164
5.0,1.0,3.0,1.0246769421027062,4.2164668374696275,4.291808841650309,Feynman17,t,4.291808841650309,4.2164668374696275
5.0,1.0,3.0,1.0250304182194414,4.216091919430932,4.16490885563802,Feynman17,t,4.16490885563802,4.216091919430932
5.0,1.0,3.0,1.0252143190665737,4.215896863126822,4.155105593434678,Feynman17,t,4.155105593434678,4.215896863126822
5.0,1.0,3.0,1.0254244575253915,4.215673977632995,4.290973220807917,Feynman17,t,4.290973220807917,4.215673977632995
5.0,1.0,3.0,1.0256506189637582,4.215434097202927,4.128238109480206,Feynman17,t,4.128238109480206,4.215434097202927
5.0,1.0,3.0,1.0259843266392366,4.21508014676253,4.222500044025831,Feynman17,t,4.222500044025831,4.21508014676253
5.0,1.0,3.0,1.0260174564018902,4.215045007342782,4.386672689039607,Feynman17,t,4.386672689039607,4.215045007342782
5.0,1.0,3.0,1.0265419471089463,4.21448870093934,4.172711741898167,Feynman17,t,4.172711741898167,4.21448870093934
5.0,1.0,3.0,1.02663866037775,4.214386121027037,4.237997982482477,Feynman17,t,4.237997982482477,4.214386121027037
5.0,1.0,3.0,1.026858841277015,4.2141525839166,4.274904360195283,Feynman17,t,4.274904360195283,4.2141525839166
5.0,1.0,3.0,1.027619459753533,4.213345826192637,4.316111234406281,Feynman17,t,4.316111234406281,4.213345826192637
5.0,1.0,3.0,1.0285835539765098,4.212323249848483,4.099729465330969,Feynman17,t,4.099729465330969,4.212323249848483
5.0,1.0,3.0,1.0292664933341484,4.211598883272094,4.290501393589175,Feynman17,t,4.290501393589175,4.211598883272094
5.0,1.0,3.0,1.02930549699391,4.211557513643632,4.178489107106226,Feynman17,t,4.178489107106226,4.211557513643632
5.0,1.0,3.0,1.0303988378614146,4.21039785053129,4.07429273722048,Feynman17,t,4.07429273722048,4.21039785053129
5.0,1.0,3.0,1.0311708175841172,4.209579042385998,4.302509061981875,Feynman17,t,4.302509061981875,4.209579042385998
5.0,1.0,3.0,1.0311938415621298,4.209554621769524,4.1685085182172115,Feynman17,t,4.1685085182172115,4.209554621769524
5.0,1.0,3.0,1.0314203913903808,4.209314329389775,4.358579925509452,Feynman17,t,4.358579925509452,4.209314329389775
5.0,1.0,3.0,1.0325801185730463,4.208084252956991,4.249764484070352,Feynman17,t,4.249764484070352,4.208084252956991
5.0,1.0,3.0,1.0326196918629313,4.208042279144544,4.264675604377164,Feynman17,t,4.264675604377164,4.208042279144544
5.0,1.0,3.0,1.032717757888844,4.207938264416653,4.010654329478929,Feynman17,t,4.010654329478929,4.207938264416653
5.0,1.0,3.0,1.0327776799920305,4.207874707428394,4.075765027537397,Feynman17,t,4.075765027537397,4.207874707428394
5.0,1.0,3.0,1.0328780046906316,4.207768297016342,4.301450540961371,Feynman17,t,4.301450540961371,4.207768297016342
5.0,1.0,3.0,1.0334107105384893,4.207203277140245,4.229924806940972,Feynman17,t,4.229924806940972,4.207203277140245
