x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
5.0,1.0003929895982768,3.0,1.0,4.242432308746907,4.244624719753466,Feynman17,u,4.244624719753466,0.0,4.242432308746907
5.0,1.0009731080146134,3.0,1.0,4.242124838397346,4.26269182359097,Feynman17,u,4.26269182359097,0.0,4.242124838397346
5.0,1.0009861250030498,3.0,1.0,4.242117941015103,4.242528665166481,Feynman17,u,4.242528665166481,0.0,4.242117941015103
5.0,1.0014937114431355,3.0,1.0,4.241849044773813,4.285337914705384,Feynman17,u,4.285337914705384,0.0,4.241849044773813
5.0,1.0018143649802411,3.0,1.0,4.241679238746442,4.284063569946417,Feynman17,u,4.284063569946417,0.0,4.241679238746442
5.0,1.002067295387852,3.0,1.0,4.241545330019214,4.234927337286671,Feynman17,u,4.234927337286671,0.0,4.241545330019214
5.0,1.004347767313211,3.0,1.0,4.240339323582787,4.26056566079946,Feynman17,u,4.26056566079946,0.0,4.240339323582787
5.0,1.0043660468981348,3.0,1.0,4.24032966635651,4.29482895756879,Feynman17,u,4.29482895756879,0.0,4.24032966635651
5.0,1.0046850656611648,3.0,1.0,4.24016115163103,4.229049208518788,Feynman17,u,4.229049208518788,0.0,4.24016115163103
5.0,1.0049063169875012,3.0,1.0,4.240044308211741,4.235619776537083,Feynman17,u,4.235619776537083,0.0,4.240044308211741
5.0,1.0052485395015802,3.0,1.0,4.2398636244084695,4.202949996106344,Feynman17,u,4.202949996106344,0.0,4.2398636244084695
5.0,1.0056081451939294,3.0,1.0,4.239673821453023,4.304336814064277,Feynman17,u,4.304336814064277,0.0,4.239673821453023
5.0,1.0059636492500221,3.0,1.0,4.239486242486704,4.248341662742944,Feynman17,u,4.248341662742944,0.0,4.239486242486704
5.0,1.0071334572385389,3.0,1.0,4.238869417325042,4.234415866782461,Feynman17,u,4.234415866782461,0.0,4.238869417325042
5.0,1.007331137842944,3.0,1.0,4.2387652456912885,4.206734549625081,Feynman17,u,4.206734549625081,0.0,4.2387652456912885
