sigma,theta,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0001827928517977,0.24192649400084956,0.278038051685136,Feynman2,theta,0.278038051685136,0.0,0.24192649400084956
1.0,1.0002395288876251,0.24191276554176983,0.26511576151849303,Feynman2,theta,0.26511576151849303,0.0,0.24191276554176983
1.0,1.001148527315361,0.24169281465467873,0.28235979173894343,Feynman2,theta,0.28235979173894343,0.0,0.24169281465467873
1.0,1.0042981529206363,0.24093070374047174,0.2711424335738023,Feynman2,theta,0.2711424335738023,0.0,0.24093070374047174
1.0,1.004323467289022,0.2409245785180766,0.26785328514633727,Feynman2,theta,0.26785328514633727,0.0,0.2409245785180766
1.0,1.0043961737850682,0.24090698600847657,0.2412230363035165,Feynman2,theta,0.2412230363035165,0.0,0.24090698600847657
1.0,1.005051610949968,0.2407483929419757,0.2110053354509698,Feynman2,theta,0.2110053354509698,0.0,0.2407483929419757
1.0,1.0056824116094965,0.2405957620431298,0.21318108372449554,Feynman2,theta,0.21318108372449554,0.0,0.2405957620431298
1.0,1.006194333873295,0.24047189620425724,0.23681236370911712,Feynman2,theta,0.23681236370911712,0.0,0.24047189620425724
1.0,1.00794659883367,0.24004792063597352,0.2179900144894757,Feynman2,theta,0.2179900144894757,0.0,0.24004792063597352
1.0,1.0085042735703782,0.23991298878397696,0.20540101560957916,Feynman2,theta,0.20540101560957916,0.0,0.23991298878397696
1.0,1.0087575351714115,0.2398517114430307,0.26867474406496955,Feynman2,theta,0.26867474406496955,0.0,0.2398517114430307
1.0,1.0092602889329227,0.23973006959710516,0.2921020106481179,Feynman2,theta,0.2921020106481179,0.0,0.23973006959710516
1.0,1.0092610715133512,0.2397298802517411,0.23966512683663535,Feynman2,theta,0.23966512683663535,0.0,0.2397298802517411
1.0,1.012437780381313,0.23896130049504266,0.2782568141835083,Feynman2,theta,0.2782568141835083,0.0,0.23896130049504266
1.0,1.0131434911768127,0.2387905669659248,0.25931307714831425,Feynman2,theta,0.25931307714831425,0.0,0.2387905669659248
1.0,1.0140558239748882,0.23856984979522122,0.15692440207304909,Feynman2,theta,0.15692440207304909,0.0,0.23856984979522122
