epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0000222807760397,1.0,1.0,3.0,0.06545276352904225,0.0537130626130493,Feynman33,Ef,0.0537130626130493,0.0,0.06545276352904225
1.0,1.0,1.001383785946716,1.0,1.0,3.0,0.06563110943416106,0.02732491446792027,Feynman33,Ef,0.02732491446792027,0.0,0.06563110943416106
1.0,1.0,1.0014150978943568,1.0,1.0,3.0,0.06563521389444932,0.0634971652386423,Feynman33,Ef,0.0634971652386423,0.0,0.06563521389444932
1.0,1.0,1.0017979960717969,1.0,1.0,3.0,0.06568541567082069,0.07490109898662685,Feynman33,Ef,0.07490109898662685,0.0,0.06568541567082069
1.0,1.0,1.0018819489280815,1.0,1.0,3.0,0.06569642529420999,0.06632357155082996,Feynman33,Ef,0.06632357155082996,0.0,0.06569642529420999
1.0,1.0,1.0018966185892393,1.0,1.0,3.0,0.06569834917627015,0.05329693156382814,Feynman33,Ef,0.05329693156382814,0.0,0.06569834917627015
1.0,1.0,1.0022602642317964,1.0,1.0,3.0,0.06574604921567306,0.036316653242841786,Feynman33,Ef,0.036316653242841786,0.0,0.06574604921567306
1.0,1.0,1.002758876064743,1.0,1.0,3.0,0.065811481146947,0.05550830840583911,Feynman33,Ef,0.05550830840583911,0.0,0.065811481146947
1.0,1.0,1.0029303924927064,1.0,1.0,3.0,0.06583399646102453,0.06893813069910644,Feynman33,Ef,0.06893813069910644,0.0,0.06583399646102453
1.0,1.0,1.003164719187978,1.0,1.0,3.0,0.06586476323228033,0.06782469664285432,Feynman33,Ef,0.06782469664285432,0.0,0.06586476323228033
1.0,1.0,1.0032953693711193,1.0,1.0,3.0,0.06588192054170153,0.09189650202476142,Feynman33,Ef,0.09189650202476142,0.0,0.06588192054170153
1.0,1.0,1.0033134726329505,1.0,1.0,3.0,0.06588429808365803,0.054566123805566316,Feynman33,Ef,0.054566123805566316,0.0,0.06588429808365803
1.0,1.0,1.003542783293291,1.0,1.0,3.0,0.06591441767997687,0.07865902846711163,Feynman33,Ef,0.07865902846711163,0.0,0.06591441767997687
1.0,1.0,1.0037207184478225,1.0,1.0,3.0,0.06593779392673554,0.07581889145685938,Feynman33,Ef,0.07581889145685938,0.0,0.06593779392673554
1.0,1.0,1.003740441530168,1.0,1.0,3.0,0.06594038530358522,0.06487302019946686,Feynman33,Ef,0.06487302019946686,0.0,0.06594038530358522
1.0,1.0,1.0038004048692741,1.0,1.0,3.0,0.06594826408106008,0.07447522203862915,Feynman33,Ef,0.07447522203862915,0.0,0.06594826408106008
1.0,1.0,1.0039626692959003,1.0,1.0,3.0,0.06596958689009587,0.08092712729393563,Feynman33,Ef,0.08092712729393563,0.0,0.06596958689009587
1.0,1.0,1.0052072051595986,1.0,1.0,3.0,0.06613324318290698,0.10922117564469624,Feynman33,Ef,0.10922117564469624,0.0,0.06613324318290698
1.0,1.0,1.0053605998993445,1.0,1.0,3.0,0.06615342860457891,0.05804363897953821,Feynman33,Ef,0.05804363897953821,0.0,0.06615342860457891
1.0,1.0,1.0055517193953818,1.0,1.0,3.0,0.06617858258749254,0.08263948159763387,Feynman33,Ef,0.08263948159763387,0.0,0.06617858258749254
1.0,1.0,1.0072166272423537,1.0,1.0,3.0,0.06639790985576599,0.06804112767116742,Feynman33,Ef,0.06804112767116742,0.0,0.06639790985576599
1.0,1.0,1.0083026562120674,1.0,1.0,3.0,0.0665411738328065,0.08441775069137933,Feynman33,Ef,0.08441775069137933,0.0,0.0665411738328065
1.0,1.0,1.0083981628441263,1.0,1.0,3.0,0.06655378001676557,0.037653687168860764,Feynman33,Ef,0.037653687168860764,0.0,0.06655378001676557
1.0,1.0,1.00935782745383,1.0,1.0,3.0,0.06668051507242949,0.09336524011801185,Feynman33,Ef,0.09336524011801185,0.0,0.06668051507242949
1.0,1.0,1.0094127918037983,1.0,1.0,3.0,0.06668777741459714,0.07135384093907811,Feynman33,Ef,0.07135384093907811,0.0,0.06668777741459714
1.0,1.0,1.0106941745938145,1.0,1.0,3.0,0.06685719632660503,0.08450349704243386,Feynman33,Ef,0.08450349704243386,0.0,0.06685719632660503
1.0,1.0,1.0112679474823008,1.0,1.0,3.0,0.0669331277732831,0.07106533835798245,Feynman33,Ef,0.07106533835798245,0.0,0.0669331277732831
1.0,1.0,1.0113879862472719,1.0,1.0,3.0,0.06694901880764308,0.046160909889301646,Feynman33,Ef,0.046160909889301646,0.0,0.06694901880764308
1.0,1.0,1.011505783160261,1.0,1.0,3.0,0.0669646148936484,0.024693347808957294,Feynman33,Ef,0.024693347808957294,0.0,0.0669646148936484
1.0,1.0,1.0121444361961873,1.0,1.0,3.0,0.06704920295366096,0.06892626090233483,Feynman33,Ef,0.06892626090233483,0.0,0.06704920295366096
1.0,1.0,1.0132462327085405,1.0,1.0,3.0,0.06719525876227266,0.10687555935629975,Feynman33,Ef,0.10687555935629975,0.0,0.06719525876227266
1.0,1.0,1.0135154354186278,1.0,1.0,3.0,0.0672309688358416,0.040601956071097504,Feynman33,Ef,0.040601956071097504,0.0,0.0672309688358416
1.0,1.0,1.0143824042854477,1.0,1.0,3.0,0.06734603780167922,0.05497102553012224,Feynman33,Ef,0.05497102553012224,0.0,0.06734603780167922
1.0,1.0,1.0144595263084595,1.0,1.0,3.0,0.06735627863412284,0.10503936938320424,Feynman33,Ef,0.10503936938320424,0.0,0.06735627863412284
1.0,1.0,1.0152000547390496,1.0,1.0,3.0,0.06745465110393814,0.08047093363867172,Feynman33,Ef,0.08047093363867172,0.0,0.06745465110393814
