epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.001953280482043,1.0,1.0,1.0,3.0,0.06557768885838708,0.07254921453676884,Feynman33,c,0.07254921453676884,0.06557768885838708
1.0,1.0026131587514007,1.0,1.0,1.0,3.0,0.06562087779012202,0.06738175194910953,Feynman33,c,0.06738175194910953,0.06562087779012202
1.0,1.003961280211121,1.0,1.0,1.0,3.0,0.06570911213333044,0.058718324529654364,Feynman33,c,0.058718324529654364,0.06570911213333044
1.0,1.0052971243795905,1.0,1.0,1.0,3.0,0.06579654292970553,0.07031403405613691,Feynman33,c,0.07031403405613691,0.06579654292970553
1.0,1.0055796195683686,1.0,1.0,1.0,3.0,0.06581503219657511,0.06736623732420592,Feynman33,c,0.06736623732420592,0.06581503219657511
1.0,1.006220015574061,1.0,1.0,1.0,3.0,0.06585694601713495,0.05914910642939637,Feynman33,c,0.05914910642939637,0.06585694601713495
1.0,1.006403515750771,1.0,1.0,1.0,3.0,0.06586895607561587,0.059656205248798104,Feynman33,c,0.059656205248798104,0.06586895607561587
1.0,1.0066384527424757,1.0,1.0,1.0,3.0,0.06588433266576578,0.0682322319051559,Feynman33,c,0.0682322319051559,0.06588433266576578
1.0,1.0068763705667299,1.0,1.0,1.0,3.0,0.06589990435094985,0.06485565563844337,Feynman33,c,0.06485565563844337,0.06589990435094985
1.0,1.006911848786857,1.0,1.0,1.0,3.0,0.06590222639502721,0.05208461246760484,Feynman33,c,0.05208461246760484,0.06590222639502721
1.0,1.008020675018164,1.0,1.0,1.0,3.0,0.06597479890216017,0.0546344009676482,Feynman33,c,0.0546344009676482,0.06597479890216017
1.0,1.0084900067164946,1.0,1.0,1.0,3.0,0.06600551658998459,0.06030526989545745,Feynman33,c,0.06030526989545745,0.06600551658998459
1.0,1.0086851143180373,1.0,1.0,1.0,3.0,0.0660182863526443,0.05514438454010101,Feynman33,c,0.05514438454010101,0.0660182863526443
1.0,1.0093586302531365,1.0,1.0,1.0,3.0,0.06606236786751479,0.06243772857331004,Feynman33,c,0.06243772857331004,0.06606236786751479
1.0,1.0097092502526297,1.0,1.0,1.0,3.0,0.06608531589281914,0.06802179160163706,Feynman33,c,0.06802179160163706,0.06608531589281914
1.0,1.0110809895844084,1.0,1.0,1.0,3.0,0.06617509602213907,0.06846680348790779,Feynman33,c,0.06846680348790779,0.06617509602213907
1.0,1.0113596630545767,1.0,1.0,1.0,3.0,0.06619333515811054,0.06510285145704081,Feynman33,c,0.06510285145704081,0.06619333515811054
1.0,1.0116475595061762,1.0,1.0,1.0,3.0,0.06621217793680513,0.06491628656933643,Feynman33,c,0.06491628656933643,0.06621217793680513
1.0,1.011897516310725,1.0,1.0,1.0,3.0,0.06622853757140691,0.06189919974328724,Feynman33,c,0.06189919974328724,0.06622853757140691
1.0,1.0123775395980463,1.0,1.0,1.0,3.0,0.06625995502209442,0.06277381035237432,Feynman33,c,0.06277381035237432,0.06625995502209442
1.0,1.0124822273670997,1.0,1.0,1.0,3.0,0.06626680682055647,0.06958791014051603,Feynman33,c,0.06958791014051603,0.06626680682055647
1.0,1.0126339547516547,1.0,1.0,1.0,3.0,0.0662767373546537,0.07010649231354452,Feynman33,c,0.07010649231354452,0.0662767373546537
1.0,1.013363893943778,1.0,1.0,1.0,3.0,0.06632451176306081,0.06819821729702609,Feynman33,c,0.06819821729702609,0.06632451176306081
1.0,1.0136742209237644,1.0,1.0,1.0,3.0,0.06634482261640531,0.06925915764515994,Feynman33,c,0.06925915764515994,0.06634482261640531
1.0,1.0137045519803065,1.0,1.0,1.0,3.0,0.06634680777941382,0.07565910648774636,Feynman33,c,0.07565910648774636,0.06634680777941382
1.0,1.0139368241870086,1.0,1.0,1.0,3.0,0.06636200995979316,0.0658129397781373,Feynman33,c,0.0658129397781373,0.06636200995979316
1.0,1.0175125810568804,1.0,1.0,1.0,3.0,0.06659604269965591,0.06557336114084007,Feynman33,c,0.06557336114084007,0.06659604269965591
1.0,1.0180111347468876,1.0,1.0,1.0,3.0,0.06662867296236315,0.06718175900316498,Feynman33,c,0.06718175900316498,0.06662867296236315
