epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0,3.0013537962847607,0.06531711056189701,0.06945336529410062,Feynman33,omega_0,0.06945336529410062,0.0,0.06531711056189701
1.0,1.0,1.0,1.0,1.0,3.0014641677037273,0.06530630408712317,0.06195586581975446,Feynman33,omega_0,0.06195586581975446,0.0,0.06530630408712317
1.0,1.0,1.0,1.0,1.0,3.001485364165522,0.06530422900129053,0.07548981412415791,Feynman33,omega_0,0.07548981412415791,0.0,0.06530422900129053
1.0,1.0,1.0,1.0,1.0,3.0038854521012124,0.0650698096382518,0.0769166753109519,Feynman33,omega_0,0.0769166753109519,0.0,0.0650698096382518
1.0,1.0,1.0,1.0,1.0,3.00416652548319,0.06504242725144853,0.066588451237906,Feynman33,omega_0,0.066588451237906,0.0,0.06504242725144853
1.0,1.0,1.0,1.0,1.0,3.004572170939449,0.06500293490765727,0.06659818255456933,Feynman33,omega_0,0.06659818255456933,0.0,0.06500293490765727
1.0,1.0,1.0,1.0,1.0,3.005996399221701,0.06486451898879325,0.06487346171482508,Feynman33,omega_0,0.06487346171482508,0.0,0.06486451898879325
1.0,1.0,1.0,1.0,1.0,3.007271053686707,0.06474095882392153,0.0664928546392596,Feynman33,omega_0,0.0664928546392596,0.0,0.06474095882392153
1.0,1.0,1.0,1.0,1.0,3.007302590241629,0.06473790560379951,0.06472214094449863,Feynman33,omega_0,0.06472214094449863,0.0,0.06473790560379951
1.0,1.0,1.0,1.0,1.0,3.0088678192374125,0.06458659841164872,0.05890930431159085,Feynman33,omega_0,0.05890930431159085,0.0,0.06458659841164872
1.0,1.0,1.0,1.0,1.0,3.0089198101334405,0.06458158032494682,0.0698638677560149,Feynman33,omega_0,0.0698638677560149,0.0,0.06458158032494682
1.0,1.0,1.0,1.0,1.0,3.0091116747842555,0.06456306613450695,0.06990609777756744,Feynman33,omega_0,0.06990609777756744,0.0,0.06456306613450695
1.0,1.0,1.0,1.0,1.0,3.0134151217964273,0.06414957623399757,0.06669644360882994,Feynman33,omega_0,0.06669644360882994,0.0,0.06414957623399757
1.0,1.0,1.0,1.0,1.0,3.0139440355800584,0.06409899011170152,0.07057958381083658,Feynman33,omega_0,0.07057958381083658,0.0,0.06409899011170152
1.0,1.0,1.0,1.0,1.0,3.0163061946038305,0.06387369061428418,0.06814450074612613,Feynman33,omega_0,0.06814450074612613,0.0,0.06387369061428418
1.0,1.0,1.0,1.0,1.0,3.0176287358968286,0.06374799011952723,0.055924463244357625,Feynman33,omega_0,0.055924463244357625,0.0,0.06374799011952723
1.0,1.0,1.0,1.0,1.0,3.0182232588737126,0.06369158684062134,0.06250525180800534,Feynman33,omega_0,0.06250525180800534,0.0,0.06369158684062134
1.0,1.0,1.0,1.0,1.0,3.0183401656225466,0.06368050322491654,0.06199692857515422,Feynman33,omega_0,0.06199692857515422,0.0,0.06368050322491654
1.0,1.0,1.0,1.0,1.0,3.019395571793479,0.06358055443225598,0.06209461653073872,Feynman33,omega_0,0.06209461653073872,0.0,0.06358055443225598
1.0,1.0,1.0,1.0,1.0,3.019415045843191,0.06357871208961914,0.06958965237793521,Feynman33,omega_0,0.06958965237793521,0.0,0.06357871208961914
1.0,1.0,1.0,1.0,1.0,3.020455334334858,0.06348039463098547,0.05991868236056733,Feynman33,omega_0,0.05991868236056733,0.0,0.06348039463098547
1.0,1.0,1.0,1.0,1.0,3.021145871149924,0.06341523936259201,0.06327298961520443,Feynman33,omega_0,0.06327298961520443,0.0,0.06341523936259201
1.0,1.0,1.0,1.0,1.0,3.0211722315066094,0.06341275383695992,0.06487993912819898,Feynman33,omega_0,0.06487993912819898,0.0,0.06341275383695992
1.0,1.0,1.0,1.0,1.0,3.021211254091307,0.06340907461465517,0.061991222601581936,Feynman33,omega_0,0.061991222601581936,0.0,0.06340907461465517
1.0,1.0,1.0,1.0,1.0,3.023317371373695,0.06321090440037501,0.06758941752541212,Feynman33,omega_0,0.06758941752541212,0.0,0.06321090440037501
1.0,1.0,1.0,1.0,1.0,3.024172764449703,0.06313064410006244,0.05529509081582712,Feynman33,omega_0,0.05529509081582712,0.0,0.06313064410006244
1.0,1.0,1.0,1.0,1.0,3.0244294252328654,0.06310658737984927,0.07043150612110269,Feynman33,omega_0,0.07043150612110269,0.0,0.06310658737984927
1.0,1.0,1.0,1.0,1.0,3.024744794910921,0.06307704392764028,0.06590377874470191,Feynman33,omega_0,0.06590377874470191,0.0,0.06307704392764028
1.0,1.0,1.0,1.0,1.0,3.0268182341759076,0.06288324587388706,0.05708457550473401,Feynman33,omega_0,0.05708457550473401,0.0,0.06288324587388706
1.0,1.0,1.0,1.0,1.0,3.0268367584365867,0.0628815178978456,0.059017565032478965,Feynman33,omega_0,0.059017565032478965,0.0,0.0628815178978456
1.0,1.0,1.0,1.0,1.0,3.0278618638494192,0.06278598870783549,0.048507962433815915,Feynman33,omega_0,0.048507962433815915,0.0,0.06278598870783549
1.0,1.0,1.0,1.0,1.0,3.0284477904963962,0.06273146967124044,0.06512914419300646,Feynman33,omega_0,0.06512914419300646,0.0,0.06273146967124044
1.0,1.0,1.0,1.0,1.0,3.030067649964521,0.06258106005257405,0.0661026610978766,Feynman33,omega_0,0.0661026610978766,0.0,0.06258106005257405
1.0,1.0,1.0,1.0,1.0,3.0325039748119185,0.06235570501199004,0.06438180693810204,Feynman33,omega_0,0.06438180693810204,0.0,0.06235570501199004
