omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.000272340530039,0.0934211927436821,0.08784000156616702,Feynman44,c,0.08784000156616702,0.0934211927436821
1.0,1.0,1.0,1.0,1.0007508451816616,0.09333187623027348,0.09149472508025908,Feynman44,c,0.09149472508025908,0.09333187623027348
1.0,1.0,1.0,1.0,1.0013365873163185,0.09322271728475627,0.08889391356166751,Feynman44,c,0.08889391356166751,0.09322271728475627
1.0,1.0,1.0,1.0,1.0047545638287283,0.09258954555068576,0.09030712543382365,Feynman44,c,0.09030712543382365,0.09258954555068576
1.0,1.0,1.0,1.0,1.0054285840697004,0.09246544661321475,0.09267888655266794,Feynman44,c,0.09267888655266794,0.09246544661321475
1.0,1.0,1.0,1.0,1.0148740780537748,0.090752293168864,0.08718084648376888,Feynman44,c,0.08718084648376888,0.090752293168864
1.0,1.0,1.0,1.0,1.0189846043693516,0.09002159070847475,0.0901742924795503,Feynman44,c,0.0901742924795503,0.09002159070847475
1.0,1.0,1.0,1.0,1.019110701821225,0.08999931483421406,0.08925096926494813,Feynman44,c,0.08925096926494813,0.08999931483421406
1.0,1.0,1.0,1.0,1.0233027568184365,0.08926344406788847,0.09385064858176716,Feynman44,c,0.09385064858176716,0.08926344406788847
1.0,1.0,1.0,1.0,1.0260109266473094,0.08879284181402179,0.0782794807905111,Feynman44,c,0.0782794807905111,0.08879284181402179
1.0,1.0,1.0,1.0,1.0299922195386007,0.08810773549857337,0.09688697815699357,Feynman44,c,0.09688697815699357,0.08810773549857337
1.0,1.0,1.0,1.0,1.0301116927185987,0.08808729907215429,0.08710615821696632,Feynman44,c,0.08710615821696632,0.08808729907215429
1.0,1.0,1.0,1.0,1.0304790050561548,0.0880245131540829,0.07726400705976867,Feynman44,c,0.07726400705976867,0.0880245131540829
1.0,1.0,1.0,1.0,1.0320388682128012,0.08775862698593528,0.08698343786103818,Feynman44,c,0.08698343786103818,0.08775862698593528
1.0,1.0,1.0,1.0,1.0321141159169276,0.08774583112475566,0.08100582312557883,Feynman44,c,0.08100582312557883,0.08774583112475566
1.0,1.0,1.0,1.0,1.0346070361952586,0.08732348753075107,0.09337505242670378,Feynman44,c,0.09337505242670378,0.08732348753075107
1.0,1.0,1.0,1.0,1.0374227019025786,0.08685012197542434,0.07734406419151671,Feynman44,c,0.07734406419151671,0.08685012197542434
1.0,1.0,1.0,1.0,1.0378113839995855,0.08678507977857247,0.07881728341759536,Feynman44,c,0.07881728341759536,0.08678507977857247
1.0,1.0,1.0,1.0,1.0401294966761068,0.08639867901929607,0.10295081644497822,Feynman44,c,0.10295081644497822,0.08639867901929607
1.0,1.0,1.0,1.0,1.0426729517712197,0.0859776781026577,0.0942338561615917,Feynman44,c,0.0942338561615917,0.0859776781026577
1.0,1.0,1.0,1.0,1.0426771873526368,0.08597697958403579,0.08349964754597473,Feynman44,c,0.08349964754597473,0.08597697958403579
1.0,1.0,1.0,1.0,1.0434885782084633,0.08584332443089794,0.0931148616124465,Feynman44,c,0.0931148616124465,0.08584332443089794
1.0,1.0,1.0,1.0,1.0483062678562316,0.08505611901854264,0.09068018843865742,Feynman44,c,0.09068018843865742,0.08505611901854264
1.0,1.0,1.0,1.0,1.0517746618365291,0.08449607184532854,0.08024926824578549,Feynman44,c,0.08024926824578549,0.08449607184532854
1.0,1.0,1.0,1.0,1.0524813495844043,0.08438264030216709,0.09520473198572403,Feynman44,c,0.09520473198572403,0.08438264030216709
1.0,1.0,1.0,1.0,1.052886256279546,0.08431775100188979,0.09510250158514232,Feynman44,c,0.09510250158514232,0.08431775100188979
1.0,1.0,1.0,1.0,1.0545707677774052,0.0840485973582073,0.0825270755921281,Feynman44,c,0.0825270755921281,0.0840485973582073
1.0,1.0,1.0,1.0,1.0547531210121996,0.08401953802968247,0.09383785075262176,Feynman44,c,0.09383785075262176,0.08401953802968247
1.0,1.0,1.0,1.0,1.0549390005261143,0.08398993227051868,0.08822118347190236,Feynman44,c,0.08822118347190236,0.08398993227051868
1.0,1.0,1.0,1.0,1.0582817498746118,0.08346017942657075,0.08533718401184878,Feynman44,c,0.08533718401184878,0.08346017942657075
1.0,1.0,1.0,1.0,1.0602709670895472,0.08314730716653546,0.08873944121727344,Feynman44,c,0.08873944121727344,0.08314730716653546
1.0,1.0,1.0,1.0,1.0604006478757961,0.08312697155307741,0.08870021613446295,Feynman44,c,0.08870021613446295,0.08312697155307741
1.0,1.0,1.0,1.0,1.0677271006379563,0.08199009613755683,0.06956233116024342,Feynman44,c,0.06956233116024342,0.08199009613755683
1.0,1.0,1.0,1.0,1.0709644532392861,0.08149515968488122,0.08444866773535327,Feynman44,c,0.08444866773535327,0.08149515968488122
1.0,1.0,1.0,1.0,1.0712277630408886,0.08145510128124056,0.0879685677341545,Feynman44,c,0.0879685677341545,0.08145510128124056
1.0,1.0,1.0,1.0,1.0720643275854154,0.08132802707285128,0.0786001476664952,Feynman44,c,0.0786001476664952,0.08132802707285128
1.0,1.0,1.0,1.0,1.075451683147885,0.08081651530920135,0.07306830380740625,Feynman44,c,0.07306830380740625,0.08081651530920135
1.0,1.0,1.0,1.0,1.076183359017155,0.08070666155161284,0.07749116805670868,Feynman44,c,0.07749116805670868,0.08070666155161284
1.0,1.0,1.0,1.0,1.0772978903847727,0.0805397558569103,0.08592190411957185,Feynman44,c,0.08592190411957185,0.0805397558569103
1.0,1.0,1.0,1.0,1.077728756703797,0.08047537058152984,0.08209738000892738,Feynman44,c,0.08209738000892738,0.08047537058152984
1.0,1.0,1.0,1.0,1.0785829054114777,0.08034796133732558,0.07985841173301618,Feynman44,c,0.07985841173301618,0.08034796133732558
1.0,1.0,1.0,1.0,1.0897587020298611,0.07870842757755614,0.08093352103022489,Feynman44,c,0.08093352103022489,0.07870842757755614
1.0,1.0,1.0,1.0,1.089951140578084,0.07868063697693502,0.07550382096752048,Feynman44,c,0.07550382096752048,0.07868063697693502
1.0,1.0,1.0,1.0,1.0941832833586012,0.07807316340157147,0.07608229350448713,Feynman44,c,0.07608229350448713,0.07807316340157147
1.0,1.0,1.0,1.0,1.0949238797477254,0.0779675831885952,0.08716800086687412,Feynman44,c,0.08716800086687412,0.0779675831885952
1.0,1.0,1.0,1.0,1.1008469268032162,0.07713083960022193,0.08105956224617175,Feynman44,c,0.08105956224617175,0.07713083960022193
1.0,1.0,1.0,1.0,1.1044263114449122,0.0766316961838242,0.07876042213069981,Feynman44,c,0.07876042213069981,0.0766316961838242
1.0,1.0,1.0,1.0,1.1106618259662802,0.07577365515626468,0.08107452340921278,Feynman44,c,0.08107452340921278,0.07577365515626468
1.0,1.0,1.0,1.0,1.1108804252474647,0.0757438365791555,0.07633101537808895,Feynman44,c,0.07633101537808895,0.0757438365791555
1.0,1.0,1.0,1.0,1.1132447158602927,0.07542245121756687,0.07297136420420428,Feynman44,c,0.07297136420420428,0.07542245121756687
1.0,1.0,1.0,1.0,1.114580443524952,0.07524178505059545,0.06711342517765802,Feynman44,c,0.06711342517765802,0.07524178505059545
1.0,1.0,1.0,1.0,1.1172737208785901,0.07487946963303137,0.07811096831621263,Feynman44,c,0.07811096831621263,0.07487946963303137
1.0,1.0,1.0,1.0,1.117607009239709,0.0748348157711619,0.06617749197249939,Feynman44,c,0.06617749197249939,0.0748348157711619
1.0,1.0,1.0,1.0,1.117884928569989,0.07479761076726488,0.07876553998373043,Feynman44,c,0.07876553998373043,0.07479761076726488
1.0,1.0,1.0,1.0,1.1223778599578358,0.07419997264189972,0.07577198262372607,Feynman44,c,0.07577198262372607,0.07419997264189972
1.0,1.0,1.0,1.0,1.1247466449954402,0.07388776241901951,0.0841256526880765,Feynman44,c,0.0841256526880765,0.07388776241901951
1.0,1.0,1.0,1.0,1.1248802849059265,0.07387020718663888,0.06516371651220262,Feynman44,c,0.06516371651220262,0.07387020718663888
1.0,1.0,1.0,1.0,1.1257109859323893,0.07376122465671293,0.07520109092457225,Feynman44,c,0.07520109092457225,0.07376122465671293
1.0,1.0,1.0,1.0,1.126815059184754,0.07361675037506711,0.07535760993929592,Feynman44,c,0.07535760993929592,0.07361675037506711
1.0,1.0,1.0,1.0,1.1290552634578779,0.07332490823893005,0.06415454729817534,Feynman44,c,0.06415454729817534,0.07332490823893005
1.0,1.0,1.0,1.0,1.1295350686835839,0.07326262738928431,0.07281961052898074,Feynman44,c,0.07281961052898074,0.07326262738928431
1.0,1.0,1.0,1.0,1.1298030913747805,0.07322787139050621,0.07322837221476793,Feynman44,c,0.07322837221476793,0.07322787139050621
1.0,1.0,1.0,1.0,1.1298682699875666,0.07321942305447517,0.08496245714629821,Feynman44,c,0.08496245714629821,0.07321942305447517
1.0,1.0,1.0,1.0,1.1303131469408019,0.07316179791997293,0.07542261826620904,Feynman44,c,0.07542261826620904,0.07316179791997293
1.0,1.0,1.0,1.0,1.1309931670001672,0.07307384595908557,0.0707134112177284,Feynman44,c,0.0707134112177284,0.07307384595908557
1.0,1.0,1.0,1.0,1.1339651687246337,0.07269131040128857,0.07384235508853779,Feynman44,c,0.07384235508853779,0.07269131040128857
1.0,1.0,1.0,1.0,1.1363008558980305,0.07239278089967241,0.07566716422124829,Feynman44,c,0.07566716422124829,0.07239278089967241
1.0,1.0,1.0,1.0,1.1366957818361247,0.07234248631629632,0.07418603432758772,Feynman44,c,0.07418603432758772,0.07234248631629632
1.0,1.0,1.0,1.0,1.1378384163204909,0.0721972644400721,0.07656004373321323,Feynman44,c,0.07656004373321323,0.0721972644400721
1.0,1.0,1.0,1.0,1.141091031557163,0.07178626263356512,0.06056591354339359,Feynman44,c,0.06056591354339359,0.07178626263356512
1.0,1.0,1.0,1.0,1.1444244236560648,0.07136868457363126,0.07343218682496365,Feynman44,c,0.07343218682496365,0.07136868457363126
1.0,1.0,1.0,1.0,1.1491271883543748,0.07078573195321816,0.07304266565258932,Feynman44,c,0.07304266565258932,0.07078573195321816
1.0,1.0,1.0,1.0,1.1499022937671661,0.07069033617463025,0.06920166437592357,Feynman44,c,0.06920166437592357,0.07069033617463025
1.0,1.0,1.0,1.0,1.1499821300496613,0.07068052131299243,0.06998698904163157,Feynman44,c,0.06998698904163157,0.07068052131299243
1.0,1.0,1.0,1.0,1.1531326788381913,0.0702948272253989,0.07207696303194848,Feynman44,c,0.07207696303194848,0.0702948272253989
1.0,1.0,1.0,1.0,1.1549997196015207,0.07006774971329731,0.07068521338549533,Feynman44,c,0.07068521338549533,0.07006774971329731
1.0,1.0,1.0,1.0,1.1550158875588594,0.07006578810485273,0.05948710403973847,Feynman44,c,0.05948710403973847,0.07006578810485273
1.0,1.0,1.0,1.0,1.1597231314859662,0.06949815710088543,0.07297287533860804,Feynman44,c,0.07297287533860804,0.06949815710088543
1.0,1.0,1.0,1.0,1.1602106087308117,0.06943976830045147,0.060638467605413304,Feynman44,c,0.060638467605413304,0.06943976830045147
1.0,1.0,1.0,1.0,1.1612141350611371,0.0693197998590165,0.0713059379134734,Feynman44,c,0.0713059379134734,0.0693197998590165
1.0,1.0,1.0,1.0,1.1616309130112543,0.06927006671070826,0.06952464961386558,Feynman44,c,0.06952464961386558,0.06927006671070826
1.0,1.0,1.0,1.0,1.1673802669301874,0.06858943602150279,0.06239795887534219,Feynman44,c,0.06239795887534219,0.06858943602150279
1.0,1.0,1.0,1.0,1.1726261648201288,0.06797712094172359,0.06818809254382915,Feynman44,c,0.06818809254382915,0.06797712094172359
1.0,1.0,1.0,1.0,1.1727086803304938,0.06796755510566843,0.05258486179748674,Feynman44,c,0.05258486179748674,0.06796755510566843
1.0,1.0,1.0,1.0,1.1736468148528183,0.06785894112534685,0.06953326603445778,Feynman44,c,0.06953326603445778,0.06785894112534685
1.0,1.0,1.0,1.0,1.1760952238284994,0.06757669612621027,0.06433483885473291,Feynman44,c,0.06433483885473291,0.06757669612621027
1.0,1.0,1.0,1.0,1.1777432602877616,0.06738770597431154,0.0702429274952572,Feynman44,c,0.0702429274952572,0.06738770597431154
1.0,1.0,1.0,1.0,1.1799754013990746,0.06713299456896028,0.0664669810239069,Feynman44,c,0.0664669810239069,0.06713299456896028
1.0,1.0,1.0,1.0,1.187667062393376,0.06626626652182085,0.07198217624954452,Feynman44,c,0.07198217624954452,0.06626626652182085
1.0,1.0,1.0,1.0,1.1877345967797428,0.06625873095886348,0.0759843405058577,Feynman44,c,0.0759843405058577,0.06625873095886348
1.0,1.0,1.0,1.0,1.189469853752898,0.06606554899917526,0.06953299338700628,Feynman44,c,0.06953299338700628,0.06606554899917526
1.0,1.0,1.0,1.0,1.1928100640171104,0.06569606209102893,0.06192812672831286,Feynman44,c,0.06192812672831286,0.06569606209102893
1.0,1.0,1.0,1.0,1.1948552001167108,0.06547136138439177,0.06534935198432154,Feynman44,c,0.06534935198432154,0.06547136138439177
1.0,1.0,1.0,1.0,1.198258259997266,0.0651000114177357,0.07467562222552056,Feynman44,c,0.07467562222552056,0.0651000114177357
1.0,1.0,1.0,1.0,1.2046309937016297,0.0644130497166634,0.06598511072197787,Feynman44,c,0.06598511072197787,0.0644130497166634
1.0,1.0,1.0,1.0,1.2060888321663366,0.06425742756560035,0.059368091662778,Feynman44,c,0.059368091662778,0.06425742756560035
1.0,1.0,1.0,1.0,1.2065262528380116,0.06421084352827681,0.05999481050339504,Feynman44,c,0.05999481050339504,0.06421084352827681
1.0,1.0,1.0,1.0,1.207365829878075,0.06412157281232993,0.057618003600596185,Feynman44,c,0.057618003600596185,0.06412157281232993
1.0,1.0,1.0,1.0,1.2132832559034559,0.06349763050967316,0.06373411388744737,Feynman44,c,0.06373411388744737,0.06349763050967316
1.0,1.0,1.0,1.0,1.213612243796475,0.06346320910310024,0.07273373538703447,Feynman44,c,0.07273373538703447,0.06346320910310024
1.0,1.0,1.0,1.0,1.2144473236753215,0.06337596179800195,0.0701123997109802,Feynman44,c,0.0701123997109802,0.06337596179800195
1.0,1.0,1.0,1.0,1.2172498894603785,0.06308446728213385,0.0628579780891845,Feynman44,c,0.0628579780891845,0.06308446728213385
1.0,1.0,1.0,1.0,1.218548498060207,0.06295008054306739,0.05695440939307394,Feynman44,c,0.05695440939307394,0.06295008054306739
1.0,1.0,1.0,1.0,1.2215915099153332,0.0626368510348713,0.06436781868683748,Feynman44,c,0.06436781868683748,0.0626368510348713
1.0,1.0,1.0,1.0,1.2223105954228686,0.06256317417549066,0.07440005710299885,Feynman44,c,0.07440005710299885,0.06256317417549066
1.0,1.0,1.0,1.0,1.2227730776041152,0.06251585733158206,0.055238338038866866,Feynman44,c,0.055238338038866866,0.06251585733158206
1.0,1.0,1.0,1.0,1.2236475019218087,0.06242654099867713,0.06772616205198109,Feynman44,c,0.06772616205198109,0.06242654099867713
1.0,1.0,1.0,1.0,1.2262577356277875,0.06216105939575405,0.05137734674754972,Feynman44,c,0.05137734674754972,0.06216105939575405
1.0,1.0,1.0,1.0,1.2276970865209602,0.06201538970385987,0.06714964612887275,Feynman44,c,0.06714964612887275,0.06201538970385987
1.0,1.0,1.0,1.0,1.2292187293946357,0.061861947738769664,0.061724591985470964,Feynman44,c,0.061724591985470964,0.061861947738769664
1.0,1.0,1.0,1.0,1.2301304995426219,0.06177027783212536,0.06245760306377352,Feynman44,c,0.06245760306377352,0.06177027783212536
