omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0035098701415186,0.09281937307540129,0.08120806159680241,Feynman44,c,0.08120806159680241,0.0,0.09281937307540129
1.0,1.0,1.0,1.0,1.004892763712958,0.09256408017756411,0.07316529508343102,Feynman44,c,0.07316529508343102,0.0,0.09256408017756411
1.0,1.0,1.0,1.0,1.0101576461054922,0.09160171750743436,0.09004773940739542,Feynman44,c,0.09004773940739542,0.0,0.09160171750743436
1.0,1.0,1.0,1.0,1.0115785104972193,0.09134457046385226,0.09338266889765028,Feynman44,c,0.09338266889765028,0.0,0.09134457046385226
1.0,1.0,1.0,1.0,1.0159755674964153,0.09055561815466152,0.09366967856327514,Feynman44,c,0.09366967856327514,0.0,0.09055561815466152
1.0,1.0,1.0,1.0,1.0160552422874187,0.09054141672787809,0.09737221793924215,Feynman44,c,0.09737221793924215,0.0,0.09054141672787809
1.0,1.0,1.0,1.0,1.0175499546693483,0.09027561360296965,0.08239835575247716,Feynman44,c,0.08239835575247716,0.0,0.09027561360296965
1.0,1.0,1.0,1.0,1.0178881642879714,0.09021563253720505,0.09001647839733427,Feynman44,c,0.09001647839733427,0.0,0.09021563253720505
1.0,1.0,1.0,1.0,1.0185048470985825,0.09010641835473683,0.09017793830964237,Feynman44,c,0.09017793830964237,0.0,0.09010641835473683
1.0,1.0,1.0,1.0,1.0186064289053371,0.09008844729916304,0.0954971140951304,Feynman44,c,0.0954971140951304,0.0,0.09008844729916304
1.0,1.0,1.0,1.0,1.0194442760651996,0.08994042678624285,0.08171988707279608,Feynman44,c,0.08171988707279608,0.0,0.08994042678624285
1.0,1.0,1.0,1.0,1.020655206558902,0.08972713830839828,0.09363285684022193,Feynman44,c,0.09363285684022193,0.0,0.08972713830839828
1.0,1.0,1.0,1.0,1.02909199115716,0.0882619525700775,0.08274299946901859,Feynman44,c,0.08274299946901859,0.0,0.0882619525700775
1.0,1.0,1.0,1.0,1.032177585075397,0.08773504037921717,0.08797227107656704,Feynman44,c,0.08797227107656704,0.0,0.08773504037921717
1.0,1.0,1.0,1.0,1.0338599482407798,0.0874497365397204,0.09032628375732278,Feynman44,c,0.09032628375732278,0.0,0.0874497365397204
1.0,1.0,1.0,1.0,1.0357191444942977,0.08713606020001993,0.08398722531756724,Feynman44,c,0.08398722531756724,0.0,0.08713606020001993
1.0,1.0,1.0,1.0,1.0360414561634887,0.08708185271587528,0.08591882852254049,Feynman44,c,0.08591882852254049,0.0,0.08708185271587528
1.0,1.0,1.0,1.0,1.0372248066516265,0.08688326593066861,0.09367728283892256,Feynman44,c,0.09367728283892256,0.0,0.08688326593066861
1.0,1.0,1.0,1.0,1.037896726475993,0.08677080832182399,0.08579361877602722,Feynman44,c,0.08579361877602722,0.0,0.08677080832182399
1.0,1.0,1.0,1.0,1.0399090294513762,0.08643531702435235,0.10424772886555501,Feynman44,c,0.10424772886555501,0.0,0.08643531702435235
1.0,1.0,1.0,1.0,1.0413857919922758,0.08619034741805,0.09367987750989293,Feynman44,c,0.09367987750989293,0.0,0.08619034741805
1.0,1.0,1.0,1.0,1.0420073162856558,0.08608755846884344,0.07967463393201063,Feynman44,c,0.07967463393201063,0.0,0.08608755846884344
1.0,1.0,1.0,1.0,1.0420164875156686,0.08608604308912551,0.08769289627995398,Feynman44,c,0.08769289627995398,0.0,0.08608604308912551
1.0,1.0,1.0,1.0,1.0423891040621789,0.08602450877194447,0.07709288465953662,Feynman44,c,0.07709288465953662,0.0,0.08602450877194447
1.0,1.0,1.0,1.0,1.0424229241315262,0.0860189269536829,0.0929415119492275,Feynman44,c,0.0929415119492275,0.0,0.0860189269536829
1.0,1.0,1.0,1.0,1.0458052600692094,0.08546342310785093,0.09480274091440069,Feynman44,c,0.09480274091440069,0.0,0.08546342310785093
1.0,1.0,1.0,1.0,1.048722946412866,0.08498854345856015,0.07915964019827074,Feynman44,c,0.07915964019827074,0.0,0.08498854345856015
1.0,1.0,1.0,1.0,1.0498909025351555,0.08479955681874692,0.07648574160917068,Feynman44,c,0.07648574160917068,0.0,0.08479955681874692
1.0,1.0,1.0,1.0,1.0538844004060195,0.0841581103185066,0.08692116863621632,Feynman44,c,0.08692116863621632,0.0,0.0841581103185066
1.0,1.0,1.0,1.0,1.0544041077132933,0.08407516905219888,0.08311008031568097,Feynman44,c,0.08311008031568097,0.0,0.08407516905219888
1.0,1.0,1.0,1.0,1.0545583846127196,0.08405057125315443,0.07515303266820768,Feynman44,c,0.07515303266820768,0.0,0.08405057125315443
1.0,1.0,1.0,1.0,1.0564458802261059,0.08375050218923694,0.08429204856216617,Feynman44,c,0.08429204856216617,0.0,0.08375050218923694
1.0,1.0,1.0,1.0,1.059942997090654,0.08319877038910456,0.08663683262763239,Feynman44,c,0.08663683262763239,0.0,0.08319877038910456
1.0,1.0,1.0,1.0,1.064308100490046,0.08251771480278446,0.07888868985478739,Feynman44,c,0.07888868985478739,0.0,0.08251771480278446
1.0,1.0,1.0,1.0,1.0648008874253465,0.08244135453157805,0.07632357343128217,Feynman44,c,0.07632357343128217,0.0,0.08244135453157805
1.0,1.0,1.0,1.0,1.0693528653826867,0.08174098233257478,0.0806025342683543,Feynman44,c,0.0806025342683543,0.0,0.08174098233257478
1.0,1.0,1.0,1.0,1.069743705945081,0.08168126362586284,0.07320747517022527,Feynman44,c,0.07320747517022527,0.0,0.08168126362586284
1.0,1.0,1.0,1.0,1.070312514596885,0.08159446904362748,0.08370021085912503,Feynman44,c,0.08370021085912503,0.0,0.08159446904362748
1.0,1.0,1.0,1.0,1.0734032404515825,0.08112526407591818,0.08159432797957657,Feynman44,c,0.08159432797957657,0.0,0.08112526407591818
1.0,1.0,1.0,1.0,1.0734248137928266,0.08112200325057477,0.08024795678988388,Feynman44,c,0.08024795678988388,0.0,0.08112200325057477
1.0,1.0,1.0,1.0,1.0791782285244573,0.08025933870987204,0.0787122970735719,Feynman44,c,0.0787122970735719,0.0,0.08025933870987204
1.0,1.0,1.0,1.0,1.0802943422832025,0.08009358337016619,0.08432286618232908,Feynman44,c,0.08432286618232908,0.0,0.08009358337016619
1.0,1.0,1.0,1.0,1.0804751216853656,0.08006678393993294,0.07976487869283273,Feynman44,c,0.07976487869283273,0.0,0.08006678393993294
1.0,1.0,1.0,1.0,1.0854183918502849,0.07933915581181027,0.0760901997689602,Feynman44,c,0.0760901997689602,0.0,0.07933915581181027
1.0,1.0,1.0,1.0,1.0856802379543464,0.07930089013672273,0.08146618900987851,Feynman44,c,0.08146618900987851,0.0,0.07930089013672273
1.0,1.0,1.0,1.0,1.087289275482703,0.07906635513785211,0.08481087877221963,Feynman44,c,0.08481087877221963,0.0,0.07906635513785211
1.0,1.0,1.0,1.0,1.0899085035663836,0.07868679304021217,0.07982790859361806,Feynman44,c,0.07982790859361806,0.0,0.07868679304021217
1.0,1.0,1.0,1.0,1.0930436351140589,0.07823605228465493,0.07055908706621823,Feynman44,c,0.07055908706621823,0.0,0.07823605228465493
1.0,1.0,1.0,1.0,1.0930467189353479,0.07823561082930067,0.06490714089259221,Feynman44,c,0.06490714089259221,0.0,0.07823561082930067
1.0,1.0,1.0,1.0,1.0966242385506568,0.0777259870573917,0.08972524451881154,Feynman44,c,0.08972524451881154,0.0,0.0777259870573917
1.0,1.0,1.0,1.0,1.1006281884312612,0.0771615005463503,0.08770155150827191,Feynman44,c,0.08770155150827191,0.0,0.0771615005463503
1.0,1.0,1.0,1.0,1.10082770990362,0.07713353253486442,0.0860056805023584,Feynman44,c,0.0860056805023584,0.0,0.07713353253486442
1.0,1.0,1.0,1.0,1.1018695348483947,0.07698774095891477,0.0801514633282501,Feynman44,c,0.0801514633282501,0.0,0.07698774095891477
1.0,1.0,1.0,1.0,1.1034544329272915,0.07676674389420546,0.08741169957408493,Feynman44,c,0.08741169957408493,0.0,0.07676674389420546
1.0,1.0,1.0,1.0,1.1047996768296398,0.07657990980354085,0.07825479796938378,Feynman44,c,0.07825479796938378,0.0,0.07657990980354085
1.0,1.0,1.0,1.0,1.1090193114850853,0.07599827070609308,0.08381271036128997,Feynman44,c,0.08381271036128997,0.0,0.07599827070609308
1.0,1.0,1.0,1.0,1.1112181537210497,0.07569780248066905,0.06278760421796312,Feynman44,c,0.06278760421796312,0.0,0.07569780248066905
1.0,1.0,1.0,1.0,1.111873114004931,0.07560864761029411,0.09231726490862273,Feynman44,c,0.09231726490862273,0.0,0.07560864761029411
1.0,1.0,1.0,1.0,1.1129720483074768,0.07545941130902287,0.06964698598501996,Feynman44,c,0.06964698598501996,0.0,0.07545941130902287
1.0,1.0,1.0,1.0,1.1159677586042318,0.07505482771302799,0.07582712946052506,Feynman44,c,0.07582712946052506,0.0,0.07505482771302799
1.0,1.0,1.0,1.0,1.1200410939039638,0.07450990564304297,0.08427678567820363,Feynman44,c,0.08427678567820363,0.0,0.07450990564304297
1.0,1.0,1.0,1.0,1.120970790922248,0.0743863646697385,0.07575347516336331,Feynman44,c,0.07575347516336331,0.0,0.0743863646697385
1.0,1.0,1.0,1.0,1.121505207449419,0.0743154887953416,0.08655928639309844,Feynman44,c,0.08655928639309844,0.0,0.0743154887953416
1.0,1.0,1.0,1.0,1.1219549980972436,0.07425591472758017,0.06992467103414833,Feynman44,c,0.06992467103414833,0.0,0.07425591472758017
1.0,1.0,1.0,1.0,1.1220372419832092,0.07424502940054552,0.07669394010102681,Feynman44,c,0.07669394010102681,0.0,0.07424502940054552
1.0,1.0,1.0,1.0,1.1261647783356192,0.0737017918984636,0.06731731792107434,Feynman44,c,0.06731731792107434,0.0,0.0737017918984636
1.0,1.0,1.0,1.0,1.128458580876372,0.07340247114345974,0.07925773075620762,Feynman44,c,0.07925773075620762,0.0,0.07340247114345974
1.0,1.0,1.0,1.0,1.1291989042045998,0.07330625470563477,0.07423653202793755,Feynman44,c,0.07423653202793755,0.0,0.07330625470563477
1.0,1.0,1.0,1.0,1.1301940145461655,0.07317722252749753,0.062102062265276564,Feynman44,c,0.062102062265276564,0.0,0.07317722252749753
1.0,1.0,1.0,1.0,1.1309484847097155,0.07307962017666267,0.06481393630952068,Feynman44,c,0.06481393630952068,0.0,0.07307962017666267
1.0,1.0,1.0,1.0,1.1344026678322146,0.07263525226284771,0.06887606358428011,Feynman44,c,0.06887606358428011,0.0,0.07263525226284771
1.0,1.0,1.0,1.0,1.1351134998995929,0.07254430928634845,0.07143062916946569,Feynman44,c,0.07143062916946569,0.0,0.07254430928634845
1.0,1.0,1.0,1.0,1.135209370369184,0.0725320568093977,0.07772331677751779,Feynman44,c,0.07772331677751779,0.0,0.0725320568093977
1.0,1.0,1.0,1.0,1.137472229080879,0.07224375695541142,0.07324144404705146,Feynman44,c,0.07324144404705146,0.0,0.07224375695541142
