epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0007106475731962,1.0,1.0,1.0,1.0,0.3378585464108595,0.252555730976276,Feynman56,p_d,0.252555730976276,0.3378585464108595
1.0,1.0026773279653076,1.0,1.0,1.0,1.0,0.3385225343279911,0.40682761914393545,Feynman56,p_d,0.40682761914393545,0.3385225343279911
1.0,1.0053035443331106,1.0,1.0,1.0,1.0,0.3394091938701256,0.36106806959679516,Feynman56,p_d,0.36106806959679516,0.3394091938701256
1.0,1.0062508151308518,1.0,1.0,1.0,1.0,0.3397290101282601,0.2928444392794971,Feynman56,p_d,0.2928444392794971,0.3397290101282601
1.0,1.0063166508677923,1.0,1.0,1.0,1.0,0.3397512374988178,0.25737802733611725,Feynman56,p_d,0.25737802733611725,0.3397512374988178
1.0,1.007064636270227,1.0,1.0,1.0,1.0,0.34000377129709003,0.29540978203595863,Feynman56,p_d,0.29540978203595863,0.34000377129709003
1.0,1.007502250379873,1.0,1.0,1.0,1.0,0.34015151796825066,0.2339147133557141,Feynman56,p_d,0.2339147133557141,0.34015151796825066
1.0,1.0077391674342167,1.0,1.0,1.0,1.0,0.3402315055768512,0.4378336790158819,Feynman56,p_d,0.4378336790158819,0.3402315055768512
1.0,1.0077987507898605,1.0,1.0,1.0,1.0,0.34025162202707276,0.5315564133384856,Feynman56,p_d,0.5315564133384856,0.34025162202707276
1.0,1.0097020794589264,1.0,1.0,1.0,1.0,0.3408942212229864,0.3810019418102749,Feynman56,p_d,0.3810019418102749,0.3408942212229864
1.0,1.009720807132049,1.0,1.0,1.0,1.0,0.3409005440341148,0.3108081411261331,Feynman56,p_d,0.3108081411261331,0.3409005440341148
1.0,1.0118135775850718,1.0,1.0,1.0,1.0,0.34160710230342534,0.426071142423065,Feynman56,p_d,0.426071142423065,0.34160710230342534
1.0,1.0146414981442173,1.0,1.0,1.0,1.0,0.3425618609359984,0.40166124548520654,Feynman56,p_d,0.40166124548520654,0.3425618609359984
1.0,1.019922879957902,1.0,1.0,1.0,1.0,0.34434495376801677,0.340072992781525,Feynman56,p_d,0.340072992781525,0.34434495376801677
1.0,1.0208584917828187,1.0,1.0,1.0,1.0,0.34466083373985257,0.3566853597911247,Feynman56,p_d,0.3566853597911247,0.34466083373985257
1.0,1.02109011312434,1.0,1.0,1.0,1.0,0.3447390334172057,0.3594994712574124,Feynman56,p_d,0.3594994712574124,0.3447390334172057
1.0,1.0215248339256349,1.0,1.0,1.0,1.0,0.34488580325359774,0.24313594608007114,Feynman56,p_d,0.24313594608007114,0.34488580325359774
1.0,1.0229098412200248,1.0,1.0,1.0,1.0,0.3453534075030237,0.3574350975795262,Feynman56,p_d,0.3574350975795262,0.3453534075030237
1.0,1.0234534117111016,1.0,1.0,1.0,1.0,0.3455369270213104,0.4664451133810128,Feynman56,p_d,0.4664451133810128,0.3455369270213104
1.0,1.0235697337040497,1.0,1.0,1.0,1.0,0.3455761994918775,0.4657252026816599,Feynman56,p_d,0.4657252026816599,0.3455761994918775
1.0,1.024139134703276,1.0,1.0,1.0,1.0,0.34576843987064243,0.34615763973092734,Feynman56,p_d,0.34615763973092734,0.34576843987064243
1.0,1.0256610617019384,1.0,1.0,1.0,1.0,0.34628227076147833,0.24726733573142068,Feynman56,p_d,0.24726733573142068,0.34628227076147833
1.0,1.0282040950043414,1.0,1.0,1.0,1.0,0.3471408461519849,0.36051282607938917,Feynman56,p_d,0.36051282607938917,0.3471408461519849
1.0,1.0288128685892328,1.0,1.0,1.0,1.0,0.34734637944873115,0.3536477705340464,Feynman56,p_d,0.3536477705340464,0.34734637944873115
1.0,1.0291835988719085,1.0,1.0,1.0,1.0,0.34747154489462606,0.3417267476591837,Feynman56,p_d,0.3417267476591837,0.34747154489462606
1.0,1.0305188397891132,1.0,1.0,1.0,1.0,0.34792234708853603,0.4439231368735674,Feynman56,p_d,0.4439231368735674,0.34792234708853603
1.0,1.0331930225874115,1.0,1.0,1.0,1.0,0.34882520099067155,0.41233558462219566,Feynman56,p_d,0.41233558462219566,0.34882520099067155
1.0,1.0341661347503335,1.0,1.0,1.0,1.0,0.3491537417748201,0.3792677038122211,Feynman56,p_d,0.3792677038122211,0.3491537417748201
1.0,1.0351786624446349,1.0,1.0,1.0,1.0,0.3494955899762228,0.34072368188419894,Feynman56,p_d,0.34072368188419894,0.3494955899762228
1.0,1.0356540241676309,1.0,1.0,1.0,1.0,0.3496560809444565,0.3314510385356166,Feynman56,p_d,0.3314510385356166,0.3496560809444565
1.0,1.0373677934341012,1.0,1.0,1.0,1.0,0.35023468135673097,0.3934230726222991,Feynman56,p_d,0.3934230726222991,0.35023468135673097
1.0,1.037641994905879,1.0,1.0,1.0,1.0,0.3503272568788394,0.310170735218303,Feynman56,p_d,0.310170735218303,0.3503272568788394
1.0,1.0385408247185468,1.0,1.0,1.0,1.0,0.35063071855851186,0.3970457064169533,Feynman56,p_d,0.3970457064169533,0.35063071855851186
1.0,1.0389377705247125,1.0,1.0,1.0,1.0,0.3507647348532323,0.3611508843829722,Feynman56,p_d,0.3611508843829722,0.3507647348532323
1.0,1.0397219179138888,1.0,1.0,1.0,1.0,0.35102947761151254,0.36136407150142436,Feynman56,p_d,0.36136407150142436,0.35102947761151254
1.0,1.0399219913437625,1.0,1.0,1.0,1.0,0.3510970261265169,0.31908226442463816,Feynman56,p_d,0.31908226442463816,0.3510970261265169
1.0,1.040553256641154,1.0,1.0,1.0,1.0,0.35131015304416635,0.396013632501604,Feynman56,p_d,0.396013632501604,0.35131015304416635
1.0,1.0412453093516276,1.0,1.0,1.0,1.0,0.3515438029242464,0.3015906875388431,Feynman56,p_d,0.3015906875388431,0.3515438029242464
1.0,1.0412497856901366,1.0,1.0,1.0,1.0,0.35154531421947,0.21382087009023956,Feynman56,p_d,0.21382087009023956,0.35154531421947
