epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,1.0000411835547656,1.0,1.0,0.33762557079792566,0.3715838484350255,Feynman56,x,0.3715838484350255,0.33762557079792566
1.0,1.0,1.0,1.0002191716916489,1.0,1.0,0.3376556188078142,0.41879833886452894,Feynman56,x,0.41879833886452894,0.3376556188078142
1.0,1.0,1.0,1.0028061874271395,1.0,1.0,0.3380926609845543,0.29730347084056324,Feynman56,x,0.29730347084056324,0.3380926609845543
1.0,1.0,1.0,1.0028364761382325,1.0,1.0,0.33809778119846984,0.3506800039242018,Feynman56,x,0.3506800039242018,0.33809778119846984
1.0,1.0,1.0,1.0032536543229116,1.0,1.0,0.3381683117369583,0.38290634689165415,Feynman56,x,0.38290634689165415,0.3381683117369583
1.0,1.0,1.0,1.0036852902694156,1.0,1.0,0.33824130197429236,0.34669319017619427,Feynman56,x,0.34669319017619427,0.33824130197429236
1.0,1.0,1.0,1.0050855059732346,1.0,1.0,0.33847818799183416,0.3872646349153366,Feynman56,x,0.3872646349153366,0.33847818799183416
1.0,1.0,1.0,1.0053104220563363,1.0,1.0,0.3385162542146775,0.39959744569171896,Feynman56,x,0.39959744569171896,0.3385162542146775
1.0,1.0,1.0,1.0078584368803183,1.0,1.0,0.3389477918564808,0.3434770394128102,Feynman56,x,0.3434770394128102,0.3389477918564808
1.0,1.0,1.0,1.0081751366414902,1.0,1.0,0.339001466737126,0.35304019730173947,Feynman56,x,0.35304019730173947,0.339001466737126
1.0,1.0,1.0,1.0083670655887478,1.0,1.0,0.33903399929168626,0.3797092399199018,Feynman56,x,0.3797092399199018,0.33903399929168626
1.0,1.0,1.0,1.0085381547910686,1.0,1.0,0.3390630020330075,0.3438567181674603,Feynman56,x,0.3438567181674603,0.3390630020330075
1.0,1.0,1.0,1.0095389318025059,1.0,1.0,0.3392327008394702,0.4575172961813469,Feynman56,x,0.4575172961813469,0.3392327008394702
1.0,1.0,1.0,1.0103421492305038,1.0,1.0,0.3393689603383817,0.37831048116516447,Feynman56,x,0.37831048116516447,0.3393689603383817
1.0,1.0,1.0,1.0112353044375204,1.0,1.0,0.3395205400265218,0.2563964692018317,Feynman56,x,0.2563964692018317,0.3395205400265218
1.0,1.0,1.0,1.011431290661195,1.0,1.0,0.33955381021809045,0.38401242448176726,Feynman56,x,0.38401242448176726,0.33955381021809045
1.0,1.0,1.0,1.0122797092548705,1.0,1.0,0.33969787264556905,0.350242490762831,Feynman56,x,0.350242490762831,0.33969787264556905
1.0,1.0,1.0,1.0131180853346444,1.0,1.0,0.33984028843522257,0.3909970675053084,Feynman56,x,0.3909970675053084,0.33984028843522257
1.0,1.0,1.0,1.0132368441653827,1.0,1.0,0.33986046682278387,0.3609119912400219,Feynman56,x,0.3609119912400219,0.33986046682278387
1.0,1.0,1.0,1.0150222380372833,1.0,1.0,0.3401639647535586,0.3454734475879855,Feynman56,x,0.3454734475879855,0.3401639647535586
1.0,1.0,1.0,1.016075781565876,1.0,1.0,0.3403431793831626,0.2912538507291452,Feynman56,x,0.2912538507291452,0.3403431793831626
1.0,1.0,1.0,1.0162569302034266,1.0,1.0,0.3403740031668119,0.2885420237452813,Feynman56,x,0.2885420237452813,0.3403740031668119
1.0,1.0,1.0,1.0164280482619583,1.0,1.0,0.3404031226557311,0.3779854261357861,Feynman56,x,0.3779854261357861,0.3404031226557311
1.0,1.0,1.0,1.017118618440442,1.0,1.0,0.340520662805474,0.40610541098852093,Feynman56,x,0.40610541098852093,0.340520662805474
1.0,1.0,1.0,1.018330346569934,1.0,1.0,0.3407270026799369,0.3773241495239004,Feynman56,x,0.3773241495239004,0.3407270026799369
1.0,1.0,1.0,1.019082525642713,1.0,1.0,0.34085514862383276,0.31410489446189266,Feynman56,x,0.31410489446189266,0.34085514862383276
1.0,1.0,1.0,1.021912552587585,1.0,1.0,0.3413377050946624,0.4201467439071921,Feynman56,x,0.4201467439071921,0.3413377050946624
1.0,1.0,1.0,1.0235517571896802,1.0,1.0,0.3416175101948555,0.32197312424138186,Feynman56,x,0.32197312424138186,0.3416175101948555
1.0,1.0,1.0,1.0250745397727272,1.0,1.0,0.3418776387261848,0.37334167440442995,Feynman56,x,0.37334167440442995,0.3418776387261848
1.0,1.0,1.0,1.0264844577291565,1.0,1.0,0.3421186552870335,0.3393529964376236,Feynman56,x,0.3393529964376236,0.3421186552870335
1.0,1.0,1.0,1.0271412818805765,1.0,1.0,0.34223099030191045,0.30801097384771375,Feynman56,x,0.30801097384771375,0.34223099030191045
1.0,1.0,1.0,1.0285789862619104,1.0,1.0,0.34247699930431946,0.4096733932571699,Feynman56,x,0.4096733932571699,0.34247699930431946
1.0,1.0,1.0,1.0286439260050768,1.0,1.0,0.342488115245687,0.36716345327224614,Feynman56,x,0.36716345327224614,0.342488115245687
