epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0005480977301333,1.0,1.0,0.33771115523273104,0.3788206575067353,Feynman56,x,0.3788206575067353,0.0,0.33771115523273104
1.0,1.0,1.0,1.0040690695571075,1.0,1.0,0.3383062127185172,0.350371810438489,Feynman56,x,0.350371810438489,0.0,0.3383062127185172
1.0,1.0,1.0,1.0044948473135369,1.0,1.0,0.33837824135736166,0.376877786564271,Feynman56,x,0.376877786564271,0.0,0.33837824135736166
1.0,1.0,1.0,1.0057244860945347,1.0,1.0,0.3385863441119743,0.31738986015995263,Feynman56,x,0.31738986015995263,0.0,0.3385863441119743
1.0,1.0,1.0,1.006618096827676,1.0,1.0,0.3387376572401753,0.34899974902312464,Feynman56,x,0.34899974902312464,0.0,0.3387376572401753
1.0,1.0,1.0,1.0075683933558568,1.0,1.0,0.338898642065486,0.35925255960864816,Feynman56,x,0.35925255960864816,0.0,0.338898642065486
1.0,1.0,1.0,1.008327999957822,1.0,1.0,0.3390273772966208,0.3746644265424078,Feynman56,x,0.3746644265424078,0.0,0.3390273772966208
1.0,1.0,1.0,1.0098992436839929,1.0,1.0,0.3392938182718571,0.3729476726623427,Feynman56,x,0.3729476726623427,0.0,0.3392938182718571
1.0,1.0,1.0,1.010443992933321,1.0,1.0,0.3393862411504259,0.3006156304039573,Feynman56,x,0.3006156304039573,0.0,0.3393862411504259
1.0,1.0,1.0,1.0109928532473695,1.0,1.0,0.3394793864553607,0.24311149563921328,Feynman56,x,0.24311149563921328,0.0,0.3394793864553607
1.0,1.0,1.0,1.011614694302413,1.0,1.0,0.3395849473046496,0.3621329111677625,Feynman56,x,0.3621329111677625,0.0,0.3395849473046496
1.0,1.0,1.0,1.0117525811498362,1.0,1.0,0.3396083586811016,0.428733162978142,Feynman56,x,0.428733162978142,0.0,0.3396083586811016
1.0,1.0,1.0,1.0132535456218827,1.0,1.0,0.339863304671359,0.34027004982027614,Feynman56,x,0.34027004982027614,0.0,0.339863304671359
1.0,1.0,1.0,1.015893020227329,1.0,1.0,0.3403120839264355,0.3108049384333936,Feynman56,x,0.3108049384333936,0.0,0.3403120839264355
1.0,1.0,1.0,1.0160132485595572,1.0,1.0,0.3403325395562675,0.3156888170993237,Feynman56,x,0.3156888170993237,0.0,0.3403325395562675
1.0,1.0,1.0,1.0180045768153865,1.0,1.0,0.34067151691650926,0.337498645978283,Feynman56,x,0.337498645978283,0.0,0.34067151691650926
1.0,1.0,1.0,1.0183609098391406,1.0,1.0,0.34073220872497345,0.3683526303658593,Feynman56,x,0.3683526303658593,0.0,0.34073220872497345
1.0,1.0,1.0,1.018938080393273,1.0,1.0,0.3408305364235133,0.26601564002850187,Feynman56,x,0.26601564002850187,0.0,0.3408305364235133
1.0,1.0,1.0,1.0199106599917116,1.0,1.0,0.3409962884551605,0.3402817364086902,Feynman56,x,0.3402817364086902,0.0,0.3409962884551605
1.0,1.0,1.0,1.0200174689079553,1.0,1.0,0.34101449610590434,0.3370468490488775,Feynman56,x,0.3370468490488775,0.0,0.34101449610590434
1.0,1.0,1.0,1.0200781412646331,1.0,1.0,0.34102483930166966,0.38267005269741566,Feynman56,x,0.38267005269741566,0.0,0.34102483930166966
1.0,1.0,1.0,1.0225505513330777,1.0,1.0,0.34144658265099465,0.3620696949697353,Feynman56,x,0.3620696949697353,0.0,0.34144658265099465
1.0,1.0,1.0,1.0229929338062544,1.0,1.0,0.3415220968503895,0.42684131836286476,Feynman56,x,0.42684131836286476,0.0,0.3415220968503895
1.0,1.0,1.0,1.0237841649687531,1.0,1.0,0.3416571989248895,0.3416968889858783,Feynman56,x,0.3416968889858783,0.0,0.3416571989248895
1.0,1.0,1.0,1.0246795455313902,1.0,1.0,0.3418101459199684,0.31222520265652387,Feynman56,x,0.31222520265652387,0.0,0.3418101459199684
1.0,1.0,1.0,1.0250183450883636,1.0,1.0,0.3418680359465245,0.37100604957912897,Feynman56,x,0.37100604957912897,0.0,0.3418680359465245
1.0,1.0,1.0,1.0251012077372668,1.0,1.0,0.34188219594787933,0.30157459632350453,Feynman56,x,0.30157459632350453,0.0,0.34188219594787933
1.0,1.0,1.0,1.0255707346055385,1.0,1.0,0.3419624416856849,0.29870555720337205,Feynman56,x,0.29870555720337205,0.0,0.3419624416856849
1.0,1.0,1.0,1.02732955803343,1.0,1.0,0.3422631971566023,0.41006229734266164,Feynman56,x,0.41006229734266164,0.0,0.3422631971566023
1.0,1.0,1.0,1.0275190001941954,1.0,1.0,0.34229560636922884,0.369479688845135,Feynman56,x,0.369479688845135,0.0,0.34229560636922884
1.0,1.0,1.0,1.027919091774172,1.0,1.0,0.34236406242110895,0.30772125363018554,Feynman56,x,0.30772125363018554,0.0,0.34236406242110895
1.0,1.0,1.0,1.0287067598302384,1.0,1.0,0.3424988710349788,0.3821740533000757,Feynman56,x,0.3821740533000757,0.0,0.3424988710349788
1.0,1.0,1.0,1.0289050082128393,1.0,1.0,0.34253280895430577,0.3321762235067974,Feynman56,x,0.3321762235067974,0.0,0.34253280895430577
1.0,1.0,1.0,1.029375986371535,1.0,1.0,0.3426134479153018,0.3793942725873949,Feynman56,x,0.3793942725873949,0.0,0.3426134479153018
1.0,1.0,1.0,1.0304927820199514,1.0,1.0,0.3428047327004639,0.37685950415871217,Feynman56,x,0.37685950415871217,0.0,0.3428047327004639
1.0,1.0,1.0,1.0307020082762999,1.0,1.0,0.3428405801688472,0.3137293318176106,Feynman56,x,0.3137293318176106,0.0,0.3428405801688472
1.0,1.0,1.0,1.0326124974567308,1.0,1.0,0.3431680740580702,0.36584048690705556,Feynman56,x,0.36584048690705556,0.0,0.3431680740580702
1.0,1.0,1.0,1.0328594802760391,1.0,1.0,0.34321043300519205,0.35793436686697605,Feynman56,x,0.35793436686697605,0.0,0.34321043300519205
1.0,1.0,1.0,1.0330329410834558,1.0,1.0,0.34324018544236695,0.3255989858047722,Feynman56,x,0.3255989858047722,0.0,0.34324018544236695
1.0,1.0,1.0,1.0330358333620788,1.0,1.0,0.3432406815538115,0.3429474749495488,Feynman56,x,0.3429474749495488,0.0,0.3432406815538115
1.0,1.0,1.0,1.0333171567527462,1.0,1.0,0.3432889400580702,0.2980985569870098,Feynman56,x,0.2980985569870098,0.0,0.3432889400580702
1.0,1.0,1.0,1.0334862298055938,1.0,1.0,0.3433179460809795,0.33892971065919136,Feynman56,x,0.33892971065919136,0.0,0.3433179460809795
1.0,1.0,1.0,1.0349506366799301,1.0,1.0,0.3435692743694141,0.28715054000732787,Feynman56,x,0.28715054000732787,0.0,0.3435692743694141
1.0,1.0,1.0,1.035058163318892,1.0,1.0,0.3435877353626411,0.3364807216417409,Feynman56,x,0.3364807216417409,0.0,0.3435877353626411
1.0,1.0,1.0,1.0356256225544385,1.0,1.0,0.3436851764240393,0.337385783871602,Feynman56,x,0.337385783871602,0.0,0.3436851764240393
1.0,1.0,1.0,1.0368800334008688,1.0,1.0,0.3439006685366752,0.4300664244002209,Feynman56,x,0.4300664244002209,0.0,0.3439006685366752
1.0,1.0,1.0,1.0374387809625734,1.0,1.0,0.34399669485626827,0.301732807025986,Feynman56,x,0.301732807025986,0.0,0.34399669485626827
1.0,1.0,1.0,1.0397600116649255,1.0,1.0,0.34439588790193404,0.36758243551371217,Feynman56,x,0.36758243551371217,0.0,0.34439588790193404
1.0,1.0,1.0,1.0404223496051423,1.0,1.0,0.3445098719320472,0.2684062983768196,Feynman56,x,0.2684062983768196,0.0,0.3445098719320472
1.0,1.0,1.0,1.0415719601425864,1.0,1.0,0.3447077951093431,0.33860677267136263,Feynman56,x,0.33860677267136263,0.0,0.3447077951093431
1.0,1.0,1.0,1.0438878029749918,1.0,1.0,0.34510682119345903,0.29047769722734007,Feynman56,x,0.29047769722734007,0.0,0.34510682119345903
1.0,1.0,1.0,1.0469186558323347,1.0,1.0,0.3456296855740578,0.3400533642085883,Feynman56,x,0.3400533642085883,0.0,0.3456296855740578
1.0,1.0,1.0,1.0472229759851437,1.0,1.0,0.3456822250221106,0.3902932638300465,Feynman56,x,0.3902932638300465,0.0,0.3456822250221106
1.0,1.0,1.0,1.048029823336514,1.0,1.0,0.3458215586765294,0.32230778338615473,Feynman56,x,0.32230778338615473,0.0,0.3458215586765294
1.0,1.0,1.0,1.0481688434075573,1.0,1.0,0.34584557107772257,0.36647549915547106,Feynman56,x,0.36647549915547106,0.0,0.34584557107772257
1.0,1.0,1.0,1.0481753752663137,1.0,1.0,0.3458466993378463,0.26376753717339174,Feynman56,x,0.26376753717339174,0.0,0.3458466993378463
1.0,1.0,1.0,1.0493850759428767,1.0,1.0,0.346055710917431,0.4184280995273595,Feynman56,x,0.4184280995273595,0.0,0.346055710917431
1.0,1.0,1.0,1.050108591492957,1.0,1.0,0.34618077446227347,0.38326254041502456,Feynman56,x,0.38326254041502456,0.0,0.34618077446227347
1.0,1.0,1.0,1.0512143628333752,1.0,1.0,0.3463719921433598,0.3455894122172786,Feynman56,x,0.3455894122172786,0.0,0.3463719921433598
1.0,1.0,1.0,1.053093858734318,1.0,1.0,0.34669722686575494,0.3803113132307972,Feynman56,x,0.3803113132307972,0.0,0.34669722686575494
1.0,1.0,1.0,1.0532907468366908,1.0,1.0,0.3467313130364471,0.26195189211573905,Feynman56,x,0.26195189211573905,0.0,0.3467313130364471
1.0,1.0,1.0,1.0536437140835007,1.0,1.0,0.3467924279050984,0.32553086144513077,Feynman56,x,0.32553086144513077,0.0,0.3467924279050984
1.0,1.0,1.0,1.0537332328135605,1.0,1.0,0.34680792925825865,0.35012997363897563,Feynman56,x,0.35012997363897563,0.0,0.34680792925825865
1.0,1.0,1.0,1.0549849691842819,1.0,1.0,0.3470247493125781,0.45282625870245535,Feynman56,x,0.45282625870245535,0.0,0.3470247493125781
1.0,1.0,1.0,1.0558660776558806,1.0,1.0,0.3471774439429557,0.4198905625962269,Feynman56,x,0.4198905625962269,0.0,0.3471774439429557
1.0,1.0,1.0,1.0562952399477425,1.0,1.0,0.3472518388826319,0.4046568388988056,Feynman56,x,0.4046568388988056,0.0,0.3472518388826319
1.0,1.0,1.0,1.0563736419628666,1.0,1.0,0.34726543135292687,0.35294279506891124,Feynman56,x,0.35294279506891124,0.0,0.34726543135292687
1.0,1.0,1.0,1.0568558826190158,1.0,1.0,0.3473490473631319,0.32896701347677604,Feynman56,x,0.32896701347677604,0.0,0.3473490473631319
